"year","basin","variable","tonnes"
2011,"Danish Straits","total normalized nitrogen input",51466
2012,"Danish Straits","total normalized nitrogen input",51015
1995,"Kattegat","total normalized nitrogen input",86432
1996,"Kattegat","total normalized nitrogen input",85303
1997,"Kattegat","total normalized nitrogen input",81751
1998,"Kattegat","total normalized nitrogen input",89747
1999,"Kattegat","total normalized nitrogen input",83448
2000,"Kattegat","total normalized nitrogen input",78902
2001,"Kattegat","total normalized nitrogen input",75308
2002,"Kattegat","total normalized nitrogen input",78155
2003,"Kattegat","total normalized nitrogen input",73257
2004,"Kattegat","total normalized nitrogen input",78919
2005,"Kattegat","total normalized nitrogen input",72063
2006,"Kattegat","total normalized nitrogen input",78679
2007,"Kattegat","total normalized nitrogen input",75881
2008,"Kattegat","total normalized nitrogen input",72402
2009,"Kattegat","total normalized nitrogen input",65718
2010,"Kattegat","total normalized nitrogen input",63908
2011,"Kattegat","total normalized nitrogen input",64491
2012,"Kattegat","total normalized nitrogen input",62655
