"year","basin","variable","tonnes"
2002,"Kattegat","total normalized phosphorus input",1594
2003,"Kattegat","total normalized phosphorus input",1531
2004,"Kattegat","total normalized phosphorus input",1702
2005,"Kattegat","total normalized phosphorus input",1771
2006,"Kattegat","total normalized phosphorus input",1996
2007,"Kattegat","total normalized phosphorus input",1554
2008,"Kattegat","total normalized phosphorus input",1579
2009,"Kattegat","total normalized phosphorus input",1467
2010,"Kattegat","total normalized phosphorus input",1522
2011,"Kattegat","total normalized phosphorus input",1555
2012,"Kattegat","total normalized phosphorus input",1561
