"rgn_id","species_name","IUCN"
22,"Lampetra fluviatilis","NT"
23,"Lampetra fluviatilis","NT"
24,"Lampetra fluviatilis","NT"
25,"Lampetra fluviatilis","NT"
1,"Lampetra fluviatilis","NT"
2,"Lampetra fluviatilis","NT"
5,"Lampetra fluviatilis","NT"
6,"Lampetra fluviatilis","NT"
32,"Lampetra fluviatilis","NT"
33,"Lampetra fluviatilis","NT"
34,"Lampetra fluviatilis","NT"
27,"Lampetra fluviatilis","NT"
28,"Lampetra fluviatilis","NT"
9,"Lampetra fluviatilis","NT"
10,"Lampetra fluviatilis","NT"
7,"Lampetra fluviatilis","NT"
8,"Lampetra fluviatilis","NT"
41,"Lampetra fluviatilis","NT"
42,"Lampetra fluviatilis","NT"
39,"Lampetra fluviatilis","NT"
40,"Lampetra fluviatilis","NT"
37,"Lampetra fluviatilis","NT"
38,"Lampetra fluviatilis","NT"
35,"Lampetra fluviatilis","NT"
36,"Lampetra fluviatilis","NT"
29,"Lampetra fluviatilis","NT"
30,"Lampetra fluviatilis","NT"
31,"Lampetra fluviatilis","NT"
14,"Lampetra fluviatilis","NT"
15,"Lampetra fluviatilis","NT"
16,"Lampetra fluviatilis","NT"
17,"Lampetra fluviatilis","NT"
11,"Lampetra fluviatilis","NT"
12,"Lampetra fluviatilis","NT"
13,"Lampetra fluviatilis","NT"
36,"Lampetra fluviatilis","NT"
26,"Lampetra fluviatilis","NT"
20,"Lampetra fluviatilis","NT"
21,"Lampetra fluviatilis","NT"
22,"Lampetra fluviatilis","NT"
23,"Lampetra fluviatilis","NT"
24,"Lampetra fluviatilis","NT"
25,"Lampetra fluviatilis","NT"
18,"Liparis liparis","LC"
19,"Liparis liparis","LC"
1,"Liparis liparis","LC"
2,"Liparis liparis","LC"
5,"Liparis liparis","LC"
6,"Liparis liparis","LC"
32,"Liparis liparis","LC"
33,"Liparis liparis","LC"
34,"Liparis liparis","LC"
27,"Liparis liparis","LC"
28,"Liparis liparis","LC"
37,"Liparis liparis","LC"
38,"Liparis liparis","LC"
35,"Liparis liparis","LC"
36,"Liparis liparis","LC"
29,"Liparis liparis","LC"
30,"Liparis liparis","LC"
31,"Liparis liparis","LC"
36,"Liparis liparis","LC"
26,"Liparis liparis","LC"
20,"Liparis liparis","LC"
21,"Liparis liparis","LC"
22,"Liparis liparis","LC"
23,"Liparis liparis","LC"
24,"Liparis liparis","LC"
25,"Liparis liparis","LC"
1,"Liparis montagui","LC"
2,"Liparis montagui","LC"
5,"Liparis montagui","LC"
6,"Liparis montagui","LC"
3,"Liparis montagui","LC"
3,"Liparis montagui","LC"
4,"Liparis montagui","LC"
18,"Lota lota","NT"
19,"Lota lota","NT"
20,"Lota lota","NT"
21,"Lota lota","NT"
22,"Lota lota","NT"
23,"Lota lota","NT"
24,"Lota lota","NT"
25,"Lota lota","NT"
32,"Lota lota","NT"
33,"Lota lota","NT"
34,"Lota lota","NT"
27,"Lota lota","NT"
28,"Lota lota","NT"
41,"Lota lota","NT"
42,"Lota lota","NT"
39,"Lota lota","NT"
40,"Lota lota","NT"
37,"Lota lota","NT"
38,"Lota lota","NT"
35,"Lota lota","NT"
36,"Lota lota","NT"
29,"Lota lota","NT"
30,"Lota lota","NT"
31,"Lota lota","NT"
