fishstock_ID,Description,ICES_catcharea_ID,ICES_area,rgn_id,label,prop_area
her-3a22,Herring in Division IIIa and Subdivisions 22 - 24 (Western Baltic spring spawners),22 ~ 23 ~ 24 ~ IIIa,,15,Ger - Baltic Proper,
her-3a22,Herring in Division IIIa and Subdivisions 22 - 24 (Western Baltic spring spawners),22 ~ 23 ~ 24 ~ IIIa,,16,Ger - Western Baltic,
her-3a22,Herring in Division IIIa and Subdivisions 22 - 24 (Western Baltic spring spawners),22 ~ 23 ~ 24 ~ IIIa,,17,Pol - Baltic Proper,
her-riga,Herring in Subdivision 28.1 (Gulf of Riga),28_1,,22,Lat - Gulf of Riga,
her-riga,Herring in Subdivision 28.1 (Gulf of Riga),28_1,,25,Est - Gulf of Riga,
her-30,Herring in Subdivision 30 (Bothnian Sea),30,,1,Swe - Bothnian Bay,
her-30,Herring in Subdivision 30 (Bothnian Sea),30,,2,Swe - Bothnian Sea,
her-30,Herring in Subdivision 30 (Bothnian Sea),30,,6,Fin - Bothnian Bay,
her-30,Herring in Subdivision 30 (Bothnian Sea),30,,7,Fin - Bothnian Sea,
her-30,Herring in Subdivision 30 (Bothnian Sea),30,,8,Fin - Archipelago Sea,
her-2532-gor,Herring in Subdivisions 25 - 29 (excluding Gulf of Riga) and 32,25 ~ 26 ~ 27 ~ 28-2 ~ 29 ~ 32,,3,Swe - Baltic Proper,
her-2532-gor,Herring in Subdivisions 25 - 29 (excluding Gulf of Riga) and 32,25 ~ 26 ~ 27 ~ 28-2 ~ 29 ~ 32,,9,Fin - Gulf of Finland,
her-2532-gor,Herring in Subdivisions 25 - 29 (excluding Gulf of Riga) and 32,25 ~ 26 ~ 27 ~ 28-2 ~ 29 ~ 32,,10,Fin - Baltic Proper,
her-2532-gor,Herring in Subdivisions 25 - 29 (excluding Gulf of Riga) and 32,25 ~ 26 ~ 27 ~ 28-2 ~ 29 ~ 32,,11,Den - Baltic Proper,
her-2532-gor,Herring in Subdivisions 25 - 29 (excluding Gulf of Riga) and 32,25 ~ 26 ~ 27 ~ 28-2 ~ 29 ~ 32,,15,Ger - Baltic Proper,
her-2532-gor,Herring in Subdivisions 25 - 29 (excluding Gulf of Riga) and 32,25 ~ 26 ~ 27 ~ 28-2 ~ 29 ~ 32,,17,Pol - Baltic Proper,
her-2532-gor,Herring in Subdivisions 25 - 29 (excluding Gulf of Riga) and 32,25 ~ 26 ~ 27 ~ 28-2 ~ 29 ~ 32,,18,Rus - Gulf of Finland,
her-2532-gor,Herring in Subdivisions 25 - 29 (excluding Gulf of Riga) and 32,25 ~ 26 ~ 27 ~ 28-2 ~ 29 ~ 32,,19,Rus - Baltic Proper,
her-2532-gor,Herring in Subdivisions 25 - 29 (excluding Gulf of Riga) and 32,25 ~ 26 ~ 27 ~ 28-2 ~ 29 ~ 32,,20,Lit - Baltic Proper,
her-2532-gor,Herring in Subdivisions 25 - 29 (excluding Gulf of Riga) and 32,25 ~ 26 ~ 27 ~ 28-2 ~ 29 ~ 32,,21,Lat - Baltic Proper,
her-2532-gor,Herring in Subdivisions 25 - 29 (excluding Gulf of Riga) and 32,25 ~ 26 ~ 27 ~ 28-2 ~ 29 ~ 32,,23,Est - Gulf of Finland,
her-2532-gor,Herring in Subdivisions 25 - 29 (excluding Gulf of Riga) and 32,25 ~ 26 ~ 27 ~ 28-2 ~ 29 ~ 32,,24,Est - Baltic Proper,
spr-2232,Sprat in Subdivisions 22 - 32 (Baltic Sea),22 ~ 23 ~ 24 ~ 25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,1,Swe - Bothnian Bay,
spr-2232,Sprat in Subdivisions 22 - 32 (Baltic Sea),22 ~ 23 ~ 24 ~ 25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,2,Swe - Bothnian Sea,
spr-2232,Sprat in Subdivisions 22 - 32 (Baltic Sea),22 ~ 23 ~ 24 ~ 25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,3,Swe - Baltic Proper,
spr-2232,Sprat in Subdivisions 22 - 32 (Baltic Sea),22 ~ 23 ~ 24 ~ 25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,5,Swe - The Sound,
spr-2232,Sprat in Subdivisions 22 - 32 (Baltic Sea),22 ~ 23 ~ 24 ~ 25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,6,Fin - Bothnian Bay,
spr-2232,Sprat in Subdivisions 22 - 32 (Baltic Sea),22 ~ 23 ~ 24 ~ 25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,7,Fin - Bothnian Sea,
spr-2232,Sprat in Subdivisions 22 - 32 (Baltic Sea),22 ~ 23 ~ 24 ~ 25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,8,Fin - Archipelago Sea,
spr-2232,Sprat in Subdivisions 22 - 32 (Baltic Sea),22 ~ 23 ~ 24 ~ 25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,9,Fin - Gulf of Finland,
spr-2232,Sprat in Subdivisions 22 - 32 (Baltic Sea),22 ~ 23 ~ 24 ~ 25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,10,Fin - Baltic Proper,
spr-2232,Sprat in Subdivisions 22 - 32 (Baltic Sea),22 ~ 23 ~ 24 ~ 25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,11,Den - Baltic Proper,
spr-2232,Sprat in Subdivisions 22 - 32 (Baltic Sea),22 ~ 23 ~ 24 ~ 25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,13,Den - The Sound,
spr-2232,Sprat in Subdivisions 22 - 32 (Baltic Sea),22 ~ 23 ~ 24 ~ 25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,14,Den - Western Baltic,
spr-2232,Sprat in Subdivisions 22 - 32 (Baltic Sea),22 ~ 23 ~ 24 ~ 25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,15,Ger - Baltic Proper,
spr-2232,Sprat in Subdivisions 22 - 32 (Baltic Sea),22 ~ 23 ~ 24 ~ 25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,16,Ger - Western Baltic,
spr-2232,Sprat in Subdivisions 22 - 32 (Baltic Sea),22 ~ 23 ~ 24 ~ 25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,17,Pol - Baltic Proper,
spr-2232,Sprat in Subdivisions 22 - 32 (Baltic Sea),22 ~ 23 ~ 24 ~ 25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,18,Rus - Gulf of Finland,
spr-2232,Sprat in Subdivisions 22 - 32 (Baltic Sea),22 ~ 23 ~ 24 ~ 25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,19,Rus - Baltic Proper,
spr-2232,Sprat in Subdivisions 22 - 32 (Baltic Sea),22 ~ 23 ~ 24 ~ 25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,20,Lit - Baltic Proper,
spr-2232,Sprat in Subdivisions 22 - 32 (Baltic Sea),22 ~ 23 ~ 24 ~ 25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,21,Lat - Baltic Proper,
spr-2232,Sprat in Subdivisions 22 - 32 (Baltic Sea),22 ~ 23 ~ 24 ~ 25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,22,Lat - Gulf of Riga,
spr-2232,Sprat in Subdivisions 22 - 32 (Baltic Sea),22 ~ 23 ~ 24 ~ 25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,23,Est - Gulf of Finland,
spr-2232,Sprat in Subdivisions 22 - 32 (Baltic Sea),22 ~ 23 ~ 24 ~ 25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,24,Est - Baltic Proper,
spr-2232,Sprat in Subdivisions 22 - 32 (Baltic Sea),22 ~ 23 ~ 24 ~ 25 ~ 26 ~ 27 ~ 28-1 ~ 28-2 ~ 29 ~ 30 ~ 31 ~ 32,,25,Est - Gulf of Riga,
