"value","location","variable","data_descrip","unit","bhi_goal"
1,"Northern Baltic Proper","Herring","species presence/absence","presence","ICO"
1,"Gulf of Finland","Herring","species presence/absence","presence","ICO"
1,"Aland Sea","Herring","species presence/absence","presence","ICO"
1,"Bothnian Sea","Herring","species presence/absence","presence","ICO"
1,"The Quark","Herring","species presence/absence","presence","ICO"
1,"Bothnian Bay","Herring","species presence/absence","presence","ICO"
0,"Kattegat","Perch","species presence/absence","presence","ICO"
0,"Great Belt","Perch","species presence/absence","presence","ICO"
1,"Kiel Bay","Perch","species presence/absence","presence","ICO"
1,"Bay of Mecklenburg","Perch","species presence/absence","presence","ICO"
1,"The Sound","Perch","species presence/absence","presence","ICO"
1,"Arkona Basin","Perch","species presence/absence","presence","ICO"
1,"Bornholm Basin","Perch","species presence/absence","presence","ICO"
1,"Western Gotland Basin","Perch","species presence/absence","presence","ICO"
1,"Eastern Gotland Basin","Perch","species presence/absence","presence","ICO"
1,"Gdansk Basin","Perch","species presence/absence","presence","ICO"
1,"Gulf of Riga","Perch","species presence/absence","presence","ICO"
1,"Northern Baltic Proper","Perch","species presence/absence","presence","ICO"
1,"Gulf of Finland","Perch","species presence/absence","presence","ICO"
1,"Aland Sea","Perch","species presence/absence","presence","ICO"
1,"Bothnian Sea","Perch","species presence/absence","presence","ICO"
1,"The Quark","Perch","species presence/absence","presence","ICO"
1,"Bothnian Bay","Perch","species presence/absence","presence","ICO"
0,"Kattegat","Pike","species presence/absence","presence","ICO"
1,"Great Belt","Pike","species presence/absence","presence","ICO"
1,"Kiel Bay","Pike","species presence/absence","presence","ICO"
1,"Bay of Mecklenburg","Pike","species presence/absence","presence","ICO"
1,"The Sound","Pike","species presence/absence","presence","ICO"
1,"Arkona Basin","Pike","species presence/absence","presence","ICO"
1,"Bornholm Basin","Pike","species presence/absence","presence","ICO"
1,"Western Gotland Basin","Pike","species presence/absence","presence","ICO"
1,"Eastern Gotland Basin","Pike","species presence/absence","presence","ICO"
1,"Gdansk Basin","Pike","species presence/absence","presence","ICO"
1,"Gulf of Riga","Pike","species presence/absence","presence","ICO"
1,"Northern Baltic Proper","Pike","species presence/absence","presence","ICO"
1,"Gulf of Finland","Pike","species presence/absence","presence","ICO"
1,"Aland Sea","Pike","species presence/absence","presence","ICO"
1,"Bothnian Sea","Pike","species presence/absence","presence","ICO"
1,"The Quark","Pike","species presence/absence","presence","ICO"
1,"Bothnian Bay","Pike","species presence/absence","presence","ICO"
1,"Kattegat","Salmon","species presence/absence","presence","ICO"
1,"Great Belt","Salmon","species presence/absence","presence","ICO"
1,"Kiel Bay","Salmon","species presence/absence","presence","ICO"
1,"Bay of Mecklenburg","Salmon","species presence/absence","presence","ICO"
1,"The Sound","Salmon","species presence/absence","presence","ICO"
1,"Arkona Basin","Salmon","species presence/absence","presence","ICO"
1,"Bornholm Basin","Salmon","species presence/absence","presence","ICO"
1,"Western Gotland Basin","Salmon","species presence/absence","presence","ICO"
1,"Eastern Gotland Basin","Salmon","species presence/absence","presence","ICO"
1,"Gdansk Basin","Salmon","species presence/absence","presence","ICO"
1,"Gulf of Riga","Salmon","species presence/absence","presence","ICO"
1,"Northern Baltic Proper","Salmon","species presence/absence","presence","ICO"
1,"Gulf of Finland","Salmon","species presence/absence","presence","ICO"
1,"Aland Sea","Salmon","species presence/absence","presence","ICO"
1,"Bothnian Sea","Salmon","species presence/absence","presence","ICO"
1,"The Quark","Salmon","species presence/absence","presence","ICO"
1,"Bothnian Bay","Salmon","species presence/absence","presence","ICO"
1,"Kattegat","Trout","species presence/absence","presence","ICO"
1,"Great Belt","Trout","species presence/absence","presence","ICO"
1,"Kiel Bay","Trout","species presence/absence","presence","ICO"
1,"Bay of Mecklenburg","Trout","species presence/absence","presence","ICO"
1,"The Sound","Trout","species presence/absence","presence","ICO"
1,"Arkona Basin","Trout","species presence/absence","presence","ICO"
1,"Bornholm Basin","Trout","species presence/absence","presence","ICO"
1,"Western Gotland Basin","Trout","species presence/absence","presence","ICO"
1,"Eastern Gotland Basin","Trout","species presence/absence","presence","ICO"
1,"Gdansk Basin","Trout","species presence/absence","presence","ICO"
1,"Gulf of Riga","Trout","species presence/absence","presence","ICO"
1,"Northern Baltic Proper","Trout","species presence/absence","presence","ICO"
1,"Gulf of Finland","Trout","species presence/absence","presence","ICO"
1,"Aland Sea","Trout","species presence/absence","presence","ICO"
1,"Bothnian Sea","Trout","species presence/absence","presence","ICO"
1,"The Quark","Trout","species presence/absence","presence","ICO"
1,"Bothnian Bay","Trout","species presence/absence","presence","ICO"
1,"Kattegat","Sprat","species presence/absence","presence","ICO"
1,"Great Belt","Sprat","species presence/absence","presence","ICO"
1,"Kiel Bay","Sprat","species presence/absence","presence","ICO"
1,"Bay of Mecklenburg","Sprat","species presence/absence","presence","ICO"
1,"The Sound","Sprat","species presence/absence","presence","ICO"
1,"Arkona Basin","Sprat","species presence/absence","presence","ICO"
1,"Bornholm Basin","Sprat","species presence/absence","presence","ICO"
1,"Western Gotland Basin","Sprat","species presence/absence","presence","ICO"
1,"Eastern Gotland Basin","Sprat","species presence/absence","presence","ICO"
1,"Gdansk Basin","Sprat","species presence/absence","presence","ICO"
0,"Gdansk Basin","Sprat","species presence/absence","presence","ICO"
1,"Gulf of Riga","Sprat","species presence/absence","presence","ICO"
1,"Northern Baltic Proper","Sprat","species presence/absence","presence","ICO"
1,"Gulf of Finland","Sprat","species presence/absence","presence","ICO"
1,"Aland Sea","Sprat","species presence/absence","presence","ICO"
1,"Bothnian Sea","Sprat","species presence/absence","presence","ICO"
1,"The Quark","Sprat","species presence/absence","presence","ICO"
1,"Bothnian Bay","Sprat","species presence/absence","presence","ICO"
1,"Kattegat","grey seal / gray seal","species presence/absence","presence","ICO"
0,"Great Belt","grey seal / gray seal","species presence/absence","presence","ICO"
1,"Kiel Bay","grey seal / gray seal","species presence/absence","presence","ICO"
1,"Bay of Mecklenburg","grey seal / gray seal","species presence/absence","presence","ICO"
1,"The Sound","grey seal / gray seal","species presence/absence","presence","ICO"
1,"Arkona Basin","grey seal / gray seal","species presence/absence","presence","ICO"
1,"Bornholm Basin","grey seal / gray seal","species presence/absence","presence","ICO"
1,"Eastern Gotland Basin","grey seal / gray seal","species presence/absence","presence","ICO"
1,"Western Gotland Basin","grey seal / gray seal","species presence/absence","presence","ICO"
1,"Northern Baltic Proper","grey seal / gray seal","species presence/absence","presence","ICO"
1,"Gdansk Basin","grey seal / gray seal","species presence/absence","presence","ICO"
1,"Gulf of Riga","grey seal / gray seal","species presence/absence","presence","ICO"
1,"Gulf of Finland","grey seal / gray seal","species presence/absence","presence","ICO"
1,"Aland Sea","grey seal / gray seal","species presence/absence","presence","ICO"
1,"Bothnian Sea","grey seal / gray seal","species presence/absence","presence","ICO"
1,"The Quark","grey seal / gray seal","species presence/absence","presence","ICO"
1,"Bothnian Bay","grey seal / gray seal","species presence/absence","presence","ICO"
1,"Kattegat","European otter / Euraisan otter","species presence/absence","presence","ICO"
1,"Great Belt","European otter / Euraisan otter","species presence/absence","presence","ICO"
1,"Kiel Bay","European otter / Euraisan otter","species presence/absence","presence","ICO"
1,"Bay of Mecklenburg","European otter / Euraisan otter","species presence/absence","presence","ICO"
0,"The Sound","European otter / Euraisan otter","species presence/absence","presence","ICO"
1,"Arkona Basin","European otter / Euraisan otter","species presence/absence","presence","ICO"
1,"Bornholm Basin","European otter / Euraisan otter","species presence/absence","presence","ICO"
1,"Eastern Gotland Basin","European otter / Euraisan otter","species presence/absence","presence","ICO"
1,"Western Gotland Basin","European otter / Euraisan otter","species presence/absence","presence","ICO"
1,"Northern Baltic Proper","European otter / Euraisan otter","species presence/absence","presence","ICO"
1,"Gdansk Basin","European otter / Euraisan otter","species presence/absence","presence","ICO"
1,"Gulf of Riga","European otter / Euraisan otter","species presence/absence","presence","ICO"
1,"Gulf of Finland","European otter / Euraisan otter","species presence/absence","presence","ICO"
1,"Aland Sea","European otter / Euraisan otter","species presence/absence","presence","ICO"
1,"Bothnian Sea","European otter / Euraisan otter","species presence/absence","presence","ICO"
1,"The Quark","European otter / Euraisan otter","species presence/absence","presence","ICO"
1,"Bothnian Bay","European otter / Euraisan otter","species presence/absence","presence","ICO"
1,"Kattegat","harbour seal / common seal","species presence/absence","presence","ICO"
1,"Great Belt","harbour seal / common seal","species presence/absence","presence","ICO"
1,"Kiel Bay","harbour seal / common seal","species presence/absence","presence","ICO"
1,"Bay of Mecklenburg","harbour seal / common seal","species presence/absence","presence","ICO"
1,"The Sound","harbour seal / common seal","species presence/absence","presence","ICO"
1,"Arkona Basin","harbour seal / common seal","species presence/absence","presence","ICO"
1,"Bornholm Basin","harbour seal / common seal","species presence/absence","presence","ICO"
0,"Eastern Gotland Basin","harbour seal / common seal","species presence/absence","presence","ICO"
0,"Western Gotland Basin","harbour seal / common seal","species presence/absence","presence","ICO"
0,"Northern Baltic Proper","harbour seal / common seal","species presence/absence","presence","ICO"
1,"Gdansk Basin","harbour seal / common seal","species presence/absence","presence","ICO"
0,"Gulf of Riga","harbour seal / common seal","species presence/absence","presence","ICO"
0,"Gulf of Finland","harbour seal / common seal","species presence/absence","presence","ICO"
0,"Aland Sea","harbour seal / common seal","species presence/absence","presence","ICO"
0,"Bothnian Sea","harbour seal / common seal","species presence/absence","presence","ICO"
0,"The Quark","harbour seal / common seal","species presence/absence","presence","ICO"
0,"Bothnian Bay","harbour seal / common seal","species presence/absence","presence","ICO"
1,"Kattegat","harbour porpoise","species presence/absence","presence","ICO"
1,"Great Belt","harbour porpoise","species presence/absence","presence","ICO"
1,"Kiel Bay","harbour porpoise","species presence/absence","presence","ICO"
1,"Bay of Mecklenburg","harbour porpoise","species presence/absence","presence","ICO"
1,"The Sound","harbour porpoise","species presence/absence","presence","ICO"
1,"Arkona Basin","harbour porpoise","species presence/absence","presence","ICO"
1,"Bornholm Basin","harbour porpoise","species presence/absence","presence","ICO"
1,"Eastern Gotland Basin","harbour porpoise","species presence/absence","presence","ICO"
1,"Western Gotland Basin","harbour porpoise","species presence/absence","presence","ICO"
1,"Northern Baltic Proper","harbour porpoise","species presence/absence","presence","ICO"
1,"Gdansk Basin","harbour porpoise","species presence/absence","presence","ICO"
1,"Gulf of Riga","harbour porpoise","species presence/absence","presence","ICO"
1,"Gulf of Finland","harbour porpoise","species presence/absence","presence","ICO"
1,"Aland Sea","harbour porpoise","species presence/absence","presence","ICO"
1,"Bothnian Sea","harbour porpoise","species presence/absence","presence","ICO"
0,"The Quark","harbour porpoise","species presence/absence","presence","ICO"
0,"Bothnian Bay","harbour porpoise","species presence/absence","presence","ICO"
0,"Kattegat","ringed seal","species presence/absence","presence","ICO"
0,"Great Belt","ringed seal","species presence/absence","presence","ICO"
0,"Kiel Bay","ringed seal","species presence/absence","presence","ICO"
0,"Bay of Mecklenburg","ringed seal","species presence/absence","presence","ICO"
0,"The Sound","ringed seal","species presence/absence","presence","ICO"
0,"Arkona Basin","ringed seal","species presence/absence","presence","ICO"
0,"Bornholm Basin","ringed seal","species presence/absence","presence","ICO"
0,"Eastern Gotland Basin","ringed seal","species presence/absence","presence","ICO"
0,"Western Gotland Basin","ringed seal","species presence/absence","presence","ICO"
1,"Northern Baltic Proper","ringed seal","species presence/absence","presence","ICO"
0,"Gdansk Basin","ringed seal","species presence/absence","presence","ICO"
1,"Gulf of Riga","ringed seal","species presence/absence","presence","ICO"
1,"Gulf of Finland","ringed seal","species presence/absence","presence","ICO"
1,"Aland Sea","ringed seal","species presence/absence","presence","ICO"
1,"Bothnian Sea","ringed seal","species presence/absence","presence","ICO"
1,"The Quark","ringed seal","species presence/absence","presence","ICO"
1,"Bothnian Bay","ringed seal","species presence/absence","presence","ICO"
1,"Kattegat","sea eagle","species presence/absence","presence","ICO"
1,"Great Belt","sea eagle","species presence/absence","presence","ICO"
1,"The Sound","sea eagle","species presence/absence","presence","ICO"
1,"Kiel Bay","sea eagle","species presence/absence","presence","ICO"
1,"Bay of Mecklenburg","sea eagle","species presence/absence","presence","ICO"
1,"Arkona Basin","sea eagle","species presence/absence","presence","ICO"
1,"Bornholm Basin","sea eagle","species presence/absence","presence","ICO"
1,"Gdansk Basin","sea eagle","species presence/absence","presence","ICO"
1,"Eastern Gotland Basin","sea eagle","species presence/absence","presence","ICO"
1,"Western Gotland Basin","sea eagle","species presence/absence","presence","ICO"
1,"Gulf of Riga","sea eagle","species presence/absence","presence","ICO"
1,"Northern Baltic Proper","sea eagle","species presence/absence","presence","ICO"
1,"Gulf of Finland","sea eagle","species presence/absence","presence","ICO"
1,"Aland Sea","sea eagle","species presence/absence","presence","ICO"
1,"Bothnian Sea","sea eagle","species presence/absence","presence","ICO"
1,"The Quark","sea eagle","species presence/absence","presence","ICO"
1,"Bothnian Bay","sea eagle","species presence/absence","presence","ICO"
1,"Kattegat","common elder","species presence/absence","presence","ICO"
1,"Great Belt","common elder","species presence/absence","presence","ICO"
1,"The Sound","common elder","species presence/absence","presence","ICO"
1,"Kiel Bay","common elder","species presence/absence","presence","ICO"
1,"Bay of Mecklenburg","common elder","species presence/absence","presence","ICO"
1,"Arkona Basin","common elder","species presence/absence","presence","ICO"
1,"Bornholm Basin","common elder","species presence/absence","presence","ICO"
1,"Gdansk Basin","common elder","species presence/absence","presence","ICO"
1,"Eastern Gotland Basin","common elder","species presence/absence","presence","ICO"
1,"Western Gotland Basin","common elder","species presence/absence","presence","ICO"
1,"Gulf of Riga","common elder","species presence/absence","presence","ICO"
1,"Northern Baltic Proper","common elder","species presence/absence","presence","ICO"
1,"Gulf of Finland","common elder","species presence/absence","presence","ICO"
1,"Aland Sea","common elder","species presence/absence","presence","ICO"
1,"Bothnian Sea","common elder","species presence/absence","presence","ICO"
1,"The Quark","common elder","species presence/absence","presence","ICO"
1,"Bothnian Bay","common elder","species presence/absence","presence","ICO"
