"year","stock","metric","score"
2005,"cod_2532","bbmsy",0.705136054
2006,"cod_2532","bbmsy",0.807052154
2007,"cod_2532","bbmsy",0.891043084
2008,"cod_2532","bbmsy",1.13047619
2009,"cod_2532","bbmsy",1.368390023
2010,"cod_2532","bbmsy",1.586666667
2011,"cod_2532","bbmsy",1.498764172
2012,"cod_2532","bbmsy",1.741315193
1991,"her_3a22","bbmsy",2.758709091
1992,"her_3a22","bbmsy",2.8229
1993,"her_3a22","bbmsy",2.526318182
1994,"her_3a22","bbmsy",2.056
1995,"her_3a22","bbmsy",1.769618182
1996,"her_3a22","bbmsy",1.232154545
1997,"her_3a22","bbmsy",1.3455
1998,"her_3a22","bbmsy",1.053127273
1999,"her_3a22","bbmsy",1.032272727
2000,"her_3a22","bbmsy",1.1027
2001,"her_3a22","bbmsy",1.177936364
2002,"her_3a22","bbmsy",1.479590909
2003,"her_3a22","bbmsy",1.189772727
2004,"her_3a22","bbmsy",1.259563636
2005,"her_3a22","bbmsy",1.215027273
2006,"her_3a22","bbmsy",1.421572727
2007,"her_3a22","bbmsy",1.113781818
2008,"her_3a22","bbmsy",0.958645455
2009,"her_3a22","bbmsy",0.860509091
2010,"her_3a22","bbmsy",0.835909091
2011,"her_3a22","bbmsy",0.817718182
2012,"her_3a22","bbmsy",0.846845455
2013,"her_3a22","bbmsy",1.006790909
2014,"her_3a22","bbmsy",1.077627273
1974,"her_2532","bbmsy",2.804031667
1975,"her_2532","bbmsy",2.62543
1976,"her_2532","bbmsy",2.277935
1977,"her_2532","bbmsy",2.531281667
1978,"her_2532","bbmsy",2.401805
1979,"her_2532","bbmsy",2.34809
1980,"her_2532","bbmsy",2.262443333
1981,"her_2532","bbmsy",2.144098333
1982,"her_2532","bbmsy",2.380121667
1983,"her_2532","bbmsy",2.34291
1984,"her_2532","bbmsy",2.197518333
1985,"her_2532","bbmsy",2.109931667
1986,"her_2532","bbmsy",2.002383333
1987,"her_2532","bbmsy",1.910345
1988,"her_2532","bbmsy",1.915581667
1989,"her_2532","bbmsy",1.686138333
1990,"her_2532","bbmsy",1.447828333
1991,"her_2532","bbmsy",1.298411667
1992,"her_2532","bbmsy",1.331253333
1993,"her_2532","bbmsy",1.24949
1994,"her_2532","bbmsy",1.260228333
1995,"her_2532","bbmsy",1.103116667
1996,"her_2532","bbmsy",1.011923333
1997,"her_2532","bbmsy",0.952663333
1998,"her_2532","bbmsy",0.86676
1999,"her_2532","bbmsy",0.736866667
2000,"her_2532","bbmsy",0.75276
2001,"her_2532","bbmsy",0.676133333
2002,"her_2532","bbmsy",0.704828333
2003,"her_2532","bbmsy",0.815665
2004,"her_2532","bbmsy",0.833123333
2005,"her_2532","bbmsy",0.935328333
2006,"her_2532","bbmsy",1.040253333
2007,"her_2532","bbmsy",1.09321
2008,"her_2532","bbmsy",1.12348
2009,"her_2532","bbmsy",1.311651667
2010,"her_2532","bbmsy",1.429088333
2011,"her_2532","bbmsy",1.43252
2012,"her_2532","bbmsy",1.496725
2013,"her_2532","bbmsy",1.593425
2014,"her_2532","bbmsy",1.679213333
1977,"her_riga","bbmsy",0.9087
1978,"her_riga","bbmsy",0.822583333
1979,"her_riga","bbmsy",0.77895
1980,"her_riga","bbmsy",0.7785
1981,"her_riga","bbmsy",0.786983333
1982,"her_riga","bbmsy",0.71255
1983,"her_riga","bbmsy",0.847416667
1984,"her_riga","bbmsy",0.664983333
1985,"her_riga","bbmsy",0.864916667
1986,"her_riga","bbmsy",1.06925
1987,"her_riga","bbmsy",0.856216667
1988,"her_riga","bbmsy",1.603333333
1989,"her_riga","bbmsy",1.048016667
1990,"her_riga","bbmsy",1.277166667
1991,"her_riga","bbmsy",1.4355
1992,"her_riga","bbmsy",1.740566667
1993,"her_riga","bbmsy",1.974333333
1994,"her_riga","bbmsy",2.0374
1995,"her_riga","bbmsy",1.89675
1996,"her_riga","bbmsy",1.71555
1997,"her_riga","bbmsy",1.681683333
1998,"her_riga","bbmsy",1.323933333
1999,"her_riga","bbmsy",1.3586
2000,"her_riga","bbmsy",1.358416667
2001,"her_riga","bbmsy",1.292333333
2002,"her_riga","bbmsy",1.65185
2003,"her_riga","bbmsy",1.412883333
2004,"her_riga","bbmsy",1.506316667
2005,"her_riga","bbmsy",1.1929
2006,"her_riga","bbmsy",1.14945
2007,"her_riga","bbmsy",1.470433333
2008,"her_riga","bbmsy",1.431833333
2009,"her_riga","bbmsy",1.67355
2010,"her_riga","bbmsy",1.552133333
2011,"her_riga","bbmsy",1.537666667
2012,"her_riga","bbmsy",1.267033333
2013,"her_riga","bbmsy",1.46515
2014,"her_riga","bbmsy",1.723416667
1973,"her_30","bbmsy",0.580132911
1974,"her_30","bbmsy",0.546348101
1975,"her_30","bbmsy",0.549088608
1976,"her_30","bbmsy",0.614775316
1977,"her_30","bbmsy",0.638585443
1978,"her_30","bbmsy",0.669316456
1979,"her_30","bbmsy",0.613547468
1980,"her_30","bbmsy",0.566376582
1981,"her_30","bbmsy",0.533927215
1982,"her_30","bbmsy",0.538753165
1983,"her_30","bbmsy",0.6335
1984,"her_30","bbmsy",0.795727848
1985,"her_30","bbmsy",0.899876582
1986,"her_30","bbmsy",1.045506329
1987,"her_30","bbmsy",1.279541139
1988,"her_30","bbmsy",1.275708861
1989,"her_30","bbmsy",1.588044304
1990,"her_30","bbmsy",1.850585443
1991,"her_30","bbmsy",1.949363924
1992,"her_30","bbmsy",2.147924051
1993,"her_30","bbmsy",1.949363924
1994,"her_30","bbmsy",2.189126582
1995,"her_30","bbmsy",1.735860759
1996,"her_30","bbmsy",1.646253165
1997,"her_30","bbmsy",1.347838608
1998,"her_30","bbmsy",1.239243671
1999,"her_30","bbmsy",1.329101266
2000,"her_30","bbmsy",1.37781962
2001,"her_30","bbmsy",1.451360759
2002,"her_30","bbmsy",1.45718038
2003,"her_30","bbmsy",1.366841772
2004,"her_30","bbmsy",1.3875
2005,"her_30","bbmsy",1.615272152
2006,"her_30","bbmsy",1.573813291
2007,"her_30","bbmsy",1.510591772
2008,"her_30","bbmsy",1.485129747
2009,"her_30","bbmsy",1.774471519
2010,"her_30","bbmsy",2.016781646
2011,"her_30","bbmsy",1.893642405
2012,"her_30","bbmsy",1.899332278
2013,"her_30","bbmsy",2.135075949
2014,"her_30","bbmsy",2.202300633
1974,"spr_2232","bbmsy",1.924561404
1975,"spr_2232","bbmsy",1.521052632
1976,"spr_2232","bbmsy",1.294736842
1977,"spr_2232","bbmsy",2.205263158
1978,"spr_2232","bbmsy",1.519298246
1979,"spr_2232","bbmsy",0.873684211
1980,"spr_2232","bbmsy",0.545614035
1981,"spr_2232","bbmsy",0.470175439
1982,"spr_2232","bbmsy",0.596491228
1983,"spr_2232","bbmsy",0.838596491
1984,"spr_2232","bbmsy",1.212280702
1985,"spr_2232","bbmsy",1.121052632
1986,"spr_2232","bbmsy",1.019298246
1987,"spr_2232","bbmsy",0.81754386
1988,"spr_2232","bbmsy",0.728070175
1989,"spr_2232","bbmsy",0.768421053
1990,"spr_2232","bbmsy",1
1991,"spr_2232","bbmsy",1.361403509
1992,"spr_2232","bbmsy",1.812280702
1993,"spr_2232","bbmsy",2.371929825
1994,"spr_2232","bbmsy",2.459649123
1995,"spr_2232","bbmsy",2.612280702
1996,"spr_2232","bbmsy",3.340350877
1997,"spr_2232","bbmsy",3.296491228
1998,"spr_2232","bbmsy",2.466666667
1999,"spr_2232","bbmsy",2.503508772
2000,"spr_2232","bbmsy",2.371929825
2001,"spr_2232","bbmsy",2.128070175
2002,"spr_2232","bbmsy",1.677192982
2003,"spr_2232","bbmsy",1.424561404
2004,"spr_2232","bbmsy",1.847368421
2005,"spr_2232","bbmsy",2.303508772
2006,"spr_2232","bbmsy",1.914035088
2007,"spr_2232","bbmsy",1.696491228
2008,"spr_2232","bbmsy",1.843859649
2009,"spr_2232","bbmsy",1.752631579
2010,"spr_2232","bbmsy",2.056140351
2011,"spr_2232","bbmsy",1.607017544
2012,"spr_2232","bbmsy",1.514035088
2013,"spr_2232","bbmsy",1.577192982
2014,"spr_2232","bbmsy",1.368421053
1994,"cod_2224","ffmsy",3.926923077
1995,"cod_2224","ffmsy",4.4
1996,"cod_2224","ffmsy",4.265384615
1997,"cod_2224","ffmsy",4.296153846
1998,"cod_2224","ffmsy",4.35
1999,"cod_2224","ffmsy",4.803846154
2000,"cod_2224","ffmsy",4.676923077
2001,"cod_2224","ffmsy",4.830769231
2002,"cod_2224","ffmsy",4.692307692
2003,"cod_2224","ffmsy",4.292307692
2004,"cod_2224","ffmsy",4.188461538
2005,"cod_2224","ffmsy",3.757692308
2006,"cod_2224","ffmsy",3.338461538
2007,"cod_2224","ffmsy",3.461538462
2008,"cod_2224","ffmsy",3.65
2009,"cod_2224","ffmsy",3.876923077
2010,"cod_2224","ffmsy",3.8
2011,"cod_2224","ffmsy",3.538461538
2012,"cod_2224","ffmsy",3.376923077
2013,"cod_2224","ffmsy",3.6
2014,"cod_2224","ffmsy",3.238461538
1966,"cod_2532","ffmsy",2.060869565
1967,"cod_2532","ffmsy",2.639130435
1968,"cod_2532","ffmsy",2.3
1969,"cod_2532","ffmsy",2.247826087
1970,"cod_2532","ffmsy",2.145652174
1971,"cod_2532","ffmsy",1.873913043
1972,"cod_2532","ffmsy",1.867391304
1973,"cod_2532","ffmsy",1.856521739
1974,"cod_2532","ffmsy",1.72173913
1975,"cod_2532","ffmsy",1.591304348
1976,"cod_2532","ffmsy",1.830434783
1977,"cod_2532","ffmsy",1.789130435
1978,"cod_2532","ffmsy",1.339130435
1979,"cod_2532","ffmsy",1.297826087
1980,"cod_2532","ffmsy",1.52173913
1981,"cod_2532","ffmsy",1.713043478
1982,"cod_2532","ffmsy",1.72826087
1983,"cod_2532","ffmsy",1.617391304
1984,"cod_2532","ffmsy",1.823913043
1985,"cod_2532","ffmsy",1.802173913
1986,"cod_2532","ffmsy",2.169565217
1987,"cod_2532","ffmsy",2.039130435
1988,"cod_2532","ffmsy",1.930434783
1989,"cod_2532","ffmsy",2.25
1990,"cod_2532","ffmsy",2.606521739
1991,"cod_2532","ffmsy",2.930434783
1992,"cod_2532","ffmsy",2.195652174
1993,"cod_2532","ffmsy",1.202173913
1994,"cod_2532","ffmsy",1.326086957
1995,"cod_2532","ffmsy",1.667391304
1996,"cod_2532","ffmsy",1.976086957
1997,"cod_2532","ffmsy",2.202173913
1998,"cod_2532","ffmsy",2.095652174
1999,"cod_2532","ffmsy",2.008695652
2000,"cod_2532","ffmsy",2.160869565
2001,"cod_2532","ffmsy",2.306521739
2002,"cod_2532","ffmsy",2.35
2003,"cod_2532","ffmsy",2.310869565
2004,"cod_2532","ffmsy",2.660869565
2005,"cod_2532","ffmsy",2.180434783
2006,"cod_2532","ffmsy",1.969565217
2007,"cod_2532","ffmsy",1.676086957
2008,"cod_2532","ffmsy",1.2
2009,"cod_2532","ffmsy",1.017391304
2010,"cod_2532","ffmsy",0.917391304
2011,"cod_2532","ffmsy",0.852173913
2012,"cod_2532","ffmsy",0.810869565
1991,"her_3a22","ffmsy",1.240625
1992,"her_3a22","ffmsy",1.63125
1993,"her_3a22","ffmsy",1.790625
1994,"her_3a22","ffmsy",1.8875
1995,"her_3a22","ffmsy",1.78125
1996,"her_3a22","ffmsy",1.990625
1997,"her_3a22","ffmsy",1.81875
1998,"her_3a22","ffmsy",1.809375
1999,"her_3a22","ffmsy",1.54375
2000,"her_3a22","ffmsy",1.83125
2001,"her_3a22","ffmsy",1.771875
2002,"her_3a22","ffmsy",1.659375
2003,"her_3a22","ffmsy",1.475
2004,"her_3a22","ffmsy",1.453125
2005,"her_3a22","ffmsy",1.60625
2006,"her_3a22","ffmsy",1.66875
2007,"her_3a22","ffmsy",1.546875
2008,"her_3a22","ffmsy",1.659375
2009,"her_3a22","ffmsy",1.63125
2010,"her_3a22","ffmsy",1.128125
2011,"her_3a22","ffmsy",0.95625
2012,"her_3a22","ffmsy",1.01875
2013,"her_3a22","ffmsy",1.021875
2014,"her_3a22","ffmsy",0.815625
1974,"her_2532","ffmsy",0.840909091
1975,"her_2532","ffmsy",0.909090909
1976,"her_2532","ffmsy",0.881818182
1977,"her_2532","ffmsy",0.859090909
1978,"her_2532","ffmsy",0.75
1979,"her_2532","ffmsy",0.890909091
1980,"her_2532","ffmsy",0.85
1981,"her_2532","ffmsy",0.922727273
1982,"her_2532","ffmsy",0.790909091
1983,"her_2532","ffmsy",1.018181818
1984,"her_2532","ffmsy",1.018181818
1985,"her_2532","ffmsy",1.045454545
1986,"her_2532","ffmsy",0.922727273
1987,"her_2532","ffmsy",1.05
1988,"her_2532","ffmsy",0.995454545
1989,"her_2532","ffmsy",1.322727273
1990,"her_2532","ffmsy",1.254545455
1991,"her_2532","ffmsy",1.3
1992,"her_2532","ffmsy",1.159090909
1993,"her_2532","ffmsy",1.318181818
1994,"her_2532","ffmsy",1.590909091
1995,"her_2532","ffmsy",1.495454545
1996,"her_2532","ffmsy",1.509090909
1997,"her_2532","ffmsy",1.663636364
1998,"her_2532","ffmsy",1.731818182
1999,"her_2532","ffmsy",1.459090909
2000,"her_2532","ffmsy",1.981818182
2001,"her_2532","ffmsy",1.663636364
2002,"her_2532","ffmsy",1.431818182
2003,"her_2532","ffmsy",1.090909091
2004,"her_2532","ffmsy",0.913636364
2005,"her_2532","ffmsy",0.813636364
2006,"her_2532","ffmsy",0.872727273
2007,"her_2532","ffmsy",0.890909091
2008,"her_2532","ffmsy",0.909090909
2009,"her_2532","ffmsy",0.813636364
2010,"her_2532","ffmsy",0.940909091
2011,"her_2532","ffmsy",0.7
2012,"her_2532","ffmsy",0.513636364
2013,"her_2532","ffmsy",0.495454545
2014,"her_2532","ffmsy",0.718181818
1977,"her_riga","ffmsy",2.15625
1978,"her_riga","ffmsy",1.171875
1979,"her_riga","ffmsy",1.346875
1980,"her_riga","ffmsy",1.09375
1981,"her_riga","ffmsy",1.415625
1982,"her_riga","ffmsy",1.3125
1983,"her_riga","ffmsy",1.4625
1984,"her_riga","ffmsy",2.209375
1985,"her_riga","ffmsy",1.68125
1986,"her_riga","ffmsy",1.59375
1987,"her_riga","ffmsy",1.325
1988,"her_riga","ffmsy",1.634375
1989,"her_riga","ffmsy",1.134375
1990,"her_riga","ffmsy",0.746875
1991,"her_riga","ffmsy",0.7875
1992,"her_riga","ffmsy",0.84375
1993,"her_riga","ffmsy",0.7375
1994,"her_riga","ffmsy",0.74375
1995,"her_riga","ffmsy",1.10625
1996,"her_riga","ffmsy",1.190625
1997,"her_riga","ffmsy",1.6
1998,"her_riga","ffmsy",1.44375
1999,"her_riga","ffmsy",1.39375
2000,"her_riga","ffmsy",1.50625
2001,"her_riga","ffmsy",1.725
2002,"her_riga","ffmsy",1.5375
2003,"her_riga","ffmsy",1.79375
2004,"her_riga","ffmsy",1.875
2005,"her_riga","ffmsy",1.6375
2006,"her_riga","ffmsy",1.4
2007,"her_riga","ffmsy",1.828125
2008,"her_riga","ffmsy",1.084375
2009,"her_riga","ffmsy",1.309375
2010,"her_riga","ffmsy",1.0625
2011,"her_riga","ffmsy",1.228125
2012,"her_riga","ffmsy",1.159375
2013,"her_riga","ffmsy",0.9625
2014,"her_riga","ffmsy",1.06875
1973,"her_30","ffmsy",0.806666667
1974,"her_30","ffmsy",0.753333333
1975,"her_30","ffmsy",0.56
1976,"her_30","ffmsy",0.68
1977,"her_30","ffmsy",0.853333333
1978,"her_30","ffmsy",0.833333333
1979,"her_30","ffmsy",0.693333333
1980,"her_30","ffmsy",0.78
1981,"her_30","ffmsy",0.606666667
1982,"her_30","ffmsy",0.766666667
1983,"her_30","ffmsy",0.613333333
1984,"her_30","ffmsy",0.713333333
1985,"her_30","ffmsy",0.613333333
1986,"her_30","ffmsy",0.493333333
1987,"her_30","ffmsy",0.426666667
1988,"her_30","ffmsy",0.42
1989,"her_30","ffmsy",0.38
1990,"her_30","ffmsy",0.333333333
1991,"her_30","ffmsy",0.3
1992,"her_30","ffmsy",0.38
1993,"her_30","ffmsy",0.386666667
1994,"her_30","ffmsy",0.566666667
1995,"her_30","ffmsy",0.766666667
1996,"her_30","ffmsy",0.786666667
1997,"her_30","ffmsy",1.04
1998,"her_30","ffmsy",0.92
1999,"her_30","ffmsy",0.94
2000,"her_30","ffmsy",0.826666667
2001,"her_30","ffmsy",0.753333333
2002,"her_30","ffmsy",0.593333333
2003,"her_30","ffmsy",0.66
2004,"her_30","ffmsy",0.706666667
2005,"her_30","ffmsy",0.673333333
2006,"her_30","ffmsy",0.793333333
2007,"her_30","ffmsy",0.906666667
2008,"her_30","ffmsy",0.853333333
2009,"her_30","ffmsy",0.76
2010,"her_30","ffmsy",0.746666667
2011,"her_30","ffmsy",0.78
2012,"her_30","ffmsy",1.086666667
2013,"her_30","ffmsy",1.093333333
2014,"her_30","ffmsy",1.026666667
1974,"spr_2232","ffmsy",1.265384615
1975,"spr_2232","ffmsy",1.330769231
1976,"spr_2232","ffmsy",1.238461538
1977,"spr_2232","ffmsy",1.069230769
1978,"spr_2232","ffmsy",1.05
1979,"spr_2232","ffmsy",0.753846154
1980,"spr_2232","ffmsy",0.811538462
1981,"spr_2232","ffmsy",0.492307692
1982,"spr_2232","ffmsy",0.869230769
1983,"spr_2232","ffmsy",0.419230769
1984,"spr_2232","ffmsy",0.603846154
1985,"spr_2232","ffmsy",0.596153846
1986,"spr_2232","ffmsy",0.780769231
1987,"spr_2232","ffmsy",1.003846154
1988,"spr_2232","ffmsy",0.884615385
1989,"spr_2232","ffmsy",0.792307692
1990,"spr_2232","ffmsy",0.511538462
1991,"spr_2232","ffmsy",0.661538462
1992,"spr_2232","ffmsy",0.769230769
1993,"spr_2232","ffmsy",0.619230769
1994,"spr_2232","ffmsy",0.992307692
1995,"spr_2232","ffmsy",1.292307692
1996,"spr_2232","ffmsy",1.092307692
1997,"spr_2232","ffmsy",1.511538462
1998,"spr_2232","ffmsy",1.484615385
1999,"spr_2232","ffmsy",1.434615385
2000,"spr_2232","ffmsy",1.2
2001,"spr_2232","ffmsy",1.107692308
2002,"spr_2232","ffmsy",1.45
2003,"spr_2232","ffmsy",1.565384615
2004,"spr_2232","ffmsy",1.876923077
2005,"spr_2232","ffmsy",1.730769231
2006,"spr_2232","ffmsy",1.430769231
2007,"spr_2232","ffmsy",1.334615385
2008,"spr_2232","ffmsy",1.4
2009,"spr_2232","ffmsy",1.680769231
2010,"spr_2232","ffmsy",1.296153846
2011,"spr_2232","ffmsy",1.157692308
2012,"spr_2232","ffmsy",1.111538462
2013,"spr_2232","ffmsy",1.442307692
2014,"spr_2232","ffmsy",1.565384615
