Provplats;Stat Id;Län;Art;Organ;Original Id;Provdatum;;Ålder (år);Längd (cm);Vikt (g);Torrvikt %;Extrlip (fetthalt) %;PCB-28 mg/kg lw;*;PCB-52 mg/kg lw;*;PCB-101 mg/kg lw;*;PCB-118 mg/kg lw;*;PCB-138 mg/kg lw;*;PCB-153 mg/kg lw;*;PCB-180 mg/kg lw;*;Summa PCB (kapillär kolonn) mg/kg lw;*;Summa PCB (packad kolonn) mg/kg lw;*;PCB-31 mg/kg lw;*;PCB-77 mg/kg lw;*;PCB-105 mg/kg lw;*;PCB-110 mg/kg lw;*;PCB-126 mg/kg lw;*;PCB-149 mg/kg lw;*;PCB-156 mg/kg lw;*;PCB-157 mg/kg lw;*;PCB-158 mg/kg lw;*;PCB-167 mg/kg lw;*;PCB-169 mg/kg lw;*
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;C2008/07595-07606;2008;;;;;;3.2;;;;;;;0.053;;;;;;;;;;;;;;0.0003;;0.018;;;;0.0003;;;;0.009;;0.002;;;;0.004;;0.0001;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;C2008/07607-07618;2008;;;;;;2.8;;;;;;;0.068;;;;;;;;;;;;;;0.0003;;0.025;;;;0.0003;;;;0.013;;0.0029;;;;0.005;;0.0002;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;C2008/04153-04164;2008;;;;;;2.4;;;;;;;0.075;;;;;;;;;;;;;;0.0003;;0.027;;;;0.0003;;;;0.013;;0.003;;;;0.004;;0.0002;
Gaviksfjärden;22014;;Sill/strömming;Muskel;C2010/06030-06041;2010;;6;17;35;20.9;4.3;<0.004;b;0.008;;0.032;;0.032;;0.073;;0.096;;0.032;;;;;;;;0.0003;;0.009;;;;0.0002;;;;0.005;;0.0011;;;;0.002;;0.0001;
Gaviksfjärden;22014;;Sill/strömming;Muskel;C2010/06042-06053;2010;;5;17;33;21;2.74;0.004;;0.011;;0.042;;0.045;;0.098;;0.14;;0.044;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gaviksfjärden;22014;;Sill/strömming;Muskel;C2010/06043-06053;2010;;5;17;33;;2.8;;;;;;;0.038;;;;;;;;;;;;;;0.0003;;0.012;;;;0.0003;;;;0.007;;0.0015;;;;0.003;;0.0001;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1990/03075;26/03/90;;3;19;50;;2.03;0.015;;0.038;;0.099;;0.1;;0.14;;0.15;;0.042;;0.59;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1990/03070;26/03/90;;3;19;43;;2.53;0.018;;0.051;;0.13;;0.13;;0.18;;0.18;;0.053;;0.74;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1990/03074;26/03/90;;3;20;47;;1.8;0.018;;0.056;;0.16;;0.16;;0.25;;0.26;;0.072;;0.98;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1990/03081;26/03/90;;3;20;56;;2.7;0.022;;0.058;;0.15;;0.16;;0.22;;0.23;;0.064;;0.91;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1990/03085;26/03/90;;3;20;55;;2.59;0.027;;0.067;;0.18;;0.18;;0.25;;0.25;;0.072;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1990/03093;26/03/90;;3;21;69;;2.09;0.017;;0.042;;0.15;;0.14;;0.28;;0.29;;0.078;;0.99;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1990/03083;26/03/90;;3;21;59;;3.54;0.02;;0.048;;0.11;;0.12;;0.16;;0.16;;0.044;;0.65;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1990/03084;26/03/90;;3;20;52;;1.86;0.032;;0.076;;0.21;;0.2;;0.33;;0.34;;0.099;;1.3;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1990/03089;26/03/90;;3;20;59;;3.6;0.02;;0.05;;0.12;;0.13;;0.16;;0.16;;0.047;;0.68;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1990/03091;26/03/90;;3;21;64;;2.51;0.02;;0.056;;0.15;;0.17;;0.22;;0.21;;0.06;;0.9;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1990/03088;26/03/90;;3;20;54;;3.43;0.017;;0.047;;0.11;;0.13;;0.16;;0.16;;0.047;;0.66;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1990/03071;26/03/90;;3;20;50;;1.02;0.025;;0.086;;0.28;;0.25;;0.46;;0.46;;0.15;;1.7;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1990/03073;26/03/90;;3;20;48;;3.03;0.02;;0.049;;0.12;;0.12;;0.17;;0.17;;0.049;;0.7;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1990/03082;26/03/90;;3;21;58;;2.05;0.016;;0.03;;0.097;;0.12;;0.19;;0.23;;0.059;;0.74;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1990/03092;26/03/90;;3;22;67;;3.96;0.023;;0.057;;0.13;;0.15;;0.18;;0.18;;0.052;;0.77;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1990/03077;26/03/90;;3;20;50;;1.28;0.019;;0.054;;0.17;;0.17;;0.25;;0.26;;0.082;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1990/03094;26/03/90;;3;21;59;;2.33;0.027;;0.065;;0.18;;0.19;;0.28;;0.29;;0.081;;1.1;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1990/03076;26/03/90;;3;19;43;;2.41;0.02;;0.051;;0.13;;0.14;;0.19;;0.18;;0.058;;0.77;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1990/03079;26/03/90;;3;21;53;;1.87;0.024;;0.058;;0.14;;0.14;;0.19;;0.2;;0.055;;0.8;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1990/03080;26/03/90;;3;21;57;;2.85;0.025;;0.061;;0.15;;0.15;;0.21;;0.22;;0.058;;0.87;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1990/03072;26/03/90;;3;19;55;;2.38;0.02;;0.066;;0.21;;0.2;;0.31;;0.31;;0.095;;1.2;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1990/03078;26/03/90;;3;21;56;;2.32;0.024;;0.064;;0.19;;0.19;;0.32;;0.33;;0.1;;1.2;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1990/03087;26/03/90;;3;21;59;;2.75;0.022;;0.051;;0.13;;0.14;;0.18;;0.18;;0.052;;0.75;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1990/03090;26/03/90;;3;22;68;;3.56;0.023;;0.049;;0.11;;0.11;;0.14;;0.13;;0.038;;0.6;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P1990/03086;26/03/90;;3;20;55;;3.6;0.019;;0.042;;0.11;;0.12;;0.17;;0.17;;0.045;;0.69;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1990/06149;14/06/90;;4;17;36;;5.49;;;0.08;;0.27;;0.34;;0.67;;0.67;;0.37;;2.4;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1990/06151;14/06/90;;4;19;40;;2.55;;;0.048;;0.13;;0.19;;0.29;;0.32;;0.14;;1.1;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1990/06147;14/06/90;;3;15;21;;5.95;;;0.025;;0.05;;0.067;;0.092;;0.096;;0.043;;0.37;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1990/06153;14/06/90;;4;18;44;;2.09;;;0.047;;0.12;;0.16;;0.23;;0.24;;0.1;;0.89;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1990/06152;14/06/90;;3;18;38;;1.69;;;0.1;;0.3;;0.31;;0.48;;0.52;;0.19;;1.9;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1990/06146;14/06/90;;3;14;17;;3.78;;;0.024;;0.05;;0.066;;0.11;;0.11;;0.051;;0.41;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1990/06148;14/06/90;;4;18;40;;2.72;;;0.056;;0.16;;0.22;;0.37;;0.4;;0.19;;1.4;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1990/06155;14/06/90;;4;22;65;;0.9;;;0.3;;0.82;;1;;1.3;;1.3;;0.38;;5;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1990/06150;14/06/90;;4;17;35;;5.94;;;0.072;;0.19;;0.23;;0.31;;0.33;;0.096;;1.2;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1990/06154;14/06/90;;4;20;56;;1.33;;;0.035;;0.11;;0.15;;0.26;;0.27;;0.11;;0.93;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1990/06140;16/06/90;;4;18;45;;2.79;;;0.035;;0.092;;0.1;;0.21;;0.23;;0.11;;0.79;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1990/06144;16/06/90;;4;21;55;;1.49;;;0.045;;0.18;;0.23;;0.43;;0.48;;0.22;;1.6;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1990/06134;16/06/90;;3;16;30;;5.16;;;0.027;;0.05;;0.067;;0.077;;0.076;;0.025;;0.32;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1990/06143;16/06/90;;4;20;58;;1.86;;;0.053;;0.17;;0.21;;0.36;;0.39;;0.17;;1.4;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1990/06132;16/06/90;;3;16;25;;3.79;;;0.024;;0.054;;0.064;;0.084;;0.082;;0.025;;0.33;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1990/06133;16/06/90;;4;17;33;;1.22;;;0.049;;0.34;;0.44;;0.88;;0.98;;0.32;;3;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1990/06137;16/06/90;;4;17;39;;4.48;;;0.067;;0.16;;0.22;;0.3;;0.32;;0.12;;1.2;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1990/06139;16/06/90;;4;18;38;;0.97;;;0.092;;0.24;;0.29;;0.49;;0.51;;0.22;;1.8;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1990/06141;16/06/90;;3;18;41;;2.97;;;0.04;;0.089;;0.11;;0.18;;0.19;;0.1;;0.71;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1990/06135;16/06/90;;3;18;41;;2.95;;;0.025;;0.06;;0.062;;0.13;;0.15;;0.078;;0.51;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1990/06131;16/06/90;;3;15;21;;4.2;;;0.014;;0.031;;0.04;;0.066;;0.066;;0.033;;0.25;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1990/06142;16/06/90;;4;19;52;;1.6;;;0.048;;0.17;;0.24;;0.37;;0.4;;0.12;;1.3;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1990/06145;16/06/90;;4;21;64;;1.92;;;0.055;;0.16;;0.21;;0.3;;0.31;;0.13;;1.2;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1990/06136;16/06/90;;3;17;38;;2.07;;;0.034;;0.11;;0.12;;0.27;;0.28;;0.15;;0.95;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P1990/06138;16/06/90;;3;18;43;;3.14;;;0.031;;0.074;;0.089;;0.15;;0.17;;0.072;;0.58;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1990/04018;14/08/90;;3;20;52;25.3;3.47;;;0.025;;0.071;;0.082;;0.13;;0.11;;0.031;;0.45;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1990/04022;14/08/90;;2;19;54;23.7;2.93;;;;;0.026;;0.045;;0.061;;0.057;;0.012;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1990/04001;14/08/90;;2;18;46;23.8;3.59;;;0.02;;0.056;;0.081;;0.1;;0.09;;0.024;;0.37;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1990/04004;14/08/90;;2;18;53;26.3;4.59;;;0.009;;0.023;;0.04;;0.055;;0.047;;0.01;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1990/04012;14/08/90;;3;19;53;26;3.76;;;0.011;;0.025;;0.043;;0.066;;0.059;;0.011;;0.21;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1990/04010;14/08/90;;2;20;68;26.9;4.54;;;0.01;;0.022;;0.032;;0.044;;0.038;;0.008;;0.15;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1990/04017;14/08/90;;3;18;46;23.7;1.99;;;;;0.041;;0.073;;0.11;;0.092;;0.019;;0.33;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1990/04021;14/08/90;;3;20;57;28.5;5.02;;;0.012;;0.034;;0.049;;0.072;;0.07;;0.013;;0.25;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1990/04007;14/08/90;;3;20;49;22.3;1.32;;;;;0.062;;0.11;;0.16;;0.15;;0.031;;0.52;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1990/04025;14/08/90;;2;19;57;27.5;4.63;;;0.01;;0.021;;0.033;;0.04;;0.035;;0.008;;0.15;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1990/04023;14/08/90;;2;19;47;26;3.25;;;0.017;;0.046;;0.062;;0.093;;0.093;;0.016;;0.33;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1990/04016;14/08/90;;2;20;66;28.1;5.46;;;0.011;;0.022;;0.038;;0.05;;0.042;;0.009;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1990/04015;14/08/90;;2;19;53;25.7;4.02;;;;;0.021;;0.036;;0.053;;0.047;;0.01;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1990/04014;14/08/90;;2;19;56;26.7;3.81;;;;;0.021;;0.034;;0.053;;0.05;;0.011;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1990/04002;14/08/90;;2;19;53;25.8;4.87;;;0.012;;0.032;;0.048;;0.066;;0.064;;0.011;;0.23;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1990/04008;14/08/90;;2;18;44;27;4.43;;;0.015;;0.042;;0.055;;0.085;;0.083;;0.017;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1990/04024;14/08/90;;2;19;54;25;3.18;;;0.012;;0.028;;0.049;;0.066;;0.063;;0.011;;0.23;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1990/04020;14/08/90;;3;19;47;23;1.99;;;;;0.095;;0.14;;0.14;;0.12;;0.031;;0.52;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1990/04003;14/08/90;;2;19;50;26;4.42;;;0.009;;0.019;;0.031;;0.044;;0.039;;0.009;;0.15;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1990/04011;14/08/90;;3;19;53;24.5;2.89;;;0.024;;0.075;;0.11;;0.17;;0.17;;0.035;;0.59;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P1990/04009;14/08/90;;3;20;56;19.1;0.8;;;;;0.43;;0.61;;1.4;;1.4;;0.34;;4.2;;;;;;;;;;;;;;;;;;;;;;;;;
