latin_name;Kattegat;The Sound;Little Belt;Great Belt;Kiel Bay;Bay of Mecklenburg;Arkona Basin;Bornholm Basin;Eastern Gotland Basin;Western Gotland Basin;Northern Baltic Proper;Aland Sea;Archipelago Sea;Bothnian Sea;The Quark;Bothnian Bay;Gulf of Finland;Gulf of Gdansk;Gulf of Riga;Warnow Estuary;Wismar Bay;Trave Estuary;Kiel Fjord;Eckernförde Bay;Schlei Estuary;Flensburg Fjord;Vistula Lagoon;Szczecin Lagoon;Greifswald Lagoon;Rugia Lagoons;Darss-Zingst Lagoon;Curonian Lagoon;common_name
Aclis walleri;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acricotopus lucens;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Acroloxus lacustris;;;;;;;;;;;;;;;;;X;;;X;;;;;;;X;X;;;;X;
Acteon tornatilis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Actinia equina;;X;;X;X;X;X;;;;;;;;;;;;;;;;X;X;;;;;;;;;
Adalaria proxima;;;;;X;X;;;;;;;;;;;;;;;;;X;;;;;;;;;;
Aeginina longicornis;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aeolidia papillosa;X;X;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
Aeolidiella glauca;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aeolosoma hemprichi;;;;;;;;;;;;;;;;;;;;;;;;;X;;X;;;;X;X;
Aequipecten opercularis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aeshna grandis;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;X;
Aeshna juncea;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Aeshna mixta;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;X;;;;;
Aeshna serrata;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Aetea anguina;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aetea sica;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aetea truncata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agabus bipustulatus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Agabus sturmii;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Aglaophamus agilis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aglaophamus pulcher;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agraylea multipunctata;;;;;;;;;;;;X;X;X;X;X;X;;X;;;;;;;;;;;;;;
Agraylea pallicornis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Agraylea sexmaculata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Agrypnetes crassicornis;;;;;;;;;;;;X;X;X;X;X;;;;;;;;;;;;;;;;;
Agrypnia obsoleta;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Agrypnia pagetana;;;;;;;;;;;;;X;X;;X;X;;;;;;;;;;;X;;;;;
Agrypnia varia;;;;;;;;;;;;X;X;X;X;X;X;;X;;;;;;;;;;;;;;
Akanthophoreus gracilis;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Akera bullata;X;X;X;X;X;X;;;;;;;;;;;;;;;;;X;X;;X;;;;;;;
Aktedrilus monospermathecus;;;;;;X;X;;;;;;;;;;;;;;;;X;X;X;;;;;;X;;
Alboglossiphonia heteroclita;;;;;;;;;;;;;;;;;X;;X;X;;;;;X;;X;X;;;;X;
Alboglossiphonia hyalina;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;
Alboglossiphonia striata;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;
Alcyonidium albidum;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alcyonidium diaphanum;X;X;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alcyonidium gelatinosum;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alcyonidium hirsutum;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alcyonidium mamillatum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alcyonidium parasiticum;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alcyonidium polyoum;;;;X;X;X;X;X;;;;;;;;;;;;;X;X;X;X;X;X;;;X;X;X;;
Alcyonium digitatum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alcyonium glomeratum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alderia modesta;;;;;;X;;X;X;;;;X;X;;;X;;X;;X;;;;X;;;;;;;;
Alderina imbellis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alitta succinea;;X;X;X;X;X;X;X;;;;;;;;;;;;X;X;X;X;X;X;X;;X;X;X;X;;
Alitta virens;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;;X;X;;X;;;;;;;
Alkmaria romijni;X;;X;X;X;X;X;X;;X;;;;;;;;;;X;X;X;;;X;;X;X;X;X;X;;
Alvania subsoluta;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alvania testae;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amaeana trilobata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amauropsis islandica;X;;;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
Ampelisca brevicornis;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ampelisca diadema;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ampelisca macrocephala;X;X;;X;X;;X;;;;;;;;;;;;;;;;;X;;;;;;;;;
Ampelisca spinipes;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ampelisca tenuicornis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ampelisca typica;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ampharete acutifrons;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;X;X;;X;;;;;;;
Ampharete baltica;X;X;X;X;X;X;X;X;X;;;;;;;;;;;X;X;X;X;X;;X;;;;;;;
Ampharete falcata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ampharete finmarchica;X;X;X;X;X;X;X;X;;X;;;;;;;;;;;;;;X;;;;;;;;;
Amphiblestrum auritum;X;;;;X;X;;;;;;;;;;;;;;;X;;;;;;;;;;;;
Amphiblestrum flemingii;X;X;;;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
Amphichaeta leydigi;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Amphichaeta sannio;;;;;X;X;X;;;;;;;;;;X;;;;X;X;X;X;X;;;;X;X;X;;
Amphicteis gunneri;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;X;;X;;;;;;;
Amphicteis midas;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amphictene auricoma;X;X;;;;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;
Amphilectus fucorum;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amphilectus lobatus;;;;X;X;X;X;;;;;;;;;;;;;;;;X;;;;;;;;;;
Amphilepis norvegica;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amphilochoides boecki;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amphilochoides serratipes;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amphilochus manudens;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amphipholis squamata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amphitrite cirrata;;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;X;;;;;;;;;
Amphitrite johnstoni;;;;;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
Amphiura chiajei;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amphiura filiformis;X;X;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
Ampithoe rubricata;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;X;X;X;X;;X;;;;X;;;
Anabolia laevis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Anapagurus chiroacanthus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anapagurus laevis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ancula gibbosa;;;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ancylus fluviatilis;;;;;;;;;;;;;;;;X;;;X;;;;;;;;X;X;;;;X;
Anisus leucostoma;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;
Anisus spirorbis;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;X;
Anisus vortex;;;;;;;;;;;;;;;X;;X;;;X;;;;;X;;X;X;;;;X;
Anisus vorticulus;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X;
Anobothrus gracilis;X;X;;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anodonta anatina;;;;;;;;;;;;;;;X;X;X;;;;;;;;X;;X;X;;;X;X;
Anodonta cygnea;;;;;;;;;;;;;;;;;;;X;;;;;;X;;X;X;;;;X;
Anoplodactylus petiolatus;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ansates pellucida;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antalis dentalis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antedon petasus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aonides oxycephala;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aonides paucibranchiata;X;X;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
Aora gracilis;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aora typica;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apatania stigmatella;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;
Apatania wallengreni;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
Aphelochaeta marioni;X;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aphelochaeta vivipara;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aphelocheirus aestivalis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;
Apherusa bispinosa;X;X;X;X;X;X;;;;;;;;;;;;;;;;;X;X;;X;;;;;;;
Apherusa jurinei;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apherusa ovalipes;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aphrodita aculeata;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apistobranchus tenuis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apistobranchus tullbergi;X;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aplidium proliferum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aplysia punctata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apocorophium lacustre;X;X;;;;X;X;X;;;;;;;;;X;X;;X;X;X;;;;;X;X;X;X;;X;
Aporrhais pespelecani;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apseudes spinosus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arachnidium hippothooides;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araphura brevimanus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arcteonais lomondi;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Arctica islandica;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;;X;X;;X;;;;;;;
Arenicola marina;X;X;X;X;X;X;X;;;;;;;;;;;;;X;X;X;X;X;X;X;;;;X;;;
Arenocoris fallenii;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Argissa hamatipes;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argulus foliaceus;;;X;;;X;;;;;;;X;X;;X;X;;X;X;X;;;;X;;X;X;X;X;;X;
Argyroneta aquatica;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;;
Aricidea (Acmira) catherinae;;;;;X;;;;;;;;;;;;;;;;;;;X;;;;;;;;;
Aricidea (Acmira) cerrutii;X;X;X;X;X;X;X;X;X;;;;;;;;;X;;;X;;;X;;;;;;;;;
Aricidea minuta;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;X;;X;;;;;;;
Aricidea suecica;;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;X;X;X;;X;;;;;;;
Armiger crista;;;;;;;;;;;;;;;;X;X;;X;;;;;;X;;;X;;;X;X;
Armina loveni;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arrhis phyllonyx;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Artacama proboscidea;X;X;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ascidia conchilega;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ascidia mentula;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ascidia obliqua;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ascidia virginea;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ascidiella aspersa;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ascidiella scabra;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asellus (Asellus) aquaticus;;;;;;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;;X;;;X;;X;X;X;X;X;X;
Astacilla dilatata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Astacilla intermedia;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Astacilla longicornis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Astarte borealis;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;;X;X;X;X;;;;;;;
Astarte elliptica;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;;X;X;;X;;;;;;;
Astarte montagui;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;X;;X;;;;;;;
Astarte sulcata;X;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asterias rubens;X;X;X;X;X;X;X;X;;;;;;;;;;;;;X;X;X;X;X;X;;;;;;;
Astropecten irregularis;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asychis biceps;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atelecyclus rotundatus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Athanas nitescens;X;;;X;X;X;;;;;;;;;;;;;;;;;X;;;;;;;;;;
Athripsodes cinereus;;;;;;;;;;;;;;X;X;X;X;;;;;;;;;;;X;;;;;
Atlantopandalus propinqvus;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atylus swammerdami;;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atylus vedlomensis;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aulodrilus japonicus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Aulodrilus limnobius;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Aulodrilus pigueti;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Autonoe longipes;X;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Axinella infundibuliformis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Axinella rugosa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Baetis rhodani;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;
Balanus balanus;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Balanus crenatus;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;X;X;X;X;;X;;;;;;;
Balanus improvisus;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
Baltoplana magna;;;;;X;;;;;X;;;X;;;;X;;;;;;;;;;;;;;;;
Barentsia gracilis;X;;;;X;X;;;;;;;;;;;;;;;;;X;;;;;;;;;;
Barnea candida;;;;X;X;X;X;;;;;;;;;;;;;;;;X;;X;X;;;;;;;
Bathymedon longimanus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bathyomphalus contortus;;;;;;;;;;;;;;;X;X;X;;;;;;;;X;;X;X;;;X;X;
Bathyporeia elegans;X;X;;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
Bathyporeia gracilis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bathyporeia guilliamsoniana;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bathyporeia pelagica;X;;X;;X;X;X;X;;;;;;;;;;;;;;;;X;;X;;;X;X;;;
Bathyporeia pilosa;X;X;X;X;X;X;X;X;X;;X;;X;X;X;;X;X;X;;X;;X;X;X;X;;;X;X;X;;
Bathyporeia sarsi;X;X;X;;X;X;X;;;;;;;;;;;;;;X;;X;X;;X;;;;;;;
Bathyporeia tenuipes;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Batracobdelloides moogi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Bdellocephala punctata;;;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;
Beania mirabilis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bela brachystoma;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bela nebula;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bela powisiana;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bezzia hydrophila;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Bicellariella ciliata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bidessus unistriatus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Bithynia leachii;;;;;;;;;;;;;;;;;X;;;X;;;;;X;;X;X;;;X;X;
Bithynia tentaculata;;;;;;;X;X;X;X;X;X;X;X;X;X;X;;X;X;;X;;;X;;X;X;X;X;X;X;
Bithynia troschelii;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;
Bittium reticulatum;X;X;X;X;X;X;;;;;;;;;;;;;;;;;X;X;X;X;;;;;;;
Boccardia redeki;;;;;;;;;;;;;X;X;;;X;;;;;;;;;;;;;;;;
Boccardiella ligerica;;;;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;
Bodotria scorpioides;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boreotrophon truncatus;X;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Borysthenia naticina;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;
Bothriomolus balticus;;;;;X;;;X;;;X;;;;;;X;;;;;;;;;;;;;;;;
Bothrioneurum vejdovskyanum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Bothromesostoma personatum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Botrylloides leachii ;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Botryllus schlosseri ;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bougainvillia britannica;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bougainvillia muscus;X;X;;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
Bowerbankia gracilis;X;X;;X;X;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;
Bowerbankia imbricata;X;X;;;X;X;;;;;;;;;;;;;;;;;;;;;;;X;;;;
Brachytron pratense;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;
Brada inhabilis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brada villosa;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Branchiomma bombyx;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Branchiostoma lanceolatum;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Branchiura sowerbyi;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;
Brissopsis lyrifera;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Buccinum undatum;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;;X;X;;;;;;;;;
Bugula plumosa;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bugula purporotincta;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bulbella abscondita;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;
Buskea nitida;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Byblis abyssi;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Byblis gaimardii;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bylgides sarsi;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;;;;X;;;
Cadlina laevis;;;;;X;X;;;;;;;;;;;;;;;;;X;X;;;;;;;;;
Caenis horaria;;;;;;;;;;;;;X;X;X;X;X;;;;;;;;;;;X;;;;X;
Caenis lactea;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;X;;;;;
Caenis macrura;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;
Caenis robusta;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Callianassa subterranea;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Callicorixa praeusta;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
Calliopaea bellula;;;;;X;X;X;X;;;;;;;;;;;;;X;X;;X;;;;;X;X;X;;
Calliopius laeviusculus;X;X;;X;X;X;X;X;X;X;X;;X;;;;X;;X;X;X;X;X;X;X;X;;;X;X;X;;
Calliopius rathkii;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Callipallene brevirostris;;;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
Callochiton septemvalvis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Callopora craticula;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Callopora dumerilii;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Callopora lineata;X;X;;X;X;X;X;X;;;;;;;;;;;;;X;;;X;;X;;;;;;;
Calocaris macandreae;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calycella syringa;;X;;X;X;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;
Campylaspis costata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campylaspis glabra;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campylaspis rubicunda;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cancer pagurus;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Capitella capitata;X;X;X;X;X;X;X;X;X;;;;;;;;;;;X;X;;X;X;;X;;;X;X;;;
Capitellides giardi;;;X;;X;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;
Capitomastus minima;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caprella linearis;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;X;X;;X;;;;;;;
Caprella septentrionalis;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;
Capulus ungaricus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carcinus maenas;X;X;X;X;X;X;X;;;;;;;;;;;;;X;X;X;X;X;X;X;;;;X;;;
Caryophyllia smithii;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caspiobdella fadejewi;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;
Caulleriella killariensis;X;X;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cellaria fistulosa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cellaria sinuosa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Celleporella hyalina;X;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Celleporina decipiens;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centroptilum luteolum;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Cephalothrix linearis;;;;;X;X;X;;;;;;;;;;;;;;X;;X;;;;;;;;;;
Ceraclea annulicornis;;;;;;;;;;;;;;X;X;X;X;;X;;;;;;;;;;;;;;
Ceraclea fulva;;;;;;;;;;;;;X;X;;;X;;;;;;;;;;;;;;;;
Ceraclea nigronervosa;;;;;;;;;;;;;;;X;X;X;;;;;;;;;;;;;;;;
Ceraclea senilis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
