latin_name;assessment_unit;helcom_category;iucn_criteria;taxa_group
Diastylis boecki;Species;LC;;invert
Pagellus bogaraveo;Species;NA;;fish
Polymastia boletiformis;Species;NE;;invert
Branchiomma bombyx;Species;NE;;invert
Spiophanes bombyx;Species;LC;;invert
Crassicorophium bonellii;Species;LC;;invert
Dichelopandalus bonnieri;Species;NE;;invert
Scolelepis bonnieri;Species;LC;;invert
Boops boops;Species;NA;;fish
Tessaradoma boreale;Species;LC;;invert
Astarte borealis;Species;LC;;invert
Harmothoe borealis;Species;LC;;invert
Hydractinia borealis;Species;NE;;invert
Limnephilus borealis;Species;LC;;invert
Lucinoma borealis;Species;LC;;invert
Melphidippa borealis;Species;LC;;invert
Natatolana borealis;Species;LC;;invert
Ophelia borealis;Species;NE;;invert
Pandalus borealis;Species;LC;;invert
Petaloproctus borealis;Species;NE;;invert
Pseudione borealis;Species;NE;;invert
Parametriocnemus boreoalpinus;Species;NE;;invert
Ralfsia bornetii;Species;NE;;macrophytes
Piscicola borowieci;Species;NE;;invert
Facelina bostoniensis;Species;LC;;invert
Paranais botniensis;Species;NE;;invert
Anser brachyrhynchus;Wintering;NA;;wintering birds
Bela brachystoma;Species;LC;;invert
Diastylis bradyi;Species;LC;;invert
Abramis brama;Species;LC;;fish
Brama brama;Species;NA;;fish
Favorinus branchialis;Species;NE;;invert
Chara braunii;Species;VU;B2ab(iii);macrophytes
Halocladius braunsi;Species;NE;;invert
Nais bretscheri;Species;NE;;invert
Ampelisca brevicornis;Species;LC;;invert
Araphura brevimanus;Species;LC;;invert
Trissocladius brevipalpis;Species;NE;;invert
Leptognathia breviremis;Species;LC;;invert
Nymphon brevirostre;Species;LC;;invert
Callipallene brevirostris;Species;LC;;invert
Pandalina brevirostris;Species;LC;;invert
Nymphon brevitarse;Species;NE;;invert
Bougainvillia britannica;Species;NE;;invert
Polysiphonia brodiei;Species;LC;;macrophytes
Chorizopora brongniartii;Species;LC;;invert
Brosme brosme;Species;NA;;fish
Tanytarsus brundini;Species;LC;;invert
Taurulus bubalis;Species;LC;;fish
Lophius budegassa;Species;NA;;fish
Dreissena bugensis;Species;NA;;invert
Fridericia bulbosa;Species;NE;;invert
Akera bullata;Species;LC;;invert
Asperococcus bullosus;Species;LC;;macrophytes
Labidoplax buskii;Species;LC;;invert
Brongniartella byssoides;Species;LC;;macrophytes
Larus cachinnans;Wintering;NA;;wintering birds
Dasybranchus caducus;Species;LC;;invert
Lepeta caeca;Species;LC;;invert
Nephtys caeca;Species;LC;;invert
Westwoodilla caecula;Species;NE;;invert
Sphacelaria caespitula;Species;NE;;macrophytes
Peltodytes caesus;Species;LC;;invert
Macoma calcarea;Species;VU;A2c;invert
Phymatolithon calcareum;Species;NE;;macrophytes
Laomedea calceolifera;Species;NE;;invert
Omisus caledonicus;Species;NE;;invert
Pseudione callianassae;Species;NE;;invert
Prasiola calophylla;Species;NE;;macrophytes
Crisia calyptostoma;Species;LC;;invert
Cryptochironomus camptolabis;Species;LC;;invert
Paracladopelma camptolabis;Species;NE;;invert
Elodea canadensis;Species;NA;;macrophytes
Branta canadensis;Wintering;NA;;wintering birds
Processa canaliculata;Species;LC;;invert
Acilius canaliculatus;Species;LC;;invert
Orthetrum cancellatum;Species;LC;;invert
Barnea candida;Species;LC;;invert
Nymphaea candida;Species;LC;;macrophytes
Chara canescens;Species;LC;;macrophytes
Scyliorhinus canicula;Species;LC;;fish
Spondyliosoma cantharus;Species;NA;;fish
Larus canus;Breeding;LC;;breeding birds
Larus canus;Wintering;LC;;wintering birds
Gloiosiphonia capillaris;Species;NE;;macrophytes
Capitella capitata;Species;LC;;invert
Glycera capitata;Species;LC;;invert
Limapontia capitata;Species;LC;;invert
Balistes capriscus;Species;NA;;fish
Chaetozone caputesocis;Species;NE;;invert
Hydrochara caraboides;Species;NA;;invert
Carassius carassius;Species;LC;;fish
Phalacrocorax carbo;Wintering/N & C European sub-population (sinensis);LC;;wintering birds
Phalacrocorax carbo;Wintering/NW European sub-population (carbo);LC;;wintering birds
Einfeldia carbonaria;Species;LC;;invert
Cyathura carinata;Species;LC;;invert
Monoculodes carinatus;Species;NE;;invert
Planorbis carinatus;Species;LC;;invert
Edwardsiella carnea;Species;NE;;invert
Hydractinia carnea;Species;NE;;invert
Podocoryne carnea;Species;LC;;invert
Erythrotrichia carnea;Species;LC;;macrophytes
Dilsea carnosa;Species;LC;;macrophytes
Cyprinus carpio;Species;NA;;fish
Corynoneura carriana;Species;LC;;invert
Plocamium cartilagineum;Species;LC;;macrophytes
Pisidium casertanum;Species;LC;;invert
Cordylophora caspia;Species;NA;;invert
Hydroprogne caspia;Breeding;VU;C1;breeding birds
Corystes cassivelaunus;Species;NT;D2;invert
Agonus cataphractus;Species;LC;;fish
Euspira catena;Species;LC;;invert
Pyripora catenularia;Species;LC;;invert
Acrochaetium catenulatum;Species;NE;;macrophytes
Catostomus catostomus;Species;NA;;fish
Priapulus caudatus;Species;LC;;invert
Pneophyllum caulerpae;Species;LC;;macrophytes
Dipolydora caulleryi;Species;LC;;invert
Orchestia cavimana;Species;NA;;invert
Cliona celata;Species;VU;D2;invert
Corynoneura celeripes;Species;NE;;invert
Oxynotus centrina;Species;NA;;fish
Squalius cephalus;Species;NA;;fish
Pedicellina cernua;Species;NE;;invert
Gymnocephalus cernua;Species;LC;;fish
Protodriloides chaetifer;Species;LC;;invert
Scruparia chelata;Species;LC;;invert
Idotea chelipes;Species;LC;;invert
Amphiura chiajei;Species;LC;;invert
Tanytarsus chinyensis;Species;LC;;invert
Anapagurus chiroacanthus;Species;LC;;invert
Microtendipes chloris;Species;LC;;invert
Myriactula chordae;Species;LC;;macrophytes
Dictyosiphon chordaria;Species;LC;;macrophytes
Procladius choreus;Species;NE;;invert
Chaetozone christiei;Species;NE;;invert
Nais christinae;Species;NE;;invert
Halcampa chrysanthellum;Species;LC;;invert
Bicellariella ciliata;Species;LC;;invert
Microporella ciliata;Species;LC;;invert
Nephtys ciliata;Species;LC;;invert
Polydora ciliata;Species;LC;;invert
Sycon ciliatum;Species;NE;;invert
Ceramium cimbricum;Species;NE;;macrophytes
Enchelyopus cimbrius;Species;NT;A2b;fish
Ilyocoris cimicoides;Species;NE;;invert
Thelepus cincinnatus;Species;LC;;invert
Diadumene cincta;Species;NA;;invert
Gibbula cineraria;Species;LC;;invert
Cheilotrichia cinerascens;Species;NE;;invert
Nepa cinerea;Species;LC;;invert
Athripsodes cinereus;Species;LC;;invert
Xenus cinereus;Breeding;EN;D1;breeding birds
Chironomus cingulatus;Species;LC;;invert
Ranunculus circinatus;Species;LC;;macrophytes
Hydra circumcincta;Species;NE;;invert
Dytiscus circumcinctus;Species;LC;;invert
Amphitrite cirrata;Species;LC;;invert
Kefersteinia cirrata;Species;NE;;invert
Laonice cirrata;Species;NE;;invert
Cirratulus cirratus;Species;LC;;invert
Gattyana cirrhosa;Species;LC;;invert
Ruppia cirrhosa;Species;LC;;macrophytes
Prionospio cirrifera;Species;NE;;invert
Nephtys cirrosa;Species;LC;;invert
Sphacelaria cirrosa;Species;NE;;macrophytes
Molgula citrina;Species;LC;;invert
Phyllodoce citrina;Species;NE;;invert
Acrochaete cladophorae;Species;NE;;macrophytes
Bucephala clangula;Breeding;LC;;breeding birds
Bucephala clangula;Wintering;LC;;wintering birds
Limnodrilus claparedeanus;Species;LC;;invert
Ulva clathrata;Species;LC;;macrophytes
Epitonium clathratulum;Species;DD;;invert
Epitonium clathrus;Species;VU;B1ab(iii);invert
Myriotrichia clavaeformis;Species;LC;;macrophytes
Raja clavata;Species;VU;A2bd;fish
Stragularia clavata;Species;LC;;macrophytes
Lomentaria clavellosa;Species;LC;;macrophytes
Noterus clavicornis;Species;LC;;invert
Limacia clavigera;Species;NE;;invert
Anas clypeata;Breeding;LC;;breeding birds
Anas clypeata;Wintering;NA;;wintering birds
Hyas coarctatus;Species;LC;;invert
Stomphia coccinea;Species;VU;B1ab(iii);invert
Porphyropsis coccinea;Species;LC;;macrophytes
Rhyacodrilus coccineus;Species;NE;;invert
Dipolydora coeca;Species;LC;;invert
Chlorochytrium cohnii;Species;NE;;macrophytes
Cymatia coleoptrata;Species;LC;;invert
Cygnus columbianus;Wintering;NA;;wintering birds
Vejdovskyella comata;Species;LC;;invert
Commensodorum commensalis;Species;NE;;invert
Nais communis;Species;LC;;invert
Turritella communis;Species;LC;;invert
Vaucheria compacta;Species;NE;;macrophytes
Glossiphonia complanata;Species;LC;;invert
Pseudanodonta complanata;Species;NA;;invert
Hippeutis complanatus;Species;LC;;invert
Leucosolenia complicata;Species;NE;;invert
Porella compressa;Species;NE;;invert
Ulva compressa;Species;LC;;macrophytes
Potamogeton compressus;Species;LC;;macrophytes
Dodecaceria concharum;Species;NE;;invert
Penetrantia concharum;Species;LC;;invert
Ascidia conchilega;Species;LC;;invert
Lanice conchilega;Species;LC;;invert
Paracorixa concinna;Species;LC;;invert
Porella concinna;Species;LC;;invert
Glossiphonia concolor;Species;NE;;invert
Dicoryne conferta;Species;NE;;invert
Nitella confervacea;Species;NE;;macrophytes
Pneophyllum confervicola;Species;NE;;macrophytes
Rhodomela confervoides;Species;LC;;macrophytes
Haliplus confinis;Species;LC;;invert
Conger conger;Species;NA;;fish
Microchironomus conjugens;Species;LC;;invert
Chara connivens;Species;LC;;macrophytes
Megastomia conoidea;Species;LC;;invert
Melanella conoidea;Species;NE;;invert
Orthocladius consobrinus;Species;LC;;invert
Plectrocnemia conspersa;Species;LC;;invert
Rosenvingiella constricta;Species;DD;;macrophytes
Viviparus contectus;Species;NE;;invert
Hydromermis contorta;Species;LC;;invert
Dumontia contorta;Species;LC;;macrophytes
Tellamia contorta;Species;NE;;macrophytes
Bathyomphalus contortus;Species;LC;;invert
Cladosiphon contortus;Species;NE;;macrophytes
Hydropsyche contubernalis;Species;NE;;invert
Thracia convexa;Species;LC;;invert
Polypedilum convictum;Species;NE;;invert
Callitriche cophocarpa;Species;LC;;macrophytes
Titanoderma corallinae;Species;LC;;macrophytes
Griffithsia corallinoides;Species;LC;;macrophytes
Echinocardium cordatum;Species;LC;;invert
Styela coriacea;Species;LC;;invert
Sphaerium corneum;Species;LC;;invert
Planorbarius corneus;Species;LC;;invert
Epimeria cornigera;Species;LC;;invert
Stylonema cornu-cervi;Species;NE;;macrophytes
Merona cornucopiae;Species;NE;;invert
Crisidia cornuta;Species;LC;;invert
Diastylis cornuta;Species;LC;;invert
Gammaropsis cornuta;Species;NE;;invert
Polydora cornuta;Species;LC;;invert
