"year","value","ices","unit","data_descrip","bhi_goal"
1981,7.290975057,"cod_2532",NA,"B/Bmsy","FIS"
1982,7.196814059,"cod_2532",NA,"B/Bmsy","FIS"
1983,6.914614512,"cod_2532",NA,"B/Bmsy","FIS"
1984,6.737154195,"cod_2532",NA,"B/Bmsy","FIS"
1985,5.981303855,"cod_2532",NA,"B/Bmsy","FIS"
1986,4.278650794,"cod_2532",NA,"B/Bmsy","FIS"
1987,3.656984127,"cod_2532",NA,"B/Bmsy","FIS"
1988,3.285895692,"cod_2532",NA,"B/Bmsy","FIS"
1989,2.56930839,"cod_2532",NA,"B/Bmsy","FIS"
1990,2.350521542,"cod_2532",NA,"B/Bmsy","FIS"
1991,1.545952381,"cod_2532",NA,"B/Bmsy","FIS"
1992,0.984750567,"cod_2532",NA,"B/Bmsy","FIS"
1993,1.071043084,"cod_2532",NA,"B/Bmsy","FIS"
1994,1.836088435,"cod_2532",NA,"B/Bmsy","FIS"
1995,2.126836735,"cod_2532",NA,"B/Bmsy","FIS"
1996,1.854546485,"cod_2532",NA,"B/Bmsy","FIS"
1997,1.429943311,"cod_2532",NA,"B/Bmsy","FIS"
1998,1.111417234,"cod_2532",NA,"B/Bmsy","FIS"
1999,0.97984127,"cod_2532",NA,"B/Bmsy","FIS"
2000,1.062517007,"cod_2532",NA,"B/Bmsy","FIS"
2001,1.008673469,"cod_2532",NA,"B/Bmsy","FIS"
2002,0.933922902,"cod_2532",NA,"B/Bmsy","FIS"
2003,0.866439909,"cod_2532",NA,"B/Bmsy","FIS"
2004,0.799829932,"cod_2532",NA,"B/Bmsy","FIS"
2005,0.705136054,"cod_2532",NA,"B/Bmsy","FIS"
2006,0.807052154,"cod_2532",NA,"B/Bmsy","FIS"
2007,0.891043084,"cod_2532",NA,"B/Bmsy","FIS"
2008,1.13047619,"cod_2532",NA,"B/Bmsy","FIS"
2009,1.368390023,"cod_2532",NA,"B/Bmsy","FIS"
2010,1.586666667,"cod_2532",NA,"B/Bmsy","FIS"
2011,1.498764172,"cod_2532",NA,"B/Bmsy","FIS"
2012,1.741315193,"cod_2532",NA,"B/Bmsy","FIS"
1991,2.758709091,"her_3a22",NA,"B/Bmsy","FIS"
1992,2.8229,"her_3a22",NA,"B/Bmsy","FIS"
1993,2.526318182,"her_3a22",NA,"B/Bmsy","FIS"
1994,2.056,"her_3a22",NA,"B/Bmsy","FIS"
1995,1.769618182,"her_3a22",NA,"B/Bmsy","FIS"
1996,1.232154545,"her_3a22",NA,"B/Bmsy","FIS"
1997,1.3455,"her_3a22",NA,"B/Bmsy","FIS"
1998,1.053127273,"her_3a22",NA,"B/Bmsy","FIS"
1999,1.032272727,"her_3a22",NA,"B/Bmsy","FIS"
2000,1.1027,"her_3a22",NA,"B/Bmsy","FIS"
2001,1.177936364,"her_3a22",NA,"B/Bmsy","FIS"
2002,1.479590909,"her_3a22",NA,"B/Bmsy","FIS"
2003,1.189772727,"her_3a22",NA,"B/Bmsy","FIS"
2004,1.259563636,"her_3a22",NA,"B/Bmsy","FIS"
2005,1.215027273,"her_3a22",NA,"B/Bmsy","FIS"
2006,1.421572727,"her_3a22",NA,"B/Bmsy","FIS"
2007,1.113781818,"her_3a22",NA,"B/Bmsy","FIS"
2008,0.958645455,"her_3a22",NA,"B/Bmsy","FIS"
2009,0.860509091,"her_3a22",NA,"B/Bmsy","FIS"
2010,0.835909091,"her_3a22",NA,"B/Bmsy","FIS"
2011,0.817718182,"her_3a22",NA,"B/Bmsy","FIS"
2012,0.846845455,"her_3a22",NA,"B/Bmsy","FIS"
2013,1.006790909,"her_3a22",NA,"B/Bmsy","FIS"
2014,1.077627273,"her_3a22",NA,"B/Bmsy","FIS"
1974,2.804031667,"her_2532",NA,"B/Bmsy","FIS"
1975,2.62543,"her_2532",NA,"B/Bmsy","FIS"
1976,2.277935,"her_2532",NA,"B/Bmsy","FIS"
1977,2.531281667,"her_2532",NA,"B/Bmsy","FIS"
1978,2.401805,"her_2532",NA,"B/Bmsy","FIS"
1979,2.34809,"her_2532",NA,"B/Bmsy","FIS"
1980,2.262443333,"her_2532",NA,"B/Bmsy","FIS"
1981,2.144098333,"her_2532",NA,"B/Bmsy","FIS"
1982,2.380121667,"her_2532",NA,"B/Bmsy","FIS"
1983,2.34291,"her_2532",NA,"B/Bmsy","FIS"
1984,2.197518333,"her_2532",NA,"B/Bmsy","FIS"
1985,2.109931667,"her_2532",NA,"B/Bmsy","FIS"
1986,2.002383333,"her_2532",NA,"B/Bmsy","FIS"
1987,1.910345,"her_2532",NA,"B/Bmsy","FIS"
1988,1.915581667,"her_2532",NA,"B/Bmsy","FIS"
1989,1.686138333,"her_2532",NA,"B/Bmsy","FIS"
1990,1.447828333,"her_2532",NA,"B/Bmsy","FIS"
1991,1.298411667,"her_2532",NA,"B/Bmsy","FIS"
1992,1.331253333,"her_2532",NA,"B/Bmsy","FIS"
1993,1.24949,"her_2532",NA,"B/Bmsy","FIS"
1994,1.260228333,"her_2532",NA,"B/Bmsy","FIS"
1995,1.103116667,"her_2532",NA,"B/Bmsy","FIS"
1996,1.011923333,"her_2532",NA,"B/Bmsy","FIS"
1997,0.952663333,"her_2532",NA,"B/Bmsy","FIS"
1998,0.86676,"her_2532",NA,"B/Bmsy","FIS"
1999,0.736866667,"her_2532",NA,"B/Bmsy","FIS"
2000,0.75276,"her_2532",NA,"B/Bmsy","FIS"
2001,0.676133333,"her_2532",NA,"B/Bmsy","FIS"
2002,0.704828333,"her_2532",NA,"B/Bmsy","FIS"
2003,0.815665,"her_2532",NA,"B/Bmsy","FIS"
2004,0.833123333,"her_2532",NA,"B/Bmsy","FIS"
2005,0.935328333,"her_2532",NA,"B/Bmsy","FIS"
2006,1.040253333,"her_2532",NA,"B/Bmsy","FIS"
2007,1.09321,"her_2532",NA,"B/Bmsy","FIS"
2008,1.12348,"her_2532",NA,"B/Bmsy","FIS"
2009,1.311651667,"her_2532",NA,"B/Bmsy","FIS"
2010,1.429088333,"her_2532",NA,"B/Bmsy","FIS"
2011,1.43252,"her_2532",NA,"B/Bmsy","FIS"
2012,1.496725,"her_2532",NA,"B/Bmsy","FIS"
2013,1.593425,"her_2532",NA,"B/Bmsy","FIS"
2014,1.679213333,"her_2532",NA,"B/Bmsy","FIS"
1977,0.9087,"her_riga",NA,"B/Bmsy","FIS"
1978,0.822583333,"her_riga",NA,"B/Bmsy","FIS"
1979,0.77895,"her_riga",NA,"B/Bmsy","FIS"
1980,0.7785,"her_riga",NA,"B/Bmsy","FIS"
1981,0.786983333,"her_riga",NA,"B/Bmsy","FIS"
1982,0.71255,"her_riga",NA,"B/Bmsy","FIS"
1983,0.847416667,"her_riga",NA,"B/Bmsy","FIS"
1984,0.664983333,"her_riga",NA,"B/Bmsy","FIS"
1985,0.864916667,"her_riga",NA,"B/Bmsy","FIS"
1986,1.06925,"her_riga",NA,"B/Bmsy","FIS"
1987,0.856216667,"her_riga",NA,"B/Bmsy","FIS"
1988,1.603333333,"her_riga",NA,"B/Bmsy","FIS"
1989,1.048016667,"her_riga",NA,"B/Bmsy","FIS"
1990,1.277166667,"her_riga",NA,"B/Bmsy","FIS"
1991,1.4355,"her_riga",NA,"B/Bmsy","FIS"
1992,1.740566667,"her_riga",NA,"B/Bmsy","FIS"
1993,1.974333333,"her_riga",NA,"B/Bmsy","FIS"
1994,2.0374,"her_riga",NA,"B/Bmsy","FIS"
1995,1.89675,"her_riga",NA,"B/Bmsy","FIS"
1996,1.71555,"her_riga",NA,"B/Bmsy","FIS"
1997,1.681683333,"her_riga",NA,"B/Bmsy","FIS"
1998,1.323933333,"her_riga",NA,"B/Bmsy","FIS"
1999,1.3586,"her_riga",NA,"B/Bmsy","FIS"
2000,1.358416667,"her_riga",NA,"B/Bmsy","FIS"
2001,1.292333333,"her_riga",NA,"B/Bmsy","FIS"
2002,1.65185,"her_riga",NA,"B/Bmsy","FIS"
2003,1.412883333,"her_riga",NA,"B/Bmsy","FIS"
2004,1.506316667,"her_riga",NA,"B/Bmsy","FIS"
2005,1.1929,"her_riga",NA,"B/Bmsy","FIS"
2006,1.14945,"her_riga",NA,"B/Bmsy","FIS"
2007,1.470433333,"her_riga",NA,"B/Bmsy","FIS"
2008,1.431833333,"her_riga",NA,"B/Bmsy","FIS"
2009,1.67355,"her_riga",NA,"B/Bmsy","FIS"
2010,1.552133333,"her_riga",NA,"B/Bmsy","FIS"
2011,1.537666667,"her_riga",NA,"B/Bmsy","FIS"
2012,1.267033333,"her_riga",NA,"B/Bmsy","FIS"
2013,1.46515,"her_riga",NA,"B/Bmsy","FIS"
2014,1.723416667,"her_riga",NA,"B/Bmsy","FIS"
1973,0.580132911,"her_30",NA,"B/Bmsy","FIS"
1974,0.546348101,"her_30",NA,"B/Bmsy","FIS"
1975,0.549088608,"her_30",NA,"B/Bmsy","FIS"
1976,0.614775316,"her_30",NA,"B/Bmsy","FIS"
1977,0.638585443,"her_30",NA,"B/Bmsy","FIS"
1978,0.669316456,"her_30",NA,"B/Bmsy","FIS"
1979,0.613547468,"her_30",NA,"B/Bmsy","FIS"
1980,0.566376582,"her_30",NA,"B/Bmsy","FIS"
1981,0.533927215,"her_30",NA,"B/Bmsy","FIS"
1982,0.538753165,"her_30",NA,"B/Bmsy","FIS"
1983,0.6335,"her_30",NA,"B/Bmsy","FIS"
1984,0.795727848,"her_30",NA,"B/Bmsy","FIS"
1985,0.899876582,"her_30",NA,"B/Bmsy","FIS"
1986,1.045506329,"her_30",NA,"B/Bmsy","FIS"
1987,1.279541139,"her_30",NA,"B/Bmsy","FIS"
1988,1.275708861,"her_30",NA,"B/Bmsy","FIS"
1989,1.588044304,"her_30",NA,"B/Bmsy","FIS"
1990,1.850585443,"her_30",NA,"B/Bmsy","FIS"
1991,1.949363924,"her_30",NA,"B/Bmsy","FIS"
1992,2.147924051,"her_30",NA,"B/Bmsy","FIS"
1993,1.949363924,"her_30",NA,"B/Bmsy","FIS"
1994,2.189126582,"her_30",NA,"B/Bmsy","FIS"
1995,1.735860759,"her_30",NA,"B/Bmsy","FIS"
1996,1.646253165,"her_30",NA,"B/Bmsy","FIS"
1997,1.347838608,"her_30",NA,"B/Bmsy","FIS"
1998,1.239243671,"her_30",NA,"B/Bmsy","FIS"
1999,1.329101266,"her_30",NA,"B/Bmsy","FIS"
2000,1.37781962,"her_30",NA,"B/Bmsy","FIS"
2001,1.451360759,"her_30",NA,"B/Bmsy","FIS"
2002,1.45718038,"her_30",NA,"B/Bmsy","FIS"
2003,1.366841772,"her_30",NA,"B/Bmsy","FIS"
2004,1.3875,"her_30",NA,"B/Bmsy","FIS"
2005,1.615272152,"her_30",NA,"B/Bmsy","FIS"
2006,1.573813291,"her_30",NA,"B/Bmsy","FIS"
2007,1.510591772,"her_30",NA,"B/Bmsy","FIS"
2008,1.485129747,"her_30",NA,"B/Bmsy","FIS"
2009,1.774471519,"her_30",NA,"B/Bmsy","FIS"
2010,2.016781646,"her_30",NA,"B/Bmsy","FIS"
2011,1.893642405,"her_30",NA,"B/Bmsy","FIS"
2012,1.899332278,"her_30",NA,"B/Bmsy","FIS"
2013,2.135075949,"her_30",NA,"B/Bmsy","FIS"
2014,2.202300633,"her_30",NA,"B/Bmsy","FIS"
1974,1.924561404,"spr_2232",NA,"B/Bmsy","FIS"
1975,1.521052632,"spr_2232",NA,"B/Bmsy","FIS"
1976,1.294736842,"spr_2232",NA,"B/Bmsy","FIS"
1977,2.205263158,"spr_2232",NA,"B/Bmsy","FIS"
1978,1.519298246,"spr_2232",NA,"B/Bmsy","FIS"
1979,0.873684211,"spr_2232",NA,"B/Bmsy","FIS"
1980,0.545614035,"spr_2232",NA,"B/Bmsy","FIS"
1981,0.470175439,"spr_2232",NA,"B/Bmsy","FIS"
1982,0.596491228,"spr_2232",NA,"B/Bmsy","FIS"
1983,0.838596491,"spr_2232",NA,"B/Bmsy","FIS"
1984,1.212280702,"spr_2232",NA,"B/Bmsy","FIS"
1985,1.121052632,"spr_2232",NA,"B/Bmsy","FIS"
1986,1.019298246,"spr_2232",NA,"B/Bmsy","FIS"
1987,0.81754386,"spr_2232",NA,"B/Bmsy","FIS"
1988,0.728070175,"spr_2232",NA,"B/Bmsy","FIS"
1989,0.768421053,"spr_2232",NA,"B/Bmsy","FIS"
1990,1,"spr_2232",NA,"B/Bmsy","FIS"
1991,1.361403509,"spr_2232",NA,"B/Bmsy","FIS"
1992,1.812280702,"spr_2232",NA,"B/Bmsy","FIS"
1993,2.371929825,"spr_2232",NA,"B/Bmsy","FIS"
1994,2.459649123,"spr_2232",NA,"B/Bmsy","FIS"
1995,2.612280702,"spr_2232",NA,"B/Bmsy","FIS"
1996,3.340350877,"spr_2232",NA,"B/Bmsy","FIS"
1997,3.296491228,"spr_2232",NA,"B/Bmsy","FIS"
1998,2.466666667,"spr_2232",NA,"B/Bmsy","FIS"
1999,2.503508772,"spr_2232",NA,"B/Bmsy","FIS"
2000,2.371929825,"spr_2232",NA,"B/Bmsy","FIS"
2001,2.128070175,"spr_2232",NA,"B/Bmsy","FIS"
2002,1.677192982,"spr_2232",NA,"B/Bmsy","FIS"
2003,1.424561404,"spr_2232",NA,"B/Bmsy","FIS"
2004,1.847368421,"spr_2232",NA,"B/Bmsy","FIS"
2005,2.303508772,"spr_2232",NA,"B/Bmsy","FIS"
2006,1.914035088,"spr_2232",NA,"B/Bmsy","FIS"
2007,1.696491228,"spr_2232",NA,"B/Bmsy","FIS"
2008,1.843859649,"spr_2232",NA,"B/Bmsy","FIS"
2009,1.752631579,"spr_2232",NA,"B/Bmsy","FIS"
2010,2.056140351,"spr_2232",NA,"B/Bmsy","FIS"
2011,1.607017544,"spr_2232",NA,"B/Bmsy","FIS"
2012,1.514035088,"spr_2232",NA,"B/Bmsy","FIS"
2013,1.577192982,"spr_2232",NA,"B/Bmsy","FIS"
2014,1.368421053,"spr_2232",NA,"B/Bmsy","FIS"
