Basin,year,dip_basin,din_basin,chla_basin,din_ref,dip_ref,chla_ref,dip_status,din_status,chla_status
Bornholm Basin,2009,3.185,3.185,2.08046568627451,2.5,0.3,1.8,9.419152276295133,78.49293563579278,86.51909098406043
Bornholm Basin,2010,4.045,4.045,2.2384403153153154,2.5,0.3,1.8,7.416563658838071,61.804697156983934,80.4131335414429
Bornholm Basin,2011,4.16,4.16,1.8561026936026936,2.5,0.3,1.8,7.211538461538461,60.09615384615385,96.97739280288428
Bornholm Basin,2012,3.47333333333333,3.47333333333333,1.551388888888889,2.5,0.3,1.8,8.637236084452983,71.97696737044153,100.0
Bornholm Basin,2013,2.955,2.955,2.4693840579710145,2.5,0.3,1.8,10.15228426395939,84.60236886632826,72.89267111730614
Bornholm Basin,2016,4.465,4.465,2.3,2.5,0.3,1.8,6.718924972004479,55.99104143337066,78.26086956521739
Bothnian Bay,2009,NaN,NaN,4.066666666666666,5.2,0.07,2.0,NaN,NaN,49.180327868852466
Bothnian Bay,2010,NaN,NaN,2.0,5.2,0.07,2.0,NaN,NaN,100.0
Bothnian Bay,2011,NaN,NaN,1.957142857142857,5.2,0.07,2.0,NaN,NaN,100.0
Bothnian Bay,2012,NaN,NaN,NaN,5.2,0.07,2.0,NaN,NaN,NaN
Bothnian Bay,2013,NaN,NaN,NaN,5.2,0.07,2.0,NaN,NaN,NaN
Bothnian Sea,2009,NaN,NaN,3.836179775280899,2.8,0.19,1.5,NaN,NaN,39.10140003514733
Bothnian Sea,2010,NaN,NaN,3.991604938271605,2.8,0.19,1.5,NaN,NaN,37.578869231720894
Bothnian Sea,2011,NaN,NaN,4.2078125,2.8,0.19,1.5,NaN,NaN,35.64797623468251
Bothnian Sea,2012,NaN,NaN,4.707142857142857,2.8,0.19,1.5,NaN,NaN,31.86646433990895
Bothnian Sea,2013,NaN,NaN,NaN,2.8,0.19,1.5,NaN,NaN,NaN
Eastern Gotland Basin,2009,3.6316666666666673,3.6316666666666673,2.300227272727273,2.6,0.29,1.9,7.985314364387332,71.5924736117485,82.60053354411619
Eastern Gotland Basin,2010,3.986666666666667,3.986666666666667,3.0247508700449877,2.6,0.29,1.9,7.274247491638795,65.21739130434783,62.81509061841318
Eastern Gotland Basin,2011,4.158444444444443,4.158444444444443,1.9021153846153847,2.6,0.29,1.9,6.973761556137446,62.52337946881848,99.88878778687695
Eastern Gotland Basin,2012,3.78275,3.78275,3.360966819221968,2.6,0.29,1.9,7.666380278897626,68.733064569427,56.531352500523404
Eastern Gotland Basin,2013,5.674444444444443,5.674444444444443,2.513979377104377,2.6,0.29,1.9,5.110632465243784,45.819463481496,75.577390065484
Eastern Gotland Basin,2014,3.165,3.165,2.0141666666666667,2.6,0.29,1.9,9.162717219589256,82.14849921011059,94.33181630119984
Eastern Gotland Basin,2015,3.33666666666667,3.33666666666667,1.7955,2.6,0.29,1.9,8.69130869130868,77.92207792207785,100.0
Gdansk Basin,2009,NaN,NaN,NaN,4.2,0.36,2.2,NaN,NaN,NaN
Gdansk Basin,2010,NaN,NaN,NaN,4.2,0.36,2.2,NaN,NaN,NaN
Gdansk Basin,2013,NaN,NaN,NaN,4.2,0.36,2.2,NaN,NaN,NaN
Great Belt,2009,19.9564814814815,19.9564814814815,2.109550827423168,5.0,0.59,1.7,2.9564329791676305,25.054516772607037,80.58587533899635
Great Belt,2010,12.949625000000001,12.949625000000001,2.322076167076167,5.0,0.59,1.7,4.556116489859745,38.61115669372665,73.21034615934016
Great Belt,2011,27.28666666666665,27.28666666666665,3.213636363636364,5.0,0.59,1.7,2.162228194478379,18.323967749816774,52.899575671852894
Great Belt,2012,21.044,21.044,2.8091849529780566,5.0,0.59,1.7,2.80364949629348,23.759741494012545,60.51577338109426
Great Belt,2013,11.298690476190501,11.298690476190501,2.6527136150234742,5.0,0.59,1.7,5.221844082226121,44.25291595106882,64.08531966557409
Great Belt,2014,16.0306756756757,16.0306756756757,2.043660651096957,5.0,0.59,1.7,3.6804437438357143,31.19020121894674,83.18406478529137
Great Belt,2015,16.6182456140351,16.6182456140351,2.845675799086758,5.0,0.59,1.7,3.5503145982010866,30.08741184916175,59.73976376878802
Great Belt,2016,8.004239130434799,8.004239130434799,3.4187127371273713,5.0,0.59,1.7,7.371094121321567,62.46689933323361,49.7263189602895
Gulf of Finland,2009,7.72534090909091,7.72534090909091,1.9169354838709678,3.8,0.59,2.0,7.637203418501683,49.18876778018033,100.0
Gulf of Finland,2011,6.87833333333333,6.87833333333333,2.1200467289719627,3.8,0.59,2.0,8.57765931669494,55.24594136176402,94.33754325640857
Gulf of Finland,2012,8.68381818181818,8.68381818181818,5.586689895470383,3.8,0.59,2.0,6.794246351625804,43.75955277318314,35.79937382279934
Gulf of Finland,2013,6.244545454545454,6.244545454545454,3.6075247524752476,3.8,0.59,2.0,9.448245741738244,60.85310816712768,55.43967504665716
Gulf of Finland,2014,6.89405405405405,6.89405405405405,3.303061224489796,3.8,0.59,2.0,8.558099419789874,55.119962364748346,60.549891875193076
Gulf of Finland,2015,7.16630434782609,7.16630434782609,5.082277227722773,3.8,0.59,2.0,8.232974366752613,53.02593659942361,39.35243809783561
Gulf of Riga,2009,6.93,6.93,2.582411111111111,5.2,0.41,2.7,5.916305916305916,75.03607503607505,100.0
Gulf of Riga,2011,9.690833333333334,9.690833333333334,2.1253260463378174,5.2,0.41,2.7,4.230802304583368,53.658956058130535,100.0
Gulf of Riga,2012,13.85900537634405,13.85900537634405,6.3012484574249275,5.2,0.41,2.7,2.9583652568591203,37.52073008699372,42.848651632178054
Gulf of Riga,2013,11.47625,11.47625,2.896374139626352,5.2,0.41,2.7,3.5725955778237664,45.31096830410631,93.2200009335919
Gulf of Riga,2014,8.61146464646464,8.61146464646464,2.2786011904761905,5.2,0.41,2.7,4.761094852410755,60.38461764033153,100.0
Gulf of Riga,2015,10.086319444444445,10.086319444444445,2.201010101010101,5.2,0.41,2.7,4.064911906253657,51.55498027443664,100.0
Kattegat,2009,6.7808333333333355,6.7808333333333355,1.8992764904042465,5.0,0.49,1.5,7.226250460857808,73.73724960058988,78.97744259872013
Kattegat,2010,6.051875,6.051875,2.010797038327526,5.0,0.49,1.5,8.09666425694516,82.61902303005267,74.59728512667893
Kattegat,2011,9.97076923076923,9.97076923076923,1.761497584541063,5.0,0.49,1.5,4.914365067119272,50.1465823175436,85.15481446946218
Kattegat,2012,4.24736842105263,4.24736842105263,1.2509525027402266,5.0,0.49,1.5,11.536555142503103,100.0,100.0
Kattegat,2013,8.22666666666667,8.22666666666667,1.3382843137254903,5.0,0.49,1.5,5.956239870340354,60.777957860615864,100.0
Kattegat,2014,9.15727272727273,9.15727272727273,1.3068,5.0,0.49,1.5,5.350938151494092,54.60140970912338,100.0
Kattegat,2015,6.76944444444444,6.76944444444444,1.355909090909091,5.0,0.49,1.5,7.238407878539191,73.86130488305298,100.0
Kattegat,2016,5.31076923076923,5.31076923076923,2.317441860465116,5.0,0.49,1.5,9.226535341830823,94.14831981460024,64.72654290015053
Kiel Bay,2009,5.588888888888885,5.588888888888885,2.6147222222222224,5.5,0.57,2.0,10.19880715705766,98.40954274353885,76.48996069265908
Kiel Bay,2010,6.077500000000001,6.077500000000001,1.8133333333333332,5.5,0.57,2.0,9.378856437679966,90.49773755656106,100.0
Kiel Bay,2011,6.6775,6.6775,NaN,5.5,0.57,2.0,8.536128790715088,82.36615499812804,NaN
Kiel Bay,2012,5.9275,5.9275,NaN,5.5,0.57,2.0,9.616195698017714,92.7878532264867,NaN
Kiel Bay,2013,5.8725000000000005,5.8725000000000005,NaN,5.5,0.57,2.0,9.70625798212005,93.65687526607066,NaN
Northern Baltic Proper,2009,3.785,3.785,2.1364267676767676,2.9,0.25,1.7,6.605019815059444,76.61822985468956,79.57211666321918
Northern Baltic Proper,2010,NaN,NaN,3.9239073741007195,2.9,0.25,1.7,NaN,NaN,43.32416231893358
Northern Baltic Proper,2011,5.0825,5.0825,2.4923888888888888,2.9,0.25,1.7,4.918839153959666,57.05853418593212,68.20765441455097
Northern Baltic Proper,2012,6.0394444444444435,6.0394444444444435,4.401716042966043,2.9,0.25,1.7,4.1394535921258395,48.01766166865974,38.621300951855034
Northern Baltic Proper,2013,4.085476190476189,4.085476190476189,2.524975845410628,2.9,0.25,1.7,6.119237717815725,70.9831575266624,67.32737673866876
Northern Baltic Proper,2014,4.97083333333333,4.97083333333333,1.7715570175438597,2.9,0.25,1.7,5.02933780385583,58.34031852472762,95.96078382828071
Northern Baltic Proper,2015,4.12746031746032,4.12746031746032,2.239738562091503,2.9,0.25,1.7,6.056993423835707,70.2611237164942,75.90171588654138
The Quark,2009,6.21,6.21,3.0,3.7,0.1,2.0,1.6103059581320454,59.58132045088567,66.66666666666666
The Quark,2010,NaN,NaN,5.325,3.7,0.1,2.0,NaN,NaN,37.558685446009385
The Quark,2011,NaN,NaN,2.1769230769230767,3.7,0.1,2.0,NaN,NaN,91.87279151943464
The Quark,2012,NaN,NaN,NaN,3.7,0.1,2.0,NaN,NaN,NaN
The Quark,2013,NaN,NaN,NaN,3.7,0.1,2.0,NaN,NaN,NaN
The Sound,2009,5.50333333333333,5.50333333333333,1.8043835616438357,3.3,0.42,1.2,7.631738340399761,59.963658388855265,66.50470695414515
The Sound,2010,6.6625,6.6625,1.5093831168831169,3.3,0.42,1.2,6.303939962476549,49.530956848030016,79.50267805287272
The Sound,2011,NaN,NaN,1.8690140845070422,3.3,0.42,1.2,NaN,NaN,64.2049736247174
The Sound,2012,3.79,3.79,0.9453125,3.3,0.42,1.2,11.081794195250659,87.07124010554088,100.0
The Sound,2013,4.5175,4.5175,0.937037037037037,3.3,0.42,1.2,9.297177642501383,73.04925290536801,100.0
The Sound,2014,4.215,4.215,1.2577777777777779,3.3,0.42,1.2,9.9644128113879,78.29181494661921,95.40636042402826
The Sound,2015,6.41,6.41,1.2670588235294118,3.3,0.42,1.2,6.5522620904836195,51.482059282371296,94.70752089136491
The Sound,2016,3.71333333333333,3.71333333333333,1.48,3.3,0.42,1.2,11.310592459605036,88.86894075403957,81.08108108108108
Western Gotland Basin,2009,3.835,3.835,2.9254545454545453,2.0,0.33,1.2,8.604954367666231,52.15123859191656,41.019266625233065
Western Gotland Basin,2010,3.78,3.78,3.3638461538461537,2.0,0.33,1.2,8.730158730158731,52.91005291005292,35.6734507203293
Western Gotland Basin,2011,NaN,NaN,2.646551724137931,2.0,0.33,1.2,NaN,NaN,45.34201954397394
Western Gotland Basin,2012,4.38,4.38,3.5366666666666666,2.0,0.33,1.2,7.5342465753424666,45.662100456621005,33.93025447690857
Western Gotland Basin,2013,4.16,4.16,2.2194444444444446,2.0,0.33,1.2,7.932692307692308,48.07692307692307,54.06758448060075
Little Belt,NA,NA,NA,NA,7.1,0.71,2.8,NA,NA,NA
