"","station","latitude","longitude","date","sub_samp_ref","sub_samp_id","samp_id","param_ocdx","basis_determination","variable_matrix","PFOS_liver_ug/kg","PFOS_muscle_ug/kg","param_bbio","AGMAX_whole organism_y","AGMEA_whole organism_y","AGMIN_whole organism_y","DRYWT%_liver_%","DRYWT%_muscle_%","EXLIP%_liver_%","EXLIP%_muscle_%","LIPIDWT%_muscle_%","LNMAX_whole organism_cm","LNMEA_whole organism_cm","LNMIN_whole organism_cm","WTMAX_whole organism_g","WTMEA_whole organism_g","WTMIN_whole organism_g"
"47","E/W FLADEN",57.2247,11.828,"2008-09-05",3684059,597805989,1841482,"O-FL","wet weight","PFOS_liver",7.64,NA,"B-BIO",NA,2,NA,NA,NA,NA,7.5,NA,NA,20.2,NA,NA,61,NA
"48","E/W FLADEN",57.2247,11.828,"2008-09-05",3684060,599006001,1841482,"O-FL","wet weight","PFOS_liver",6.81,NA,"B-BIO",NA,2,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,59.6,NA
"49","E/W FLADEN",57.2247,11.828,"2009-09-07",3685674,303103042,1841565,"O-FL","wet weight","PFOS_liver",5.42,NA,"B-BIO",NA,2,NA,NA,NA,NA,6.4,NA,NA,19.8,NA,NA,56,NA
"50","E/W FLADEN",57.2247,11.828,"2009-09-07",3685675,304303054,1841565,"O-FL","wet weight","PFOS_liver",4.81,NA,"B-BIO",NA,2,NA,NA,NA,NA,11,NA,NA,20.3,NA,NA,63.9,NA
"51","E/W FLADEN",57.2247,11.828,"2010-09-06",3686999,554405555,1841620,"O-FL","wet weight","PFOS_liver",5.56,NA,"B-BIO",NA,2,NA,NA,NA,NA,5.2,NA,NA,19.8,NA,NA,53.5,NA
"52","E/W FLADEN",57.2247,11.828,"2010-09-06",3687000,555605567,1841620,"O-FL","wet weight","PFOS_liver",4.74,NA,"B-BIO",NA,2,NA,NA,NA,NA,4.6,NA,NA,19.9,NA,NA,55.2,NA
"53","E/W FLADEN",57.2247,11.828,"2011-09-09",3677704,783007841,1841245,"O-FL","wet weight","PFOS_liver",7.27,NA,"B-BIO",NA,3,NA,NA,NA,NA,6.59,NA,NA,20.4,NA,NA,60,NA
"54","E/W FLADEN",57.2247,11.828,"2011-09-09",3677705,784207853,1841245,"O-FL","wet weight","PFOS_liver",5.45,NA,"B-BIO",NA,3,NA,NA,NA,NA,5.34,NA,NA,20.9,NA,NA,64.8,NA
"55","E/W FLADEN",57.2247,11.828,"2012-08-17",3679511,514805159,1841307,"O-FL","wet weight","PFOS_liver",6.88,NA,"B-BIO",NA,3,NA,NA,NA,NA,4,NA,NA,18.5,NA,NA,54.7,NA
"56","E/W FLADEN",57.2247,11.828,"2012-08-17",3679512,516005171,1841307,"O-FL","wet weight","PFOS_liver",4.7,NA,"B-BIO",NA,3,NA,NA,NA,NA,4.7,NA,NA,15.1,NA,NA,54.2,NA
"57","E/W FLADEN",57.2247,11.828,"2013-08-28",3681306,304703058,1841368,"O-FL","wet weight","PFOS_liver",2.62,NA,"B-BIO",NA,3,NA,NA,NA,NA,4.2,NA,NA,19.5,NA,NA,52.5,NA
"58","E/W FLADEN",57.2247,11.828,"2013-08-28",3681307,305903070,1841368,"O-FL","wet weight","PFOS_liver",2.76,NA,"B-BIO",NA,3,NA,NA,NA,NA,4.5,NA,NA,19.9,NA,NA,56.4,NA
"59","E/W FLADEN",57.2247,11.828,"2014-08-21",3664004,215702168,1839636,"O-FL","wet weight","PFOS_liver",3.3,NA,"B-BIO",NA,3,NA,NA,NA,NA,6.21,NA,NA,19.8,NA,NA,55.8,NA
"60","E/W FLADEN",57.2247,11.828,"2014-08-21",3664005,216902180,1839636,"O-FL","wet weight","PFOS_liver",2.2,NA,"B-BIO",NA,3,NA,NA,NA,NA,5.74,NA,NA,19.2,NA,NA,51,NA
"61","Gaviksfjaerden",62.8645,18.2412,"2008-09-01",3685587,6658,1841545,"O-FL","wet weight","PFOS_liver",8.4,NA,"B-BIO",NA,5,NA,25,21.4,NA,3.5,NA,NA,17.8,NA,NA,35.8,NA
"62","Gaviksfjaerden",62.8645,18.2412,"2008-09-01",3685588,664606657,1841545,"O-FL","wet weight","PFOS_liver",6.93,NA,"B-BIO",NA,5,NA,25,22.4,NA,NA,NA,NA,1.7,NA,NA,3.8,NA
"63","Gaviksfjaerden",62.8645,18.2412,"2009-08-07",3686939,199202003,1841611,"O-FL","wet weight","PFOS_liver",7.4,NA,"B-BIO",NA,5,NA,21,21,3.88,3.88,NA,NA,14.2,NA,NA,37.2,NA
"64","Gaviksfjaerden",62.8645,18.2412,"2009-08-07",3686940,200402015,1841611,"O-FL","wet weight","PFOS_liver",9.49,NA,"B-BIO",NA,5,NA,21,20.7,3.09,3.09,NA,NA,16,NA,NA,34.7,NA
"65","Gaviksfjaerden",62.8645,18.2412,"2011-08-03",3679448,356503576,1841295,"O-FL","wet weight","PFOS_liver",5.48,NA,"B-BIO",NA,5,NA,27,21.6,6.24,3.02,NA,NA,17.5,NA,NA,32.2,NA
"66","Gaviksfjaerden",62.8645,18.2412,"2011-08-03",3679449,357703588,1841295,"O-FL","wet weight","PFOS_liver",5.95,NA,"B-BIO",NA,5,NA,30,23.7,6.84,4.89,NA,NA,17.1,NA,NA,33.7,NA
"67","Gaviksfjaerden",62.8645,18.2412,"2012-08-13",3681244,222602237,1841357,"O-FL","wet weight","PFOS_liver",3.58,NA,"B-BIO",NA,4,NA,26,22.2,4,4.9,NA,NA,11.8,NA,NA,36.5,NA
"68","Gaviksfjaerden",62.8645,18.2412,"2012-08-13",3681245,223802249,1841357,"O-FL","wet weight","PFOS_liver",7.88,NA,"B-BIO",NA,4,NA,25,21.5,3.7,4,NA,NA,13.1,NA,NA,35.7,NA
"69","Gaviksfjaerden",62.8645,18.2412,"2013-08-02",3683029,399604007,1841417,"O-FL","wet weight","PFOS_liver",4.37,NA,"B-BIO",NA,5,NA,28,23.5,NA,3.8,NA,NA,17.2,NA,NA,33.6,NA
"70","Gaviksfjaerden",62.8645,18.2412,"2013-08-02",3683030,400804019,1841417,"O-FL","wet weight","PFOS_liver",5.48,NA,"B-BIO",NA,4,NA,29,22.8,NA,3.3,NA,NA,17.2,NA,NA,33.4,NA
"71","Harufjaerden",65.5825,22.8791,"2005-09-25",3669849,833,1839891,"O-FL","wet weight","PFOS_liver",7.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Harufjaerden",65.5825,22.8791,"2006-10-02",3671214,640,1839932,"O-FL","wet weight","PFOS_liver",11.04,NA,"B-BIO",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Harufjaerden",65.5825,22.8791,"2008-09-21",3684094,2081,1841485,"O-FL","wet weight","PFOS_liver",10.24,NA,"B-BIO",NA,3,NA,NA,NA,NA,3,NA,NA,15,NA,NA,21.4,NA
"74","Harufjaerden",65.5825,22.8791,"2008-09-21",3684095,2093,1841485,"O-FL","wet weight","PFOS_liver",11.12,NA,"B-BIO",NA,3,NA,NA,NA,NA,2.7,NA,NA,15.6,NA,NA,23,NA
"75","Harufjaerden",65.5825,22.8791,"2009-09-28",3685698,366403675,1841567,"O-FL","wet weight","PFOS_liver",17.4,NA,"B-BIO",NA,4,NA,NA,NA,NA,2.6,NA,NA,16.1,NA,NA,25.5,NA
"76","Harufjaerden",65.5825,22.8791,"2009-09-28",3685699,367603687,1841567,"O-FL","wet weight","PFOS_liver",16,NA,"B-BIO",NA,4,NA,NA,NA,NA,2.4,NA,NA,12.6,NA,NA,22,NA
"77","Harufjaerden",65.5825,22.8791,"2010-09-20",3687023,273102742,1841622,"O-FL","wet weight","PFOS_liver",9.4,NA,"B-BIO",NA,NA,NA,NA,NA,NA,3.1,NA,NA,16.1,NA,NA,25.2,NA
"78","Harufjaerden",65.5825,22.8791,"2010-09-20",3687024,274302754,1841622,"O-FL","wet weight","PFOS_liver",18.66,NA,"B-BIO",NA,NA,NA,NA,NA,NA,2.3,NA,NA,16.8,NA,NA,26.6,NA
"79","Harufjaerden",65.5825,22.8791,"2011-10-02",3677728,152401535,1841247,"O-FL","wet weight","PFOS_liver",5.7,NA,"B-BIO",NA,6,NA,NA,NA,NA,4.08,NA,NA,18.7,NA,NA,32.7,NA
"80","Harufjaerden",65.5825,22.8791,"2011-10-02",3677729,153601547,1841247,"O-FL","wet weight","PFOS_liver",8.09,NA,"B-BIO",NA,5,NA,NA,NA,NA,3.33,NA,NA,17.1,NA,NA,30.5,NA
"81","Harufjaerden",65.5825,22.8791,"2012-09-23",3679535,171201723,1841309,"O-FL","wet weight","PFOS_liver",8.04,NA,"B-BIO",NA,5,NA,NA,NA,NA,2,NA,NA,14.5,NA,NA,31.2,NA
"82","Harufjaerden",65.5825,22.8791,"2012-09-23",3679536,172401735,1841309,"O-FL","wet weight","PFOS_liver",8.18,NA,"B-BIO",NA,4,NA,NA,NA,NA,2.4,NA,NA,12.2,NA,NA,24.8,NA
"83","Harufjaerden",65.5825,22.8791,"2013-09-22",3681330,174501756,1841370,"O-FL","wet weight","PFOS_liver",5.62,NA,"B-BIO",NA,4,NA,NA,NA,NA,2.3,NA,NA,16,NA,NA,25.6,NA
"84","Harufjaerden",65.5825,22.8791,"2013-09-22",3681331,175701768,1841370,"O-FL","wet weight","PFOS_liver",9.99,NA,"B-BIO",NA,4,NA,NA,NA,NA,2.9,NA,NA,16.3,NA,NA,24.1,NA
"85","Harufjaerden",65.5825,22.8791,"2014-09-28",3664028,250402515,1839638,"O-FL","wet weight","PFOS_liver",8.8,NA,"B-BIO",NA,4,NA,NA,NA,NA,3.59,NA,NA,17.1,NA,NA,31.6,NA
"86","Harufjaerden",65.5825,22.8791,"2014-09-28",3664029,251602527,1839638,"O-FL","wet weight","PFOS_liver",11,NA,"B-BIO",NA,3,NA,NA,NA,NA,2.82,NA,NA,16,NA,NA,25.7,NA
"87","Holmoearna",63.6808,20.8768,"2009-09-15",3686649,430704418,1841599,"O-FL","wet weight","PFOS_liver",11.7,NA,"B-BIO",NA,4,NA,29,21.6,2.69,2.69,NA,NA,16.2,NA,NA,26.6,NA
"88","Holmoearna",63.6808,20.8768,"2009-09-15",3686650,439504406,1841599,"O-FL","wet weight","PFOS_liver",11.4,NA,"B-BIO",NA,4,NA,27,21.5,2.41,2.41,NA,NA,15.9,NA,NA,25.8,NA
"89","Holmoearna",63.6808,20.8768,"2010-09-13",3687824,457704588,1841657,"O-FL","wet weight","PFOS_liver",3.91,NA,"B-BIO",NA,4,NA,26,20.6,2.41,2.3,NA,NA,17.1,NA,NA,32.1,NA
"90","Holmoearna",63.6808,20.8768,"2010-09-13",3687825,458904600,1841657,"O-FL","wet weight","PFOS_liver",5.97,NA,"B-BIO",NA,4,NA,27,20.6,2.78,3.3,NA,NA,16.9,NA,NA,31.6,NA
"91","Holmoearna",63.6808,20.8768,"2011-09-01",3679090,198401995,1841281,"O-FL","wet weight","PFOS_liver",9.48,NA,"B-BIO",NA,4,NA,27,20.4,2.05,2.22,NA,NA,16.5,NA,NA,29.6,NA
"92","Holmoearna",63.6808,20.8768,"2011-09-01",3679091,199602007,1841281,"O-FL","wet weight","PFOS_liver",6.88,NA,"B-BIO",NA,4,NA,27,20.8,3.87,2.34,NA,NA,16.7,NA,NA,30.7,NA
"93","Holmoearna",63.6808,20.8768,"2012-08-28",3680887,164301654,1841343,"O-FL","wet weight","PFOS_liver",4.67,NA,"B-BIO",NA,5,NA,27,21.1,2.1,2.2,NA,NA,15.9,NA,NA,33.6,NA
"94","Holmoearna",63.6808,20.8768,"2012-08-28",3680888,165501666,1841343,"O-FL","wet weight","PFOS_liver",4.55,NA,"B-BIO",NA,5,NA,25,20.8,1.7,2.2,NA,NA,16.3,NA,NA,35.4,NA
"95","Holmoearna",63.6808,20.8768,"2013-09-02",3682672,145201463,1841403,"O-FL","wet weight","PFOS_liver",5.41,NA,"B-BIO",NA,4,NA,30,22.3,NA,3.4,NA,NA,16.1,NA,NA,29.9,NA
"96","Holmoearna",63.6808,20.8768,"2013-09-02",3682673,146401475,1841403,"O-FL","wet weight","PFOS_liver",5.87,NA,"B-BIO",NA,4,NA,49,21.3,NA,3.9,NA,NA,15.5,NA,NA,30.6,NA
"97","Holmoearna",63.6808,20.8768,"2014-09-05",3665279,192701938,1839670,"O-FL","wet weight","PFOS_liver",6.7,NA,"B-BIO",NA,5,NA,NA,NA,NA,3.02,NA,NA,17.7,NA,NA,36.6,NA
"98","Holmoearna",63.6808,20.8768,"2014-09-05",3665280,193901950,1839670,"O-FL","wet weight","PFOS_liver",5.7,NA,"B-BIO",NA,4,NA,NA,NA,NA,2.52,NA,NA,17.6,NA,NA,36.7,NA
"99","Kinnbaecksfjaerden",65.0568,21.475,"2008-10-06",3685251,4521,1841523,"O-FL","wet weight","PFOS_liver",10.37,NA,"B-BIO",NA,4,NA,24,19.5,NA,1.9,NA,NA,16.8,NA,NA,27.8,NA
"100","Kinnbaecksfjaerden",65.0568,21.475,"2008-10-06",3685252,453304544,1841523,"O-FL","wet weight","PFOS_liver",11.55,NA,"B-BIO",NA,4,NA,26,21.6,NA,NA,NA,NA,1.4,NA,NA,2.2,NA
"101","Kinnbaecksfjaerden",65.0568,21.475,"2009-10-12",3686488,481504826,1841594,"O-FL","wet weight","PFOS_liver",13.5,NA,"B-BIO",NA,5,NA,30,22.5,3.7,3.7,NA,NA,17.3,NA,NA,34.3,NA
"102","Kinnbaecksfjaerden",65.0568,21.475,"2009-10-12",3686489,482704838,1841594,"O-FL","wet weight","PFOS_liver",11.6,NA,"B-BIO",NA,4,NA,27,22,3.12,3.12,NA,NA,15.7,NA,NA,32.8,NA
"103","Kinnbaecksfjaerden",65.0568,21.475,"2010-10-11",3687618,995309964,1841649,"O-FL","wet weight","PFOS_liver",20.38,NA,"B-BIO",NA,5,NA,32,21.2,2.69,2.5,NA,NA,17.1,NA,NA,32.8,NA
"104","Kinnbaecksfjaerden",65.0568,21.475,"2010-10-11",3687619,996509976,1841649,"O-FL","wet weight","PFOS_liver",16.32,NA,"B-BIO",NA,5,NA,31,21.2,2.04,1.3,NA,NA,17.1,NA,NA,32.8,NA
"105","Kinnbaecksfjaerden",65.0568,21.475,"2011-10-10",3678771,448904500,1841273,"O-FL","wet weight","PFOS_liver",6.7,NA,"B-BIO",NA,5,NA,26,21.3,3.93,3.11,NA,NA,17.6,NA,NA,35,NA
"106","Kinnbaecksfjaerden",65.0568,21.475,"2011-10-10",3678772,450104512,1841273,"O-FL","wet weight","PFOS_liver",8.93,NA,"B-BIO",NA,5,NA,27,21.4,4.03,3.45,NA,NA,17.3,NA,NA,34.6,NA
"107","Kinnbaecksfjaerden",65.0568,21.475,"2012-10-01",3680576,240802419,1841335,"O-FL","wet weight","PFOS_liver",15.29,NA,"B-BIO",NA,7,NA,27,21.1,2.6,2.1,NA,NA,17.9,NA,NA,35.9,NA
"108","Kinnbaecksfjaerden",65.0568,21.475,"2012-10-01",3680577,242002431,1841335,"O-FL","wet weight","PFOS_liver",13.29,NA,"B-BIO",NA,6,NA,27,21.8,2.9,3.5,NA,NA,16.9,NA,NA,39.3,NA
"109","Kinnbaecksfjaerden",65.0568,21.475,"2013-09-30",3682366,419404205,1841395,"O-FL","wet weight","PFOS_liver",8.66,NA,"B-BIO",NA,4,NA,24,22.3,NA,3.6,NA,NA,16.8,NA,NA,29.6,NA
"110","Kinnbaecksfjaerden",65.0568,21.475,"2013-09-30",3682367,420604217,1841395,"O-FL","wet weight","PFOS_liver",8.62,NA,"B-BIO",NA,NA,NA,25,22,NA,3.6,NA,NA,NA,NA,NA,NA,NA
"111","Kinnbaecksfjaerden",65.0568,21.475,"2014-09-29",3664960,447504486,1839662,"O-FL","wet weight","PFOS_liver",7.9,NA,"B-BIO",NA,5,NA,NA,NA,NA,3.81,NA,NA,17.5,NA,NA,36.3,NA
"112","Kinnbaecksfjaerden",65.0568,21.475,"2014-09-29",3664961,448704498,1839662,"O-FL","wet weight","PFOS_liver",8.4,NA,"B-BIO",NA,5,NA,NA,NA,NA,3.78,NA,NA,17.7,NA,NA,37.7,NA
"113","Kullen",56.3251,12.3811,"2008-09-29",3685597,8117,1841551,"O-FL","wet weight","PFOS_liver",3.31,NA,"B-BIO",NA,3,NA,31,30.3,NA,8.1,NA,NA,23,NA,NA,90.1,NA
"114","Kullen",56.3251,12.3811,"2008-09-29",3685598,810508116,1841551,"O-FL","wet weight","PFOS_liver",2.32,NA,"B-BIO",NA,3,NA,26,30.5,NA,NA,NA,NA,2.1,NA,NA,9.4,NA
