Name,Plan,BSPA_ID,mgmt_status,implem_date,BHI_ID,MPA_area_Ha,Date_Est,MPA_Status,mpa_area_rgn
Herthas Flak,Natura 2000 omrade nr. 191 Herthas Flak,137,Implemented,08.11.0011,2,1380,14.7.2005,Managed,542305.70019531
Havet omkring Nordre Rønner,NA,188,NA,NA,2,18535,14.7.2005,Managed,542305.70019531
Læsø Trindel og Tønneberg Banke,NA,136,NA,NA,2,8659.70019531,14.7.2005,Managed,542305.70019531
Store Middelgrund,Natura 2000 omrade nr. 193 Store Middelgrund,132,Implemented,08.12.0011,2,2137,14.7.2005,Managed,542305.70019531
"Hirsholmene, havet vest herfor og Ellinge Å's udløb",NA,135,NA,NA,2,9500,14.7.2005,Managed,542305.70019531
Strandenge på Læsø og havet syd herfor,NA,134,NA,NA,2,102714,14.7.2005,Managed,542305.70019531
Anholt og havet nord for,Natura 2000-plan 2010-2015. Anholt og havet nord for,244,Implemented,08.12.2011,2,47878,6.4.2009,Managed,542305.70019531
Begstrup Vig og kystområder ved Helgenæs,NA,246,NA,NA,3,1771,22.9.2009,Managed,521216
"Fyns Hoved, Lillegrund og Lillestrand","Natura 2000-plan 2010-2015. Fyns Hoved, Lillegrund og Lillestrand - Natura 2000-omrade nr. 107 - Habitatomrade H91",251,Implemented,08.12.2011,3,2182,31.8.2009,Managed,521216
Æbelø og havet syd for og Nærå,NA,241,NA,NA,3,13161,1.9.2009,Managed,521216
Havet mellem Romsø og Hindsholm samt Romsø,NA,265,NA,NA,3,4328,1.9.2009,Managed,521216
Odense Fjord,Natura 2000 omrade nr. 110 Odense Fjord,287,Implemented,08.12.0011,3,5048,16.12.2009,Managed,521216
Lillebælt,NA,259,NA,NA,3,35043,10.9.2009,Managed,521216
Bøjden Nor,NA,276,NA,NA,3,114,16.12.2009,Managed,521216
Maden på Helnæs og havet vest for,NA,254,NA,NA,3,2045,10.9.2009,Managed,521216
Vestlige del af Avernakø,NA,293,NA,NA,3,124,16.12.2009,Managed,521216
Stenrev sydøst for Langeland,NA,269,NA,NA,3,1484,10.9.2009,Managed,521216
Sydfynske Øhav,NA,271,NA,NA,3,45199,10.9.2009,Managed,521216
Sejerø Bugt og Saltbæk Vig,NA,268,NA,NA,3,44500,6.4.2009,Managed,521216
Nakskov Fjord og Inderfjord,Natura 2000 omrade nr. 179 Nakskov Fjord og Indrefjord,263,Implemented,08.12.0011,3,8526,10.9.2009,Managed,521216
Ryggen,Natura 2000 omrade nr. 196 Ryggen,266,Implemented,08.11.0012,3,437,10.9.2009,Managed,521216
Hatter Barn,Natura 2000-plan 2010-2015. Hatter Barn - Natura 2000-omrade nr. 198 - Habitatomrade H174,252,Implemented,08.12.2011,3,633,10.9.2009,Managed,521216
Broen,Natura 2000-plan 2010-2015. Broen - Natura 2000-omrade nr. 199 - Habitatomrade H175,248,Implemented,08.12.2011,3,588,10.9.2009,Managed,521216
Munkegrunde,NA,262,NA,NA,3,1329,10.9.2009,Managed,521216
Mols Bjerge med kystvande,Natura 2000 omrade nr. 227 Mols Bjerge med kystvande,261,Implemented,08.12.0011,3,2915,23.9.2009,Managed,521216
Kaløskovene og Kaløvig,NA,283,NA,NA,3,746,16.12.2009,Managed,521216
Kobberhage kystarealer,Natura 2000 omrade nr. 231 Kobberhage kystarealer,284,Implemented,08.12.0011,3,792,16.12.2009,Managed,521216
Thurø Rev,NA,272,NA,NA,3,163,10.9.2009,Managed,521216
Mejl Flak,Forslag til Natura 2000-plan 2015-2021 for Mejl Flak Natura 2000-omrade nr. 194 Habitatomrade H170,286,In development,NA,3,3907,16.12.2009,Designated,521216
"Horsens Fjord, havet øst for og Endelave",NA,255,NA,NA,3,45823,10.9.2009,Managed,521216
"Røsnæs, Røsnæs Rev og Kalundborg Fjord",NA,288,NA,NA,3,5664,16.12.2009,Managed,521216
Femern Bælt,NA,278,NA,NA,3,11456,16.12.2009,Designated,521216
"Flensborg Fjord, Bredgrund og farvandet omkring Als","Natura 2000-plan 2010-2015 - Natura 2000-omrade nr. N197, Flensborg Fjord, Bredgrund og farvandet omkring Als Delplan for: Fuglebeskyttelsesomrade F64 Flensborg Fjord og Nyboel Nor",250,Implemented,08.12.2011,3,64922,10.9.2009,Managed,521216
Skælskør Fjord og havet og kysten mellem Agersø og Glænø,NA,128,NA,NA,3,18500,22.8.2005,Managed,521216
"Stavns Fjord, Samsø Østerflak og Nordby Hede",NA,130,NA,NA,3,15663,14.7.2005,Managed,521216
"Küstenbereiche Flensburger Förde von Flensburg bis Geltinger Birk, Flengurger Förde",NA,173,NA,NA,3,23362,1.4.2009,Designated,521216
Kirkegrund,Natura 2000 omrade nr. 170 Kirkegrund,185,Implemented,08.12.0011,3,1761,22.8.2005,Managed,521216
Havet og kysten mellem Karrebæk Fjord og Knudshoved Odde,NA,186,NA,NA,3,18871,22.8.2005,Managed,521216
"Smålandsfarvandet nord for Lolland, Guldborg Sund, Bøtø Nor og Hyllekrog-Rødsand",NA,187,NA,NA,3,77848,22.8.2005,Managed,521216
Centrale Storebælt og Vresen,NA,249,NA,NA,3,62311,10.9.2009,Managed,521216
"Flensborg Fjord, Bredgrund og farvandet omkring Als","Natura 2000-plan 2010-2015 - Natura 2000-omrade nr. N197, Flensborg Fjord, Bredgrund og farvandet omkring Als Delplan for: Fuglebeskyttelsesomrade F64 Flensborg Fjord og Nyboel Nor",250,Implemented,08.12.2011,4,64922,10.9.2009,Managed,88284
"Küstenbereiche Flensburger Förde von Flensburg bis Geltinger Birk, Flengurger Förde",NA,173,NA,NA,4,23362,1.4.2009,Designated,88284
Gilleleje Flak og Tragten,Forslag til Natura 2000-plan 2016-2021 for Gilleleje Flak og Tragten Natura 2000-omrade nr. 195 Habitatomrade H171,279,In development,NA,5,15034,16.12.2009,Designated,21516
Kullaberg-Skälderviken,NA,112,NA,NA,5,4519,30.9.2008,Managed,21516
Lundåkrabukten,NA,193,NA,NA,5,1963,30.9.2008,Designated,21516
Gilleleje Flak og Tragten,Forslag til Natura 2000-plan 2016-2021 for Gilleleje Flak og Tragten Natura 2000-omrade nr. 195 Habitatomrade H171,279,In development,NA,6,15034,16.12.2009,Designated,22252
Saltholm og omliggende hav,Natura 2000 omrade nr. 142 Saltholm og omliggende hav,129,Implemented,08.12.0011,6,7218,14.7.2005,Managed,22252
Stenrev sydøst for Langeland,NA,269,NA,NA,7,1484,10.9.2009,Managed,228901
Sydfynske Øhav,NA,271,NA,NA,7,45199,10.9.2009,Managed,228901
Femern Bælt,NA,278,NA,NA,7,11456,16.12.2009,Designated,228901
"Flensborg Fjord, Bredgrund og farvandet omkring Als","Natura 2000-plan 2010-2015 - Natura 2000-omrade nr. N197, Flensborg Fjord, Bredgrund og farvandet omkring Als Delplan for: Fuglebeskyttelsesomrade F64 Flensborg Fjord og Nyboel Nor",250,Implemented,08.12.2011,7,64922,10.9.2009,Managed,228901
Fehmarnbelt,NA,180,NA,NA,7,27992,21.5.2008,Designated,228901
"Smålandsfarvandet nord for Lolland, Guldborg Sund, Bøtø Nor og Hyllekrog-Rødsand",NA,187,NA,NA,7,77848,22.8.2005,Managed,228901
Femern Bælt,NA,278,NA,NA,8,11456,16.12.2009,Designated,353526
"Flensborg Fjord, Bredgrund og farvandet omkring Als","Natura 2000-plan 2010-2015 - Natura 2000-omrade nr. N197, Flensborg Fjord, Bredgrund og farvandet omkring Als Delplan for: Fuglebeskyttelsesomrade F64 Flensborg Fjord og Nyboel Nor",250,Implemented,08.12.2011,8,64922,10.9.2009,Managed,353526
"Küstenbereiche Flensburger Förde von Flensburg bis Geltinger Birk, Flengurger Förde",NA,173,NA,NA,8,23362,1.4.2009,Designated,353526
Schlei incl. Schleimünde und vorgelagerter Flachgründe,NA,174,NA,NA,8,17434,1.2.2006,Designated,353526
"Eckernförder Bucht mit Flachgründen, Südküste der Eckernförder Bucht und vorgelagerte Flachgründe",NA,175,NA,NA,8,20302,1.3.2009,Designated,353526
"Küstenlandschaft Bottsand - Marzkamp u. vorgelagerte Flachgründe, Östlichen Kieler Bucht",NA,176,NA,NA,8,142003,1.3.2009,Designated,353526
"Staberhuk, Großenbrode Meeresbereiche, Wagrien, Sagas-Bank",NA,177,NA,NA,8,46055,1.3.2009,Designated,353526
Fehmarnbelt,NA,180,NA,NA,8,27992,21.5.2008,Designated,353526
Kadetrinne,NA,181,NA,NA,9,10007,1.4.2004,Designated,87855
"Smålandsfarvandet nord for Lolland, Guldborg Sund, Bøtø Nor og Hyllekrog-Rødsand",NA,187,NA,NA,9,77848,22.8.2005,Managed,87855
Vorpommersche Boddenlandshaft National Park (West-Pommeranian Lagoon National Park),NA,3,NA,NA,10,80500,13.7.2005,Managed,168862
Walkyriengrund,NA,171,NA,NA,10,2224,1.3.2009,Designated,168862
"Staberhuk, Großenbrode Meeresbereiche, Wagrien, Sagas-Bank",NA,177,NA,NA,10,46055,1.3.2009,Designated,168862
Ostseeküste am Brodtener Ufer,NA,178,NA,NA,10,2084,1.3.2009,Designated,168862
Fehmarnbelt,NA,180,NA,NA,10,27992,21.5.2008,Designated,168862
Kadetrinne,NA,181,NA,NA,10,10007,1.4.2004,Designated,168862
Falsterbo Peninsula with Måkläppen,NA,111,NA,NA,11,46330,30.9.2008,Managed,46330
Vestamager og havet syd for,Natura 2000 omrade nr. 143 Vestamager og havet syd for,273,Implemented,08.12.0011,12,6179,17.9.2009,Managed,98059
Ølsemagle Strand og Staunings Ø,NA,281,NA,NA,12,538,16.12.2009,Managed,98059
Havet og kysten mellem Præstø Fjord og Grønsund,NA,264,NA,NA,12,32815,6.4.2009,Managed,98059
Klinteskov Kalkgrund,Natura 2000 omrade nr. 171 Klinteskov Kalkgrund,258,Implemented,NA,12,1994,10.9.2009,Managed,98059
Stege Nor,Natura 2000 omrade nr. 180 Stege Nor,291,Implemented,08.12.0011,12,572,16.12.2009,Managed,98059
Stevns Rev,Natura 2000 omrade nr. 206 Stevns Rev,270,Implemented,08.12.0011,12,4640,10.9.2009,Managed,98059
Bøchers Grund,NA,247,NA,NA,12,1098,10.9.2009,Managed,98059
Hvideodde Rev,Natura 2000 omrade nr. 211 Hvideodde,256,Implemented,08.12.0011,12,789,17.9.2009,Managed,98059
Bakkebrædt og Bakkeground,NA,245,NA,NA,12,299,10.9.2009,Managed,98059
Adler Grund og Rønne Banke,NA,275,NA,NA,12,31910,16.12.2009,Designated,98059
Saltholm og omliggende hav,Natura 2000 omrade nr. 142 Saltholm og omliggende hav,129,Implemented,08.12.0011,12,7218,14.7.2005,Managed,98059
Kadetrinne,NA,181,NA,NA,12,10007,1.4.2004,Designated,98059
Adler Grund og Rønne Banke,NA,275,NA,NA,13,31910,16.12.2009,Designated,334438
Jasmund National Park,NA,2,NA,NA,13,3003,13.7.2005,Managed,334438
Vorpommersche Boddenlandshaft National Park (West-Pommeranian Lagoon National Park),NA,3,NA,NA,13,80500,13.7.2005,Managed,334438
Pommersche Bucht-Rönnebank,NA,172,NA,NA,13,209018,1.4.2004,Designated,334438
Kadetrinne,NA,181,NA,NA,13,10007,1.4.2004,Designated,334438
Northern Midsjöbanken,NA,116,NA,NA,14,98400,9.11.2009,Designated,108957
Torhamns Archipelago,NA,110,NA,NA,14,10557,25.9.2008,Designated,108957
Hvideodde Rev,Natura 2000 omrade nr. 211 Hvideodde,256,Implemented,08.12.0011,15,789,17.9.2009,Managed,2883
Bornholm: Davids Banke,NA,126,NA,NA,15,838,14.7.2005,Managed,2883
Bornholm: Ertholmene,NA,184,NA,NA,15,1256,14.7.2005,Managed,2883
Ujscie Odry i Zalew Szczecinski,Zalew Szczecinski PLB320009 protection plan,301,In development,NA,16,52612,31.12.2009,Designated,601577
Ujscie Odry i Zalew Szczecinski,Zalew Kamienski i Dziwna PLB320011 protection plan,301,In development,NA,16,52612,31.12.2009,Designated,601577
Ujscie Odry i Zalew Szczecinski,Laki Skoszewskie PLB320007 protection plan,301,Implemented,NA,16,52612,31.12.2009,Designated,601577
Ujscie Odry i Zalew Szczecinski,Ujscie Odry i Zalew Szczecinski PLH320018 protection plan,301,In development,NA,16,52612,31.12.2009,Designated,601577
Wolin i Uznam,Wolin i Uznam PLH320019 protection plan,86,In development,NA,16,30792,14.7.2005,Designated,601577
Wolin i Uznam,Delta Swiny PLB320002 protection plan,86,In development,NA,16,30792,14.7.2005,Designated,601577
Wolin i Uznam,Zalew Kamienski i Dziwna PLB320011 protection plan,86,In development,NA,16,30792,14.7.2005,Designated,601577
Wolin i Uznam,Protection tasks of Wolinski National Park 2014-2015,86,Implemented,09.12.2013,16,30792,14.7.2005,Designated,601577
Zatoka Pomorska,Ostoja na Zatoce Pomorskiej PLH990002 protection plan,170,In development,NA,16,309155,31.12.2009,Designated,601577
Zatoka Pomorska,Zatoka Pomorska PLB990003 protection plan,170,In development,NA,16,309155,31.12.2009,Designated,601577
Pommersche Bucht-Rönnebank,NA,172,NA,NA,16,209018,1.4.2004,Designated,601577
Ostoja Slowinska,Pobrzeze Slowinskie PLB220003 protection plan,85,In development,NA,17,32955.30078125,13.7.2005,Designated,909209.59765625
Ostoja Slowinska,Przybrzezne Wody Baltyku PLB990002 protection plan,85,In development,NA,17,32955.30078125,13.7.2005,Designated,909209.59765625
Ostoja Slowinska,Ostoja Slowinska PLH220023 protection plan,85,In development,NA,17,32955.30078125,13.7.2005,Designated,909209.59765625
Ostoja Slowinska,Protection tasks of Slowinski National Park 2013-2016,85,Implemented,18.06.2013,17,32955.30078125,13.7.2005,Designated,909209.59765625
Ujscie Odry i Zalew Szczecinski,Zalew Szczecinski PLB320009 protection plan,301,In development,NA,17,52612,31.12.2009,Designated,909209.59765625
Ujscie Odry i Zalew Szczecinski,Zalew Kamienski i Dziwna PLB320011 protection plan,301,In development,NA,17,52612,31.12.2009,Designated,909209.59765625
Ujscie Odry i Zalew Szczecinski,Laki Skoszewskie PLB320007 protection plan,301,Implemented,NA,17,52612,31.12.2009,Designated,909209.59765625
Ujscie Odry i Zalew Szczecinski,Ujscie Odry i Zalew Szczecinski PLH320018 protection plan,301,In development,NA,17,52612,31.12.2009,Designated,909209.59765625
Wolin i Uznam,Wolin i Uznam PLH320019 protection plan,86,In development,NA,17,30792,14.7.2005,Designated,909209.59765625
Wolin i Uznam,Delta Swiny PLB320002 protection plan,86,In development,NA,17,30792,14.7.2005,Designated,909209.59765625
Wolin i Uznam,Zalew Kamienski i Dziwna PLB320011 protection plan,86,In development,NA,17,30792,14.7.2005,Designated,909209.59765625
Wolin i Uznam,Protection tasks of Wolinski National Park 2014-2015,86,Implemented,09.12.2013,17,30792,14.7.2005,Designated,909209.59765625
Zatoka Pomorska,Ostoja na Zatoce Pomorskiej PLH990002 protection plan,170,In development,NA,17,309155,31.12.2009,Designated,909209.59765625
Zatoka Pomorska,Zatoka Pomorska PLB990003 protection plan,170,In development,NA,17,309155,31.12.2009,Designated,909209.59765625
Przybrzezne Wody Baltyku,Przybrzezne Wody Baltyku PLB990002 protection plan,179,In development,NA,17,194627,31.12.2009,Designated,909209.59765625
Pommersche Bucht-Rönnebank,NA,172,NA,NA,17,209018,1.4.2004,Designated,909209.59765625
Lawica Slupska,NA,87,NA,NA,17,80050.296875,31.12.2009,Designated,909209.59765625
Zalew Wislany i Mierzeja Wislana,Zalew Wislany i Mierzeja Wislana PLH280007 protection plan,83,In development,NA,18,40862.6015625,13.7.2005,Designated,299668.09997558
Zalew Wislany i Mierzeja Wislana,Zalew Wislany PLB280010 protection plan,83,In development,NA,18,40862.6015625,13.7.2005,Designated,299668.09997558
Przybrzezne Wody Baltyku,Przybrzezne Wody Baltyku PLB990002 protection plan,179,In development,NA,18,194627,31.12.2009,Designated,299668.09997558
Zatoka Pucka,Zatoka Pucka PLB220005 protection plan,84,In development,NA,18,62430.3984375,13.7.2005,Designated,299668.09997558
Zatoka Pucka,Zatoka Pucka PLH220032 protection plan,84,In development,NA,18,62430.3984375,13.7.2005,Designated,299668.09997558
Ujscie Wisly,Ostoja w Ujsciu Wisly PLH220044 protection plan,302,In development,NA,18,1748.09997558,31.12.2009,Designated,299668.09997558
Ujscie Wisly,Ujscie Wisly PLB220004 protection plan,302,In development,NA,18,1748.09997558,31.12.2009,Designated,299668.09997558
Vistula Spit Landscape Park (northern part),NA,164,NA,NA,19,4000,NA,Designated,44862.6015625
Zalew Wislany i Mierzeja Wislana,Zalew Wislany i Mierzeja Wislana PLH280007 protection plan,83,In development,NA,19,40862.6015625,13.7.2005,Designated,44862.6015625
Zalew Wislany i Mierzeja Wislana,Zalew Wislany PLB280010 protection plan,83,In development,NA,19,40862.6015625,13.7.2005,Designated,44862.6015625
Northern Midsjöbanken,NA,116,NA,NA,20,98400,9.11.2009,Designated,281581
Kopparstenarna/Gotska Sandön/Salvorev Area,NA,109,NA,NA,20,60510,16.9.2008,Managed,281581
Hoburgs Bank,Bevarandeplan foer Natura 2000-omrade Hoburgs bank SE0340144,115,Implemented,30.08.2005,20,122671,16.9.2008,Managed,281581
Ostoja Slowinska,Pobrzeze Slowinskie PLB220003 protection plan,85,In development,NA,21,32955.30078125,13.7.2005,Designated,227582.30078125
Ostoja Slowinska,Przybrzezne Wody Baltyku PLB990002 protection plan,85,In development,NA,21,32955.30078125,13.7.2005,Designated,227582.30078125
Ostoja Slowinska,Ostoja Slowinska PLH220023 protection plan,85,In development,NA,21,32955.30078125,13.7.2005,Designated,227582.30078125
Ostoja Slowinska,Protection tasks of Slowinski National Park 2013-2016,85,Implemented,18.06.2013,21,32955.30078125,13.7.2005,Designated,227582.30078125
Przybrzezne Wody Baltyku,Przybrzezne Wody Baltyku PLB990002 protection plan,179,In development,NA,21,194627,31.12.2009,Designated,227582.30078125
Curonian Spit State National Park (southern part),Management plan of Curonian Spit State National Park,163,Implemented,NA,22,6621,6.11.1987,Designated,126010
Curonian Spit National Park,-0,122,Implemented,NA,22,27339,23.4.1991,Managed,126010
Nemunas Delta Regional Park,-0,124,Implemented,NA,22,28953,24.9.1992,Managed,126010
Kursiu Marios Biosphere Polygon,-0,310,Implemented,NA,22,31138,17.9.2009,Managed,126010
Baltic Sea Biosphere Polygon,NA,311,NA,NA,22,31959,23.5.2013,Designated,126010
Curonian Spit National Park,-0,122,Implemented,NA,23,27339,23.4.1991,Managed,139286
Pajuris Regional Park,-0,123,Implemented,NA,23,5870,24.9.1992,Managed,139286
Nemunas Delta Regional Park,-0,124,Implemented,NA,23,28953,24.9.1992,Managed,139286
The state Baltic sea marine reserve,-0,125,In development,NA,23,14027,25.5.2005,Designated,139286
Kursiu Marios Biosphere Polygon,-0,310,Implemented,NA,23,31138,17.9.2009,Managed,139286
Baltic Sea Biosphere Polygon,NA,311,NA,NA,23,31959,23.5.2013,Designated,139286
Kura Kurk,NA,95,NA,NA,24,197300,1.4.2009,Designated,432244
Akmensrags,NA,308,NA,NA,24,25829,16.1.2013,Designated,432244
Irbes saurums,NA,307,NA,NA,24,172412,16.1.2013,Designated,432244
Nida-Perkone,"Aizsargajamas juras teritorijas Nida-Perkone"" dabas aizsardzibas plans""",309,In development,NA,24,36703,16.1.2013,Managed,432244
Kura Kurk,NA,95,NA,NA,25,197300,1.4.2009,Designated,401432
Vilsandi,test management,91,Implemented,NA,25,31720,1.4.2009,Managed,401432
Irbes saurums,NA,307,NA,NA,25,172412,16.1.2013,Designated,401432
Northern Midsjöbanken,NA,116,NA,NA,26,98400,9.11.2009,Designated,305410
Kvädöfjärden med Torrö,NA,300,NA,NA,26,5663,16.5.2011,Managed,305410
St. Anna/Missjö Archipelago,NA,108,NA,NA,26,16614,16.9.2008,Managed,305410
Kopparstenarna/Gotska Sandön/Salvorev Area,NA,109,NA,NA,26,60510,16.9.2008,Managed,305410
Hoburgs Bank,Bevarandeplan foer Natura 2000-omrade Hoburgs bank SE0340144,115,Implemented,30.08.2005,26,122671,16.9.2008,Managed,305410
Värnanäs Archipelago,NA,192,NA,NA,26,1552,6.10.2008,Managed,305410
Kura Kurk,NA,95,NA,NA,27,197300,1.4.2009,Designated,571174
Ainazi-Salacgriva,NA,303,NA,NA,27,7113,16.1.2013,Designated,571174
Irbes saurums,NA,307,NA,NA,27,172412,16.1.2013,Designated,571174
Selga uz rietumiem no Tujas,NA,305,NA,NA,27,58600,16.1.2013,Designated,571174
Vitrupe-Tuja,NA,304,NA,NA,27,3577,16.1.2013,Designated,571174
Rigas lica rietumu piekraste,AIZSARGAJAMAS JURAS TERITORIJAS �RIGAS LICA RIETUMU PIEKRASTE� DABAS AIZSARDZBAS PLANS,306,In development,NA,27,132172,16.1.2013,Managed,571174
Kura Kurk,NA,95,NA,NA,28,197300,1.4.2009,Designated,762522
Pärnu lahe,NA,94,NA,NA,28,114400,1.4.2009,Designated,762522
Väinameri,NA,207,NA,NA,28,271297,1.4.2009,Designated,762522
Ainazi-Salacgriva,NA,303,NA,NA,28,7113,16.1.2013,Designated,762522
Irbes saurums,NA,307,NA,NA,28,172412,16.1.2013,Designated,762522
Stora Nassa-Sv. Högarna,NA,106,NA,NA,29,29852,16.9.2008,Managed,134297
Fifång-Askö-Hartsö,NA,107,NA,NA,29,29550,16.9.2008,Managed,134297
Kopparstenarna/Gotska Sandön/Salvorev Area,NA,109,NA,NA,29,60510,16.9.2008,Managed,134297
Bullerö-Bytta,NA,191,NA,NA,29,14385,16.9.2008,Managed,134297
Saaristomeri /Archipelago Sea,NA,143,NA,NA,30,59842,19.9.2005,Managed,62408
Tulliniemen linnustonsuojelualue/ Tulliniemi bird protection area,NA,157,NA,NA,30,2566,19.9.2005,Managed,62408
Hiiu Madala,-0,90,Implemented,NA,31,9600,1.4.2009,Managed,312617
Vilsandi,test management,91,Implemented,NA,31,31720,1.4.2009,Managed,312617
Väinameri,NA,207,NA,NA,31,271297,1.4.2009,Designated,312617
Tammisaaren ja Hangon saariston ja Pohjanpitäjänlahden merensuojelualue /Tammisaari and Hanko Archipelago-and Pojo Bay marine proteciton area,NA,144,NA,NA,32,52630,19.9.2005,Managed,237879
Itäisen Suomenlahden saaristo ja vedet/ Eastern Gulf of Finland Archipelago and waters,NA,145,NA,NA,32,95628,19.9.2005,Managed,237879
Tulliniemen linnustonsuojelualue/ Tulliniemi bird protection area,NA,157,NA,NA,32,2566,19.9.2005,Managed,237879
Kirkkonummen saaristo/ Kirkkonummi Archipelago,NA,158,NA,NA,32,1750,19.9.2005,Designated,237879
Söderskärin ja Långörenin saaristo /Söderskär and Långören Archipelago,NA,159,NA,NA,32,18219,19.9.2005,Designated,237879
Porvoonjoen suisto - Stensböle /Porvoonjoki estuary-Stensböle,NA,160,NA,NA,32,1331,19.9.2005,Managed,237879
Pernajanlahtien ja Pernajan saariston merensuojelualue /Pernajabay and Pernaja Archipelago marine protection areas,NA,161,NA,NA,32,65755,22.11.2006,Managed,237879
Kurgalsky Peninsula,NA,166,NA,NA,33,59950,20.7.2000,Designated,228521.74951171
Vyborgskii,"Management plan of nature reserve ""Vyborgskii""",294,Implemented,NA,33,11304.09960937,29.3.1976,Designated,228521.74951171
Lebyazhy Nature Reserve,"Management plan of nature reserve ""Lebyazhy""",197,Implemented,NA,33,6344.64990234,3.4.2007,Designated,228521.74951171
Berezovye Islands,"Management plan of nature reserve ""Berezovye Islands""",196,Implemented,NA,33,55295,26.12.1996,Designated,228521.74951171
Itäisen Suomenlahden saaristo ja vedet/ Eastern Gulf of Finland Archipelago and waters,NA,145,NA,NA,33,95628,19.9.2005,Managed,228521.74951171
Kurgalsky Peninsula,NA,166,NA,NA,34,59950,20.7.2000,Designated,154841
Pakri,-0,206,Implemented,NA,34,20470,1.4.2009,Managed,154841
Lahemaa,-0,88,Implemented,NA,34,74421,1.4.2009,Managed,154841
Gräsö/Singö Archipelago,NA,105,NA,NA,35,66247,16.9.2008,Managed,66247
Uudenkaupungin saaristo/ Uusikaupunki Archipelago,NA,142,NA,NA,36,55992,19.9.2005,Designated,118400
Saaristomeri /Archipelago Sea,NA,143,NA,NA,36,59842,19.9.2005,Managed,118400
Tulliniemen linnustonsuojelualue/ Tulliniemi bird protection area,NA,157,NA,NA,36,2566,19.9.2005,Managed,118400
Finngrundet-Östra Banken,NA,297,NA,NA,37,23162,16.5.2011,Designated,203394
Vänta Litets Grund,NA,298,NA,NA,37,15139,16.5.2011,Managed,203394
High Coast,-0,104,Implemented,NA,37,152034,30.9.2008,Managed,203394
Kronören,NA,189,NA,NA,37,5834,16.9.2008,Managed,203394
Axmar,Bevarandeplan Natura 2000 Axmar-Gasholma,190,Implemented,15.12.2006,37,7225,16.9.2008,Managed,203394
Merenkurkun saaristo /Outer Bothnian Threshold Archipelago (The Quark),NA,140,NA,NA,38,128162,19.9.2005,Designated,207114
