"basin_name_holas","basin_name_baltsem","basin_abb_baltsem","year","sal_deep","salin_bottom_depth"
"Bay of Mecklenburg","Arkona Basin","AR",1999,15.1533888109589,50
"Arkona Basin","Arkona Basin","AR",2000,15.0252072677596,50
"Bay of Mecklenburg","Arkona Basin","AR",2000,15.0252072677596,50
"Arkona Basin","Arkona Basin","AR",2001,15.9214839123288,50
"Bay of Mecklenburg","Arkona Basin","AR",2001,15.9214839123288,50
"Arkona Basin","Arkona Basin","AR",2002,15.3882954027397,50
"Bay of Mecklenburg","Arkona Basin","AR",2002,15.3882954027397,50
"Arkona Basin","Arkona Basin","AR",2003,18.6232016794521,50
"Bay of Mecklenburg","Arkona Basin","AR",2003,18.6232016794521,50
"Arkona Basin","Arkona Basin","AR",2004,17.0140206120219,50
"Bay of Mecklenburg","Arkona Basin","AR",2004,17.0140206120219,50
"Arkona Basin","Arkona Basin","AR",2005,15.7851115369863,50
"Bay of Mecklenburg","Arkona Basin","AR",2005,15.7851115369863,50
"Arkona Basin","Arkona Basin","AR",2006,17.316124830137,50
"Bay of Mecklenburg","Arkona Basin","AR",2006,17.316124830137,50
"Arkona Basin","Arkona Basin","AR",2007,17.3992627835616,50
"Bay of Mecklenburg","Arkona Basin","AR",2007,17.3992627835616,50
"Arkona Basin","Arkona Basin","AR",2008,18.0186897814208,50
"Bay of Mecklenburg","Arkona Basin","AR",2008,18.0186897814208,50
"Arkona Basin","Arkona Basin","AR",2009,15.5478921808219,50
"Bay of Mecklenburg","Arkona Basin","AR",2009,15.5478921808219,50
"Arkona Basin","Arkona Basin","AR",2010,16.4775442410959,50
"Bay of Mecklenburg","Arkona Basin","AR",2010,16.4775442410959,50
"Arkona Basin","Arkona Basin","AR",2011,17.1045537863014,50
"Bay of Mecklenburg","Arkona Basin","AR",2011,17.1045537863014,50
"Arkona Basin","Arkona Basin","AR",2012,15.5571362704918,50
"Bay of Mecklenburg","Arkona Basin","AR",2012,15.5571362704918,50
"Arkona Basin","Arkona Basin","AR",2013,16.4202673534247,50
"Bay of Mecklenburg","Arkona Basin","AR",2013,16.4202673534247,50
"Arkona Basin","Arkona Basin","AR",2014,16.4488996958904,50
"Bay of Mecklenburg","Arkona Basin","AR",2014,16.4488996958904,50
"Bothnian Bay","Bothnian Bay","BB",1970,4.1342876939726,110
"Bothnian Bay","Bothnian Bay","BB",1971,4.28450832931507,110
"Bothnian Bay","Bothnian Bay","BB",1972,4.2965113136612,110
"Bothnian Bay","Bothnian Bay","BB",1973,4.29502008657534,110
"Bothnian Bay","Bothnian Bay","BB",1974,4.32002461945206,110
"Bothnian Bay","Bothnian Bay","BB",1975,4.23196879068493,110
"Bothnian Bay","Bothnian Bay","BB",1976,4.26566488387978,110
"Bothnian Bay","Bothnian Bay","BB",1977,4.32302118438356,110
"Bothnian Bay","Bothnian Bay","BB",1978,4.33841138191781,110
"Bothnian Bay","Bothnian Bay","BB",1979,4.32548586986301,110
"Bothnian Bay","Bothnian Bay","BB",1980,4.30340013989071,110
"Bothnian Bay","Bothnian Bay","BB",1981,4.3380925690411,110
"Bothnian Bay","Bothnian Bay","BB",1982,4.30429502273973,110
"Bothnian Bay","Bothnian Bay","BB",1983,4.24903888520548,110
"Bothnian Bay","Bothnian Bay","BB",1984,4.2045455715847,110
"Bothnian Bay","Bothnian Bay","BB",1985,4.14613296575342,110
"Bothnian Bay","Bothnian Bay","BB",1986,4.08974614054795,110
"Bothnian Bay","Bothnian Bay","BB",1987,4.05627986191781,110
"Bothnian Bay","Bothnian Bay","BB",1988,3.97831136065574,110
"Bothnian Bay","Bothnian Bay","BB",1989,3.95085050273973,110
"Bothnian Bay","Bothnian Bay","BB",1990,3.95454384849315,110
"Bothnian Bay","Bothnian Bay","BB",1991,3.96642655534247,110
"Bothnian Bay","Bothnian Bay","BB",1992,3.8914076136612,110
"Bothnian Bay","Bothnian Bay","BB",1993,3.84304655917808,110
"Bothnian Bay","Bothnian Bay","BB",1994,3.87485121890411,110
"Bothnian Bay","Bothnian Bay","BB",1995,3.83592582054795,110
"Bothnian Bay","Bothnian Bay","BB",1996,3.85060010983607,110
"Bothnian Bay","Bothnian Bay","BB",1997,3.90465718438356,110
"Bothnian Bay","Bothnian Bay","BB",1998,3.91881219150685,110
"Bothnian Bay","Bothnian Bay","BB",1999,3.84379803342466,110
"Bothnian Bay","Bothnian Bay","BB",2000,3.76738728415301,110
"Bothnian Bay","Bothnian Bay","BB",2001,3.70233072027397,110
"Bothnian Bay","Bothnian Bay","BB",2002,3.68974909753425,110
"Bothnian Bay","Bothnian Bay","BB",2003,3.7484515709589,110
"Bothnian Bay","Bothnian Bay","BB",2004,3.73670434590164,110
"Bothnian Bay","Bothnian Bay","BB",2005,3.66008871041096,110
"Bothnian Bay","Bothnian Bay","BB",2006,3.69056937589041,110
"Bothnian Bay","Bothnian Bay","BB",2007,3.71969208082192,110
"Bothnian Bay","Bothnian Bay","BB",2008,3.62988432377049,110
"Bothnian Bay","Bothnian Bay","BB",2009,3.63889366794521,110
"Bothnian Bay","Bothnian Bay","BB",2010,3.66353664136986,110
"Bothnian Bay","Bothnian Bay","BB",2011,3.65503842082192,110
"Bothnian Bay","Bothnian Bay","BB",2012,3.48698490601093,110
"Bothnian Bay","Bothnian Bay","BB",2013,3.46507239643836,110
"Bothnian Bay","Bothnian Bay","BB",2014,3.34218882246575,110
"Bornholm Basin","Bornholm Basin","BN",1970,16.004598460274,97
"Gdansk Basin","Bornholm Basin","BN",1970,16.004598460274,97
"Bornholm Basin","Bornholm Basin","BN",1971,15.4237769616438,97
"Gdansk Basin","Bornholm Basin","BN",1971,15.4237769616438,97
"Bornholm Basin","Bornholm Basin","BN",1972,17.1721777322404,97
"Gdansk Basin","Bornholm Basin","BN",1972,17.1721777322404,97
"Bornholm Basin","Bornholm Basin","BN",1973,16.9941293369863,97
"Gdansk Basin","Bornholm Basin","BN",1973,16.9941293369863,97
"Bornholm Basin","Bornholm Basin","BN",1974,16.7010392356164,97
"Gdansk Basin","Bornholm Basin","BN",1974,16.7010392356164,97
"Bornholm Basin","Bornholm Basin","BN",1975,15.7825343232877,97
"Gdansk Basin","Bornholm Basin","BN",1975,15.7825343232877,97
"Bornholm Basin","Bornholm Basin","BN",1976,17.1983594234973,97
"Gdansk Basin","Bornholm Basin","BN",1976,17.1983594234973,97
"Bornholm Basin","Bornholm Basin","BN",1977,16.6625623890411,97
"Gdansk Basin","Bornholm Basin","BN",1977,16.6625623890411,97
"Bornholm Basin","Bornholm Basin","BN",1978,16.2926561041096,97
"Gdansk Basin","Bornholm Basin","BN",1978,16.2926561041096,97
"Bornholm Basin","Bornholm Basin","BN",1979,15.9086994547945,97
"Gdansk Basin","Bornholm Basin","BN",1979,15.9086994547945,97
"Bornholm Basin","Bornholm Basin","BN",1980,15.6756895928962,97
"Gdansk Basin","Bornholm Basin","BN",1980,15.6756895928962,97
"Bornholm Basin","Bornholm Basin","BN",1981,14.5309279671233,97
"Gdansk Basin","Bornholm Basin","BN",1981,14.5309279671233,97
"Bornholm Basin","Bornholm Basin","BN",1982,14.3826347780822,97
"Gdansk Basin","Bornholm Basin","BN",1982,14.3826347780822,97
"Bornholm Basin","Bornholm Basin","BN",1983,14.5117199835616,97
"Gdansk Basin","Bornholm Basin","BN",1983,14.5117199835616,97
"Bornholm Basin","Bornholm Basin","BN",1984,15.2140148579235,97
"Gdansk Basin","Bornholm Basin","BN",1984,15.2140148579235,97
"Bornholm Basin","Bornholm Basin","BN",1985,14.7356891643836,97
"Gdansk Basin","Bornholm Basin","BN",1985,14.7356891643836,97
"Bornholm Basin","Bornholm Basin","BN",1986,13.9847494191781,97
"Gdansk Basin","Bornholm Basin","BN",1986,13.9847494191781,97
"Bornholm Basin","Bornholm Basin","BN",1987,14.0765382739726,97
"Gdansk Basin","Bornholm Basin","BN",1987,14.0765382739726,97
"Bornholm Basin","Bornholm Basin","BN",1988,13.6934004781421,97
"Gdansk Basin","Bornholm Basin","BN",1988,13.6934004781421,97
"Bornholm Basin","Bornholm Basin","BN",1989,14.8471337835616,97
"Gdansk Basin","Bornholm Basin","BN",1989,14.8471337835616,97
"Bornholm Basin","Bornholm Basin","BN",1990,14.0167986027397,97
"Gdansk Basin","Bornholm Basin","BN",1990,14.0167986027397,97
"Bornholm Basin","Bornholm Basin","BN",1991,15.2577047616438,97
"Gdansk Basin","Bornholm Basin","BN",1991,15.2577047616438,97
"Bornholm Basin","Bornholm Basin","BN",1992,15.0568060273224,97
"Gdansk Basin","Bornholm Basin","BN",1992,15.0568060273224,97
"Bornholm Basin","Bornholm Basin","BN",1993,17.0590213589041,97
"Gdansk Basin","Bornholm Basin","BN",1993,17.0590213589041,97
"Bornholm Basin","Bornholm Basin","BN",1994,16.2897185726027,97
"Gdansk Basin","Bornholm Basin","BN",1994,16.2897185726027,97
"Bornholm Basin","Bornholm Basin","BN",1995,15.074213569863,97
"Gdansk Basin","Bornholm Basin","BN",1995,15.074213569863,97
"Bornholm Basin","Bornholm Basin","BN",1996,14.7620374945355,97
"Gdansk Basin","Bornholm Basin","BN",1996,14.7620374945355,97
"Bornholm Basin","Bornholm Basin","BN",1997,16.2537262575342,97
"Gdansk Basin","Bornholm Basin","BN",1997,16.2537262575342,97
"Bornholm Basin","Bornholm Basin","BN",1998,15.7541772493151,97
"Gdansk Basin","Bornholm Basin","BN",1998,15.7541772493151,97
"Bornholm Basin","Bornholm Basin","BN",1999,15.1698352136986,97
"Gdansk Basin","Bornholm Basin","BN",1999,15.1698352136986,97
"Bornholm Basin","Bornholm Basin","BN",2000,14.3754055655738,97
"Gdansk Basin","Bornholm Basin","BN",2000,14.3754055655738,97
"Bornholm Basin","Bornholm Basin","BN",2001,13.9823349479452,97
"Gdansk Basin","Bornholm Basin","BN",2001,13.9823349479452,97
"Bornholm Basin","Bornholm Basin","BN",2002,13.4865562849315,97
"Gdansk Basin","Bornholm Basin","BN",2002,13.4865562849315,97
"Bornholm Basin","Bornholm Basin","BN",2003,16.8087283589041,97
"Gdansk Basin","Bornholm Basin","BN",2003,16.8087283589041,97
"Bornholm Basin","Bornholm Basin","BN",2004,15.8472888442623,97
"Gdansk Basin","Bornholm Basin","BN",2004,15.8472888442623,97
"Bornholm Basin","Bornholm Basin","BN",2005,15.1254946767123,97
"Gdansk Basin","Bornholm Basin","BN",2005,15.1254946767123,97
"Bornholm Basin","Bornholm Basin","BN",2006,14.6770440465753,97
"Gdansk Basin","Bornholm Basin","BN",2006,14.6770440465753,97
"Bornholm Basin","Bornholm Basin","BN",2007,15.2271505589041,97
"Gdansk Basin","Bornholm Basin","BN",2007,15.2271505589041,97
"Bornholm Basin","Bornholm Basin","BN",2008,14.6357131202186,97
"Gdansk Basin","Bornholm Basin","BN",2008,14.6357131202186,97
"Bornholm Basin","Bornholm Basin","BN",2009,14.0264028438356,97
"Gdansk Basin","Bornholm Basin","BN",2009,14.0264028438356,97
"Bornholm Basin","Bornholm Basin","BN",2010,13.9407869369863,97
"Gdansk Basin","Bornholm Basin","BN",2010,13.9407869369863,97
"Bornholm Basin","Bornholm Basin","BN",2011,13.9559914739726,97
"Gdansk Basin","Bornholm Basin","BN",2011,13.9559914739726,97
"Bornholm Basin","Bornholm Basin","BN",2012,13.7705859480874,97
"Gdansk Basin","Bornholm Basin","BN",2012,13.7705859480874,97
"Bornholm Basin","Bornholm Basin","BN",2013,13.0179225150685,97
"Gdansk Basin","Bornholm Basin","BN",2013,13.0179225150685,97
"Bornholm Basin","Bornholm Basin","BN",2014,13.3782773123288,97
"Gdansk Basin","Bornholm Basin","BN",2014,13.3782773123288,97
"Aland Sea","Bothnian Sea","BS",1970,6.93183471452055,220
"Bothnian Sea","Bothnian Sea","BS",1970,6.93183471452055,220
"The Quark","Bothnian Sea","BS",1970,6.93183471452055,220
"Aland Sea","Bothnian Sea","BS",1971,6.75716068246575,220
"Bothnian Sea","Bothnian Sea","BS",1971,6.75716068246575,220
"The Quark","Bothnian Sea","BS",1971,6.75716068246575,220
"Aland Sea","Bothnian Sea","BS",1972,6.70090425710382,220
"Bothnian Sea","Bothnian Sea","BS",1972,6.70090425710382,220
"The Quark","Bothnian Sea","BS",1972,6.70090425710382,220
"Aland Sea","Bothnian Sea","BS",1973,6.67472155972603,220
"Bothnian Sea","Bothnian Sea","BS",1973,6.67472155972603,220
"The Quark","Bothnian Sea","BS",1973,6.67472155972603,220
"Aland Sea","Bothnian Sea","BS",1974,6.64855410054794,220
"Bothnian Sea","Bothnian Sea","BS",1974,6.64855410054794,220
"The Quark","Bothnian Sea","BS",1974,6.64855410054794,220
"Aland Sea","Bothnian Sea","BS",1975,6.62658771917808,220
"Bothnian Sea","Bothnian Sea","BS",1975,6.62658771917808,220
"The Quark","Bothnian Sea","BS",1975,6.62658771917808,220
"Aland Sea","Bothnian Sea","BS",1976,6.67062417595628,220
"Bothnian Sea","Bothnian Sea","BS",1976,6.67062417595628,220
"The Quark","Bothnian Sea","BS",1976,6.67062417595628,220
"Aland Sea","Bothnian Sea","BS",1977,6.7305818690411,220
"Bothnian Sea","Bothnian Sea","BS",1977,6.7305818690411,220
"The Quark","Bothnian Sea","BS",1977,6.7305818690411,220
"Aland Sea","Bothnian Sea","BS",1978,6.77009424328767,220
"Bothnian Sea","Bothnian Sea","BS",1978,6.77009424328767,220
"The Quark","Bothnian Sea","BS",1978,6.77009424328767,220
"Aland Sea","Bothnian Sea","BS",1979,6.75482881835616,220
"Bothnian Sea","Bothnian Sea","BS",1979,6.75482881835616,220
"The Quark","Bothnian Sea","BS",1979,6.75482881835616,220
"Aland Sea","Bothnian Sea","BS",1980,6.74200123661202,220
"Bothnian Sea","Bothnian Sea","BS",1980,6.74200123661202,220
"The Quark","Bothnian Sea","BS",1980,6.74200123661202,220
"Aland Sea","Bothnian Sea","BS",1981,6.72809831260274,220
"Bothnian Sea","Bothnian Sea","BS",1981,6.72809831260274,220
"The Quark","Bothnian Sea","BS",1981,6.72809831260274,220
"Aland Sea","Bothnian Sea","BS",1982,6.65800667123288,220
"Bothnian Sea","Bothnian Sea","BS",1982,6.65800667123288,220
"The Quark","Bothnian Sea","BS",1982,6.65800667123288,220
"Aland Sea","Bothnian Sea","BS",1983,6.5942644260274,220
"Bothnian Sea","Bothnian Sea","BS",1983,6.5942644260274,220
"The Quark","Bothnian Sea","BS",1983,6.5942644260274,220
"Aland Sea","Bothnian Sea","BS",1984,6.59563134180328,220
"Bothnian Sea","Bothnian Sea","BS",1984,6.59563134180328,220
"The Quark","Bothnian Sea","BS",1984,6.59563134180328,220
"Aland Sea","Bothnian Sea","BS",1985,6.58079646849315,220
"Bothnian Sea","Bothnian Sea","BS",1985,6.58079646849315,220
"The Quark","Bothnian Sea","BS",1985,6.58079646849315,220
"Aland Sea","Bothnian Sea","BS",1986,6.54702749013699,220
"Bothnian Sea","Bothnian Sea","BS",1986,6.54702749013699,220
"The Quark","Bothnian Sea","BS",1986,6.54702749013699,220
"Aland Sea","Bothnian Sea","BS",1987,6.50880269068493,220
"Bothnian Sea","Bothnian Sea","BS",1987,6.50880269068493,220
"The Quark","Bothnian Sea","BS",1987,6.50880269068493,220
"Aland Sea","Bothnian Sea","BS",1988,6.46523798907104,220
"Bothnian Sea","Bothnian Sea","BS",1988,6.46523798907104,220
"The Quark","Bothnian Sea","BS",1988,6.46523798907104,220
"Aland Sea","Bothnian Sea","BS",1989,6.36206810493151,220
"Bothnian Sea","Bothnian Sea","BS",1989,6.36206810493151,220
"The Quark","Bothnian Sea","BS",1989,6.36206810493151,220
"Aland Sea","Bothnian Sea","BS",1990,6.27311101945206,220
"Bothnian Sea","Bothnian Sea","BS",1990,6.27311101945206,220
"The Quark","Bothnian Sea","BS",1990,6.27311101945206,220
"Aland Sea","Bothnian Sea","BS",1991,6.24515904356164,220
"Bothnian Sea","Bothnian Sea","BS",1991,6.24515904356164,220
"The Quark","Bothnian Sea","BS",1991,6.24515904356164,220
"Aland Sea","Bothnian Sea","BS",1992,6.26489754590164,220
"Bothnian Sea","Bothnian Sea","BS",1992,6.26489754590164,220
"The Quark","Bothnian Sea","BS",1992,6.26489754590164,220
"Aland Sea","Bothnian Sea","BS",1993,6.28295147123288,220
"Bothnian Sea","Bothnian Sea","BS",1993,6.28295147123288,220
"The Quark","Bothnian Sea","BS",1993,6.28295147123288,220
"Aland Sea","Bothnian Sea","BS",1994,6.27168604931507,220
"Bothnian Sea","Bothnian Sea","BS",1994,6.27168604931507,220
"The Quark","Bothnian Sea","BS",1994,6.27168604931507,220
"Aland Sea","Bothnian Sea","BS",1995,6.20020480547945,220
"Bothnian Sea","Bothnian Sea","BS",1995,6.20020480547945,220
"The Quark","Bothnian Sea","BS",1995,6.20020480547945,220
"Aland Sea","Bothnian Sea","BS",1996,6.13543722295082,220
"Bothnian Sea","Bothnian Sea","BS",1996,6.13543722295082,220
"The Quark","Bothnian Sea","BS",1996,6.13543722295082,220
"Aland Sea","Bothnian Sea","BS",1997,6.12508817342466,220
"Bothnian Sea","Bothnian Sea","BS",1997,6.12508817342466,220
"The Quark","Bothnian Sea","BS",1997,6.12508817342466,220
"Aland Sea","Bothnian Sea","BS",1998,6.07071104712329,220
"Bothnian Sea","Bothnian Sea","BS",1998,6.07071104712329,220
"The Quark","Bothnian Sea","BS",1998,6.07071104712329,220
"Aland Sea","Bothnian Sea","BS",1999,6.03064463424657,220
"Bothnian Sea","Bothnian Sea","BS",1999,6.03064463424657,220
"The Quark","Bothnian Sea","BS",1999,6.03064463424657,220
"Aland Sea","Bothnian Sea","BS",2000,6.04003781338798,220
"Bothnian Sea","Bothnian Sea","BS",2000,6.04003781338798,220
"The Quark","Bothnian Sea","BS",2000,6.04003781338798,220
"Aland Sea","Bothnian Sea","BS",2001,5.96368516575342,220
"Bothnian Sea","Bothnian Sea","BS",2001,5.96368516575342,220
"The Quark","Bothnian Sea","BS",2001,5.96368516575342,220
"Aland Sea","Bothnian Sea","BS",2002,5.95766976849315,220
"Bothnian Sea","Bothnian Sea","BS",2002,5.95766976849315,220
"The Quark","Bothnian Sea","BS",2002,5.95766976849315,220
"Aland Sea","Bothnian Sea","BS",2003,5.96176449753425,220
"Bothnian Sea","Bothnian Sea","BS",2003,5.96176449753425,220
"The Quark","Bothnian Sea","BS",2003,5.96176449753425,220
"Aland Sea","Bothnian Sea","BS",2004,5.98632905519126,220
"Bothnian Sea","Bothnian Sea","BS",2004,5.98632905519126,220
"The Quark","Bothnian Sea","BS",2004,5.98632905519126,220
"Aland Sea","Bothnian Sea","BS",2005,5.93121636794521,220
"Bothnian Sea","Bothnian Sea","BS",2005,5.93121636794521,220
"The Quark","Bothnian Sea","BS",2005,5.93121636794521,220
"Aland Sea","Bothnian Sea","BS",2006,5.90200107643836,220
"Bothnian Sea","Bothnian Sea","BS",2006,5.90200107643836,220
"The Quark","Bothnian Sea","BS",2006,5.90200107643836,220
"Aland Sea","Bothnian Sea","BS",2007,5.91409259616438,220
"Bothnian Sea","Bothnian Sea","BS",2007,5.91409259616438,220
"The Quark","Bothnian Sea","BS",2007,5.91409259616438,220
"Aland Sea","Bothnian Sea","BS",2008,5.92633514972678,220
"Bothnian Sea","Bothnian Sea","BS",2008,5.92633514972678,220
"The Quark","Bothnian Sea","BS",2008,5.92633514972678,220
"Aland Sea","Bothnian Sea","BS",2009,5.90901225808219,220
"Bothnian Sea","Bothnian Sea","BS",2009,5.90901225808219,220
"The Quark","Bothnian Sea","BS",2009,5.90901225808219,220
"Aland Sea","Bothnian Sea","BS",2010,5.89267129835616,220
"Bothnian Sea","Bothnian Sea","BS",2010,5.89267129835616,220
"The Quark","Bothnian Sea","BS",2010,5.89267129835616,220
"Aland Sea","Bothnian Sea","BS",2011,5.85207232109589,220
"Bothnian Sea","Bothnian Sea","BS",2011,5.85207232109589,220
"The Quark","Bothnian Sea","BS",2011,5.85207232109589,220
"Aland Sea","Bothnian Sea","BS",2012,5.81024016038251,220
"Bothnian Sea","Bothnian Sea","BS",2012,5.81024016038251,220
"The Quark","Bothnian Sea","BS",2012,5.81024016038251,220
"Aland Sea","Bothnian Sea","BS",2013,5.74421737150685,220
"Bothnian Sea","Bothnian Sea","BS",2013,5.74421737150685,220
"The Quark","Bothnian Sea","BS",2013,5.74421737150685,220
"Aland Sea","Bothnian Sea","BS",2014,5.66071498821918,220
"Bothnian Sea","Bothnian Sea","BS",2014,5.66071498821918,220
"The Quark","Bothnian Sea","BS",2014,5.66071498821918,220
"Kattegat","Central Kattegat","CK",1970,34.4152513479452,125
"Kattegat","Central Kattegat","CK",1971,34.7608027589041,125
"Kattegat","Central Kattegat","CK",1972,34.6980727459016,125
"Kattegat","Central Kattegat","CK",1973,34.5586374876712,125
"Kattegat","Central Kattegat","CK",1974,34.7481257616438,125
"Kattegat","Central Kattegat","CK",1975,34.6118692520548,125
"Kattegat","Central Kattegat","CK",1976,34.7520055054645,125
"Kattegat","Central Kattegat","CK",1977,34.4443303205479,125
"Kattegat","Central Kattegat","CK",1978,34.5330214438356,125
"Kattegat","Central Kattegat","CK",1979,34.4308026273973,125
"Kattegat","Central Kattegat","CK",1980,34.5073550874317,125
"Kattegat","Central Kattegat","CK",1981,34.5328780684931,125
"Kattegat","Central Kattegat","CK",1982,34.3455786958904,125
"Kattegat","Central Kattegat","CK",1983,34.4617863068493,125
"Kattegat","Central Kattegat","CK",1984,34.664867273224,125
"Kattegat","Central Kattegat","CK",1985,34.7448716684932,125
"Kattegat","Central Kattegat","CK",1986,34.6801820438356,125
"Kattegat","Central Kattegat","CK",1987,34.4519652931507,125
"Kattegat","Central Kattegat","CK",1988,34.5554607377049,125
"Kattegat","Central Kattegat","CK",1989,34.6531229479452,125
"Kattegat","Central Kattegat","CK",1990,34.7630779424658,125
"Kattegat","Central Kattegat","CK",1991,34.8354196520548,125
"Kattegat","Central Kattegat","CK",1992,34.7824173469945,125
"Kattegat","Central Kattegat","CK",1993,34.9461721863014,125
"Kattegat","Central Kattegat","CK",1994,34.5692894136986,125
"Kattegat","Central Kattegat","CK",1995,34.7106657260274,125
"Kattegat","Central Kattegat","CK",1996,34.7385206830601,125
"Kattegat","Central Kattegat","CK",1997,34.5822124328767,125
"Kattegat","Central Kattegat","CK",1998,34.8455089068493,125
"Kattegat","Central Kattegat","CK",1999,34.5238318821918,125
"Kattegat","Central Kattegat","CK",2000,34.7751736693989,125
"Kattegat","Central Kattegat","CK",2001,34.545885660274,125
"Kattegat","Central Kattegat","CK",2002,34.7215469753425,125
"Kattegat","Central Kattegat","CK",2003,34.7389049534247,125
"Kattegat","Central Kattegat","CK",2004,34.5987505928962,125
"Kattegat","Central Kattegat","CK",2005,34.6755427561644,125
"Kattegat","Central Kattegat","CK",2006,34.764385030137,125
"Kattegat","Central Kattegat","CK",2007,34.7032839068493,125
"Kattegat","Central Kattegat","CK",2008,34.4639945382514,125
"Kattegat","Central Kattegat","CK",2009,34.460063339726,125
"Kattegat","Central Kattegat","CK",2010,34.4345861808219,125
"Kattegat","Central Kattegat","CK",2011,34.4475271726027,125
"Kattegat","Central Kattegat","CK",2012,34.4552739726776,125
"Kattegat","Central Kattegat","CK",2013,34.4309938739726,125
"Kattegat","Central Kattegat","CK",2014,34.443656939726,125
"Kiel Bay","Fehmarn Belt","FB",1970,32.2327800520548,65
"Kiel Bay","Fehmarn Belt","FB",1971,32.5779216849315,65
"Kiel Bay","Fehmarn Belt","FB",1972,32.2418154781421,65
"Kiel Bay","Fehmarn Belt","FB",1973,31.815404030137,65
"Kiel Bay","Fehmarn Belt","FB",1974,32.5228864136986,65
