"rgn_id","species"
4,"Charadrius hiaticula hiaticula (NT)"
5,"Charadrius hiaticula hiaticula (NT)"
6,"Charadrius hiaticula hiaticula (NT)"
7,"Charadrius hiaticula hiaticula (NT)"
8,"Charadrius hiaticula hiaticula (NT)"
9,"Charadrius hiaticula hiaticula (NT)"
10,"Charadrius hiaticula hiaticula (NT)"
11,"Charadrius hiaticula hiaticula (NT)"
12,"Charadrius hiaticula hiaticula (NT)"
13,"Charadrius hiaticula hiaticula (NT)"
14,"Charadrius hiaticula hiaticula (NT)"
15,"Charadrius hiaticula hiaticula (NT)"
16,"Charadrius hiaticula hiaticula (NT)"
17,"Charadrius hiaticula hiaticula (NT)"
18,"Charadrius hiaticula hiaticula (NT)"
19,"Charadrius hiaticula hiaticula (NT)"
20,"Charadrius hiaticula hiaticula (NT)"
21,"Charadrius hiaticula hiaticula (NT)"
22,"Charadrius hiaticula hiaticula (NT)"
23,"Charadrius hiaticula hiaticula (NT)"
24,"Charadrius hiaticula hiaticula (NT)"
25,"Charadrius hiaticula hiaticula (NT)"
26,"Charadrius hiaticula hiaticula (NT)"
27,"Charadrius hiaticula hiaticula (NT)"
28,"Charadrius hiaticula hiaticula (NT)"
29,"Charadrius hiaticula hiaticula (NT)"
30,"Charadrius hiaticula hiaticula (NT)"
31,"Charadrius hiaticula hiaticula (NT)"
32,"Charadrius hiaticula hiaticula (NT)"
33,"Charadrius hiaticula hiaticula (NT)"
34,"Charadrius hiaticula hiaticula (NT)"
35,"Charadrius hiaticula hiaticula (NT)"
36,"Charadrius hiaticula hiaticula (NT)"
37,"Charadrius hiaticula hiaticula (NT)"
38,"Charadrius hiaticula hiaticula (NT)"
39,"Charadrius hiaticula hiaticula (NT)"
40,"Charadrius hiaticula hiaticula (NT)"
41,"Charadrius hiaticula hiaticula (NT)"
42,"Charadrius hiaticula hiaticula (NT)"
2,"Hydroprogne caspia (VU)"
5,"Hydroprogne caspia (VU)"
6,"Hydroprogne caspia (VU)"
11,"Hydroprogne caspia (VU)"
12,"Hydroprogne caspia (VU)"
13,"Hydroprogne caspia (VU)"
14,"Hydroprogne caspia (VU)"
20,"Hydroprogne caspia (VU)"
25,"Hydroprogne caspia (VU)"
26,"Hydroprogne caspia (VU)"
28,"Hydroprogne caspia (VU)"
29,"Hydroprogne caspia (VU)"
30,"Hydroprogne caspia (VU)"
31,"Hydroprogne caspia (VU)"
32,"Hydroprogne caspia (VU)"
33,"Hydroprogne caspia (VU)"
35,"Hydroprogne caspia (VU)"
36,"Hydroprogne caspia (VU)"
37,"Hydroprogne caspia (VU)"
38,"Hydroprogne caspia (VU)"
39,"Hydroprogne caspia (VU)"
40,"Hydroprogne caspia (VU)"
41,"Hydroprogne caspia (VU)"
42,"Hydroprogne caspia (VU)"
14,"Larus fuscus fuscus (VU)"
20,"Larus fuscus fuscus (VU)"
25,"Larus fuscus fuscus (VU)"
26,"Larus fuscus fuscus (VU)"
28,"Larus fuscus fuscus (VU)"
29,"Larus fuscus fuscus (VU)"
30,"Larus fuscus fuscus (VU)"
31,"Larus fuscus fuscus (VU)"
32,"Larus fuscus fuscus (VU)"
33,"Larus fuscus fuscus (VU)"
34,"Larus fuscus fuscus (VU)"
35,"Larus fuscus fuscus (VU)"
36,"Larus fuscus fuscus (VU)"
37,"Larus fuscus fuscus (VU)"
38,"Larus fuscus fuscus (VU)"
39,"Larus fuscus fuscus (VU)"
40,"Larus fuscus fuscus (VU)"
41,"Larus fuscus fuscus (VU)"
42,"Larus fuscus fuscus (VU)"
2,"Larus melanocephalus (EN)"
3,"Larus melanocephalus (EN)"
5,"Larus melanocephalus (EN)"
6,"Larus melanocephalus (EN)"
8,"Larus melanocephalus (EN)"
10,"Larus melanocephalus (EN)"
11,"Larus melanocephalus (EN)"
12,"Larus melanocephalus (EN)"
13,"Larus melanocephalus (EN)"
14,"Larus melanocephalus (EN)"
16,"Larus melanocephalus (EN)"
17,"Larus melanocephalus (EN)"
18,"Larus melanocephalus (EN)"
1,"Limosa limosa (NT)"
2,"Limosa limosa (NT)"
3,"Limosa limosa (NT)"
5,"Limosa limosa (NT)"
6,"Limosa limosa (NT)"
8,"Limosa limosa (NT)"
11,"Limosa limosa (NT)"
12,"Limosa limosa (NT)"
13,"Limosa limosa (NT)"
14,"Limosa limosa (NT)"
16,"Limosa limosa (NT)"
17,"Limosa limosa (NT)"
18,"Limosa limosa (NT)"
20,"Limosa limosa (NT)"
22,"Limosa limosa (NT)"
23,"Limosa limosa (NT)"
24,"Limosa limosa (NT)"
25,"Limosa limosa (NT)"
26,"Limosa limosa (NT)"
27,"Limosa limosa (NT)"
28,"Limosa limosa (NT)"
31,"Limosa limosa (NT)"
33,"Limosa limosa (NT)"
34,"Limosa limosa (NT)"
42,"Limosa limosa (NT)"
14,"Melanitta fusca (EN)"
20,"Melanitta fusca (EN)"
25,"Melanitta fusca (EN)"
26,"Melanitta fusca (EN)"
28,"Melanitta fusca (EN)"
29,"Melanitta fusca (EN)"
30,"Melanitta fusca (EN)"
31,"Melanitta fusca (EN)"
32,"Melanitta fusca (EN)"
33,"Melanitta fusca (EN)"
34,"Melanitta fusca (EN)"
35,"Melanitta fusca (EN)"
36,"Melanitta fusca (EN)"
37,"Melanitta fusca (EN)"
38,"Melanitta fusca (EN)"
39,"Melanitta fusca (EN)"
40,"Melanitta fusca (EN)"
41,"Melanitta fusca (EN)"
42,"Melanitta fusca (EN)"
1,"Oenanthe oenanthe (NT)"
2,"Oenanthe oenanthe (NT)"
3,"Oenanthe oenanthe (NT)"
4,"Oenanthe oenanthe (NT)"
5,"Oenanthe oenanthe (NT)"
6,"Oenanthe oenanthe (NT)"
7,"Oenanthe oenanthe (NT)"
8,"Oenanthe oenanthe (NT)"
9,"Oenanthe oenanthe (NT)"
10,"Oenanthe oenanthe (NT)"
11,"Oenanthe oenanthe (NT)"
12,"Oenanthe oenanthe (NT)"
13,"Oenanthe oenanthe (NT)"
14,"Oenanthe oenanthe (NT)"
15,"Oenanthe oenanthe (NT)"
16,"Oenanthe oenanthe (NT)"
17,"Oenanthe oenanthe (NT)"
18,"Oenanthe oenanthe (NT)"
19,"Oenanthe oenanthe (NT)"
20,"Oenanthe oenanthe (NT)"
21,"Oenanthe oenanthe (NT)"
22,"Oenanthe oenanthe (NT)"
23,"Oenanthe oenanthe (NT)"
24,"Oenanthe oenanthe (NT)"
25,"Oenanthe oenanthe (NT)"
26,"Oenanthe oenanthe (NT)"
27,"Oenanthe oenanthe (NT)"
28,"Oenanthe oenanthe (NT)"
29,"Oenanthe oenanthe (NT)"
30,"Oenanthe oenanthe (NT)"
31,"Oenanthe oenanthe (NT)"
32,"Oenanthe oenanthe (NT)"
33,"Oenanthe oenanthe (NT)"
34,"Oenanthe oenanthe (NT)"
35,"Oenanthe oenanthe (NT)"
36,"Oenanthe oenanthe (NT)"
37,"Oenanthe oenanthe (NT)"
38,"Oenanthe oenanthe (NT)"
39,"Oenanthe oenanthe (NT)"
40,"Oenanthe oenanthe (NT)"
41,"Oenanthe oenanthe (NT)"
42,"Oenanthe oenanthe (NT)"
5,"Philomachus pugnax (VU)"
6,"Philomachus pugnax (VU)"
11,"Philomachus pugnax (VU)"
12,"Philomachus pugnax (VU)"
13,"Philomachus pugnax (VU)"
14,"Philomachus pugnax (VU)"
20,"Philomachus pugnax (VU)"
23,"Philomachus pugnax (VU)"
24,"Philomachus pugnax (VU)"
26,"Philomachus pugnax (VU)"
27,"Philomachus pugnax (VU)"
28,"Philomachus pugnax (VU)"
33,"Philomachus pugnax (VU)"
37,"Philomachus pugnax (VU)"
38,"Philomachus pugnax (VU)"
39,"Philomachus pugnax (VU)"
40,"Philomachus pugnax (VU)"
41,"Philomachus pugnax (VU)"
42,"Philomachus pugnax (VU)"
20,"Podiceps auritus (VU)"
24,"Podiceps auritus (VU)"
25,"Podiceps auritus (VU)"
26,"Podiceps auritus (VU)"
27,"Podiceps auritus (VU)"
28,"Podiceps auritus (VU)"
29,"Podiceps auritus (VU)"
30,"Podiceps auritus (VU)"
31,"Podiceps auritus (VU)"
32,"Podiceps auritus (VU)"
33,"Podiceps auritus (VU)"
34,"Podiceps auritus (VU)"
35,"Podiceps auritus (VU)"
36,"Podiceps auritus (VU)"
37,"Podiceps auritus (VU)"
38,"Podiceps auritus (VU)"
39,"Podiceps auritus (VU)"
40,"Podiceps auritus (VU)"
41,"Podiceps auritus (VU)"
42,"Podiceps auritus (VU)"
1,"Rissa tridactyla (EN)"
1,"Somateria mollissima (VU)"
2,"Somateria mollissima (VU)"
3,"Somateria mollissima (VU)"
4,"Somateria mollissima (VU)"
5,"Somateria mollissima (VU)"
6,"Somateria mollissima (VU)"
7,"Somateria mollissima (VU)"
8,"Somateria mollissima (VU)"
9,"Somateria mollissima (VU)"
10,"Somateria mollissima (VU)"
11,"Somateria mollissima (VU)"
12,"Somateria mollissima (VU)"
13,"Somateria mollissima (VU)"
14,"Somateria mollissima (VU)"
15,"Somateria mollissima (VU)"
16,"Somateria mollissima (VU)"
20,"Somateria mollissima (VU)"
25,"Somateria mollissima (VU)"
26,"Somateria mollissima (VU)"
28,"Somateria mollissima (VU)"
29,"Somateria mollissima (VU)"
30,"Somateria mollissima (VU)"
31,"Somateria mollissima (VU)"
32,"Somateria mollissima (VU)"
33,"Somateria mollissima (VU)"
34,"Somateria mollissima (VU)"
35,"Somateria mollissima (VU)"
36,"Somateria mollissima (VU)"
37,"Somateria mollissima (VU)"
38,"Somateria mollissima (VU)"
39,"Somateria mollissima (VU)"
40,"Somateria mollissima (VU)"
41,"Somateria mollissima (VU)"
42,"Somateria mollissima (VU)"
1,"Tringa totanus (NT)"
2,"Tringa totanus (NT)"
3,"Tringa totanus (NT)"
4,"Tringa totanus (NT)"
5,"Tringa totanus (NT)"
6,"Tringa totanus (NT)"
7,"Tringa totanus (NT)"
8,"Tringa totanus (NT)"
9,"Tringa totanus (NT)"
10,"Tringa totanus (NT)"
11,"Tringa totanus (NT)"
12,"Tringa totanus (NT)"
13,"Tringa totanus (NT)"
14,"Tringa totanus (NT)"
16,"Tringa totanus (NT)"
17,"Tringa totanus (NT)"
18,"Tringa totanus (NT)"
19,"Tringa totanus (NT)"
20,"Tringa totanus (NT)"
21,"Tringa totanus (NT)"
22,"Tringa totanus (NT)"
23,"Tringa totanus (NT)"
24,"Tringa totanus (NT)"
25,"Tringa totanus (NT)"
26,"Tringa totanus (NT)"
27,"Tringa totanus (NT)"
28,"Tringa totanus (NT)"
29,"Tringa totanus (NT)"
30,"Tringa totanus (NT)"
31,"Tringa totanus (NT)"
32,"Tringa totanus (NT)"
33,"Tringa totanus (NT)"
34,"Tringa totanus (NT)"
35,"Tringa totanus (NT)"
36,"Tringa totanus (NT)"
37,"Tringa totanus (NT)"
38,"Tringa totanus (NT)"
39,"Tringa totanus (NT)"
40,"Tringa totanus (NT)"
41,"Tringa totanus (NT)"
42,"Tringa totanus (NT)"
1,"Vanellus vanellus (NT)"
2,"Vanellus vanellus (NT)"
3,"Vanellus vanellus (NT)"
4,"Vanellus vanellus (NT)"
5,"Vanellus vanellus (NT)"
6,"Vanellus vanellus (NT)"
7,"Vanellus vanellus (NT)"
8,"Vanellus vanellus (NT)"
9,"Vanellus vanellus (NT)"
10,"Vanellus vanellus (NT)"
11,"Vanellus vanellus (NT)"
12,"Vanellus vanellus (NT)"
13,"Vanellus vanellus (NT)"
14,"Vanellus vanellus (NT)"
15,"Vanellus vanellus (NT)"
16,"Vanellus vanellus (NT)"
17,"Vanellus vanellus (NT)"
18,"Vanellus vanellus (NT)"
19,"Vanellus vanellus (NT)"
20,"Vanellus vanellus (NT)"
21,"Vanellus vanellus (NT)"
22,"Vanellus vanellus (NT)"
23,"Vanellus vanellus (NT)"
24,"Vanellus vanellus (NT)"
25,"Vanellus vanellus (NT)"
26,"Vanellus vanellus (NT)"
27,"Vanellus vanellus (NT)"
28,"Vanellus vanellus (NT)"
29,"Vanellus vanellus (NT)"
30,"Vanellus vanellus (NT)"
31,"Vanellus vanellus (NT)"
32,"Vanellus vanellus (NT)"
33,"Vanellus vanellus (NT)"
34,"Vanellus vanellus (NT)"
35,"Vanellus vanellus (NT)"
36,"Vanellus vanellus (NT)"
37,"Vanellus vanellus (NT)"
38,"Vanellus vanellus (NT)"
39,"Vanellus vanellus (NT)"
40,"Vanellus vanellus (NT)"
41,"Vanellus vanellus (NT)"
42,"Vanellus vanellus (NT)"
33,"Xenus cinereus (EN)"
42,"Xenus cinereus (EN)"
