BHI_ID,Name,MPA_area_Ha,Date_Est,MPA_Status,mpa_area_rgn
3,Hatter Barn,633,10.9.2009,Managed,521216
3,Broen,588,10.9.2009,Managed,521216
3,Munkegrunde,1329,10.9.2009,Managed,521216
3,Mols Bjerge med kystvande,2915,23.9.2009,Managed,521216
3,Kaløskovene og Kaløvig,746,16.12.2009,Managed,521216
3,Kobberhage kystarealer,792,16.12.2009,Managed,521216
3,Thurø Rev,163,10.9.2009,Managed,521216
3,Mejl Flak,3907,16.12.2009,Designated,521216
3,"Horsens Fjord, havet øst for og Endelave",45823,10.9.2009,Managed,521216
3,"Røsnæs, Røsnæs Rev og Kalundborg Fjord",5664,16.12.2009,Managed,521216
3,Femern Bælt,11456,16.12.2009,Designated,521216
3,"Flensborg Fjord, Bredgrund og farvandet omkring Als",64922,10.9.2009,Managed,521216
3,Skælskør Fjord og havet og kysten mellem Agersø og Glænø,18500,22.8.2005,Managed,521216
3,"Stavns Fjord, Samsø Østerflak og Nordby Hede",15663,14.7.2005,Managed,521216
3,"Küstenbereiche Flensburger Förde von Flensburg bis Geltinger Birk, Flengurger Förde",23362,1.4.2009,Designated,521216
3,Kirkegrund,1761,22.8.2005,Managed,521216
3,Havet og kysten mellem Karrebæk Fjord og Knudshoved Odde,18871,22.8.2005,Managed,521216
3,"Smålandsfarvandet nord for Lolland, Guldborg Sund, Bøtø Nor og Hyllekrog-Rødsand",77848,22.8.2005,Managed,521216
3,Centrale Storebælt og Vresen,62311,10.9.2009,Managed,521216
4,"Flensborg Fjord, Bredgrund og farvandet omkring Als",64922,10.9.2009,Managed,88284
4,"Küstenbereiche Flensburger Förde von Flensburg bis Geltinger Birk, Flengurger Förde",23362,1.4.2009,Designated,88284
5,Gilleleje Flak og Tragten,15034,16.12.2009,Designated,21516
5,Kullaberg-Skälderviken,4519,30.9.2008,Managed,21516
5,Lundåkrabukten,1963,30.9.2008,Designated,21516
6,Gilleleje Flak og Tragten,15034,16.12.2009,Designated,22252
6,Saltholm og omliggende hav,7218,14.7.2005,Managed,22252
7,Stenrev sydøst for Langeland,1484,10.9.2009,Managed,228901
7,Sydfynske Øhav,45199,10.9.2009,Managed,228901
7,Femern Bælt,11456,16.12.2009,Designated,228901
7,"Flensborg Fjord, Bredgrund og farvandet omkring Als",64922,10.9.2009,Managed,228901
7,Fehmarnbelt,27992,21.5.2008,Designated,228901
7,"Smålandsfarvandet nord for Lolland, Guldborg Sund, Bøtø Nor og Hyllekrog-Rødsand",77848,22.8.2005,Managed,228901
8,Femern Bælt,11456,16.12.2009,Designated,353526
8,"Flensborg Fjord, Bredgrund og farvandet omkring Als",64922,10.9.2009,Managed,353526
8,"Küstenbereiche Flensburger Förde von Flensburg bis Geltinger Birk, Flengurger Förde",23362,1.4.2009,Designated,353526
8,Schlei incl. Schleimünde und vorgelagerter Flachgründe,17434,1.2.2006,Designated,353526
8,"Eckernförder Bucht mit Flachgründen, Südküste der Eckernförder Bucht und vorgelagerte Flachgründe",20302,1.3.2009,Designated,353526
8,"Küstenlandschaft Bottsand - Marzkamp u. vorgelagerte Flachgründe, Östlichen Kieler Bucht",142003,1.3.2009,Designated,353526
8,"Staberhuk, Großenbrode Meeresbereiche, Wagrien, Sagas-Bank",46055,1.3.2009,Designated,353526
8,Fehmarnbelt,27992,21.5.2008,Designated,353526
9,Kadetrinne,10007,1.4.2004,Designated,87855
9,"Smålandsfarvandet nord for Lolland, Guldborg Sund, Bøtø Nor og Hyllekrog-Rødsand",77848,22.8.2005,Managed,87855
10,Vorpommersche Boddenlandshaft National Park (West-Pommeranian Lagoon National Park),80500,13.7.2005,Managed,168862
10,Walkyriengrund,2224,1.3.2009,Designated,168862
10,"Staberhuk, Großenbrode Meeresbereiche, Wagrien, Sagas-Bank",46055,1.3.2009,Designated,168862
10,Ostseeküste am Brodtener Ufer,2084,1.3.2009,Designated,168862
10,Fehmarnbelt,27992,21.5.2008,Designated,168862
10,Kadetrinne,10007,1.4.2004,Designated,168862
11,Falsterbo Peninsula with Måkläppen,46330,30.9.2008,Managed,46330
12,Vestamager og havet syd for,6179,17.9.2009,Managed,98059
12,Ølsemagle Strand og Staunings Ø,538,16.12.2009,Managed,98059
12,Havet og kysten mellem Præstø Fjord og Grønsund,32815,6.4.2009,Managed,98059
12,Klinteskov Kalkgrund,1994,10.9.2009,Managed,98059
12,Stege Nor,572,16.12.2009,Managed,98059
12,Stevns Rev,4640,10.9.2009,Managed,98059
12,Bøchers Grund,1098,10.9.2009,Managed,98059
12,Hvideodde Rev,789,17.9.2009,Managed,98059
12,Bakkebrædt og Bakkeground,299,10.9.2009,Managed,98059
12,Adler Grund og Rønne Banke,31910,16.12.2009,Designated,98059
12,Saltholm og omliggende hav,7218,14.7.2005,Managed,98059
12,Kadetrinne,10007,1.4.2004,Designated,98059
13,Adler Grund og Rønne Banke,31910,16.12.2009,Designated,334438
13,Jasmund National Park,3003,13.7.2005,Managed,334438
13,Vorpommersche Boddenlandshaft National Park (West-Pommeranian Lagoon National Park),80500,13.7.2005,Managed,334438
13,Pommersche Bucht-Rönnebank,209018,1.4.2004,Designated,334438
13,Kadetrinne,10007,1.4.2004,Designated,334438
14,Northern Midsjöbanken,98400,9.11.2009,Designated,108957
14,Torhamns Archipelago,10557,25.9.2008,Designated,108957
15,Hvideodde Rev,789,17.9.2009,Managed,2883
15,Bornholm: Davids Banke,838,14.7.2005,Managed,2883
15,Bornholm: Ertholmene,1256,14.7.2005,Managed,2883
16,Ujscie Odry i Zalew Szczecinski,52612,31.12.2009,Designated,601577
16,Wolin i Uznam,30792,14.7.2005,Designated,601577
16,Zatoka Pomorska,309155,31.12.2009,Designated,601577
16,Pommersche Bucht-Rönnebank,209018,1.4.2004,Designated,601577
17,Ostoja Slowinska,32955.30078125,13.7.2005,Designated,909209.59765625
17,Ujscie Odry i Zalew Szczecinski,52612,31.12.2009,Designated,909209.59765625
17,Wolin i Uznam,30792,14.7.2005,Designated,909209.59765625
17,Zatoka Pomorska,309155,31.12.2009,Designated,909209.59765625
17,Przybrzezne Wody Baltyku,194627,31.12.2009,Designated,909209.59765625
17,Pommersche Bucht-Rönnebank,209018,1.4.2004,Designated,909209.59765625
17,Lawica Slupska,80050.296875,31.12.2009,Designated,909209.59765625
18,Zalew Wislany i Mierzeja Wislana,40862.6015625,13.7.2005,Designated,299668.09997558
18,Przybrzezne Wody Baltyku,194627,31.12.2009,Designated,299668.09997558
18,Zatoka Pucka,62430.3984375,13.7.2005,Designated,299668.09997558
18,Ujscie Wisly,1748.09997558,31.12.2009,Designated,299668.09997558
19,Vistula Spit Landscape Park (northern part),4000,NA,Designated,44862.6015625
19,Zalew Wislany i Mierzeja Wislana,40862.6015625,13.7.2005,Designated,44862.6015625
20,Northern Midsjöbanken,98400,9.11.2009,Designated,281581
20,Kopparstenarna/Gotska Sandön/Salvorev Area,60510,16.9.2008,Managed,281581
20,Hoburgs Bank,122671,16.9.2008,Managed,281581
21,Ostoja Slowinska,32955.30078125,13.7.2005,Designated,227582.30078125
21,Przybrzezne Wody Baltyku,194627,31.12.2009,Designated,227582.30078125
22,Curonian Spit State National Park (southern part),6621,6.11.1987,Designated,126010
22,Curonian Spit National Park,27339,23.4.1991,Managed,126010
22,Nemunas Delta Regional Park,28953,24.9.1992,Managed,126010
22,Kursiu Marios Biosphere Polygon,31138,17.9.2009,Managed,126010
22,Baltic Sea Biosphere Polygon,31959,23.5.2013,Designated,126010
23,Curonian Spit National Park,27339,23.4.1991,Managed,139286
23,Pajuris Regional Park,5870,24.9.1992,Managed,139286
23,Nemunas Delta Regional Park,28953,24.9.1992,Managed,139286
23,The state Baltic sea marine reserve,14027,25.5.2005,Designated,139286
23,Kursiu Marios Biosphere Polygon,31138,17.9.2009,Managed,139286
23,Baltic Sea Biosphere Polygon,31959,23.5.2013,Designated,139286
24,Kura Kurk,197300,1.4.2009,Designated,432244
24,Akmensrags,25829,16.1.2013,Designated,432244
24,Irbes saurums,172412,16.1.2013,Designated,432244
24,Nida-Perkone,36703,16.1.2013,Managed,432244
25,Kura Kurk,197300,1.4.2009,Designated,401432
25,Vilsandi,31720,1.4.2009,Managed,401432
25,Irbes saurums,172412,16.1.2013,Designated,401432
26,Northern Midsjöbanken,98400,9.11.2009,Designated,305410
26,Kvädöfjärden med Torrö,5663,16.5.2011,Managed,305410
26,St. Anna/Missjö Archipelago,16614,16.9.2008,Managed,305410
26,Kopparstenarna/Gotska Sandön/Salvorev Area,60510,16.9.2008,Managed,305410
26,Hoburgs Bank,122671,16.9.2008,Managed,305410
26,Värnanäs Archipelago,1552,6.10.2008,Managed,305410
27,Kura Kurk,197300,1.4.2009,Designated,571174
27,Ainazi-Salacgriva,7113,16.1.2013,Designated,571174
27,Irbes saurums,172412,16.1.2013,Designated,571174
27,Selga uz rietumiem no Tujas,58600,16.1.2013,Designated,571174
27,Vitrupe-Tuja,3577,16.1.2013,Designated,571174
27,Rigas lica rietumu piekraste,132172,16.1.2013,Managed,571174
28,Kura Kurk,197300,1.4.2009,Designated,762522
28,Pärnu lahe,114400,1.4.2009,Designated,762522
28,Väinameri,271297,1.4.2009,Designated,762522
28,Ainazi-Salacgriva,7113,16.1.2013,Designated,762522
28,Irbes saurums,172412,16.1.2013,Designated,762522
29,Stora Nassa-Sv. Högarna,29852,16.9.2008,Managed,134297
29,Fifång-Askö-Hartsö,29550,16.9.2008,Managed,134297
29,Kopparstenarna/Gotska Sandön/Salvorev Area,60510,16.9.2008,Managed,134297
29,Bullerö-Bytta,14385,16.9.2008,Managed,134297
30,Saaristomeri /Archipelago Sea,59842,19.9.2005,Managed,62408
30,Tulliniemen linnustonsuojelualue/ Tulliniemi bird protection area,2566,19.9.2005,Managed,62408
31,Hiiu Madala,9600,1.4.2009,Managed,312617
31,Vilsandi,31720,1.4.2009,Managed,312617
31,Väinameri,271297,1.4.2009,Designated,312617
32,Tammisaaren ja Hangon saariston ja Pohjanpitäjänlahden merensuojelualue /Tammisaari and Hanko Archipelago-and Pojo Bay marine proteciton area,52630,19.9.2005,Managed,237879
32,Itäisen Suomenlahden saaristo ja vedet/ Eastern Gulf of Finland Archipelago and waters,95628,19.9.2005,Managed,237879
32,Tulliniemen linnustonsuojelualue/ Tulliniemi bird protection area,2566,19.9.2005,Managed,237879
32,Kirkkonummen saaristo/ Kirkkonummi Archipelago,1750,19.9.2005,Designated,237879
32,Söderskärin ja Långörenin saaristo /Söderskär and Långören Archipelago,18219,19.9.2005,Designated,237879
32,Porvoonjoen suisto - Stensböle /Porvoonjoki estuary-Stensböle,1331,19.9.2005,Managed,237879
32,Pernajanlahtien ja Pernajan saariston merensuojelualue /Pernajabay and Pernaja Archipelago marine protection areas,65755,22.11.2006,Managed,237879
33,Kurgalsky Peninsula,59950,20.7.2000,Designated,228521.74951171
33,Vyborgskii,11304.09960937,29.3.1976,Designated,228521.74951171
33,Lebyazhy Nature Reserve,6344.64990234,3.4.2007,Designated,228521.74951171
33,Berezovye Islands,55295,26.12.1996,Designated,228521.74951171
33,Itäisen Suomenlahden saaristo ja vedet/ Eastern Gulf of Finland Archipelago and waters,95628,19.9.2005,Managed,228521.74951171
34,Kurgalsky Peninsula,59950,20.7.2000,Designated,154841
34,Pakri,20470,1.4.2009,Managed,154841
34,Lahemaa,74421,1.4.2009,Managed,154841
35,Gräsö/Singö Archipelago,66247,16.9.2008,Managed,66247
36,Uudenkaupungin saaristo/ Uusikaupunki Archipelago,55992,19.9.2005,Designated,118400
36,Saaristomeri /Archipelago Sea,59842,19.9.2005,Managed,118400
36,Tulliniemen linnustonsuojelualue/ Tulliniemi bird protection area,2566,19.9.2005,Managed,118400
37,Finngrundet-Östra Banken,23162,16.5.2011,Designated,203394
37,Vänta Litets Grund,15139,16.5.2011,Managed,203394
37,High Coast,152034,30.9.2008,Managed,203394
37,Kronören,5834,16.9.2008,Managed,203394
37,Axmar,7225,16.9.2008,Managed,203394
38,Merenkurkun saaristo /Outer Bothnian Threshold Archipelago (The Quark),128162,19.9.2005,Designated,207114
38,Ouran saaristo /Oura Archipelago,3073,19.9.2005,Designated,207114
38,Uudenkaupungin saaristo/ Uusikaupunki Archipelago,55992,19.9.2005,Designated,207114
38,Närpiön saaristo /Närpiö Archipelago,11828,19.9.2005,Designated,207114
38,Kristiinankaupungin saaristo /Kristiinankaupunki Archipelago,8059,19.9.2005,Designated,207114
39,Holmö Islands,24216,25.9.2008,Managed,24216
40,Merenkurkun saaristo /Outer Bothnian Threshold Archipelago (The Quark),128162,19.9.2005,Designated,131372
40,Uudenkaarlepyyn saaristo /Uusikaarlepyy Archipelago,3210,19.9.2005,Designated,131372
41,Marakallen,5985,16.5.2011,Managed,52281
41,Haparanda Archipelago,46296,24.9.2008,Designated,52281
42,Haparanda Archipelago,46296,24.9.2008,Designated,121233
42,Perämeren kansallispuisto /Bothnian Bay National Park,15890,19.9.2005,Managed,121233
42,"Hailuoto, pohjoisranta/ Hailuoto northshore",3671,19.9.2005,Designated,121233
42,Kirkkosalmi,1019,19.9.2005,Designated,121233
42,Isomatala-Maasyvänlahti,1531,19.9.2005,Designated,121233
42,Liminka Bay /Liminganlahti,11823,19.9.2005,Managed,121233
42,Rahjan saaristo/Rahja Archipelago,8381,19.9.2005,Managed,121233
42,Kokkolan saaristo/Kokkola Archipelago,14955,22.11.2006,Managed,121233
42,Luodon saaristo/Luoto Archipelago,14457,19.9.2005,Managed,121233
42,Uudenkaarlepyyn saaristo /Uusikaarlepyy Archipelago,3210,19.9.2005,Designated,121233
