name_csv,BSPA_ID,status_csv,name_shape,BHI_ID,country,status_shape,date_est,mpa_area_km2,eez_area_km2,mgmt_status
Thuroe Rev,272,Designated_and_managed,Thurø Rev,3,Denmark,Managed,2009,1.63,10369.11323,Designated_and_managed
"Alborg Bugt, oestlige del",274,Designated_and_managed,"Ålborg Bugt, østlige del",2,Denmark,Managed,2009,1773.6,15300.69996,Designated_and_managed
Mejl Flak,286,Designated,Mejl Flak,3,Denmark,Designated,2009,39.07,10369.11323,Designated
Adler Grund og Roenne Banke,275,Designated,Adler Grund og Rønne Banke,12,Denmark,Designated,2009,319.1,6272.53375,Designated
Adler Grund og Roenne Banke,275,Designated,Adler Grund og Rønne Banke,13,Denmark,Designated,2009,319.1,7071.49776,Designated
Kims Top og den Kinesiske Mur,257,Designated_and_managed,Kims Top og den Kinesiske Mur,2,Denmark,Managed,2009,261,15300.69996,Designated_and_managed
"Horsens Fjord, havet oest for og Endelave",255,Designated_and_managed,"Horsens Fjord, havet øst for og Endelave",3,Denmark,Managed,2009,458.23,10369.11323,Designated_and_managed
Lysegrund,260,Designated_and_managed,Lysegrund,2,Denmark,Managed,2009,31.58,15300.69996,Designated_and_managed
"Roesn<e6>s, Roesn<e6>s Rev og Kalundborg Fjord",288,Designated_and_managed,"Røsnæs, Røsnæs Rev og Kalundborg Fjord",3,Denmark,Managed,2009,56.64,10369.11323,Designated_and_managed
Femern B<e6>lt,278,Designated,Femern Bælt,3,Denmark,Designated,2009,114.56,10369.11323,Designated
Femern B<e6>lt,278,Designated,Femern Bælt,7,Denmark,Designated,2009,114.56,1208.87616,Designated
Femern B<e6>lt,278,Designated,Femern Bælt,8,Denmark,Designated,2009,114.56,2079.47971,Designated
Gilleleje Flak og Tragten,279,Designated,Gilleleje Flak og Tragten,2,Denmark,Designated,2009,150.34,15300.69996,Designated
Gilleleje Flak og Tragten,279,Designated,Gilleleje Flak og Tragten,6,Denmark,Designated,2009,150.34,588.38712,Designated
Gilleleje Flak og Tragten,279,Designated,Gilleleje Flak og Tragten,5,Denmark,Designated,2009,150.34,612.66514,Designated
Schultz og Hastens Grund samt Briseis Flak,267,Designated_and_managed,Schultz og Hastens Grund samt Briseis Flak,2,Denmark,Managed,2009,207.1,15300.69996,Designated_and_managed
"Flensborg Fjord, Bredgrund og farvandet omkring Als",250,Designated_and_managed,"Flensborg Fjord, Bredgrund og farvandet omkring Als",3,Denmark,Managed,2009,649.22,10369.11323,Designated_and_managed
"Flensborg Fjord, Bredgrund og farvandet omkring Als",250,Designated_and_managed,"Flensborg Fjord, Bredgrund og farvandet omkring Als",7,Denmark,Managed,2009,649.22,1208.87616,Designated_and_managed
"Flensborg Fjord, Bredgrund og farvandet omkring Als",250,Designated_and_managed,"Flensborg Fjord, Bredgrund og farvandet omkring Als",4,Denmark,Managed,2009,649.22,140.98877,Designated_and_managed
"Flensborg Fjord, Bredgrund og farvandet omkring Als",250,Designated_and_managed,"Flensborg Fjord, Bredgrund og farvandet omkring Als",8,Denmark,Managed,2009,649.22,2079.47971,Designated_and_managed
Ebbeloekke Rev,277,Designated_and_managed,Ebbeløkke Rev,2,Denmark,Managed,2009,1.4,15300.69996,Designated_and_managed
Kyndby Kyst,285,Designated_and_managed,Kyndby Kyst,2,Denmark,Managed,2009,3.6,15300.69996,Designated_and_managed
Northern Midsjoebanken,116,Designated,Northern Midsjöbanken,14,Sweden,Designated,2009,984,15096.6004,Designated
Northern Midsjoebanken,116,Designated,Northern Midsjöbanken,20,Sweden,Designated,2009,984,21941.00756,Designated
Northern Midsjoebanken,116,Designated,Northern Midsjöbanken,26,Sweden,Designated,2009,984,27456.05692,Designated
Morups Bank,295,Designated,Morups Bank,1,Sweden,Designated,2009,5.67,6739.5362,Designated
Stora Middelgrund och Roede Bank,296,Designated,Stora Middelgrund och Röde Bank,2,Sweden,Designated,2009,114.25,15300.69996,Designated
Stora Middelgrund och Roede Bank,296,Designated,Stora Middelgrund och Röde Bank,1,Sweden,Designated,2009,114.25,6739.5362,Designated
Finngrundet-Oestra Banken,297,Designated_and_managed,Finngrundet-Östra Banken,37,Sweden,Designated,2011,231.62,31735.90809,Designated_and_managed
Vaenta Litets Grund,298,Designated_and_managed,Vänta Litets Grund,37,Sweden,Managed,2011,151.39,31735.90809,Designated_and_managed
Marakallen,299,Designated_and_managed,Marakallen,41,Sweden,Managed,2011,59.85,17335.82956,Designated_and_managed
Kvaedoefjaerden med Torroe,300,Designated_and_managed,Kvädöfjärden med Torrö,26,Sweden,Managed,2011,56.63,27456.05692,Designated_and_managed
Kura Kurk,95,Designated,Kura Kurk,25,Estonia,Designated,2009,1973,5414.05646,Designated
Kura Kurk,95,Designated,Kura Kurk,28,Estonia,Designated,2009,1973,10774.55332,Designated
Kura Kurk,95,Designated,Kura Kurk,24,Estonia,Designated,2009,1973,20977.58487,Designated
Kura Kurk,95,Designated,Kura Kurk,27,Estonia,Designated,2009,1973,7993.91788,Designated
Paernu lahe,94,Designated,Pärnu lahe,28,Estonia,Designated,2009,1144,10774.55332,Designated
Pakri,206,Designated_and_managed,Pakri,34,Estonia,Managed,2009,204.7,8426.04463,Designated_and_managed
NA,2,NA,Jasmund National Park,13,Germany,Managed,2005,30.03,7071.49776,Managed
NA,3,NA,Vorpommersche Boddenlandshaft National Park (West-Pommeranian Lagoon National Park),13,Germany,Managed,2005,805,7071.49776,Managed
NA,3,NA,Vorpommersche Boddenlandshaft National Park (West-Pommeranian Lagoon National Park),10,Germany,Managed,2005,805,3438.82204,Managed
Lahemaa,88,Designated_and_managed,Lahemaa,34,Estonia,Managed,2009,744.21,8426.04463,Designated_and_managed
Hiiu Madala,90,Designated_and_managed,Hiiu Madala,31,Estonia,Managed,2009,96,11841.39906,Designated_and_managed
Vilsandi,91,Designated_and_managed,Vilsandi,25,Estonia,Managed,2009,317.2,5414.05646,Designated_and_managed
Vilsandi,91,Designated_and_managed,Vilsandi,31,Estonia,Managed,2009,317.2,11841.39906,Designated_and_managed
Haparanda Archipelago,101,Designated_and_partly_managed,Haparanda Archipelago,42,Sweden,Designated,2008,462.96,14930.90472,Designated_and_partly_managed
Haparanda Archipelago,101,Designated_and_partly_managed,Haparanda Archipelago,41,Sweden,Designated,2008,462.96,17335.82956,Designated_and_partly_managed
Holmoe Islands,103,Designated_and_managed,Holmö Islands,39,Sweden,Managed,2008,242.16,3215.71496,Designated_and_managed
High Coast,104,Designated_and_managed,High Coast,37,Sweden,Managed,2008,1520.34,31735.90809,Designated_and_managed
Graesoe/Singoe Archipelago,105,Designated_and_managed,Gräsö/Singö Archipelago,35,Sweden,Managed,2008,662.47,2703.05659,Designated_and_managed
Stora Nassa-Sv. Hoegarna,106,Designated_and_partly_managed,Stora Nassa-Sv. Högarna,29,Sweden,Managed,2008,298.52,17728.40167,Designated_and_partly_managed
Fifang-Askoe-Hartsoe,107,Designated_and_managed,Fifång-Askö-Hartsö,29,Sweden,Managed,2008,295.5,17728.40167,Designated_and_managed
S:t Anna/Missjoe Archipelago,108,Designated_and_managed,St. Anna/Missjö Archipelago,26,Sweden,Managed,2008,166.14,27456.05692,Designated_and_managed
Kopparstenarna/Gotska Sandoen/Salvorev Area,109,Designated_and_managed,Kopparstenarna/Gotska Sandön/Salvorev Area,20,Sweden,Managed,2008,605.1,21941.00756,Designated_and_managed
Kopparstenarna/Gotska Sandoen/Salvorev Area,109,Designated_and_managed,Kopparstenarna/Gotska Sandön/Salvorev Area,29,Sweden,Managed,2008,605.1,17728.40167,Designated_and_managed
Kopparstenarna/Gotska Sandoen/Salvorev Area,109,Designated_and_managed,Kopparstenarna/Gotska Sandön/Salvorev Area,26,Sweden,Managed,2008,605.1,27456.05692,Designated_and_managed
NA,110,NA,Torhamns Archipelago,14,Sweden,Designated,2008,105.57,15096.6004,Designated
Falsterbo Peninsula with Maklaeppen,111,Designated_and_managed,Falsterbo Peninsula with Måkläppen,11,Sweden,Managed,2008,463.3,4226.44762,Designated_and_managed
Kullaberg-Skaelderviken,112,Designated_and_managed,Kullaberg-Skälderviken,1,Sweden,Managed,2008,45.19,6739.5362,Designated_and_managed
Kullaberg-Skaelderviken,112,Designated_and_managed,Kullaberg-Skälderviken,5,Sweden,Managed,2008,45.19,612.66514,Designated_and_managed
Kungsbackafjorden,113,Designated_and_managed,Kungsbackafjorden,1,Sweden,Managed,2008,78.77,6739.5362,Designated_and_managed
Hoburgs Bank,115,Designated_and_managed,Hoburgs Bank,20,Sweden,Managed,2008,1226.71,21941.00756,Designated_and_managed
Hoburgs Bank,115,Designated_and_managed,Hoburgs Bank,26,Sweden,Managed,2008,1226.71,27456.05692,Designated_and_managed
Fladen,118,Designated_and_managed,Fladen,1,Sweden,Managed,2008,103.95,6739.5362,Designated_and_managed
Lilla Middelgrund,119,Designated_and_managed,Lilla Middelgrund,1,Sweden,Managed,2008,178.64,6739.5362,Designated_and_managed
Curonian Spit National Park,122,Designated_and_managed,Curonian Spit National Park,23,Lithuania,Managed,1991,273.39,6139.73941,Designated_and_managed
Curonian Spit National Park,122,Designated_and_managed,Curonian Spit National Park,22,Lithuania,Managed,1991,273.39,9466.30104,Designated_and_managed
Pajuris Regional Park,123,Designated_and_managed,Pajuris Regional Park,23,Lithuania,Managed,1992,58.7,6139.73941,Designated_and_managed
Nemunas Delta Regional Park,124,Designated_and_managed,Nemunas Delta Regional Park,23,Lithuania,Managed,1992,289.53,6139.73941,Designated_and_managed
Nemunas Delta Regional Park,124,Designated_and_managed,Nemunas Delta Regional Park,22,Lithuania,Managed,1992,289.53,9466.30104,Designated_and_managed
The state Baltic sea marine reserve,125,Designated,The state Baltic sea marine reserve,23,Lithuania,Designated,2005,140.27,6139.73941,Designated
Davids Banke,126,Designated_and_managed,Bornholm: Davids Banke,15,Denmark,Managed,2005,8.38,7152.79836,Designated_and_managed
Sk<e6>lskoer Fjord og havet og kysten mellem Agersoe og Gl<e6>noe,128,Designated_and_managed,Skælskør Fjord og havet og kysten mellem Agersø og Glænø,3,Denmark,Managed,2005,185,10369.11323,Designated_and_managed
Saltholm og omliggende hav,129,Designated_and_managed,Saltholm og omliggende hav,12,Denmark,Managed,2005,72.18,6272.53375,Designated_and_managed
Saltholm og omliggende hav,129,Designated_and_managed,Saltholm og omliggende hav,6,Denmark,Managed,2005,72.18,588.38712,Designated_and_managed
"Stavns Fjord, Samsoe Oesterflak og Nordby Hede",130,Designated_and_managed,"Stavns Fjord, Samsø Østerflak og Nordby Hede",3,Denmark,Managed,2005,156.63,10369.11323,Designated_and_managed
Hesseloe med omliggende stenrev,131,Designated_and_managed,Hesselø med omliggende stenrev,2,Denmark,Managed,2005,42,15300.69996,Designated_and_managed
"Alborg Bugt, Randers Fjord and Mariager Fjord, Birdprotection sites",133,Designated_and_managed,"Ålborg Bugt, Randers Fjord and Mariager Fjord, Birdprotection sites",2,Denmark,Managed,2005,721.97,15300.69996,Designated_and_managed
Herthas Flak,137,Designated_and_managed,Herthas Flak,2,Denmark,Managed,2005,13.8,15300.69996,Designated_and_managed
	Bothnian Bay National Park,139,Designated_and_managed,Perämeren kansallispuisto /Bothnian Bay National Park,42,Finland,Managed,2005,158.9,14930.90472,Designated_and_managed
	Outer Bothnian Threshold Archipelago (The Quark),140,Designated,Merenkurkun saaristo /Outer Bothnian Threshold Archipelago (The Quark),38,Finland,Designated,2005,1281.62,28136.78846,Designated
	Outer Bothnian Threshold Archipelago (The Quark),140,Designated,Merenkurkun saaristo /Outer Bothnian Threshold Archipelago (The Quark),40,Finland,Designated,2005,1281.62,4932.99666,Designated
	Oura Archipelago,141,Designated,Ouran saaristo /Oura Archipelago,38,Finland,Designated,2005,30.73,28136.78846,Designated
	Uusikaupunki Archipelago,142,Designated,Uudenkaupungin saaristo/ Uusikaupunki Archipelago,36,Finland,Designated,2005,559.92,12405.68538,Designated
	Uusikaupunki Archipelago,142,Designated,Uudenkaupungin saaristo/ Uusikaupunki Archipelago,38,Finland,Designated,2005,559.92,28136.78846,Designated
	Archipelago Sea,143,Designated,Saaristomeri /Archipelago Sea,36,Finland,Managed,2005,598.42,12405.68538,Designated
	Archipelago Sea,143,Designated,Saaristomeri /Archipelago Sea,30,Finland,Managed,2005,598.42,9800.24404,Designated
	Tammisaari and Hanko Archipelago-and Pojo Bay marine proteciton area,144,Designated_and_managed,Tammisaaren ja Hangon saariston ja Pohjanpitäjänlahden merensuojelualue /Tammisaari and Hanko Archipelago-and Pojo Bay marine proteciton area,32,Finland,Managed,2005,526.3,9549.67733,Designated_and_managed
	Eastern Gulf of Finland Archipelago and waters,145,Designated_and_managed,Itäisen Suomenlahden saaristo ja vedet/ Eastern Gulf of Finland Archipelago and waters,32,Finland,Managed,2005,956.28,9549.67733,Designated_and_managed
	Eastern Gulf of Finland Archipelago and waters,145,Designated_and_managed,Itäisen Suomenlahden saaristo ja vedet/ Eastern Gulf of Finland Archipelago and waters,33,Finland,Managed,2005,956.28,11571.59858,Designated_and_managed
	Hailuoto northshore,147,Designated,"Hailuoto, pohjoisranta/ Hailuoto northshore",42,Finland,Designated,2005,36.71,14930.90472,Designated
Kirkkosalmi,148,Designated,Kirkkosalmi,42,Finland,Designated,2005,10.19,14930.90472,Designated
Isomatala-Maasyvaenlahti,149,Designated,Isomatala-Maasyvänlahti,42,Finland,Designated,2005,15.31,14930.90472,Designated
	Liminganlahti,150,Designated,Liminka Bay /Liminganlahti,42,Finland,Managed,2005,118.23,14930.90472,Designated
	Rahja Archipelago,151,Designated_and_managed,Rahjan saaristo/Rahja Archipelago,42,Finland,Managed,2005,83.81,14930.90472,Designated_and_managed
	Kokkola Archipelago,152,Designated_and_managed,Kokkolan saaristo/Kokkola Archipelago,42,Finland,Managed,2006,149.55,14930.90472,Designated_and_managed
	Luoto Archipelago,153,Designated_and_managed,Luodon saaristo/Luoto Archipelago,42,Finland,Managed,2005,144.57,14930.90472,Designated_and_managed
	Uusikaarlepyy Archipelago,154,Designated,Uudenkaarlepyyn saaristo /Uusikaarlepyy Archipelago,42,Finland,Designated,2005,32.1,14930.90472,Designated
	Uusikaarlepyy Archipelago,154,Designated,Uudenkaarlepyyn saaristo /Uusikaarlepyy Archipelago,40,Finland,Designated,2005,32.1,4932.99666,Designated
	Naerpioe Archipelago,155,Designated,Närpiön saaristo /Närpiö Archipelago,38,Finland,Designated,2005,118.28,28136.78846,Designated
	Kristiinankaupunki Archipelago,156,Designated,Kristiinankaupungin saaristo /Kristiinankaupunki Archipelago,38,Finland,Designated,2005,80.59,28136.78846,Designated
	Tulliniemi bird protection area,157,Designated,Tulliniemen linnustonsuojelualue/ Tulliniemi bird protection area,36,Finland,Managed,2005,25.66,12405.68538,Designated
	Tulliniemi bird protection area,157,Designated,Tulliniemen linnustonsuojelualue/ Tulliniemi bird protection area,32,Finland,Managed,2005,25.66,9549.67733,Designated
	Tulliniemi bird protection area,157,Designated,Tulliniemen linnustonsuojelualue/ Tulliniemi bird protection area,30,Finland,Managed,2005,25.66,9800.24404,Designated
	Kirkkonummi Archipelago,158,Designated,Kirkkonummen saaristo/ Kirkkonummi Archipelago,32,Finland,Designated,2005,17.5,9549.67733,Designated
	Soederskaer and Langoeren Archipelago,159,Designated,Söderskärin ja Långörenin saaristo /Söderskär and Långören Archipelago,32,Finland,Designated,2005,182.19,9549.67733,Designated
	Porvoonjoki estuary-Stensboele,160,Designated,Porvoonjoen suisto - Stensböle /Porvoonjoki estuary-Stensböle,32,Finland,Managed,2005,13.31,9549.67733,Designated
	Pernajabay and Pernaja Archipelago marine protection areas,161,Designated,Pernajanlahtien ja Pernajan saariston merensuojelualue /Pernajabay and Pernaja Archipelago marine protection areas,32,Finland,Managed,2006,657.55,9549.67733,Designated
NA,171,NA,Walkyriengrund,10,Germany,Designated,2009,22.24,3438.82204,Designated
Pommersche Bucht-Roennebank,172,Designated,Pommersche Bucht-Rönnebank,13,Germany,Designated,2004,2090.18,7071.49776,Designated
Pommersche Bucht-Roennebank,172,Designated,Pommersche Bucht-Rönnebank,16,Germany,Designated,2004,2090.18,2566.81091,Designated
Pommersche Bucht-Roennebank,172,Designated,Pommersche Bucht-Rönnebank,17,Germany,Designated,2004,2090.18,17334.97259,Designated
"Kustenbereiche Flensburger Foerde von Flensburg bis Geltinger Birk, Flengurger Foerde",173,Designated,"Küstenbereiche Flensburger Förde von Flensburg bis Geltinger Birk, Flengurger Förde",3,Germany,Designated,2009,233.62,10369.11323,Designated
"Kustenbereiche Flensburger Foerde von Flensburg bis Geltinger Birk, Flengurger Foerde",173,Designated,"Küstenbereiche Flensburger Förde von Flensburg bis Geltinger Birk, Flengurger Förde",4,Germany,Designated,2009,233.62,140.98877,Designated
"Kustenbereiche Flensburger Foerde von Flensburg bis Geltinger Birk, Flengurger Foerde",173,Designated,"Küstenbereiche Flensburger Förde von Flensburg bis Geltinger Birk, Flengurger Förde",8,Germany,Designated,2009,233.62,2079.47971,Designated
Schlei incl. Schleimunde und vorgelagerter Flachgrunde,174,Designated,Schlei incl. Schleimünde und vorgelagerter Flachgründe,8,Germany,Designated,2006,174.34,2079.47971,Designated
"Eckernfoerder Bucht mit Flachgrunden, Sudkuste der Eckernfoerder Bucht und vorgelagerte Flachgrunde",175,Designated,"Eckernförder Bucht mit Flachgründen, Südküste der Eckernförder Bucht und vorgelagerte Flachgründe",8,Germany,Designated,2009,203.02,2079.47971,Designated
"Kustenlandschaft Bottsand - Marzkamp u. vorgelagerte Flachgrunde, Oestlichen Kieler Bucht",176,Designated,"Küstenlandschaft Bottsand - Marzkamp u. vorgelagerte Flachgründe, Östlichen Kieler Bucht",8,Germany,Designated,2009,1420.03,2079.47971,Designated
"Staberhuk, Grossenbrode Meeresbereiche, Wagrien, Sagas-Bank",177,Designated,"Staberhuk, Großenbrode Meeresbereiche, Wagrien, Sagas-Bank",10,Germany,Designated,2009,460.55,3438.82204,Designated
"Staberhuk, Grossenbrode Meeresbereiche, Wagrien, Sagas-Bank",177,Designated,"Staberhuk, Großenbrode Meeresbereiche, Wagrien, Sagas-Bank",8,Germany,Designated,2009,460.55,2079.47971,Designated
NA,178,NA,Ostseeküste am Brodtener Ufer,10,Germany,Designated,2009,20.84,3438.82204,Designated
NA,180,NA,Fehmarnbelt,7,Germany,Designated,2008,279.92,1208.87616,Designated
NA,180,NA,Fehmarnbelt,10,Germany,Designated,2008,279.92,3438.82204,Designated
NA,180,NA,Fehmarnbelt,8,Germany,Designated,2008,279.92,2079.47971,Designated
NA,181,NA,Kadetrinne,12,Germany,Designated,2004,100.07,6272.53375,Designated
NA,181,NA,Kadetrinne,9,Germany,Designated,2004,100.07,1144.29301,Designated
NA,181,NA,Kadetrinne,13,Germany,Designated,2004,100.07,7071.49776,Designated
NA,181,NA,Kadetrinne,10,Germany,Designated,2004,100.07,3438.82204,Designated
Ertholmene,184,Designated_and_managed,Bornholm: Ertholmene,15,Denmark,Managed,2005,12.56,7152.79836,Designated_and_managed
Kirkegrund,185,Designated_and_managed,Kirkegrund,3,Denmark,Managed,2005,17.61,10369.11323,Designated_and_managed
Havet og kysten mellem Karreb<e6>k Fjord og Knudshoved Odde,186,Designated_and_managed,Havet og kysten mellem Karrebæk Fjord og Knudshoved Odde,3,Denmark,Managed,2005,188.71,10369.11323,Designated_and_managed
