Country (Country),Species (ASFIS species),Aquaculture area (FAO major fishing area),Environment (Environment),Unit,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Denmark,Brown seaweeds,"Atlantic, Northeast",Marine,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1000 F,1000 F,1000 F,1000 F,1000 F,1800,100
Denmark,Rainbow trout,"Atlantic, Northeast",Brackishwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,280,293,729,...,-,-,94.2,100 F,100 F,...,...,...
Denmark,Rainbow trout,"Atlantic, Northeast",Marine,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,150,400,500,600,1100,2856,2586,3733,3000,5100,6700,6500,5958,6798,7852,6793,7348,7802,5852,7089,7053,7264,5853,3139,7664,8785,7809,7848,6882,10228,9099.3,10100 F,10100 F,10327.28,13840 F,15750 F
Germany,Rainbow trout,"Atlantic, Northeast",Brackishwater,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2 F,10 F,50 F,120 F,160 F,200 F,250 F,320 F,400 F,450 F,504,485,571,651,703,786,786,584,566,15,13,150,100,50,24,28,30,27,27,26,23,19,19,21,20,20,22,14,14,26,30,22,20 F
Russian Federation,Atlantic salmon,"Atlantic, Northeast",Marine,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,300,203,200,229,108,51,2126,4500,8500,8754,22500,18675
Russian Federation,Brown seaweeds,"Atlantic, Northeast",Marine,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,100,112,103,-,-,-,-,-,-,-,-,-,-,-,-,-
Sweden,Rainbow trout,"Atlantic, Northeast",Marine,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,670,916,1772,2668,2834,4051,3565,3526,2708,2154,2256,2378,2923,3239,2166,2026,1963,1579,1932,1606,1060,1316,1475,1503,1480,1668,2431,2283,3255,3051,3116,2485
Sweden,Atlantic salmon,"Atlantic, Northeast",Marine,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5 F,10 F,15 F,30 F,50 F,50 F,75 F,118,81,160,224,363,771,602,270,388,4,7,19,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,8
Germany,Bastard halibut,"Atlantic, Northeast",Marine,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0 0,0 0,-,...,...,...,...
Germany,Common edible cockle,"Atlantic, Northeast",Marine,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,...
Denmark,Sea belt,"Atlantic, Northeast",Marine,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,...,...,...,...,...
Latvia,European perch,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2,...,1,2,1,0.7,1.2,0.6,0.7,0.7,0.55
Sweden,European eel,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2,12,41,51,90,203,166,157,141,171,169,160,139,161,189,204,222,273,200,167,170,158,222,191,175,172,...,...,90,93,92,64
Lithuania,European eel,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,12,...,...,...,...,...
Russian Federation,European perch,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,23,19,18,17,36,43,77,170,108,252,202,140,57,35,235,220,233
Russian Federation,Whitefishes nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,18265,3300,1321,3384,630,489,800,2000,970,1086,1200,2150,2200,2901,4200,4530,4600,4620,6800,6170,6740,4673,4267,2717,2874,2746,3503
Latvia,Arctic char,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.2,...,0.41
Estonia,European eel,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,15,7,40,40,45,47,30,20.3,2,...,...,127
Denmark,Arctic char,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,42,-,-,-,-,-,-,...,...,...,...,...,...
Denmark,European eel,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,16,30,120,160,300,620,706,900,900,900,900,950,1400,1689,2468,2717,2674,2100,1021,1866,1675,882,781,872,813,636.9,532 F,354,399.85,712,789
Denmark,"Clams, etc. nei",Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4,4,4,3,...,-,-,-,-,-,-,-,-,-,-,-,-
Germany,European eel,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150,150,150,150,322,329,567,440,447,385,398,660,460,471,643
Denmark,Turbot,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4,17,1,...,...,...,...,...,...
Estonia,European perch,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,1.3,0.6,0.25,0.04,0.02,...
Denmark,European perch,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.1,1,1,0.05,0.1 F,1
Germany,European perch,Europe - Inland waters,Freshwater,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0 0,-,...,...,...,...
Latvia,Sturgeons nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,2,3,...,...,2,9,22,30,10.6,10.7,19.2,27.5,35,54.07
Russian Federation,Channel catfish,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,100,90,73,50,90,65,180,156,100,116,160,61,155,180,145,91,215,456,550,465
Lithuania,Sturgeons nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5,10,8,17,9.3,17.19,51.73,55.36,115.76,72.82
Poland,Sturgeons nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70,210,250,300,300,300,300,250,300,250,270,148,170,241,334,440,472
Russian Federation,Sturgeons nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,940,126,50,56,7,28,400,460,600,780,1100,1560,2050,1800,2100,2208,2400,2470,2100,2030,2385,2150,2078,3020,3270,3430,3560
Russian Federation,Mullets nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,42,-,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Germany,Sturgeons nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,37,22,228,228,214,106,93,40,294,258,257
Denmark,Sturgeons nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,1,0.5,...,1,0.4,2,1
Estonia,Sturgeons nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,8,3,7,17,-,-,-,-,0 0,...,...,...,15,59,75,42,23.5,23.5,13.1,...,...,...
Estonia,Freshwater bream,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.6,0.1,0.03,0.05,0.01,...
Estonia,Tench,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0 0,1,1,1,1,1,1,0 0,0.3,0.2,0.1,0.03,...
Estonia,Roach,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.5,0.3,0.2,0.1,0.02,...
Estonia,Crucian carp,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,5,0 0,-,-,0 0,0 0,0 0,1,1,1,1,1,0.6,0.04,0.03,0.02,0.01,...
Lithuania,Bighead carp,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,63.7,30.29,27.39,23.34,52.25,97.15
Estonia,Pike-perch,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.2,0.5,0.6,0.6,...,...
Denmark,Pike-perch,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6,10,49,36,47,49,103.6,52,66,109.5,112,88
Latvia,Common carp,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2908,6288,2235,2300,619,334,550,520,379,342,412,435,268,442,406,601,526,514,485,538,476,436.8,439.1,449.7,474.6,523.9,507.54
Russian Federation,Silver carp,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,35724,47300,51665,53662,31240,30665,15840,16510,14570,13035,17815,20720,24100,31501,31020,32832,32380,29100,24300,20073,18970,16320,12208,13013,22310,20675,22363
Russian Federation,Grass carp(=White amur),Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,2578,1844,500,520,440,480,40,12,51,80,100,503,480,1050,1520,3800,4200,8320,10250,12270,13057,15556,17625,17245,19149
Germany,Tench,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,20,50,60,69,69,70,69,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,161,156,146
Lithuania,Goldfish,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,47,22,38,48,26,10,18,12,21,17,33.23,26.61,40.9,29.3,32.81
Poland,Grass carp(=White amur),Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,419 F,579,522,419 F,350 F,491 F
Poland,Silver carp,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,400 F,365 F,492 F
Lithuania,Common carp,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3670,4526,4611,4750,3899,2907,1874,1714,1537,1516,1516,1650,1921,1957,1676,2259,2618,1932,2095,3231,2823,3221.6,2936.41,3060.8,3257,3751.1,3306.22
Germany,Pike-perch,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2,2,3,3,3,5,39,50,55,74
Sweden,Common carp,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2,1,...,...,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,...
Russian Federation,Roaches nei,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,10,18,26,26,46,57,61,72,41,57,58,98,49,22,16,18,22
