TIME;GEO;GEO_LABEL;UNIT;UNIT_LABEL;NA_ITEM;Value;Flag and Footnotes
2008;RU;Russia;THS_PER;Thousand persons;Total population national concept;142742.40;
2008;RU;Russia;THS_PER;Thousand persons;Total employment domestic concept;70965.00;
2009;RU;Russia;THS_PER;Thousand persons;Total population national concept;142785.30;
2009;RU;Russia;THS_PER;Thousand persons;Total employment domestic concept;69285.00;
2010;RU;Russia;THS_PER;Thousand persons;Total population national concept;142849.50;
2010;RU;Russia;THS_PER;Thousand persons;Total employment domestic concept;69804.00;
2011;RU;Russia;THS_PER;Thousand persons;Total population national concept;142960.90;
2011;RU;Russia;THS_PER;Thousand persons;Total employment domestic concept;70732.00;
2012;RU;Russia;THS_PER;Thousand persons;Total population national concept;143170.00;e
2012;RU;Russia;THS_PER;Thousand persons;Total employment domestic concept;;
2013;RU;Russia;THS_PER;Thousand persons;Total population national concept;142834.00;e
2013;RU;Russia;THS_PER;Thousand persons;Total employment domestic concept;;
2014;RU;Russia;THS_PER;Thousand persons;Total population national concept;;
2014;RU;Russia;THS_PER;Thousand persons;Total employment domestic concept;;
2015;RU;Russia;THS_PER;Thousand persons;Total population national concept;;
2015;RU;Russia;THS_PER;Thousand persons;Total employment domestic concept;;
