sector,sub_sector,revenue,employment,country,,,,,,,,,,,,,,,,,,,,,
2.3,Marine aquaculture,0,0,Latvia,,,,,,,,,,,,,,,,,,,,,
2.4,Blue biotechnology,0,0,Latvia,,,,,,,,,,,,,,,,,,,,,
2.5,Agriculture on saline soils,0,0,Latvia,,,,,,,,,,,,,,,,,,,,,
3. Energy and raw materials,,,,Latvia,,,,,,,,,,,,,,,,,,,,,
3.1,Offshore oil and gas,0,0,Latvia,,,,,,,,,,,,,,,,,,,,,
3.2,Offshore wind,0,0,Latvia,,,,,,,,,,,,,,,,,,,,,
3.3,Ocean renewable energy,0,0,Latvia,,,,,,,,,,,,,,,,,,,,,
3.4,Carbon capture and storage,0,0,Latvia,,,,,,,,,,,,,,,,,,,,,
3.5,"Aggregates mining (sand, gravel, etc.)",0,0,Latvia,,,,,,,,,,,,,,,,,,,,,
3.6,Marine minerals mining,0,0,Latvia,,,,,,,,,,,,,,,,,,,,,
3.7,Securing fresh water supply (desalition),0,0,Latvia,,,,,,,,,,,,,,,,,,,,,
"4. Leisure, working and living",,,,Latvia,,,,,,,,,,,,,,,,,,,,,
4.1,Coastal tourism,5,52,Latvia,,,,,,,,,,,,,,,,,,,,,
4.2,Yachting and maris,1,12,Latvia,,,,,,,,,,,,,,,,,,,,,
4.3,Cruise tourism,2,5,Latvia,,,,,,,,,,,,,,,,,,,,,
5. Coastal protection,,,,Latvia,,,,,,,,,,,,,,,,,,,,,
5.1,Coastal protection,,,Latvia,,,,,,,,,,,,,,,,,,,,,
5.3,Protection of habitats,9,,Latvia,,,,,,,,,,,,,,,,,,,,,
6. Maritime monitoring and surveillance,,,,Latvia,,,,,,,,,,,,,,,,,,,,,
6.1,Traceability and security of goods supply chains,9,20,Latvia,,,,,,,,,,,,,,,,,,,,,
6.2,Prevent and protect against illegal movement of people and goods,1,41,Latvia,,,,,,,,,,,,,,,,,,,,,
6.3,Environmental monitoring,2,13,Latvia,,,,,,,,,,,,,,,,,,,,,
0. Other sectors,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,
0.1,Shipbuilding (excl. leisure boats) and ship repair,68,3483,Lithuania,,,,,,,,,,,,,,,,,,,,,
0.2,Water projects,10,872,Lithuania,,,,,,,,,,,,,,,,,,,,,
1. Maritime transport,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,
1.1,Deep-sea shipping,13,237,Lithuania,,,,,,,,,,,,,,,,,,,,,
1.2,Short-sea shipping (incl. Ro-Ro),39,699,Lithuania,,,,,,,,,,,,,,,,,,,,,
1.3,Passenger ferry services,82,816,Lithuania,,,,,,,,,,,,,,,,,,,,,
1.4,Inland waterway transport,3,143,Lithuania,,,,,,,,,,,,,,,,,,,,,
"2. Food, nutrition, health and ecosystem services",,,,Lithuania,,,,,,,,,,,,,,,,,,,,,
2.1,Fish for human consumption,98,784,Lithuania,,,,,,,,,,,,,,,,,,,,,
2.2,Fish for animal feeding,0,0,Lithuania,,,,,,,,,,,,,,,,,,,,,
2.3,Marine aquaculture,0,0,Lithuania,,,,,,,,,,,,,,,,,,,,,
2.4,Blue biotechnology,0,0,Lithuania,,,,,,,,,,,,,,,,,,,,,
2.5,Agriculture on saline soils,0,0,Lithuania,,,,,,,,,,,,,,,,,,,,,
3. Energy and raw materials,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,
3.1,Offshore oil and gas,0,0,Lithuania,,,,,,,,,,,,,,,,,,,,,
3.2,Offshore wind,0,0,Lithuania,,,,,,,,,,,,,,,,,,,,,
3.3,Ocean renewable,0,0,Lithuania,,,,,,,,,,,,,,,,,,,,,
,energy,,,Lithuania,,,,,,,,,,,,,,,,,,,,,
3.4,Carbon capture and storage,0,0,Lithuania,,,,,,,,,,,,,,,,,,,,,
3.5,"Aggregates mining (sand, gravel, etc.)",0,0,Lithuania,,,,,,,,,,,,,,,,,,,,,
3.6,Marine minerals mining,0,0,Lithuania,,,,,,,,,,,,,,,,,,,,,
3.7,Securing fresh water supply (desalition),0,0,Lithuania,,,,,,,,,,,,,,,,,,,,,
"4. Leisure, working and living",,,,Lithuania,,,,,,,,,,,,,,,,,,,,,
4.1,Coastal tourism,11,151,Lithuania,,,,,,,,,,,,,,,,,,,,,
4.2,Yachting and maris,3,19,Lithuania,,,,,,,,,,,,,,,,,,,,,
4.3,Cruise tourism,2,,Lithuania,,,,,,,,,,,,,,,,,,,,,
5. Coastal protection,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,
5.1,Coastal protection,8,100,Lithuania,,,,,,,,,,,,,,,,,,,,,
5.3,Protection of habitats,12,54,Lithuania,,,,,,,,,,,,,,,,,,,,,
6. Maritime monitoring and surveillance,,,,Lithuania,,,,,,,,,,,,,,,,,,,,,
6.1,Traceability and security of goods supply chains,2,120,Lithuania,,,,,,,,,,,,,,,,,,,,,
6.2,Prevent and protect against illegal movement of people and goods,6,464,Lithuania,,,,,,,,,,,,,,,,,,,,,
6.3,Environmental monitoring,15,200,Lithuania,,,,,,,,,,,,,,,,,,,,,
0. Other sectors,,,,Poland,,,,,,,,,,,,,,,,,,,,,
0.1,Shipbuilding (excl. leisure boats) and ship repair,470,1860,Poland,,,,,,,,,,,,,,,,,,,,,Eurostat (2010)
0.2,Water projects,214,959,Poland,,,,,,,,,,,,,,,,,,,,,Eurostat (2010)
1. Maritime transport,,,,Poland,,,,,,,,,,,,,,,,,,,,,
1.1,Deep-sea shipping,22,71,Poland,,,,,,,,,,,,,,,,,,,,,Eurostat (2010)
1.2,Short-sea shipping (incl. Ro-Ro),116,375,Poland,,,,,,,,,,,,,,,,,,,,,Eurostat (2010)
1.3,Passenger ferry services,30,81,Poland,,,,,,,,,,,,,,,,,,,,,Eurostat (2010)
1.4,Inland waterway transport,64,177,Poland,,,,,,,,,,,,,,,,,,,,,Eurostat (2010)
"2. Food, nutrition, health and ecosystem services",,,,Poland,,,,,,,,,,,,,,,,,,,,,
2.1,Fish for human consumption,706,3241,Poland,,,,,,,,,,,,,,,,,,,,,"Eurostat (2010)
Number of vessels was utilised as a proxy for the number of enterprises in fishing (no relevant data)."
2.2,Fish for animal feeding,1,6,Poland,,,,,,,,,,,,,,,,,,,,,Eurostat (2010)
2.3,Marine aquaculture,1,6,Poland,,,,,,,,,,,,,,,,,,,,,"JRC Scientific and Policy Reports, The Economic Performance of the EU Aquaculture Sector _ 2012 exercise (STECF-13-03)"
2.4,Blue biotechnology,0,0,Poland,,,,,,,,,,,,,,,,,,,,,
2.5,Agriculture on saline soils,0,0,Poland,,,,,,,,,,,,,,,,,,,,,
3. Energy and raw materials,,,,Poland,,,,,,,,,,,,,,,,,,,,,
3.1,Offshore oil and gas,80,206,Poland,,,,,,,,,,,,,,,,,,,,,Eurostat (2010)
3.2,Offshore wind,0,0,Poland,,,,,,,,,,,,,,,,,,,,,
3.3,Ocean renewable energy,0,0,Poland,,,,,,,,,,,,,,,,,,,,,
3.4,Carbon capture and storage,0,0,Poland,,,,,,,,,,,,,,,,,,,,,
3.5,"Aggregates mining (sand, gravel, etc.)",5,2,Poland,,,,,,,,,,,,,,,,,,,,,Eurostat (2010)
3.6,Marine minerals mining,0,0,Poland,,,,,,,,,,,,,,,,,,,,,
3.7,Securing fresh water supply (desalition),0,0,Poland,,,,,,,,,,,,,,,,,,,,,
"4. Leisure, working and living",,,,Poland,,,,,,,,,,,,,,,,,,,,,
4.1,Coastal tourism,241,1805,Poland,,,,,,,,,,,,,,,,,,,,,Eurostat (2010)
4.2,Yachting and maris,78,405,Poland,,,,,,,,,,,,,,,,,,,,,Eurostat (2010)
4.3,Cruise tourism,11,29,Poland,,,,,,,,,,,,,,,,,,,,,Eurostat (2010)
5. Coastal protection,,,,Poland,,,,,,,,,,,,,,,,,,,,,
"5.1
_
5.2",Coastal protection,11,,Poland,,,,,,,,,,,,,,,,,,,,,Maritime Office in Gdynia and data from reports on execution of the tiol budget (access in 2013)6
5.3,Protection of habitats,4,0,Poland,,,,,,,,,,,,,,,,,,,,,Maritime Institute in Gda_sk and data from reports on execution of the tiol budget (access in 2013)
6. Maritime monitoring and surveillance,,,,Poland,,,,,,,,,,,,,,,,,,,,,
6.1,Traceability and security of goods supply chains,95,195,Poland,,,,,,,,,,,,,,,,,,,,,"Interviews with public administration and Ministry of Fince, reports on execution of the tiol budget (access in 2013)7"
6.2,Prevent and protect against illegal movement of people and goods,32,176,Poland,,,,,,,,,,,,,,,,,,,,,Interviews with representatives of Maritime Office in Gdynia and Ministry of Fince reports on execution of the tiol budget (access in 2013)8
6.3,Environmental monitoring,3,34,Poland,,,,,,,,,,,,,,,,,,,,,"Interviews with representatives of Maritime Office in Gdynia and Ministry of Fince reports
on execution of the tiol budget (access in 2013)9"
0. Other sectors,,,,Sweden,,,,,,,,,,,,,,,,,,,,,
0.1,Shipbuilding (excl. leisure boats) and ship repair,19,343,Sweden,,,,,,,,,,,,,,,,,,,,,
0.2,Water projects,39,55,Sweden,,,,,,,,,,,,,,,,,,,,,
1. Maritime transport,,,,Sweden,,,,,,,,,,,,,,,,,,,,,
1.1,Deep-sea shipping,5,74,Sweden,,,,,,,,,,,,,,,,,,,,,
1.2,Short-sea shipping (incl. Ro-Ro),52,892,Sweden,,,,,,,,,,,,,,,,,,,,,
1.3,Passenger ferry services,43,1034,Sweden,,,,,,,,,,,,,,,,,,,,,
1.4,Inland waterway transport,1,15,Sweden,,,,,,,,,,,,,,,,,,,,,
"2. Food, nutrition, health and ecosystem services",,,,Sweden,,,,,,,,,,,,,,,,,,,,,
2.1,Fish for human consumption,60,1425,Sweden,,,,,,,,,,,,,,,,,,,,,
2.2,Fish for animal feeding,7,143,Sweden,,,,,,,,,,,,,,,,,,,,,
2.3,Marine aquaculture,26,147,Sweden,,,,,,,,,,,,,,,,,,,,,
2.4,Blue biotechnology,,,Sweden,,,,,,,,,,,,,,,,,,,,,
2.5,Agriculture on saline soils,0,0,Sweden,,,,,,,,,,,,,,,,,,,,,
3. Energy and raw materials,,,,Sweden,,,,,,,,,,,,,,,,,,,,,
3.1,Offshore oil and gas,0,0,Sweden,,,,,,,,,,,,,,,,,,,,,
3.2,Offshore wind,17,46,Sweden,,,,,,,,,,,,,,,,,,,,,
3.3,Ocean renewable energy,0,0,Sweden,,,,,,,,,,,,,,,,,,,,,
3.4,Carbon capture and storage,0,0,Sweden,,,,,,,,,,,,,,,,,,,,,
3.5,"Aggregates mining (sand, gravel, etc.)",0,0,Sweden,,,,,,,,,,,,,,,,,,,,,
3.6,Marine minerals mining,0,0,Sweden,,,,,,,,,,,,,,,,,,,,,
3.7,Securing fresh water supply (desalition),0,0,Sweden,,,,,,,,,,,,,,,,,,,,,
"4. Leisure, working and living",,,,Sweden,,,,,,,,,,,,,,,,,,,,,
4.1,Coastal tourism,81,2398,Sweden,,,,,,,,,,,,,,,,,,,,,
4.2,Yachting and maris,7,187,Sweden,,,,,,,,,,,,,,,,,,,,,
4.3,Cruise tourism,52,110,Sweden,,,,,,,,,,,,,,,,,,,,,
5. Coastal protection,,,,Sweden,,,,,,,,,,,,,,,,,,,,,
"5.1
_
5.2",Coastal protection,133,1326,Sweden,,,,,,,,,,,,,,,,,,,,,
5.3,Protection of habitats,,,Sweden,,,,,,,,,,,,,,,,,,,,,
6. Maritime monitoring and surveillance,,,,Sweden,,,,,,,,,,,,,,,,,,,,,
6.1,Traceability and security of goods supply chains,,,Sweden,,,,,,,,,,,,,,,,,,,,,
6.2,Prevent and protect against illegal movement of people and goods,,,Sweden,,,,,,,,,,,,,,,,,,,,,
6.3,Environmental monitoring,,,Sweden,,,,,,,,,,,,,,,,,,,,,
0. Other sectors,,,,Denmark,,,,,,,,,,,,,,,,,,,,,
0.1,Shipbuilding (excl. leisure boats) and ship repair,21,3584,Denmark,,,,,,,,,,,,,,,,,,,,,
0.2,Water projects,0,0,Denmark,,,,,,,,,,,,,,,,,,,,,
1. Maritime transport,,,,Denmark,,,,,,,,,,,,,,,,,,,,,
1.1,Deep-sea shipping,27,101,Denmark,,,,,,,,,,,,,,,,,,,,,
1.2,Short-sea shipping (incl. Ro-Ro),272,1019,Denmark,,,,,,,,,,,,,,,,,,,,,
1.3,Passenger ferry services,87,327,Denmark,,,,,,,,,,,,,,,,,,,,,
1.4,Inland waterway transport,0,0,Denmark,,,,,,,,,,,,,,,,,,,,,
"2. Food, nutrition, health and ecosystem services",,,,Denmark,,,,,,,,,,,,,,,,,,,,,
2.1,Fish for human consumption,76,1084,Denmark,,,,,,,,,,,,,,,,,,,,,
2.2,Fish for animal feeding,12,171,Denmark,,,,,,,,,,,,,,,,,,,,,
2.3,Marine aquaculture,1,19,Denmark,,,,,,,,,,,,,,,,,,,,,
2.4,Blue biotechnology,0,0,Denmark,,,,,,,,,,,,,,,,,,,,,
2.5,Agriculture on saline soils,0,0,Denmark,,,,,,,,,,,,,,,,,,,,,
3. Energy and raw materials,,,,Denmark,,,,,,,,,,,,,,,,,,,,,
3.1,Offshore oil and gas,610,266,Denmark,,,,,,,,,,,,,,,,,,,,,
3.2,Offshore wind,7,33,Denmark,,,,,,,,,,,,,,,,,,,,,
3.3,Ocean renewable energy,0,0,Denmark,,,,,,,,,,,,,,,,,,,,,
3.4,Carbon capture and storage,0,0,Denmark,,,,,,,,,,,,,,,,,,,,,
3.5,"Aggregates mining (sand, gravel, etc.)",1,10,Denmark,,,,,,,,,,,,,,,,,,,,,
3.6,Marine minerals mining,0,0,Denmark,,,,,,,,,,,,,,,,,,,,,
3.7,Securing fresh water supply (desalition),0,0,Denmark,,,,,,,,,,,,,,,,,,,,,
"4. Leisure, working and living",,,,Denmark,,,,,,,,,,,,,,,,,,,,,
4.1,Coastal tourism,69,1946,Denmark,,,,,,,,,,,,,,,,,,,,,
4.2,Yachting and maris,16,225,Denmark,,,,,,,,,,,,,,,,,,,,,
4.3,Cruise tourism,31,115,Denmark,,,,,,,,,,,,,,,,,,,,,
5. Coastal protection,,,,Denmark,,,,,,,,,,,,,,,,,,,,,
"5.1
_
5.2",Coastal protection,15,7,Denmark,,,,,,,,,,,,,,,,,,,,,
5.3,Protection of habitats,29,135,Denmark,,,,,,,,,,,,,,,,,,,,,
6. Maritime monitoring and surveillance,,,,Denmark,,,,,,,,,,,,,,,,,,,,,
6.1,Traceability and security of goods supply chains,103,26,Denmark,,,,,,,,,,,,,,,,,,,,,
6.2,Prevent and protect against illegal movement of people and goods,154,39,Denmark,,,,,,,,,,,,,,,,,,,,,
6.3,Environmental monitoring,11,51,Denmark,,,,,,,,,,,,,,,,,,,,,
0. Other sectors,,,,Estonia ,,,,,,,,,,,,,,,,,,,,,
0.1,Shipbuilding (excl. leisure boats) and ship repair,41,492,Estonia ,,,,,,,,,,,,,,,,,,,,,
0.2,Water projects,81,18,Estonia ,,,,,,,,,,,,,,,,,,,,,
1. Maritime transport,,,,Estonia ,,,,,,,,,,,,,,,,,,,,,
1.1,Deep-sea shipping,12,20,Estonia ,,,,,,,,,,,,,,,,,,,,,
1.2,Short-sea shipping (incl. Ro-Ro),22,40,Estonia ,,,,,,,,,,,,,,,,,,,,,
1.3,Passenger ferry services,3,132,Estonia ,,,,,,,,,,,,,,,,,,,,,
1.4,Inland waterway transport,0,0,Estonia ,,,,,,,,,,,,,,,,,,,,,
"2. Food, nutrition, health and ecosystem services",,,,Estonia ,,,,,,,,,,,,,,,,,,,,,
2.1,Fish for human consumption,6,466,Estonia ,,,,,,,,,,,,,,,,,,,,,
2.2,Fish for animal feeding,9,6,Estonia ,,,,,,,,,,,,,,,,,,,,,
2.3,Marine aquaculture,0,0,Estonia ,,,,,,,,,,,,,,,,,,,,,
2.4,Blue biotechnology,0,0,Estonia ,,,,,,,,,,,,,,,,,,,,,
2.5,Agriculture on saline soils,0,0,Estonia ,,,,,,,,,,,,,,,,,,,,,
3. Energy and raw materials,,,,Estonia ,,,,,,,,,,,,,,,,,,,,,
3.1,Offshore oil and gas,0,0,Estonia ,,,,,,,,,,,,,,,,,,,,,
3.2,Offshore wind,0,0,Estonia ,,,,,,,,,,,,,,,,,,,,,
3.3,Ocean renewable energy,0,0,Estonia ,,,,,,,,,,,,,,,,,,,,,
3.4,Carbon capture and storage,0,0,Estonia ,,,,,,,,,,,,,,,,,,,,,
3.5,"Aggregates mining (sand, gravel, etc.)",0,0,Estonia ,,,,,,,,,,,,,,,,,,,,,
3.6,Marine minerals mining,0,0,Estonia ,,,,,,,,,,,,,,,,,,,,,
3.7,Securing fresh water supply (desalition),0,0,Estonia ,,,,,,,,,,,,,,,,,,,,,
"4. Leisure, working and living",,,,Estonia ,,,,,,,,,,,,,,,,,,,,,
4.1,Coastal tourism,5,430,Estonia ,,,,,,,,,,,,,,,,,,,,,
4.2,Yachting and maris,8,30,Estonia ,,,,,,,,,,,,,,,,,,,,,
4.3,Cruise tourism,4,12,Estonia ,,,,,,,,,,,,,,,,,,,,,
5. Coastal protection,,,,Estonia ,,,,,,,,,,,,,,,,,,,,,
"5.1
_
5.2",Coastal protection,0,0,Estonia ,,,,,,,,,,,,,,,,,,,,,
5.3,Protection of habitats,5,5,Estonia ,,,,,,,,,,,,,,,,,,,,,
6. Maritime monitoring and surveillance,,,,Estonia ,,,,,,,,,,,,,,,,,,,,,
6.1,Traceability and security of goods supply chains,1,0.12,Estonia ,,,,,,,,,,,,,,,,,,,,,
6.2,Prevent and protect against illegal movement of people and goods,2,20,Estonia ,,,,,,,,,,,,,,,,,,,,,
6.3,Environmental monitoring,4,21,Estonia ,,,,,,,,,,,,,,,,,,,,,
