"taxa_group","latin_name","common_name","helcom_category","helcom_category_numeric","basin","presence"
"fish","Amblyraja radiata","Starry ray","LC",0,"Gulf of Finland",0
"fish","Amblyraja radiata","Starry ray","LC",0,"Aland Sea",0
"fish","Amblyraja radiata","Starry ray","LC",0,"Bothnian Sea",0
"fish","Amblyraja radiata","Starry ray","LC",0,"The Quark",0
"fish","Amblyraja radiata","Starry ray","LC",0,"Bothnian Bay",0
"fish","Ammodytes marinus","Raitt,s sandeel","LC",0,"Kattegat",1
"fish","Ammodytes marinus","Raitt,s sandeel","LC",0,"Great Belt",0
"fish","Ammodytes marinus","Raitt,s sandeel","LC",0,"Kiel Bay",0
"fish","Ammodytes marinus","Raitt,s sandeel","LC",0,"Bay of Mecklenburg",0
"fish","Ammodytes marinus","Raitt,s sandeel","LC",0,"The Sound",1
"fish","Ammodytes marinus","Raitt,s sandeel","LC",0,"Arkona Basin",0
"fish","Ammodytes marinus","Raitt,s sandeel","LC",0,"Bornholm Basin",0
"fish","Ammodytes marinus","Raitt,s sandeel","LC",0,"Western Gotland Basin",0
"fish","Ammodytes marinus","Raitt,s sandeel","LC",0,"Eastern Gotland Basin",0
"fish","Ammodytes marinus","Raitt,s sandeel","LC",0,"Gulf of Gdansk",0
"fish","Ammodytes marinus","Raitt,s sandeel","LC",0,"Gulf of Riga",0
"fish","Ammodytes marinus","Raitt,s sandeel","LC",0,"Northern Baltic Proper",0
"fish","Ammodytes marinus","Raitt,s sandeel","LC",0,"Gulf of Finland",0
"fish","Ammodytes marinus","Raitt,s sandeel","LC",0,"Aland Sea",0
"fish","Ammodytes marinus","Raitt,s sandeel","LC",0,"Bothnian Sea",0
"fish","Ammodytes marinus","Raitt,s sandeel","LC",0,"The Quark",0
"fish","Ammodytes marinus","Raitt,s sandeel","LC",0,"Bothnian Bay",0
"fish","Ammodytes tobianus","Sandeel","LC",0,"Kattegat",1
"fish","Ammodytes tobianus","Sandeel","LC",0,"Great Belt",1
"fish","Ammodytes tobianus","Sandeel","LC",0,"Kiel Bay",1
"fish","Ammodytes tobianus","Sandeel","LC",0,"Bay of Mecklenburg",1
"fish","Ammodytes tobianus","Sandeel","LC",0,"The Sound",1
"fish","Ammodytes tobianus","Sandeel","LC",0,"Arkona Basin",1
"fish","Ammodytes tobianus","Sandeel","LC",0,"Bornholm Basin",1
"fish","Ammodytes tobianus","Sandeel","LC",0,"Western Gotland Basin",1
"fish","Ammodytes tobianus","Sandeel","LC",0,"Eastern Gotland Basin",1
"fish","Ammodytes tobianus","Sandeel","LC",0,"Gulf of Gdansk",1
"fish","Ammodytes tobianus","Sandeel","LC",0,"Gulf of Gdansk",0
"fish","Ammodytes tobianus","Sandeel","LC",0,"Gulf of Riga",1
"fish","Ammodytes tobianus","Sandeel","LC",0,"Northern Baltic Proper",1
"fish","Ammodytes tobianus","Sandeel","LC",0,"Gulf of Finland",1
"fish","Ammodytes tobianus","Sandeel","LC",0,"Aland Sea",1
"fish","Ammodytes tobianus","Sandeel","LC",0,"Bothnian Sea",1
"fish","Ammodytes tobianus","Sandeel","LC",0,"The Quark",1
"fish","Ammodytes tobianus","Sandeel","LC",0,"Bothnian Bay",1
"fish","Anarhichas lupus","Wolf-fish","EN",0.6,"Kattegat",1
"fish","Anarhichas lupus","Wolf-fish","EN",0.6,"Great Belt",1
"fish","Anarhichas lupus","Wolf-fish","EN",0.6,"Kiel Bay",0
"fish","Anarhichas lupus","Wolf-fish","EN",0.6,"Bay of Mecklenburg",0
"fish","Anarhichas lupus","Wolf-fish","EN",0.6,"The Sound",1
"fish","Anarhichas lupus","Wolf-fish","EN",0.6,"Arkona Basin",0
"fish","Anarhichas lupus","Wolf-fish","EN",0.6,"Bornholm Basin",0
"fish","Anarhichas lupus","Wolf-fish","EN",0.6,"Western Gotland Basin",0
"fish","Anarhichas lupus","Wolf-fish","EN",0.6,"Eastern Gotland Basin",0
"fish","Anarhichas lupus","Wolf-fish","EN",0.6,"Gulf of Gdansk",0
"fish","Anarhichas lupus","Wolf-fish","EN",0.6,"Gulf of Riga",0
"fish","Anarhichas lupus","Wolf-fish","EN",0.6,"Northern Baltic Proper",0
"fish","Anarhichas lupus","Wolf-fish","EN",0.6,"Gulf of Finland",0
"fish","Anarhichas lupus","Wolf-fish","EN",0.6,"Aland Sea",0
"fish","Anarhichas lupus","Wolf-fish","EN",0.6,"Bothnian Sea",0
"fish","Anarhichas lupus","Wolf-fish","EN",0.6,"The Quark",0
"fish","Anarhichas lupus","Wolf-fish","EN",0.6,"Bothnian Bay",0
"fish","Anguilla anguilla","Eel","CR",0.8,"Kattegat",1
"fish","Anguilla anguilla","Eel","CR",0.8,"Great Belt",1
"fish","Anguilla anguilla","Eel","CR",0.8,"Kiel Bay",1
"fish","Anguilla anguilla","Eel","CR",0.8,"Bay of Mecklenburg",1
"fish","Anguilla anguilla","Eel","CR",0.8,"The Sound",1
"fish","Anguilla anguilla","Eel","CR",0.8,"Arkona Basin",1
"fish","Anguilla anguilla","Eel","CR",0.8,"Bornholm Basin",1
"fish","Anguilla anguilla","Eel","CR",0.8,"Western Gotland Basin",1
"fish","Anguilla anguilla","Eel","CR",0.8,"Eastern Gotland Basin",1
"fish","Anguilla anguilla","Eel","CR",0.8,"Gulf of Gdansk",1
"fish","Anguilla anguilla","Eel","CR",0.8,"Gulf of Riga",1
"fish","Anguilla anguilla","Eel","CR",0.8,"Northern Baltic Proper",1
"fish","Anguilla anguilla","Eel","CR",0.8,"Gulf of Finland",1
"fish","Anguilla anguilla","Eel","CR",0.8,"Aland Sea",1
"fish","Anguilla anguilla","Eel","CR",0.8,"Bothnian Sea",1
"fish","Anguilla anguilla","Eel","CR",0.8,"The Quark",0
"fish","Anguilla anguilla","Eel","CR",0.8,"Bothnian Bay",0
"fish","Aphia minuta","Transparent Goby","LC",0,"Kattegat",1
"fish","Aphia minuta","Transparent Goby","LC",0,"Great Belt",1
"fish","Aphia minuta","Transparent Goby","LC",0,"Kiel Bay",1
"fish","Aphia minuta","Transparent Goby","LC",0,"Bay of Mecklenburg",1
"fish","Aphia minuta","Transparent Goby","LC",0,"The Sound",1
"fish","Aphia minuta","Transparent Goby","LC",0,"Arkona Basin",1
"fish","Aphia minuta","Transparent Goby","LC",0,"Bornholm Basin",0
"fish","Aphia minuta","Transparent Goby","LC",0,"Western Gotland Basin",0
"fish","Aphia minuta","Transparent Goby","LC",0,"Eastern Gotland Basin",0
"fish","Aphia minuta","Transparent Goby","LC",0,"Gulf of Gdansk",0
"fish","Aphia minuta","Transparent Goby","LC",0,"Gulf of Riga",0
"fish","Aphia minuta","Transparent Goby","LC",0,"Northern Baltic Proper",0
"fish","Aphia minuta","Transparent Goby","LC",0,"Gulf of Finland",0
"fish","Aphia minuta","Transparent Goby","LC",0,"Aland Sea",0
"fish","Aphia minuta","Transparent Goby","LC",0,"Bothnian Sea",0
"fish","Aphia minuta","Transparent Goby","LC",0,"The Quark",0
"fish","Aphia minuta","Transparent Goby","LC",0,"Bothnian Bay",0
"fish","Arnoglossus laterna","Scaldfish","LC",0,"Kattegat",1
"fish","Arnoglossus laterna","Scaldfish","LC",0,"Great Belt",1
"fish","Arnoglossus laterna","Scaldfish","LC",0,"Great Belt",0
"fish","Arnoglossus laterna","Scaldfish","LC",0,"Kiel Bay",0
"fish","Arnoglossus laterna","Scaldfish","LC",0,"Bay of Mecklenburg",0
"fish","Arnoglossus laterna","Scaldfish","LC",0,"The Sound",1
"fish","Arnoglossus laterna","Scaldfish","LC",0,"Arkona Basin",0
"fish","Arnoglossus laterna","Scaldfish","LC",0,"Bornholm Basin",0
"fish","Arnoglossus laterna","Scaldfish","LC",0,"Western Gotland Basin",0
"fish","Arnoglossus laterna","Scaldfish","LC",0,"Eastern Gotland Basin",0
"fish","Arnoglossus laterna","Scaldfish","LC",0,"Gulf of Gdansk",0
"fish","Arnoglossus laterna","Scaldfish","LC",0,"Gulf of Riga",0
"fish","Arnoglossus laterna","Scaldfish","LC",0,"Northern Baltic Proper",0
"fish","Arnoglossus laterna","Scaldfish","LC",0,"Gulf of Finland",0
"fish","Arnoglossus laterna","Scaldfish","LC",0,"Aland Sea",0
"fish","Arnoglossus laterna","Scaldfish","LC",0,"Bothnian Sea",0
"fish","Arnoglossus laterna","Scaldfish","LC",0,"The Quark",0
"fish","Arnoglossus laterna","Scaldfish","LC",0,"Bothnian Bay",0
"fish","Aspius aspius","Asp","NT",0.2,"Kattegat",0
"fish","Aspius aspius","Asp","NT",0.2,"Great Belt",0
"fish","Aspius aspius","Asp","NT",0.2,"Kiel Bay",0
"fish","Aspius aspius","Asp","NT",0.2,"Bay of Mecklenburg",0
"fish","Aspius aspius","Asp","NT",0.2,"The Sound",0
"fish","Aspius aspius","Asp","NT",0.2,"Arkona Basin",0
"fish","Aspius aspius","Asp","NT",0.2,"Bornholm Basin",0
"fish","Aspius aspius","Asp","NT",0.2,"Western Gotland Basin",0
"fish","Aspius aspius","Asp","NT",0.2,"Eastern Gotland Basin",0
"fish","Aspius aspius","Asp","NT",0.2,"Gulf of Gdansk",0
"fish","Aspius aspius","Asp","NT",0.2,"Gulf of Gdansk",1
"fish","Aspius aspius","Asp","NT",0.2,"Gulf of Riga",0
"fish","Aspius aspius","Asp","NT",0.2,"Northern Baltic Proper",0
"fish","Aspius aspius","Asp","NT",0.2,"Gulf of Finland",1
"fish","Aspius aspius","Asp","NT",0.2,"Aland Sea",0
"fish","Aspius aspius","Asp","NT",0.2,"Bothnian Sea",1
"fish","Aspius aspius","Asp","NT",0.2,"The Quark",0
"fish","Aspius aspius","Asp","NT",0.2,"Bothnian Bay",0
"fish","Belone belone","Garfish","LC",0,"Kattegat",1
"fish","Belone belone","Garfish","LC",0,"Great Belt",1
"fish","Belone belone","Garfish","LC",0,"Kiel Bay",1
"fish","Belone belone","Garfish","LC",0,"Bay of Mecklenburg",1
"fish","Belone belone","Garfish","LC",0,"The Sound",1
"fish","Belone belone","Garfish","LC",0,"Arkona Basin",1
"fish","Belone belone","Garfish","LC",0,"Bornholm Basin",1
"fish","Belone belone","Garfish","LC",0,"Western Gotland Basin",1
"fish","Belone belone","Garfish","LC",0,"Eastern Gotland Basin",1
"fish","Belone belone","Garfish","LC",0,"Gulf of Gdansk",1
"fish","Belone belone","Garfish","LC",0,"Gulf of Gdansk",0
"fish","Belone belone","Garfish","LC",0,"Gulf of Riga",1
"fish","Belone belone","Garfish","LC",0,"Northern Baltic Proper",1
"fish","Belone belone","Garfish","LC",0,"Gulf of Finland",1
"fish","Belone belone","Garfish","LC",0,"Aland Sea",1
"fish","Belone belone","Garfish","LC",0,"Bothnian Sea",1
"fish","Belone belone","Garfish","LC",0,"The Quark",0
"fish","Belone belone","Garfish","LC",0,"Bothnian Bay",0
"fish","Blicca bjoerkna","Silver bream","LC",0,"Kattegat",0
"fish","Blicca bjoerkna","Silver bream","LC",0,"Great Belt",0
"fish","Blicca bjoerkna","Silver bream","LC",0,"Kiel Bay",1
"fish","Blicca bjoerkna","Silver bream","LC",0,"Bay of Mecklenburg",1
"fish","Blicca bjoerkna","Silver bream","LC",0,"The Sound",1
"fish","Blicca bjoerkna","Silver bream","LC",0,"Arkona Basin",1
"fish","Blicca bjoerkna","Silver bream","LC",0,"Bornholm Basin",1
"fish","Blicca bjoerkna","Silver bream","LC",0,"Western Gotland Basin",1
"fish","Blicca bjoerkna","Silver bream","LC",0,"Eastern Gotland Basin",1
"fish","Blicca bjoerkna","Silver bream","LC",0,"Gulf of Gdansk",1
"fish","Blicca bjoerkna","Silver bream","LC",0,"Gulf of Riga",1
"fish","Blicca bjoerkna","Silver bream","LC",0,"Northern Baltic Proper",1
"fish","Blicca bjoerkna","Silver bream","LC",0,"Gulf of Finland",1
"fish","Blicca bjoerkna","Silver bream","LC",0,"Aland Sea",1
"fish","Blicca bjoerkna","Silver bream","LC",0,"Bothnian Sea",1
"fish","Blicca bjoerkna","Silver bream","LC",0,"The Quark",1
"fish","Blicca bjoerkna","Silver bream","LC",0,"Bothnian Bay",1
"fish","Buglossidium luteum","Solenette","LC",0,"Kattegat",1
"fish","Buglossidium luteum","Solenette","LC",0,"Great Belt",0
"fish","Buglossidium luteum","Solenette","LC",0,"Kiel Bay",0
"fish","Buglossidium luteum","Solenette","LC",0,"Bay of Mecklenburg",0
"fish","Buglossidium luteum","Solenette","LC",0,"The Sound",1
"fish","Buglossidium luteum","Solenette","LC",0,"Arkona Basin",0
"fish","Buglossidium luteum","Solenette","LC",0,"Bornholm Basin",0
"fish","Buglossidium luteum","Solenette","LC",0,"Western Gotland Basin",0
"fish","Buglossidium luteum","Solenette","LC",0,"Eastern Gotland Basin",0
"fish","Buglossidium luteum","Solenette","LC",0,"Gulf of Gdansk",0
"fish","Buglossidium luteum","Solenette","LC",0,"Gulf of Riga",0
"fish","Buglossidium luteum","Solenette","LC",0,"Northern Baltic Proper",0
"fish","Buglossidium luteum","Solenette","LC",0,"Gulf of Finland",0
"fish","Buglossidium luteum","Solenette","LC",0,"Aland Sea",0
"fish","Buglossidium luteum","Solenette","LC",0,"Bothnian Sea",0
"fish","Buglossidium luteum","Solenette","LC",0,"The Quark",0
"fish","Buglossidium luteum","Solenette","LC",0,"Bothnian Bay",0
"fish","Callionymus lyra","Dragonet","LC",0,"Kattegat",1
"fish","Callionymus lyra","Dragonet","LC",0,"Great Belt",1
"fish","Callionymus lyra","Dragonet","LC",0,"Kiel Bay",0
"fish","Callionymus lyra","Dragonet","LC",0,"Bay of Mecklenburg",0
"fish","Callionymus lyra","Dragonet","LC",0,"The Sound",1
"fish","Callionymus lyra","Dragonet","LC",0,"Arkona Basin",0
"fish","Callionymus lyra","Dragonet","LC",0,"Bornholm Basin",0
"fish","Callionymus lyra","Dragonet","LC",0,"Western Gotland Basin",0
"fish","Callionymus lyra","Dragonet","LC",0,"Eastern Gotland Basin",0
"fish","Callionymus lyra","Dragonet","LC",0,"Gulf of Gdansk",0
"fish","Callionymus lyra","Dragonet","LC",0,"Gulf of Riga",0
"fish","Callionymus lyra","Dragonet","LC",0,"Northern Baltic Proper",0
"fish","Callionymus lyra","Dragonet","LC",0,"Gulf of Finland",0
"fish","Callionymus lyra","Dragonet","LC",0,"Aland Sea",0
"fish","Callionymus lyra","Dragonet","LC",0,"Bothnian Sea",0
"fish","Callionymus lyra","Dragonet","LC",0,"The Quark",0
"fish","Callionymus lyra","Dragonet","LC",0,"Bothnian Bay",0
"fish","Callionymus maculatus","Spotted dragonet","LC",0,"Kattegat",1
"fish","Callionymus maculatus","Spotted dragonet","LC",0,"Great Belt",0
"fish","Callionymus maculatus","Spotted dragonet","LC",0,"Kiel Bay",0
"fish","Callionymus maculatus","Spotted dragonet","LC",0,"Bay of Mecklenburg",0
"fish","Callionymus maculatus","Spotted dragonet","LC",0,"The Sound",0
"fish","Callionymus maculatus","Spotted dragonet","LC",0,"Arkona Basin",0
"fish","Callionymus maculatus","Spotted dragonet","LC",0,"Bornholm Basin",0
"fish","Callionymus maculatus","Spotted dragonet","LC",0,"Western Gotland Basin",0
"fish","Callionymus maculatus","Spotted dragonet","LC",0,"Eastern Gotland Basin",0
"fish","Callionymus maculatus","Spotted dragonet","LC",0,"Gulf of Gdansk",0
"fish","Callionymus maculatus","Spotted dragonet","LC",0,"Gulf of Riga",0
"fish","Callionymus maculatus","Spotted dragonet","LC",0,"Northern Baltic Proper",0
"fish","Callionymus maculatus","Spotted dragonet","LC",0,"Gulf of Finland",0
"fish","Callionymus maculatus","Spotted dragonet","LC",0,"Aland Sea",0
"fish","Callionymus maculatus","Spotted dragonet","LC",0,"Bothnian Sea",0
"fish","Callionymus maculatus","Spotted dragonet","LC",0,"The Quark",0
"fish","Callionymus maculatus","Spotted dragonet","LC",0,"Bothnian Bay",0
"fish","Carassius carassius","Crucian carp","LC",0,"Kattegat",0
"fish","Carassius carassius","Crucian carp","LC",0,"Great Belt",0
"fish","Carassius carassius","Crucian carp","LC",0,"Kiel Bay",0
"fish","Carassius carassius","Crucian carp","LC",0,"Bay of Mecklenburg",0
"fish","Carassius carassius","Crucian carp","LC",0,"The Sound",0
"fish","Carassius carassius","Crucian carp","LC",0,"Arkona Basin",1
"fish","Carassius carassius","Crucian carp","LC",0,"Bornholm Basin",0
"fish","Carassius carassius","Crucian carp","LC",0,"Western Gotland Basin",0
"fish","Carassius carassius","Crucian carp","LC",0,"Eastern Gotland Basin",0
"fish","Carassius carassius","Crucian carp","LC",0,"Gulf of Gdansk",0
"fish","Carassius carassius","Crucian carp","LC",0,"Gulf of Gdansk",1
"fish","Carassius carassius","Crucian carp","LC",0,"Gulf of Riga",0
