Year,Source,ICES_subdiv,Fish,SSB,F
1983,ICES,22-24,her,,
1984,ICES,22-24,her,,
1985,ICES,22-24,her,,
1986,ICES,22-24,her,,
1987,ICES,22-24,her,,
1988,ICES,22-24,her,,
1989,ICES,22-24,her,,
1990,ICES,22-24,her,,
1991,ICES,22-24,her,303458,0.397
1992,ICES,22-24,her,310519,0.522
1993,ICES,22-24,her,277895,0.573
1994,ICES,22-24,her,226160,0.604
1995,ICES,22-24,her,194658,0.57
1996,ICES,22-24,her,135537,0.637
1997,ICES,22-24,her,148005,0.582
1998,ICES,22-24,her,115844,0.579
1999,ICES,22-24,her,113550,0.494
2000,ICES,22-24,her,121297,0.586
2001,ICES,22-24,her,129573,0.567
2002,ICES,22-24,her,162755,0.531
2003,ICES,22-24,her,130875,0.472
2004,ICES,22-24,her,138552,0.465
2005,ICES,22-24,her,133653,0.514
2006,ICES,22-24,her,156373,0.534
2007,ICES,22-24,her,122516,0.495
2008,ICES,22-24,her,105451,0.531
2009,ICES,22-24,her,94656,0.522
2010,ICES,22-24,her,91950,0.361
2011,ICES,22-24,her,89949,0.306
2012,ICES,22-24,her,93153,0.326
2013,ICES,22-24,her,110747,0.327
2014,ICES,22-24,her,118539,0.261
2015,ICES,22-24,her,129845,
1966,ICES,"25-29,32",her,,
1967,ICES,"25-29,32",her,,
1968,ICES,"25-29,32",her,,
1969,ICES,"25-29,32",her,,
1970,ICES,"25-29,32",her,,
1971,ICES,"25-29,32",her,,
1972,ICES,"25-29,32",her,,
1973,ICES,"25-29,32",her,,
1974,ICES,"25-29,32",her,1682419,0.185
1975,ICES,"25-29,32",her,1575258,0.2
1976,ICES,"25-29,32",her,1366761,0.194
1977,ICES,"25-29,32",her,1518769,0.189
1978,ICES,"25-29,32",her,1441083,0.165
1979,ICES,"25-29,32",her,1408854,0.196
1980,ICES,"25-29,32",her,1357466,0.187
1981,ICES,"25-29,32",her,1286459,0.203
1982,ICES,"25-29,32",her,1428073,0.174
1983,ICES,"25-29,32",her,1405746,0.224
1984,ICES,"25-29,32",her,1318511,0.224
1985,ICES,"25-29,32",her,1265959,0.23
1986,ICES,"25-29,32",her,1201430,0.203
1987,ICES,"25-29,32",her,1146207,0.231
1988,ICES,"25-29,32",her,1149349,0.219
1989,ICES,"25-29,32",her,1011683,0.291
1990,ICES,"25-29,32",her,868697,0.276
1991,ICES,"25-29,32",her,779047,0.286
1992,ICES,"25-29,32",her,798752,0.255
1993,ICES,"25-29,32",her,749694,0.29
1994,ICES,"25-29,32",her,756137,0.35
1995,ICES,"25-29,32",her,661870,0.329
1996,ICES,"25-29,32",her,607154,0.332
1997,ICES,"25-29,32",her,571598,0.366
1998,ICES,"25-29,32",her,520056,0.381
1999,ICES,"25-29,32",her,442120,0.321
2000,ICES,"25-29,32",her,451656,0.436
2001,ICES,"25-29,32",her,405680,0.366
2002,ICES,"25-29,32",her,422897,0.315
2003,ICES,"25-29,32",her,489399,0.24
2004,ICES,"25-29,32",her,499874,0.201
2005,ICES,"25-29,32",her,561197,0.179
2006,ICES,"25-29,32",her,624152,0.192
2007,ICES,"25-29,32",her,655926,0.196
2008,ICES,"25-29,32",her,674088,0.2
2009,ICES,"25-29,32",her,786991,0.179
2010,ICES,"25-29,32",her,857453,0.207
2011,ICES,"25-29,32",her,859512,0.154
2012,ICES,"25-29,32",her,898035,0.113
2013,ICES,"25-29,32",her,956055,0.109
2014,ICES,"25-29,32",her,1007528,0.158
2015,ICES,"25-29,32",her,1000071,
1966,ICES,28_1,her,,
1967,ICES,28_1,her,,
1968,ICES,28_1,her,,
1969,ICES,28_1,her,,
1970,ICES,28_1,her,,
1971,ICES,28_1,her,,
1972,ICES,28_1,her,,
1973,ICES,28_1,her,,
1974,ICES,28_1,her,,
1975,ICES,28_1,her,,
1976,ICES,28_1,her,,
1977,ICES,28_1,her,54522,0.69
1978,ICES,28_1,her,49355,0.375
1979,ICES,28_1,her,46737,0.431
1980,ICES,28_1,her,46710,0.35
1981,ICES,28_1,her,47219,0.453
1982,ICES,28_1,her,42753,0.42
1983,ICES,28_1,her,50845,0.468
1984,ICES,28_1,her,39899,0.707
1985,ICES,28_1,her,51895,0.538
1986,ICES,28_1,her,64155,0.51
1987,ICES,28_1,her,51373,0.424
1988,ICES,28_1,her,96200,0.523
1989,ICES,28_1,her,62881,0.363
1990,ICES,28_1,her,76630,0.239
1991,ICES,28_1,her,86130,0.252
1992,ICES,28_1,her,104434,0.27
1993,ICES,28_1,her,118460,0.236
1994,ICES,28_1,her,122244,0.238
1995,ICES,28_1,her,113805,0.354
1996,ICES,28_1,her,102933,0.381
1997,ICES,28_1,her,100901,0.512
1998,ICES,28_1,her,79436,0.462
1999,ICES,28_1,her,81516,0.446
2000,ICES,28_1,her,81505,0.482
2001,ICES,28_1,her,77540,0.552
2002,ICES,28_1,her,99111,0.492
2003,ICES,28_1,her,84773,0.574
2004,ICES,28_1,her,90379,0.6
2005,ICES,28_1,her,71574,0.524
2006,ICES,28_1,her,68967,0.448
2007,ICES,28_1,her,88226,0.585
2008,ICES,28_1,her,85910,0.347
2009,ICES,28_1,her,100413,0.419
2010,ICES,28_1,her,93128,0.34
2011,ICES,28_1,her,92260,0.393
2012,ICES,28_1,her,76022,0.371
2013,ICES,28_1,her,87909,0.308
2014,ICES,28_1,her,103405,0.342
2015,ICES,28_1,her,90347,
1966,ICES,30,her,,
1967,ICES,30,her,,
1968,ICES,30,her,,
1969,ICES,30,her,,
1970,ICES,30,her,,
1971,ICES,30,her,,
1972,ICES,30,her,,
1973,ICES,30,her,183322,0.121
1974,ICES,30,her,172646,0.113
1975,ICES,30,her,173512,0.084
1976,ICES,30,her,194269,0.102
1977,ICES,30,her,201793,0.128
1978,ICES,30,her,211504,0.125
1979,ICES,30,her,193881,0.104
1980,ICES,30,her,178975,0.117
1981,ICES,30,her,168721,0.091
1982,ICES,30,her,170246,0.115
1983,ICES,30,her,200186,0.092
1984,ICES,30,her,251450,0.107
1985,ICES,30,her,284361,0.092
1986,ICES,30,her,330380,0.074
1987,ICES,30,her,404335,0.064
1988,ICES,30,her,403124,0.063
1989,ICES,30,her,501822,0.057
1990,ICES,30,her,584785,0.05
1991,ICES,30,her,615999,0.045
1992,ICES,30,her,678744,0.057
1993,ICES,30,her,615999,0.058
1994,ICES,30,her,691764,0.085
1995,ICES,30,her,548532,0.115
1996,ICES,30,her,520216,0.118
1997,ICES,30,her,425917,0.156
1998,ICES,30,her,391601,0.138
1999,ICES,30,her,419996,0.141
2000,ICES,30,her,435391,0.124
2001,ICES,30,her,458630,0.113
2002,ICES,30,her,460469,0.089
2003,ICES,30,her,431922,0.099
2004,ICES,30,her,438450,0.106
2005,ICES,30,her,510426,0.101
2006,ICES,30,her,497325,0.119
2007,ICES,30,her,477347,0.136
2008,ICES,30,her,469301,0.128
2009,ICES,30,her,560733,0.114
2010,ICES,30,her,637303,0.112
2011,ICES,30,her,598391,0.117
2012,ICES,30,her,600189,0.163
2013,ICES,30,her,674684,0.164
2014,ICES,30,her,695927,0.154
2015,ICES,30,her,669461,
1966,ICES,22-32,spr,,
1967,ICES,22-32,spr,,
1968,ICES,22-32,spr,,
1969,ICES,22-32,spr,,
1970,ICES,22-32,spr,,
1971,ICES,22-32,spr,,
1972,ICES,22-32,spr,,
1973,ICES,22-32,spr,,
1974,ICES,22-32,spr,1097000,0.329
1975,ICES,22-32,spr,867000,0.346
1976,ICES,22-32,spr,738000,0.322
1977,ICES,22-32,spr,1257000,0.278
1978,ICES,22-32,spr,866000,0.273
1979,ICES,22-32,spr,498000,0.196
1980,ICES,22-32,spr,311000,0.211
1981,ICES,22-32,spr,268000,0.128
1982,ICES,22-32,spr,340000,0.226
1983,ICES,22-32,spr,478000,0.109
1984,ICES,22-32,spr,691000,0.157
1985,ICES,22-32,spr,639000,0.155
1986,ICES,22-32,spr,581000,0.203
1987,ICES,22-32,spr,466000,0.261
1988,ICES,22-32,spr,415000,0.23
1989,ICES,22-32,spr,438000,0.206
1990,ICES,22-32,spr,570000,0.133
1991,ICES,22-32,spr,776000,0.172
1992,ICES,22-32,spr,1033000,0.2
1993,ICES,22-32,spr,1352000,0.161
1994,ICES,22-32,spr,1402000,0.258
1995,ICES,22-32,spr,1489000,0.336
1996,ICES,22-32,spr,1904000,0.284
1997,ICES,22-32,spr,1879000,0.393
1998,ICES,22-32,spr,1406000,0.386
1999,ICES,22-32,spr,1427000,0.373
2000,ICES,22-32,spr,1352000,0.312
2001,ICES,22-32,spr,1213000,0.288
2002,ICES,22-32,spr,956000,0.377
2003,ICES,22-32,spr,812000,0.407
2004,ICES,22-32,spr,1053000,0.488
2005,ICES,22-32,spr,1313000,0.45
2006,ICES,22-32,spr,1091000,0.372
2007,ICES,22-32,spr,967000,0.347
2008,ICES,22-32,spr,1051000,0.364
2009,ICES,22-32,spr,999000,0.437
2010,ICES,22-32,spr,1172000,0.337
2011,ICES,22-32,spr,916000,0.301
2012,ICES,22-32,spr,863000,0.289
2013,ICES,22-32,spr,899000,0.375
2014,ICES,22-32,spr,780000,0.407
2015,ICES,22-32,spr,753000,
