"Year","TEMP_O_5_JulAug_CK","SALIN_O_5_CK","SALIN_125_CK"
2086,20.6386064516129,34.8477575342466,34.8477575342466
2087,18.6563032258065,34.698661369863,34.698661369863
2088,20.7750943548387,34.6991980874317,34.6991980874317
2089,20.5936927419355,34.883577260274,34.883577260274
2090,19.2039741935484,34.7601747945205,34.7601747945205
2091,20.080385483871,34.7026865753425,34.7026865753425
2092,20.3908967741935,34.734450273224,34.734450273224
2093,19.4233451612903,34.6638375342466,34.6638375342466
2094,21.1306120967742,34.8801046575342,34.8801046575342
2095,20.1413016129032,34.7040030136986,34.7040030136986
2096,19.2816983870968,34.5614005464481,34.5614005464481
2097,20.5538330645161,34.7823446575342,34.7823446575342
2098,20.3233629032258,34.6683956164384,34.6683956164384
2099,20.3995467741935,34.6700520958084,34.6700520958084
