"Year","TEMP_O_5_JulAug_BN","SALIN_O_5_BN","SALIN_97_BN"
2063,21.7430879032258,6.74774568493151,14.8642331506849
2064,20.1335814516129,6.84451607923497,16.8528308743169
2065,18.4312580645161,6.79346879452055,15.6821561643836
2066,19.0048419354839,6.69612210958904,16.2941624657534
2067,19.7040846774194,6.88456191780822,16.4025156164384
2068,19.5542459677419,6.78094449453552,15.2370644808743
2069,20.781885483871,6.63968487671233,14.3211621917808
2070,20.3364588709677,6.6885801369863,15.9357520547945
2071,21.6419758064516,6.66248761643836,15.7060693150685
2072,20.4685,6.71734434426229,14.7506863387978
2073,21.3727693548387,6.77366280821918,15.6181802739726
2074,19.8445637096774,6.70370528767123,14.6009054794521
2075,19.0162008064516,6.67703398630137,14.309001369863
2076,19.449735483871,6.61502196721311,13.4008871584699
2077,21.5223169354839,6.64055067123288,14.508755890411
