"","station","latitude","longitude","date","sub_samp_ref","sub_samp_id","samp_id","param_ocdx","basis_determination","CDD1N_pg/g","CDD4X_pg/g","CDD6P_pg/g","CDD6X_pg/g","CDD9X_pg/g","CDDO_pg/g","CDF2N_pg/g","CDF2T_pg/g","CDF4X_pg/g","CDF6P_pg/g","CDF6X_pg/g","CDF9P_pg/g","CDF9X_pg/g","CDFDN_pg/g","CDFO_pg/g","TCDD_pg/g","param_bbio","AGMEA_y","DRYWT%_%","EXLIP%_%","LNMEA_cm","WTMEA_g"
"30","Aengskaersklubb",60.5326,18.1624,"2013-09-30",3681345,836608377,1841371,"OC-DX","lipid weight",2.1,0.5,0.93,1.8,0.3,1,17,18,0.96,0.5,1,0.5,1.1,2.8,0.87,1.4,"B-BIO",4,NA,3.4,16.9,34.6
"31","Aengskaersklubb",60.5326,18.1624,"2014-05-14",3664030,119601207,1839639,"OC-DX","lipid weight",13,1.9,1.3,12,1.2,1.8,95,68,6.1,1.7,8.2,0.32,1.2,24,0.56,5,"B-BIO",6,NA,3.7,17.5,38.4
"32","Aengskaersklubb",60.5326,18.1624,"2014-05-14",3664031,120801219,1839639,"OC-DX","lipid weight",15,1.9,1.8,14,1.3,12,120,77,7.4,1.7,8.2,0.26,1.1,27,0.65,6.1,"B-BIO",6,NA,3.84,17.2,37
"33","Aengskaersklubb",60.5326,18.1624,"2014-09-15",3664044,349903510,1839640,"OC-DX","lipid weight",2.6,0.23,0.55,1.9,0.13,0.46,16,17,0.86,0.39,0.59,1,0.81,2.3,0.44,1.1,"B-BIO",5,NA,3.66,18.4,44.3
"34","Aengskaersklubb",60.5326,18.1624,"2014-09-15",3664045,351103522,1839640,"OC-DX","lipid weight",3.1,0.29,0.6,2.4,0.22,0.65,18,16,0.9,0.35,0.82,1,0.99,2.9,0.58,1,"B-BIO",5,NA,3.48,18.4,44.4
"35","Byxelkrok",57.3167,17.5,"2009-09-20",3686937,446704478,1841610,"OC-DX","wet weight",0.18103,0.032838,0.02526,0.10104,0.013472,0.04631,1.0946,1.0104,0.09262,0.038311,0.07157,0.00421,0.02105,0.28207,0.029891,0.06736,"B-BIO",5,24.5,4.21,20.1,49.8
"36","Byxelkrok",57.3167,17.5,"2009-09-20",3686938,447904490,1841610,"OC-DX","wet weight",0.18324,0.038175,0.04072,0.10689,0.016797,0.10689,1.1707,1.2725,0.10689,0.05599,0.08144,0.00509,0.032067,0.27486,0.07126,0.08144,"B-BIO",5,26.1,5.09,19.9,48.9
"37","Byxelkrok",57.3167,17.5,"2010-09-30",3688016,448004491,1841670,"OC-DX","wet weight",0.2419,0.0492,0.0533,0.1517,0.041,0.164,1.681,1.066,0.1189,0.0697,0.1435,0.082,0.0615,0.3403,0.123,0.0984,"B-BIO",5,23.4,4.1,18.1,49.5
"38","Byxelkrok",57.3167,17.5,"2010-09-30",3688017,449204503,1841670,"OC-DX","wet weight",0.1886,0.041,0.0492,0.1189,0.041,0.1189,1.435,1.148,0.0984,0.0574,0.1148,0.082,0.0615,0.3403,0.123,0.082,"B-BIO",6,24.2,4.1,20,49.5
"39","Byxelkrok",57.3167,17.5,"2011-10-01",3679446,614606157,1841294,"OC-DX","lipid weight",4.4,0.66,0.69,2.4,0.34,0.87,25,24,2.2,0.81,2.1,0.5,0.63,6.2,0.7,1.4,"B-BIO",6,26.3,6.79,20.4,57.8
"40","Byxelkrok",57.3167,17.5,"2011-10-01",3679447,615806169,1841294,"OC-DX","lipid weight",5,0.73,0.56,2.5,0.45,0.7,30,30,2.2,0.79,2,0.5,0.31,6.7,0.7,1.8,"B-BIO",6,26.2,8.46,20.3,60.4
"41","Byxelkrok",57.3167,17.5,"2012-10-01",3681242,329003301,1841356,"OC-DX","lipid weight",4,0.47,1,0.93,0.32,2.3,15,20,4.7,0.99,1.1,0.5,0.93,4.9,1,0.93,"B-BIO",5,23.6,4.2,19.7,52.6
"42","Byxelkrok",57.3167,17.5,"2012-10-01",3681243,330203313,1841356,"OC-DX","lipid weight",3.9,0.62,0.34,1.2,0.28,1.4,22,23,1.4,0.83,1.7,0.5,0.53,4.4,0.65,1.2,"B-BIO",5,24.1,5.1,20,55.4
"43","Byxelkrok",57.3167,17.5,"2013-10-28",3683027,844908460,1841416,"OC-DX","lipid weight",8.4,1.9,4.5,4.2,1,8.5,63,32,4.7,1.6,3.3,0.5,2.5,7.6,2.9,2.4,"B-BIO",5,20.7,2.6,19.3,46.7
"44","Byxelkrok",57.3167,17.5,"2013-10-28",3683028,846108472,1841416,"OC-DX","lipid weight",4.3,1.1,3,2.5,0.45,5.1,31,20,2.1,1.2,1.8,0.5,1.4,5.1,1.6,2,"B-BIO",5,21.2,2.9,20.3,63.7
"45","Byxelkrok",57.3167,17.5,"2014-11-07",3665680,493904950,1839684,"OC-DX","lipid weight",4.2,0.31,0.55,2.6,0.16,0.42,26,23,1.8,0.46,1.5,0.18,0.72,5.5,0.33,1.5,"B-BIO",6,NA,5.75,19.6,53.8
"46","Byxelkrok",57.3167,17.5,"2014-11-07",3665681,495104962,1839684,"OC-DX","lipid weight",4.7,0.39,0.4,2.5,0.22,0.16,28,28,1.7,0.34,1.9,1,0.44,5.5,0.17,1.7,"B-BIO",6,NA,7.45,20,56.1
"47","E/W FLADEN",57.2247,11.828,"2001-09-13",3666672,4995,1839766,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",2,NA,5.7,20.4,59.8
"48","E/W FLADEN",57.2247,11.828,"2001-09-13",3666673,4996,1839766,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",2,NA,4.4,20,59.1
"49","E/W FLADEN",57.2247,11.828,"2001-09-13",3666674,4997,1839766,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",2,NA,5.6,20.7,62.5
"50","E/W FLADEN",57.2247,11.828,"2001-09-13",3666675,4998,1839766,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",2,NA,4.4,20.3,57.7
"51","E/W FLADEN",57.2247,11.828,"2001-09-13",3666676,4999,1839766,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",2,NA,5.7,20.2,60.5
"52","E/W FLADEN",57.2247,11.828,"2001-09-13",3666677,5000,1839766,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",2,NA,4.7,21,63.8
"53","E/W FLADEN",57.2247,11.828,"2001-09-13",3666678,5001,1839766,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",2,NA,6.6,20.2,61.1
"54","E/W FLADEN",57.2247,11.828,"2001-09-13",3666679,5002,1839766,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",2,NA,3.2,20.8,62
"55","E/W FLADEN",57.2247,11.828,"2004-09-13",3668519,4834,1839849,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",2,NA,4,19.8,54.1
"56","E/W FLADEN",57.2247,11.828,"2004-09-13",3668520,4835,1839849,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",2,NA,6.3,21.1,73.1
"57","E/W FLADEN",57.2247,11.828,"2004-09-13",3668521,4836,1839849,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",2,NA,6.8,19.9,56.7
"58","E/W FLADEN",57.2247,11.828,"2004-09-13",3668522,4837,1839849,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",2,NA,5.6,19.9,56
"59","E/W FLADEN",57.2247,11.828,"2004-09-13",3668523,4838,1839849,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",2,NA,6.6,20.6,61.7
"60","E/W FLADEN",57.2247,11.828,"2004-09-13",3668524,4839,1839849,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",2,NA,2,19.7,55.2
"61","E/W FLADEN",57.2247,11.828,"2004-09-13",3668525,4840,1839849,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",2,NA,8,19.7,58.3
"62","E/W FLADEN",57.2247,11.828,"2004-09-13",3668526,4841,1839849,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",2,NA,7.3,19.2,48.8
"63","E/W FLADEN",57.2247,11.828,"2009-09-07",3685674,303103042,1841565,"OC-DX","wet weight",0.064,0.01728,0.03904,0.04992,0.0128,0.0768,0.3264,0.576,0.0704,0.0576,0.02816,0.0064,0.03264,0.1216,0.04992,0.03584,"B-BIO",2,NA,6.4,19.8,56
"64","E/W FLADEN",57.2247,11.828,"2009-09-07",3685675,304303054,1841565,"OC-DX","wet weight",0.0924,0.0242,0.0462,0.055,0.0143,0.0891,0.374,0.858,0.0627,0.0693,0.0264,0.011,0.0407,0.176,0.0275,0.0484,"B-BIO",2,NA,11,20.3,63.9
"65","E/W FLADEN",57.2247,11.828,"2010-09-06",3686999,554405555,1841620,"OC-DX","wet weight",0.0728,0.052,0.0572,0.0728,0.052,0.1976,0.2132,0.468,0.03328,0.0468,0.02444,0.104,0.078,0.0728,0.104,0.03172,"B-BIO",2,NA,5.2,19.8,53.5
"66","E/W FLADEN",57.2247,11.828,"2010-09-06",3687000,555605567,1841620,"OC-DX","wet weight",0.069,0.046,0.046,0.03818,0.046,0.1886,0.276,0.506,0.03818,0.0644,0.02714,0.092,0.046,0.0874,0.092,0.0299,"B-BIO",2,NA,4.6,19.9,55.2
"67","E/W FLADEN",57.2247,11.828,"2011-09-09",3677704,783007841,1841245,"OC-DX","lipid weight",1.4,0.42,0.73,1.2,0.3,1.1,5.2,11,0.9,1.4,0.53,0.5,0.42,2,1.2,0.76,"B-BIO",3,NA,6.59,20.4,60
"68","E/W FLADEN",57.2247,11.828,"2011-09-09",3677705,784207853,1841245,"OC-DX","lipid weight",1.2,0.32,0.71,0.94,0.19,1.1,5.6,11,0.69,1.1,0.9,0.5,0.56,1.8,0.7,0.6,"B-BIO",3,NA,5.34,20.9,64.8
"69","E/W FLADEN",57.2247,11.828,"2012-08-17",3679511,514805159,1841307,"OC-DX","lipid weight",1.1,0.56,0.87,0.92,0.23,1.1,5.6,11,2.3,0.76,0.6,0.5,0.62,1.7,0.7,0.52,"B-BIO",3,NA,4,18.5,54.7
"70","E/W FLADEN",57.2247,11.828,"2012-08-17",3679512,516005171,1841307,"OC-DX","lipid weight",1.9,0.4,2.5,0.81,0.13,24,5.8,14,2.7,0.89,0.5,0.5,0.56,2.3,3.1,0.63,"B-BIO",3,NA,4.7,15.1,54.2
"71","E/W FLADEN",57.2247,11.828,"2013-08-28",3681306,304703058,1841368,"OC-DX","lipid weight",2.3,0.61,1.2,1.1,0.24,2.2,6.6,12,1.2,1,0.68,0.5,0.95,2.4,1.1,0.74,"B-BIO",3,NA,4.2,19.5,52.5
"72","E/W FLADEN",57.2247,11.828,"2013-08-28",3681307,305903070,1841368,"OC-DX","lipid weight",2.2,0.42,0.69,1.1,0.27,1.9,6.9,12,0.96,0.88,0.7,0.5,0.87,2.4,1.4,0.83,"B-BIO",3,NA,4.5,19.9,56.4
"73","E/W FLADEN",57.2247,11.828,"2014-08-21",3664004,215702168,1839636,"OC-DX","lipid weight",0.68,0.23,0.38,0.9,0.12,0.39,4.1,8,0.78,0.29,0.4,1,0.54,1.2,0.37,0.48,"B-BIO",3,NA,6.21,19.8,55.8
"74","E/W FLADEN",57.2247,11.828,"2014-08-21",3664005,216902180,1839636,"OC-DX","lipid weight",1.1,0.23,0.4,0.82,0.17,0.35,4.8,9.7,0.82,0.36,0.45,1,0.72,1.4,0.3,0.55,"B-BIO",3,NA,5.74,19.2,51
"75","Gaviksfjaerden",62.8645,18.2412,"2009-08-07",3686939,199202003,1841611,"OC-DX","wet weight",0.36084,0.08148,0.0582,0.36084,0.030264,0.097,3.2592,2.328,0.22116,0.08924,0.25608,0.00582,0.05432,0.7372,0.06984,0.1746,"B-BIO",5,21,3.88,14.2,37.2
"76","Gaviksfjaerden",62.8645,18.2412,"2009-08-07",3686940,200402015,1841611,"OC-DX","wet weight",0.3708,0.09888,0.05871,0.4326,0.04635,0.16377,3.708,1.9776,0.26574,0.12051,0.309,0.007107,0.03708,0.7725,0.13905,0.16377,"B-BIO",5,20.7,3.09,16,34.7
"77","Gaviksfjaerden",62.8645,18.2412,"2011-08-03",3679448,356503576,1841295,"OC-DX","lipid weight",6.6,1,1,6,0.66,0.9,53,33,3.2,2.1,3.6,0.5,0.86,10,0.86,2.4,"B-BIO",5,21.6,3.02,17.5,32.2
"78","Gaviksfjaerden",62.8645,18.2412,"2011-08-03",3679449,357703588,1841295,"OC-DX","lipid weight",6.1,0.68,0.57,4.5,0.53,0.92,47,31,2.5,1.2,2.9,0.5,0.49,9.2,0.7,2,"B-BIO",5,23.7,4.89,17.1,33.7
"79","Gaviksfjaerden",62.8645,18.2412,"2012-08-13",3681244,222602237,1841357,"OC-DX","lipid weight",3.5,0.55,0.71,2.4,0.24,0.78,28,37,1.6,0.49,1.8,0.5,0.63,6.5,0.7,1.9,"B-BIO",4,22.2,4.9,11.8,36.5
"80","Gaviksfjaerden",62.8645,18.2412,"2012-08-13",3681245,223802249,1841357,"OC-DX","lipid weight",4.5,0.52,0.88,2.8,0.3,0.7,35,37,2.4,1,2,0.5,0.73,6.5,0.7,1.3,"B-BIO",4,21.5,4,13.1,35.7
"81","Gaviksfjaerden",62.8645,18.2412,"2013-08-02",3683029,399604007,1841417,"OC-DX","lipid weight",3.6,0.77,1,2.7,0.35,2,28,23,2.3,1.1,1.8,0.5,1.1,4.8,0.82,1.5,"B-BIO",5,23.5,3.8,17.2,33.6
"82","Gaviksfjaerden",62.8645,18.2412,"2013-08-02",3683030,400804019,1841417,"OC-DX","lipid weight",3.5,1.2,3.8,3.3,0.53,4.1,31,26,1.9,2,2.3,0.5,0.92,4.7,2.4,1.2,"B-BIO",4,22.8,3.3,17.2,33.4
"83","Harufjaerden",65.5825,22.8791,"2001-10-07",3666702,270702709,1839768,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",NA,NA,3.2,NA,NA
"84","Harufjaerden",65.5825,22.8791,"2001-10-07",3666703,271002712,1839768,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",NA,NA,3.1,NA,NA
"85","Harufjaerden",65.5825,22.8791,"2001-10-07",3666704,271302715,1839768,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",NA,NA,3.3,NA,NA
"86","Harufjaerden",65.5825,22.8791,"2001-10-07",3666705,271602718,1839768,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",NA,NA,2.4,NA,NA
"87","Harufjaerden",65.5825,22.8791,"2001-10-07",3666706,271902721,1839768,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",NA,NA,1.9,NA,NA
"88","Harufjaerden",65.5825,22.8791,"2001-10-07",3666707,272202724,1839768,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",NA,NA,3.6,NA,NA
"89","Harufjaerden",65.5825,22.8791,"2001-10-07",3666708,272502727,1839768,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",NA,NA,2.3,NA,NA
"90","Harufjaerden",65.5825,22.8791,"2001-10-07",3666709,272802730,1839768,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",NA,NA,2.4,NA,NA
"91","Harufjaerden",65.5825,22.8791,"2004-09-26",3668539,3575,1839850,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",4,NA,2.5,NA,NA
"92","Harufjaerden",65.5825,22.8791,"2004-09-26",3668540,3578,1839850,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",4,NA,2.6,NA,NA
"93","Harufjaerden",65.5825,22.8791,"2004-09-26",3668541,3581,1839850,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",4,NA,3.3,NA,NA
"94","Harufjaerden",65.5825,22.8791,"2004-09-26",3668542,3584,1839850,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",4,NA,3.2,NA,NA
"95","Harufjaerden",65.5825,22.8791,"2004-09-26",3668543,3587,1839850,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",4,NA,2.4,NA,NA
"96","Harufjaerden",65.5825,22.8791,"2004-09-26",3668544,3590,1839850,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",4,NA,3,NA,NA
"97","Harufjaerden",65.5825,22.8791,"2004-09-26",3668545,3593,1839850,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",4,NA,2.7,NA,NA
"98","Harufjaerden",65.5825,22.8791,"2004-09-26",3668546,3596,1839850,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",4,NA,4.3,NA,NA
