c_square,year,mid_lat,mid_lon,Reported,fishing_ho,rgn_nam,rgn_key,Subbasin,HELCOM_ID,BHI_ID,Area_km2
1501:140:245:2,2013,54.425,10.575,Yes,33.766667,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:245:3,2013,54.475,10.525,Yes,8.777778,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:245:4,2013,54.475,10.575,Yes,10.488889,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:246:1,2013,54.425,10.625,Yes,42.977778,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:246:2,2013,54.425,10.675,Yes,39.616667,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:246:3,2013,54.475,10.625,Yes,6.4,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:246:4,2013,54.475,10.675,Yes,4.838889,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:247:1,2013,54.425,10.725,Yes,24.688889,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:247:2,2013,54.425,10.775,Yes,6.288889,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:247:3,2013,54.475,10.725,Yes,6.705556,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:248:4,2013,54.475,10.875,Yes,0.322222,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:249:1,2013,54.425,10.925,Yes,9.922222,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:249:2,2013,54.425,10.975,Yes,0.177778,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:249:4,2013,54.475,10.975,Yes,9.633333,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:350:1,2013,54.525,10.025,Yes,95.411111,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:350:2,2013,54.525,10.075,Yes,142.805556,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:350:4,2013,54.575,10.075,Yes,100.15,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:351:1,2013,54.525,10.125,Yes,46.877778,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:351:2,2013,54.525,10.175,Yes,16.494444,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:351:3,2013,54.575,10.125,Yes,192.788889,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:351:4,2013,54.575,10.175,Yes,38.127778,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:352:1,2013,54.525,10.225,Yes,7.677778,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:352:2,2013,54.525,10.275,Yes,7.361111,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:352:3,2013,54.575,10.225,Yes,28.988889,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:352:4,2013,54.575,10.275,Yes,4.772222,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:353:1,2013,54.525,10.325,Yes,11.583333,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:353:2,2013,54.525,10.375,Yes,3.227778,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:353:3,2013,54.575,10.325,Yes,2.883333,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:353:4,2013,54.575,10.375,Yes,1.588889,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:354:1,2013,54.525,10.425,Yes,3.561111,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:354:2,2013,54.525,10.475,Yes,1.95,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:354:3,2013,54.575,10.425,Yes,0.638889,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:354:4,2013,54.575,10.475,Yes,1.611111,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
