Year,B/BMSY,F/FMSY,taxa
1974,2.804031667,0.840909091,her_2532
1975,2.62543,0.909090909,her_2532
1976,2.277935,0.881818182,her_2532
1977,2.531281667,0.859090909,her_2532
1978,2.401805,0.75,her_2532
1979,2.34809,0.890909091,her_2532
1980,2.262443333,0.85,her_2532
1981,2.144098333,0.922727273,her_2532
1982,2.380121667,0.790909091,her_2532
1983,2.34291,1.018181818,her_2532
1984,2.197518333,1.018181818,her_2532
1985,2.109931667,1.045454545,her_2532
1986,2.002383333,0.922727273,her_2532
1987,1.910345,1.05,her_2532
1988,1.915581667,0.995454545,her_2532
1989,1.686138333,1.322727273,her_2532
1990,1.447828333,1.254545455,her_2532
1991,1.298411667,1.3,her_2532
1992,1.331253333,1.159090909,her_2532
1993,1.24949,1.318181818,her_2532
1994,1.260228333,1.590909091,her_2532
1995,1.103116667,1.495454545,her_2532
1996,1.011923333,1.509090909,her_2532
1997,0.952663333,1.663636364,her_2532
1998,0.86676,1.731818182,her_2532
1999,0.736866667,1.459090909,her_2532
2000,0.75276,1.981818182,her_2532
2001,0.676133333,1.663636364,her_2532
2002,0.704828333,1.431818182,her_2532
2003,0.815665,1.090909091,her_2532
2004,0.833123333,0.913636364,her_2532
2005,0.935328333,0.813636364,her_2532
2006,1.040253333,0.872727273,her_2532
2007,1.09321,0.890909091,her_2532
2008,1.12348,0.909090909,her_2532
2009,1.311651667,0.813636364,her_2532
2010,1.429088333,0.940909091,her_2532
2011,1.43252,0.7,her_2532
2012,1.496725,0.513636364,her_2532
2013,1.593425,0.495454545,her_2532
2014,1.679213333,0.718181818,her_2532
1977,0.9087,2.15625,her_riga
1978,0.822583333,1.171875,her_riga
1979,0.77895,1.346875,her_riga
1980,0.7785,1.09375,her_riga
1981,0.786983333,1.415625,her_riga
1982,0.71255,1.3125,her_riga
1983,0.847416667,1.4625,her_riga
1984,0.664983333,2.209375,her_riga
1985,0.864916667,1.68125,her_riga
1986,1.06925,1.59375,her_riga
1987,0.856216667,1.325,her_riga
1988,1.603333333,1.634375,her_riga
1989,1.048016667,1.134375,her_riga
1990,1.277166667,0.746875,her_riga
1991,1.4355,0.7875,her_riga
1992,1.740566667,0.84375,her_riga
1993,1.974333333,0.7375,her_riga
1994,2.0374,0.74375,her_riga
1995,1.89675,1.10625,her_riga
1996,1.71555,1.190625,her_riga
1997,1.681683333,1.6,her_riga
1998,1.323933333,1.44375,her_riga
1999,1.3586,1.39375,her_riga
2000,1.358416667,1.50625,her_riga
2001,1.292333333,1.725,her_riga
2002,1.65185,1.5375,her_riga
2003,1.412883333,1.79375,her_riga
2004,1.506316667,1.875,her_riga
2005,1.1929,1.6375,her_riga
2006,1.14945,1.4,her_riga
2007,1.470433333,1.828125,her_riga
2008,1.431833333,1.084375,her_riga
2009,1.67355,1.309375,her_riga
2010,1.552133333,1.0625,her_riga
2011,1.537666667,1.228125,her_riga
2012,1.267033333,1.159375,her_riga
2013,1.46515,0.9625,her_riga
2014,1.723416667,1.06875,her_riga
1973,0.580132911,0.806666667,her_30
1974,0.546348101,0.753333333,her_30
1975,0.549088608,0.56,her_30
1976,0.614775316,0.68,her_30
1977,0.638585443,0.853333333,her_30
1978,0.669316456,0.833333333,her_30
1979,0.613547468,0.693333333,her_30
1980,0.566376582,0.78,her_30
1981,0.533927215,0.606666667,her_30
1982,0.538753165,0.766666667,her_30
1983,0.6335,0.613333333,her_30
1984,0.795727848,0.713333333,her_30
1985,0.899876582,0.613333333,her_30
1986,1.045506329,0.493333333,her_30
1987,1.279541139,0.426666667,her_30
1988,1.275708861,0.42,her_30
1989,1.588044304,0.38,her_30
1990,1.850585443,0.333333333,her_30
1991,1.949363924,0.3,her_30
1992,2.147924051,0.38,her_30
1993,1.949363924,0.386666667,her_30
1994,2.189126582,0.566666667,her_30
1995,1.735860759,0.766666667,her_30
1996,1.646253165,0.786666667,her_30
1997,1.347838608,1.04,her_30
1998,1.239243671,0.92,her_30
1999,1.329101266,0.94,her_30
2000,1.37781962,0.826666667,her_30
2001,1.451360759,0.753333333,her_30
2002,1.45718038,0.593333333,her_30
2003,1.366841772,0.66,her_30
2004,1.3875,0.706666667,her_30
2005,1.615272152,0.673333333,her_30
2006,1.573813291,0.793333333,her_30
2007,1.510591772,0.906666667,her_30
2008,1.485129747,0.853333333,her_30
2009,1.774471519,0.76,her_30
2010,2.016781646,0.746666667,her_30
2011,1.893642405,0.78,her_30
2012,1.899332278,1.086666667,her_30
2013,2.135075949,1.093333333,her_30
2014,2.202300633,1.026666667,her_30
1974,1.924561404,1.265384615,spr_2232
1975,1.521052632,1.330769231,spr_2232
1976,1.294736842,1.238461538,spr_2232
1977,2.205263158,1.069230769,spr_2232
1978,1.519298246,1.05,spr_2232
1979,0.873684211,0.753846154,spr_2232
1980,0.545614035,0.811538462,spr_2232
1981,0.470175439,0.492307692,spr_2232
1982,0.596491228,0.869230769,spr_2232
1983,0.838596491,0.419230769,spr_2232
1984,1.212280702,0.603846154,spr_2232
1985,1.121052632,0.596153846,spr_2232
1986,1.019298246,0.780769231,spr_2232
1987,0.81754386,1.003846154,spr_2232
1988,0.728070175,0.884615385,spr_2232
1989,0.768421053,0.792307692,spr_2232
1990,1,0.511538462,spr_2232
1991,1.361403509,0.661538462,spr_2232
1992,1.812280702,0.769230769,spr_2232
1993,2.371929825,0.619230769,spr_2232
1994,2.459649123,0.992307692,spr_2232
1995,2.612280702,1.292307692,spr_2232
1996,3.340350877,1.092307692,spr_2232
1997,3.296491228,1.511538462,spr_2232
1998,2.466666667,1.484615385,spr_2232
1999,2.503508772,1.434615385,spr_2232
2000,2.371929825,1.2,spr_2232
2001,2.128070175,1.107692308,spr_2232
2002,1.677192982,1.45,spr_2232
2003,1.424561404,1.565384615,spr_2232
2004,1.847368421,1.876923077,spr_2232
2005,2.303508772,1.730769231,spr_2232
2006,1.914035088,1.430769231,spr_2232
2007,1.696491228,1.334615385,spr_2232
2008,1.843859649,1.4,spr_2232
2009,1.752631579,1.680769231,spr_2232
2010,2.056140351,1.296153846,spr_2232
2011,1.607017544,1.157692308,spr_2232
2012,1.514035088,1.111538462,spr_2232
2013,1.577192982,1.442307692,spr_2232
2014,1.368421053,1.565384615,spr_2232
