;Kattegat ;Great Belt + Little Belt;Kiel Bay;Bay of Mecklenburg;The Sound;Arkona Basin;Bornholm Basin;Western Gotland Basin ;Eastern Gotland Basin ;Gulf of Gdansk;Gulf of Riga;Nothern Baltic Proper;Gulf of Finland;Aland Sea;Archipelago Sea;Bothnian Sea + The Quark;Bothnian Bay;common_name
Bonnemaisonia hamifera;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;
Botrytella micromora;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;
Botrytella reinboldii;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Brongniartella byssoides;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;
Bryopsis hypnoides;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;
Bryopsis plumosa;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;
Butomus umbellatus L.;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;
Callithamnion corymbosum;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;
Callithamnion tetragonum;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Callitriche cophocarpa;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;
Callitriche hermaphroditica;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;
Callitriche palustris;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;
Callophyllis cristata;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Caltha palustris;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;
Capsosiphon fulvescens;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;0;
Ceramium cimbricum;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
Ceramium diaphanum;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;
Ceramium echionotum;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
Ceramium pallidum;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Ceramium siliquosum;1;1;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;
Ceramium tenuicorne;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Ceramium virgatum;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
Ceratocolax hartzii;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;
Ceratophyllum demersum;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;
Chaetomorpha aerea;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
Chaetomorpha ligustica;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;1;1;
Chaetomorpha linum;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;
Chaetomorpha melagonium;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;1;0;
Chaetophora incrassata;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;
Chara aspera;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;
Chara baltica;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;
Chara braunii;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;
Chara canescens;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;
Chara connivens;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;1;0;
Chara globularis;0;0;0;0;1;0;1;1;1;1;1;1;1;1;0;1;1;
Chara hispida;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;
Chara horrida;0;1;0;1;0;1;1;1;1;0;1;1;1;1;1;1;0;
Chara polyacantha;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;
Chara tomentosa;0;0;0;1;0;1;1;1;1;0;1;1;1;1;0;1;1;
Chara virgata;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;
Chara vulgaris;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;
Chilionema ocellatum;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Chlorochytrium cohnii;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
Chlorochytrium dermatocolax;1;0;1;0;1;0;1;1;0;0;1;1;1;1;0;1;0;
Chondria dasyphylla;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Chondrus crispus;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;
Chorda filum;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
Chordaria flagelliformis;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;
Choreonema thuretii;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Chroodactylon ornatum;1;1;1;0;1;1;1;0;1;0;1;1;1;1;0;1;0;
Chylocladia verticillata;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Cladophora albida;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;
Cladophora dalmatica;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Cladophora flexuosa;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;
Cladophora fracta;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;
Cladophora glomerata;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Cladophora hutchinsiae;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Cladophora laetevirens;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
Cladophora lehmanniana;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Cladophora pachyderma;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;
Cladophora pygmaea;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;
Cladophora rupestris;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Cladophora sericea;1;1;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;
Cladophora vadorum;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Cladophora vagabunda;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
Cladosiphon contortus;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Cladosiphon zosterae;1;1;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;
Cladostephus spongiosus;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Coccomyxa parasitica;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Coccotylus truncatus;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Codium fragile;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Colaconema daviesii;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
Colaconema membranaceum;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Colaconema nemalionis;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Colaconema pectinatum;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Colaconema strictum;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;
Colpomenia peregrina;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Compsonema saxicola;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Compsothamnion gracillimum;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Compsothamnion thuyoides;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Corallina officinalis;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Crassula aquatica;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;
Cruoria pellita;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Cruoriopsis danica;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Cutleria multifida;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Cystoclonium purpureum;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;
Cystoseira baccata;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dangemannia microcystris;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
Dasya baillouviana;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;
Delamarea attenuata;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Delesseria sanguinea;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;
Derbesia marina;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Desmarestia aculeata;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;
Desmarestia viridis;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;
Dictyosiphon chordaria;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;
Dictyosiphon foeniculaceus;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Dictyota dichotoma;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dilsea carnosa;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Drepanocladus aduncus;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;
Dudresnaya verticillata;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dumontia contorta;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;
Ectocarpus fasciculatus;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;
Ectocarpus siliculosus;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Elachista fucicola;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
Elachista stellaris;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
Elatine hydropiper;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;
Elatine triandra;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;
Eleocharis acicularis;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;
Eleocharis palustris;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;
Eleocharis parvula;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;1;1;
Eleocharis uniglumis;0;0;0;0;0;0;uncertain;0;1;0;0;uncertain;1;1;1;1;1;
Elodea canadensis;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;
Elodea nuttallii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
Enteromorpha jugoslavica;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Epicladia cyclostoma;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
Epicladia flustrae;1;1;1;1;1;0;1;0;0;0;0;0;1;1;0;0;0;
Epicladia heterotricha;1;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;
Epicladia perforans;1;1;0;1;1;1;1;1;0;1;0;0;1;1;0;0;0;
Epicladia phillipsii;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;
Epicladia testarum;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;
Equisetum fluviatile;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;
Erythrocladia irregularis;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
Erythrodermis traillii;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Erythrotrichia carnea;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;
Erythrotrichia investiens;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Erythrotrichia reflexa;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Eudesme virescens;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;
Eugomontia sacculata;1;1;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;
Euthora cristata;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Feldmannia irregularis;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Feldmannia kjellmanii;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Fissidens fontanus;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;
Fontinalis antipyretica;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;
Fontinalis dalecarlica;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;
Fontinalis hypnoides;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;
Fucus evanescens;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Fucus radicans;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;
Fucus serratus;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;
Fucus spiralis;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;
Fucus vesiculosus;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Furcellaria lumbricalis;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Gayralia oxysperma;1;1;1;0;1;1;1;1;0;1;0;1;0;0;0;0;0;
Giraudia sphacelarioides;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Gloiosiphonia capillaris;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Glyceria maxima;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
Gomontia polyrhiza;1;1;1;1;1;1;1;0;0;1;0;1;1;0;0;0;0;
Gracilaria gracilis;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
Gracilaria vermiculophylla;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
Grania efflorescens;1;1;1;1;1;0;1;1;0;0;0;1;1;1;1;1;0;
Griffithsia corallinoides;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Griffithsia devoniensis;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Gymnogongrus sp.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Haemescharia hennedyi;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
Halarachnion ligulatum;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Halidrys siliquosa;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;
Halonema subsimplex;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Halorhiza vaga;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;
Halosiphon tomentosus;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;0;
Halothrix lumbricalis;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;
Haplospora globosa;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;
Harveyella mirabilis;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;
Hecatonema terminale;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;
Helminthora divaricata;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Herponema desmarestiae;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Heterosiphonia japonica;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Heterosiphonia plumosa;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Hildenbrandia crouanii;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;
Hildenbrandia rivularis;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;
Hildenbrandia rubra;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;
Himanthalia elongata;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Hincksia granulosa;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Hincksia hincksiae;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Hincksia ovata;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Hincksia sandriana;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Hippuris tetraphylla;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;
Hippuris vulgaris L.;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;
Hydrocharis morsus-ranae L.;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;
Hydrolithon farinosum;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
Isoëtes echinospora;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;
Isoëtes lacustris L.;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;
Isthmoplea sphaerophora;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Laminaria digitata;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;
Laminaria hyperborea;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Laminariocolax aecidioides;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Laminariocolax tomentosoides;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Lamprothamnium papulosum;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;
Leathesia marina;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
Lemna gibba;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;
Lemna minor;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;
Lemna trisulca;0;0;0;0;0;1;0;1;1;0;1;1;1;1;1;1;1;
Leptodictyum riparium;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;
Leptonematella fasciculata;1;1;1;1;1;1;1;1;0;1;0;1;0;0;0;0;0;
Leptophytum laeve;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Limosella aquatica;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;
Lithophyllum crouaniorum;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Lithophyllum pustulatum;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Titanoderma pustulatum;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Lithothamnion glaciale;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;
Lithothamnion sonderi;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Litosiphon laminariae;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;0;
Lomentaria articulata;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Lomentaria clavellosa;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Lomentaria orcadensis;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Mastocarpus stellatus;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Meiodiscus spetsbergensis;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Melobesia membranacea;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;
Membranoptera alata;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;
Mesogloia lanosa;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Mesogloia vermiculata;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;
Microcoryne ocellata;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Microspongium globosum;1;1;1;1;1;0;1;1;0;1;0;0;1;0;0;0;0;
Microspongium tenuissimum;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
Mikrosyphar polysiphoniae;1;1;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;
Mikrosyphar porphyrae;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;
Mikrosyphar zosterae;1;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;
Monostroma balticum;0;1;0;1;0;1;1;1;1;0;1;1;1;1;0;1;0;
Monostroma grevillei;1;1;1;1;1;1;1;1;0;0;0;1;1;1;0;1;0;
Myriactula chordae;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Myriactula fucorum;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Myriactula haydenii;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Myriactula rivulariae;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Myriocladia lovenii;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Myrionema balticum;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1;1;
Myrionema magnusii;1;1;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;
Myrionema seriatum;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
Myrionema strangulans;1;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;
Myriophyllum alterniflorum;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;
Myriophyllum sibiricum;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;
Myriophyllum spicatum L.;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;
Myriophyllum verticillatum;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;
Myriotrichia clavaeformis;1;1;1;0;1;1;1;0;0;0;1;1;0;1;0;1;0;
Najas marina;0;0;0;1;0;1;0;1;0;0;1;1;1;1;1;1;1;
Nemalion helminthoides;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;
Neosiphonia elongella;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Neosiphonia harveyi;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nitella confervacea;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
Nitella flexilis;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;
Nitella gracilis (Sm.);0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
