No;Group;Kingdom;Phylum;Class;Order;Family;Genus;Subgenus;Species;Subspecies;Valid taxon name;Kattegat;The Sound;Little Belt;Great Belt;Kiel Bay;Bay of Mecklenburg;Arkona Basin;Bornholm Basin;Eastern Gotland Basin;Western Gotland Basin;Northern Baltic Proper;Aland Sea;Archipelago Sea;Bothnian Sea;The Quark;Bothnian Bay;Gulf of Finland;Gulf of Gdansk;Gulf of Riga;Warnow Estuary;Wismar Bay;Trave Estuary;Kiel Fjord;Eckernförde Bay;Schlei Estuary;Flensburg Fjord;Vistula Lagoon;Szczecin Lagoon;Greifswald Lagoon;Rugia Lagoons;Darss-Zingst Lagoon;Curonian Lagoon
11;Bivalvia;Animalia;Mollusca;Bivalvia;Euheterodonta incertae sedis;Cardiidae;Acanthocardia;;echinata;;Acanthocardia echinata;X;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Gastropoda;Animalia;Mollusca;Gastropoda;Nudibranchia;Onchidorididae;Acanthodoris;;pilosa;;Acanthodoris pilosa;;;X;;X;X;X;;;;;;;;;;;;;;;;X;;;;;;;;;
13;Hydrozoa;Animalia;Cnidaria;Hydrozoa;Anthoathecata;Acaulidae;Acaulis;;primarius;;Acaulis primarius;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Lepidoptera;Animalia;Arthropoda;Insecta;Lepidoptera;Pyralidae;Acentria;;ephemerella;;Acentria ephemerella;;;;X;;;X;;;;;;;X;;;;;;;X;;;;;;;X;;;;
15;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Lysianassidae s.l.;Acidostoma;;nodiferum;;Acidostoma nodiferum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Lysianassidae s.l.;Acidostoma;;obesum;;Acidostoma obesum;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Coleoptera;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Acilius;;canaliculatus;;Acilius canaliculatus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
18;Gastropoda;Animalia;Mollusca;Gastropoda;[unassigned] Caenogastropoda;Aclididae;Aclis;;minor;;Aclis minor;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Gastropoda;Animalia;Mollusca;Gastropoda;[unassigned] Caenogastropoda;Aclididae;Aclis;;walleri;;Aclis walleri;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Diptera;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Acricotopus;;lucens;;Acricotopus lucens;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
21;Gastropoda;Animalia;Mollusca;Gastropoda;Basommatophora;Acroloxidae;Acroloxus;;lacustris;;Acroloxus lacustris;;;;;;;;;;;;;;;;;X;;;X;;;;;;;X;X;;;;X
22;Gastropoda;Animalia;Mollusca;Gastropoda;Cephalaspidea;Acteonidae;Acteon;;tornatilis;;Acteon tornatilis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Anthozoa;Animalia;Cnidaria;Anthozoa;Actiniaria;Actiniidae;Actinia;;equina;;Actinia equina;;X;;X;X;X;X;;;;;;;;;;;;;;;;X;X;;;;;;;;
24;Gastropoda;Animalia;Mollusca;Gastropoda;Nudibranchia;Onchidorididae;Adalaria;;proxima;;Adalaria proxima;;;;;X;X;;;;;;;;;;;;;;;;;X;;;;;;;;;
25;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Caprellidae;Aeginina;;longicornis;;Aeginina longicornis;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Gastropoda;Animalia;Mollusca;Gastropoda;Nudibranchia;Aeolidiidae;Aeolidia;;papillosa;;Aeolidia papillosa;X;X;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;
27;Gastropoda;Animalia;Mollusca;Gastropoda;Nudibranchia;Aeolidiidae;Aeolidiella;;glauca;;Aeolidiella glauca;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Aphanoneura;Animalia;Annelida;Aphanoneura;Naidomorpha;Aeolosomatidae;Aeolosoma;;hemprichi;;Aeolosoma hemprichi;;;;;;;;;;;;;;;;;;;;;;;;;X;;X;;;;X;X
29;Bivalvia;Animalia;Mollusca;Bivalvia;Ostreoida;Pectinidae;Aequipecten;;opercularis;;Aequipecten opercularis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Odonata;Animalia;Arthropoda;Insecta;Odonata;Aeshnidae;Aeshna;;grandis;;Aeshna grandis;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;X
31;Odonata;Animalia;Arthropoda;Insecta;Odonata;Aeshnidae;Aeshna;;juncea;;Aeshna juncea;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
32;Odonata;Animalia;Arthropoda;Insecta;Odonata;Aeshnidae;Aeshna;;mixta;;Aeshna mixta;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;X;;;;
33;Odonata;Animalia;Arthropoda;Insecta;Odonata;Aeshnidae;Aeshna;;serrata;;Aeshna serrata;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
34;Bryozoa;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Aeteidae;Aetea;;anguina;;Aetea anguina;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Bryozoa;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Aeteidae;Aetea;;sica;;Aetea sica;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Bryozoa;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Aeteidae;Aetea;;truncata;;Aetea truncata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Coleoptera;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Agabus;;bipustulatus;;Agabus bipustulatus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
38;Coleoptera;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Agabus;;sturmii;;Agabus sturmii;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
39;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Nephtyidae;Aglaophamus;;agilis;;Aglaophamus agilis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Nephtyidae;Aglaophamus;;pulcher;;Aglaophamus pulcher;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Hydroptilidae;Agraylea;;multipunctata;;Agraylea multipunctata;;;;;;;;;;;;X;X;X;X;X;X;;X;;;;;;;;;;;;;
42;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Hydroptilidae;Agraylea;;pallicornis;;Agraylea pallicornis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
43;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Hydroptilidae;Agraylea;;sexmaculata;;Agraylea sexmaculata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
44;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Phryganeidae;Agrypnetes;;crassicornis;;Agrypnetes crassicornis;;;;;;;;;;;;X;X;X;X;X;;;;;;;;;;;;;;;;
45;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Phryganeidae;Agrypnia;;obsoleta;;Agrypnia obsoleta;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
46;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Phryganeidae;Agrypnia;;pagetana;;Agrypnia pagetana;;;;;;;;;;;;;X;X;;X;X;;;;;;;;;;;X;;;;
47;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Phryganeidae;Agrypnia;;varia;;Agrypnia varia;;;;;;;;;;;;X;X;X;X;X;X;;X;;;;;;;;;;;;;
48;Tanaidacea;Animalia;Arthropoda;Malacostraca;Tanaidacea;Paratanaoidea incertae sedis;Akanthophoreus;;gracilis;;Akanthophoreus gracilis;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Gastropoda;Animalia;Mollusca;Gastropoda;Aplysiomorpha;Akeridae;Akera;;bullata;;Akera bullata;X;X;X;X;X;X;;;;;;;;;;;;;;;;;X;X;;X;;;;;;
50;Oligochaeta;Animalia;Annelida;Clitellata;Haplotaxida;Tubificidae;Aktedrilus;;monospermathecus;;Aktedrilus monospermathecus;;;;;;X;X;;;;;;;;;;;;;;;;X;X;X;;;;;;X;
51;Hirudinea;Animalia;Annelida;Clitellata;Rhynchobdellida;Glossiphoniidae;Alboglossiphonia;;heteroclita;;Alboglossiphonia heteroclita;;;;;;;;;;;;;;;;;X;;X;X;;;;;X;;X;X;;;;X
52;Hirudinea;Animalia;Annelida;Clitellata;Rhynchobdellida;Glossiphoniidae;Alboglossiphonia;;hyalina;;Alboglossiphonia hyalina;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X
53;Hirudinea;Animalia;Annelida;Clitellata;Rhynchobdellida;Glossiphoniidae;Alboglossiphonia;;striata;;Alboglossiphonia striata;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X
54;Bryozoa;Animalia;Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;;albidum;;Alcyonidium albidum;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;Bryozoa;Animalia;Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;;diaphanum;;Alcyonidium diaphanum;X;X;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
56;Bryozoa;Animalia;Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;;gelatinosum;;Alcyonidium gelatinosum;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;Bryozoa;Animalia;Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;;hirsutum;;Alcyonidium hirsutum;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;Bryozoa;Animalia;Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;;mamillatum;;Alcyonidium mamillatum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;Bryozoa;Animalia;Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;;parasiticum;;Alcyonidium parasiticum;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;Bryozoa;Animalia;Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;;polyoum;;Alcyonidium polyoum;;;;X;X;X;X;X;;;;;;;;;;;;;X;X;X;X;X;X;;;X;X;X;
61;Anthozoa;Animalia;Cnidaria;Anthozoa;Alcyonacea;Alcyoniidae;Alcyonium;;digitatum;;Alcyonium digitatum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;Anthozoa;Animalia;Cnidaria;Anthozoa;Alcyonacea;Alcyoniidae;Alcyonium;;glomeratum;;Alcyonium glomeratum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;Gastropoda;Animalia;Mollusca;Gastropoda;Sacoglossa;Stiligeridae;Alderia;;modesta;;Alderia modesta;;;;;;X;;X;X;;;;X;X;;;X;;X;;X;;;;X;;;;;;;
64;Bryozoa;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Calloporidae;Alderina;;imbellis;;Alderina imbellis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Nereididae;Alitta;;succinea;;Alitta succinea;;X;X;X;X;X;X;X;;;;;;;;;;;;X;X;X;X;X;X;X;;X;X;X;X;
66;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Nereididae;Alitta;;virens;;Alitta virens;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;;X;X;;X;;;;;;
67;Polychaeta;Animalia;Annelida;Polychaeta;Terebellida;Ampharetidae;Alkmaria;;romijni;;Alkmaria romijni;X;;X;X;X;X;X;X;;X;;;;;;;;;;X;X;X;;;X;;X;X;X;X;X;
68;Gastropoda;Animalia;Mollusca;Gastropoda;Littorinimorpha;Rissoidae;Alvania;;subsoluta;;Alvania subsoluta;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;Gastropoda;Animalia;Mollusca;Gastropoda;Littorinimorpha;Rissoidae;Alvania;;testae;;Alvania testae;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;Polychaeta;Animalia;Annelida;Polychaeta;Terebellida;Terebellidae;Amaeana;;trilobata;;Amaeana trilobata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;Gastropoda;Animalia;Mollusca;Gastropoda;Hypsogastropoda;Naticidae;Amauropsis;;islandica;;Amauropsis islandica;X;;;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;
72;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Ampeliscidae;Ampelisca;;brevicornis;;Ampelisca brevicornis;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Ampeliscidae;Ampelisca;;diadema;;Ampelisca diadema;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Ampeliscidae;Ampelisca;;macrocephala;;Ampelisca macrocephala;X;X;;X;X;;X;;;;;;;;;;;;;;;;;X;;;;;;;;
75;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Ampeliscidae;Ampelisca;;spinipes;;Ampelisca spinipes;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Ampeliscidae;Ampelisca;;tenuicornis;;Ampelisca tenuicornis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Ampeliscidae;Ampelisca;;typica;;Ampelisca typica;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;Polychaeta;Animalia;Annelida;Polychaeta;Terebellida;Ampharetidae;Ampharete;;acutifrons;;Ampharete acutifrons;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;X;X;;X;;;;;;
79;Polychaeta;Animalia;Annelida;Polychaeta;Terebellida;Ampharetidae;Ampharete;;baltica;;Ampharete baltica;X;X;X;X;X;X;X;X;X;;;;;;;;;;;X;X;X;X;X;;X;;;;;;
80;Polychaeta;Animalia;Annelida;Polychaeta;Terebellida;Ampharetidae;Ampharete;;falcata;;Ampharete falcata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;Polychaeta;Animalia;Annelida;Polychaeta;Terebellida;Ampharetidae;Ampharete;;finmarchica;;Ampharete finmarchica;X;X;X;X;X;X;X;X;;X;;;;;;;;;;;;;;X;;;;;;;;
82;Bryozoa;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Calloporidae;Amphiblestrum;;auritum;;Amphiblestrum auritum;X;;;;X;X;;;;;;;;;;;;;;;X;;;;;;;;;;;
83;Bryozoa;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Calloporidae;Amphiblestrum;;flemingii;;Amphiblestrum flemingii;X;X;;;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;
84;Oligochaeta;Animalia;Annelida;Clitellata;Haplotaxida;Naididae;Amphichaeta;;leydigi ;;Amphichaeta leydigi;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
85;Oligochaeta;Animalia;Annelida;Clitellata;Haplotaxida;Naididae;Amphichaeta;;sannio;;Amphichaeta sannio;;;;;X;X;X;;;;;;;;;;X;;;;X;X;X;X;X;;;;X;X;X;
86;Polychaeta;Animalia;Annelida;Polychaeta;Terebellida;Ampharetidae;Amphicteis;;gunneri;;Amphicteis gunneri;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;X;;X;;;;;;
87;Polychaeta;Animalia;Annelida;Polychaeta;Terebellida;Ampharetidae;Amphicteis;;midas;;Amphicteis midas;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;Polychaeta;Animalia;Annelida;Polychaeta;Terebellida;Pectinariidae;Amphictene;;auricoma;;Amphictene auricoma;X;X;;;;X;;;;;;;;;;;;;;;;;;X;;;;;;;;
89;Porifera;Animalia;Porifera;Demospongiae;Poecilosclerida;Esperiopsidae;Amphilectus;;fucorum;;Amphilectus fucorum;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;Porifera;Animalia;Porifera;Demospongiae;Poecilosclerida;Esperiopsidae;Amphilectus;;lobatus;;Amphilectus lobatus;;;;X;X;X;X;;;;;;;;;;;;;;;;X;;;;;;;;;
91;Echinodermata;Animalia;Echinodermata;Ophiuroidea;Ophiurida;Amphilepididae;Amphilepis ;;norvegica;;Amphilepis norvegica;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochoides;;boecki;;Amphilochoides boecki;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochoides;;serratipes;;Amphilochoides serratipes;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochus;;manudens;;Amphilochus manudens;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;Echinodermata;Animalia;Echinodermata;Ophiuroidea;Ophiurida;Amphiuridae;Amphipholis ;;squamata;;Amphipholis squamata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;Polychaeta;Animalia;Annelida;Polychaeta;Terebellida;Terebellidae;Amphitrite;;cirrata;;Amphitrite cirrata;;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;X;;;;;;;;
97;Polychaeta;Animalia;Annelida;Polychaeta;Terebellida;Terebellidae;Amphitrite;;johnstoni;;Amphitrite johnstoni;;;;;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;
98;Echinodermata;Animalia;Echinodermata;Ophiuroidea;Ophiurida;Amphiuridae;Amphiura;;chiajei;;Amphiura chiajei;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;Echinodermata;Animalia;Echinodermata;Ophiuroidea;Ophiurida;Amphiuridae;Amphiura;;filiformis;;Amphiura filiformis;X;X;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
100;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Ampithoidae;Ampithoe;;rubricata;;Ampithoe rubricata;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;X;X;X;X;;X;;;;X;;
101;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Limnephilidae;Anabolia;;laevis;;Anabolia laevis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
102;Decapoda;Animalia;Arthropoda;Malacostraca;Decapoda;Paguridae;Anapagurus;;chrioacanthus;;Anapagurus chiroacanthus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;Decapoda;Animalia;Arthropoda;Malacostraca;Decapoda;Paguridae;Anapagurus;;laevis;;Anapagurus laevis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;Gastropoda;Animalia;Mollusca;Gastropoda;Nudibranchia;Goniodorididae;Ancula;;gibbosa;;Ancula gibbosa;;;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
105;Gastropoda;Animalia;Mollusca;Gastropoda;Basommatophora;Planorbidae;Ancylus;;fluviatilis;;Ancylus fluviatilis;;;;;;;;;;;;;;;;X;;;X;;;;;;;;X;X;;;;X
106;Gastropoda;Animalia;Mollusca;Gastropoda;Basommatophora;Planorbidae;Anisus;;leucostoma;;Anisus leucostoma;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;
107;Gastropoda;Animalia;Mollusca;Gastropoda;Basommatophora;Planorbidae;Anisus;;spirorbis;;Anisus spirorbis;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;X
108;Gastropoda;Animalia;Mollusca;Gastropoda;Basommatophora;Planorbidae;Anisus;;vortex;;Anisus vortex;;;;;;;;;;;;;;;X;;X;;;X;;;;;X;;X;X;;;;X
109;Gastropoda;Animalia;Mollusca;Gastropoda;Basommatophora;Planorbidae;Anisus;;vorticulus;;Anisus vorticulus;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;X
110;Polychaeta;Animalia;Annelida;Polychaeta;Terebellida;Ampharetidae;Anobothrus;;gracilis;;Anobothrus gracilis;X;X;;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
111;Bivalvia;Animalia;Mollusca;Bivalvia;Unionoida;Unionidae;Anodonta;;anatina;;Anodonta anatina;;;;;;;;;;;;;;;X;X;X;;;;;;;;X;;X;X;;;X;X
112;Bivalvia;Animalia;Mollusca;Bivalvia;Unionoida;Unionidae;Anodonta;;cygnea;;Anodonta cygnea;;;;;;;;;;;;;;;;;;;X;;;;;;X;;X;X;;;;X
113;Pycnogonida;Animalia;Arthropoda;Pycnogonida;Pantopoda;Phoxichilidiidae;Anoplodactylus;;petiolatus;;Anoplodactylus petiolatus;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;Gastropoda;Animalia;Mollusca;Gastropoda;;Patellidae;Ansates;;pellucida;;Ansates pellucida;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;Scaphopoda;Animalia;Mollusca;Scaphopoda;Dentaliida;Dentaliidae;Antalis;;dentalis;;Antalis dentalis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;Echinodermata;Animalia;Echinodermata;Crinoidea;Comatulida;Antedonidae;Antedon;;petasus;;Antedon petasus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;Polychaeta;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Aonides;;oxycephala;;Aonides oxycephala;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;Polychaeta;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Aonides;;paucibranchiata;;Aonides paucibranchiata;X;X;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
119;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Aoridae;Aora;;gracilis;;Aora gracilis;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
120;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Aoridae;Aora;;typica;;Aora typica;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Apataniidae;Apatania;;stigmatella;;Apatania stigmatella;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;
122;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Apataniidae;Apatania;;wallengreni;;Apatania wallengreni;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
123;Polychaeta;Animalia;Annelida;Polychaeta;Spionida;Cirratulidae;Aphelochaeta;;marioni;;Aphelochaeta marioni;X;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
124;Polychaeta;Animalia;Annelida;Polychaeta;Spionida;Cirratulidae;Aphelochaeta;;vivipara;;Aphelochaeta vivipara;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
125;Hemiptera;Animalia;Arthropoda;Insecta;Hemiptera;Aphelocheiridae;Aphelocheirus;;aestivalis;;Aphelocheirus aestivalis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X
126;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Eusiridae;Apherusa;;bispinosa;;Apherusa bispinosa;X;X;X;X;X;X;;;;;;;;;;;;;;;;;X;X;;X;;;;;;
127;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Eusiridae;Apherusa;;jurinei;;Apherusa jurinei;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Eusiridae;Apherusa;;ovalipes;;Apherusa ovalipes;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Aphroditidae;Aphrodita;;aculeata;;Aphrodita aculeata;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;Polychaeta;Animalia;Annelida;Polychaeta;Spionida;Apistobranchidae;Apistobranchus;;tenuis;;Apistobranchus tenuis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
