"Year","TEMP_O_5_JulAug_FB","SALIN_O_5_FB","SALIN_65_FB"
2019,16.9441830645161,13.911728369863,30.2554515068493
2020,17.1316032258065,13.4280195081967,32.0523434426229
2021,15.9021427419355,14.1203891369863,31.1247632876712
2022,16.8623935483871,13.3873271232877,30.4366443835616
2023,18.4294919354839,13.6512642054795,31.6981917808219
2024,17.1658443548387,14.0070733060109,31.3543442622951
2025,16.8126024193548,13.5512439726027,31.194521369863
2026,17.3205467741935,12.9555349178082,31.5260654794521
2027,16.7513483870968,12.9038184109589,31.2702542465753
2028,17.6558879032258,13.0478644808743,31.3283038251366
2029,18.9408483870968,13.0075618219178,32.3146068493151
2030,16.9304911290323,13.9900645068493,31.5191389041096
2031,17.1823096774194,13.5319607123288,31.5385753424658
2032,17.1704806451613,13.9969346994536,31.9547923497268
2033,17.7535887096774,13.5604821917808,30.5460942465753
2034,16.9548983870968,13.4556245890411,31.2532646575342
2035,17.5272548387097,12.9861643561644,29.8471523287671
2036,16.5494306451613,13.6395038251366,31.7588106557377
2037,16.6582282258065,13.6895083835616,32.0831120547945
2038,18.3358258064516,13.1258560273973,31.7314720547945
2039,17.0520830645161,13.4138565753425,31.5721676712329
2040,18.3859790322581,12.7130487021858,32.4321221311475
2041,17.9260677419355,13.1687481369863,32.0795005479452
2042,16.6927967741935,13.2164534520548,32.0074547945205
2043,17.2123379032258,13.2688495890411,32.2250490410959
2044,17.6898637096774,13.1084359289617,31.2571079234973
2045,17.3157516129032,13.1596564109589,31.8494890410959
2046,18.5192056451613,13.0306964931507,31.6610602739726
2047,17.2160653225806,13.4826606575342,32.0189421917808
2048,17.6138201612903,13.0112626639344,30.639218579235
2049,17.9334137096774,12.7050393424658,31.1861879452055
2050,19.3926983870968,13.5254460273973,31.9555621917808
2051,17.5668096774194,13.1081889041096,31.5553405479452
2052,18.2548620967742,12.9291301229508,31.884050273224
2053,17.8164967741935,13.1315389726027,31.8549978082192
2054,19.1789435483871,13.0576170410959,31.0513257534247
2055,18.6535975806452,12.5113530958904,31.5788605479452
2056,18.2132266129032,12.3151106830601,32.2014543715847
2057,18.4197072580645,13.1031357671233,32.2132449315068
2058,18.2496088709677,13.1711853835616,31.8342547945205
2059,18.4267580645161,13.0059747808219,31.8258926027397
2060,17.7470741935484,12.7381449043716,32.1801800546448
2061,17.9169927419355,12.7274104931507,32.2298945205479
2062,17.7959040322581,12.4823195205479,31.5916873972603
2063,17.9100862903226,12.1941497123288,31.3090323287671
2064,17.4463951612903,13.1394598224044,30.4577038251366
2065,20.0510814516129,11.9856414931507,31.9121769863014
2066,18.9253467741935,12.4758343424658,31.5522630136986
2067,18.4659887096774,12.2731489589041,32.1128961643836
2068,18.3260379032258,12.7595419262295,32.4991153005464
2069,17.9368129032258,12.5812655890411,31.9978449315069
2070,18.1445241935484,12.1698010410959,32.0988824657534
2071,17.8232274193548,12.5803271780822,32.2418454794521
2072,19.4793403225806,12.0994251229508,32.5502229508197
2073,18.330010483871,12.4415536027397,31.7824594520548
2074,18.5578620967742,12.3927082054795,32.0137704109589
2075,19.6555233870968,12.6490527808219,32.3619660273973
2076,17.8529935483871,12.7706584289617,30.541168852459
2077,18.4521580645161,13.1104638082192,32.501381369863
2078,17.9658685483871,12.6008490410959,32.0271654794521
2079,17.9650379032258,12.2630044383562,30.8810983561644
2080,18.1106862903226,11.9849706420765,31.6011677595628
2081,18.8588693548387,12.6713634931507,32.3022539726027
2082,18.6772967741935,12.1993760821918,32.1755164383562
2083,19.2664919354839,12.2145148767123,31.7289909589041
2084,18.5141120967742,12.2419970628415,31.6807024590164
2085,17.8861911290323,12.9253366849315,31.4937542465753
2086,18.7916887096774,12.7218920821918,32.3937487671233
2087,20.4410629032258,12.2079150273973,32.251658630137
2088,18.9695822580645,12.4226095901639,30.6126169398907
2089,18.5688314516129,13.0608379589041,32.0503323287671
2090,18.0449677419355,11.9989046164384,32.3664046575342
2091,19.4123024193548,12.1127227945205,31.3620416438356
2092,18.920410483871,11.9932661612022,32.5617079234973
2093,18.6133008064516,12.2203843150685,32.3450432876712
2094,17.9481556451613,12.6779407123288,31.7369747945205
2095,17.634689516129,12.286437890411,32.2035210958904
2096,18.4125483870968,11.9021218442623,31.9947330601093
2097,18.6819701612903,11.9234194794521,31.6144128767123
2098,17.7003903225806,12.8356216986301,30.1306150684931
2099,19.0831064516129,12.4118853013699,30.9781945205479
2100,19.6559387096774,11.6643596027397,32.5639561643836
