"basin_name_holas","basin_name_baltsem","basin_abb_baltsem","year","sst_jul_aug"
"Arkona Basin","Arkona Basin","AR",1985,15.6312475806452
"Bay of Mecklenburg","Arkona Basin","AR",1985,15.6312475806452
"Arkona Basin","Arkona Basin","AR",1986,16.6842008064516
"Bay of Mecklenburg","Arkona Basin","AR",1986,16.6842008064516
"Arkona Basin","Arkona Basin","AR",1987,15.8255217741935
"Bay of Mecklenburg","Arkona Basin","AR",1987,15.8255217741935
"Arkona Basin","Arkona Basin","AR",1988,15.2869620967742
"Bay of Mecklenburg","Arkona Basin","AR",1988,15.2869620967742
"Arkona Basin","Arkona Basin","AR",1989,15.1834451612903
"Bay of Mecklenburg","Arkona Basin","AR",1989,15.1834451612903
"Arkona Basin","Arkona Basin","AR",1990,15.2436330645161
"Bay of Mecklenburg","Arkona Basin","AR",1990,15.2436330645161
"Arkona Basin","Arkona Basin","AR",1991,16.5573943548387
"Bay of Mecklenburg","Arkona Basin","AR",1991,16.5573943548387
"Arkona Basin","Arkona Basin","AR",1992,17.3343782258065
"Bay of Mecklenburg","Arkona Basin","AR",1992,17.3343782258065
"Arkona Basin","Arkona Basin","AR",1993,16.4456911290323
"Bay of Mecklenburg","Arkona Basin","AR",1993,16.4456911290323
"Arkona Basin","Arkona Basin","AR",1994,17.1423072580645
"Bay of Mecklenburg","Arkona Basin","AR",1994,17.1423072580645
"Arkona Basin","Arkona Basin","AR",1995,16.7559056451613
"Bay of Mecklenburg","Arkona Basin","AR",1995,16.7559056451613
"Arkona Basin","Arkona Basin","AR",1996,16.2352516129032
"Bay of Mecklenburg","Arkona Basin","AR",1996,16.2352516129032
"Arkona Basin","Arkona Basin","AR",1997,16.8347129032258
"Bay of Mecklenburg","Arkona Basin","AR",1997,16.8347129032258
"Arkona Basin","Arkona Basin","AR",1998,17.4487185483871
"Bay of Mecklenburg","Arkona Basin","AR",1998,17.4487185483871
"Arkona Basin","Arkona Basin","AR",1999,17.9769975806452
"Bay of Mecklenburg","Arkona Basin","AR",1999,17.9769975806452
"Arkona Basin","Arkona Basin","AR",2000,16.187839516129
"Bay of Mecklenburg","Arkona Basin","AR",2000,16.187839516129
"Arkona Basin","Arkona Basin","AR",2001,16.23775
"Bay of Mecklenburg","Arkona Basin","AR",2001,16.23775
"Arkona Basin","Arkona Basin","AR",2002,16.1488435483871
"Bay of Mecklenburg","Arkona Basin","AR",2002,16.1488435483871
"Arkona Basin","Arkona Basin","AR",2003,17.0715919354839
"Bay of Mecklenburg","Arkona Basin","AR",2003,17.0715919354839
"Arkona Basin","Arkona Basin","AR",2004,16.7531766129032
"Bay of Mecklenburg","Arkona Basin","AR",2004,16.7531766129032
"Arkona Basin","Arkona Basin","AR",2005,16.7627798387097
"Bay of Mecklenburg","Arkona Basin","AR",2005,16.7627798387097
"Arkona Basin","Arkona Basin","AR",2006,17.1674096774194
"Bay of Mecklenburg","Arkona Basin","AR",2006,17.1674096774194
"Arkona Basin","Arkona Basin","AR",2007,16.2285782258065
"Bay of Mecklenburg","Arkona Basin","AR",2007,16.2285782258065
"Arkona Basin","Arkona Basin","AR",2008,16.1554008064516
"Bay of Mecklenburg","Arkona Basin","AR",2008,16.1554008064516
"Arkona Basin","Arkona Basin","AR",2009,16.9590548387097
"Bay of Mecklenburg","Arkona Basin","AR",2009,16.9590548387097
"Arkona Basin","Arkona Basin","AR",2010,16.6975314516129
"Bay of Mecklenburg","Arkona Basin","AR",2010,16.6975314516129
"Arkona Basin","Arkona Basin","AR",2011,16.1771088709677
"Bay of Mecklenburg","Arkona Basin","AR",2011,16.1771088709677
"Arkona Basin","Arkona Basin","AR",2012,17.1327830645161
"Bay of Mecklenburg","Arkona Basin","AR",2012,17.1327830645161
"Arkona Basin","Arkona Basin","AR",2013,16.9705040322581
"Bay of Mecklenburg","Arkona Basin","AR",2013,16.9705040322581
"Arkona Basin","Arkona Basin","AR",2014,16.7043201612903
"Bay of Mecklenburg","Arkona Basin","AR",2014,16.7043201612903
"Arkona Basin","Arkona Basin","AR",2015,17.1628661290323
"Bay of Mecklenburg","Arkona Basin","AR",2015,17.1628661290323
"Arkona Basin","Arkona Basin","AR",2016,16.5633306451613
"Bay of Mecklenburg","Arkona Basin","AR",2016,16.5633306451613
"Arkona Basin","Arkona Basin","AR",2017,16.9619153225806
"Bay of Mecklenburg","Arkona Basin","AR",2017,16.9619153225806
"Arkona Basin","Arkona Basin","AR",2018,16.3993032258065
"Bay of Mecklenburg","Arkona Basin","AR",2018,16.3993032258065
"Arkona Basin","Arkona Basin","AR",2019,16.5306580645161
"Bay of Mecklenburg","Arkona Basin","AR",2019,16.5306580645161
"Arkona Basin","Arkona Basin","AR",2020,16.2094701612903
"Bay of Mecklenburg","Arkona Basin","AR",2020,16.2094701612903
"Arkona Basin","Arkona Basin","AR",2021,15.3515024193548
"Bay of Mecklenburg","Arkona Basin","AR",2021,15.3515024193548
"Arkona Basin","Arkona Basin","AR",2022,16.2783870967742
"Bay of Mecklenburg","Arkona Basin","AR",2022,16.2783870967742
"Arkona Basin","Arkona Basin","AR",2023,18.2810580645161
"Bay of Mecklenburg","Arkona Basin","AR",2023,18.2810580645161
"Arkona Basin","Arkona Basin","AR",2024,16.4441322580645
"Bay of Mecklenburg","Arkona Basin","AR",2024,16.4441322580645
"Arkona Basin","Arkona Basin","AR",2025,16.3519758064516
"Bay of Mecklenburg","Arkona Basin","AR",2025,16.3519758064516
"Arkona Basin","Arkona Basin","AR",2026,16.770935483871
"Bay of Mecklenburg","Arkona Basin","AR",2026,16.770935483871
"Arkona Basin","Arkona Basin","AR",2027,16.2092661290323
"Bay of Mecklenburg","Arkona Basin","AR",2027,16.2092661290323
"Arkona Basin","Arkona Basin","AR",2028,17.3904435483871
"Bay of Mecklenburg","Arkona Basin","AR",2028,17.3904435483871
"Arkona Basin","Arkona Basin","AR",2029,18.4791725806452
"Bay of Mecklenburg","Arkona Basin","AR",2029,18.4791725806452
"Arkona Basin","Arkona Basin","AR",2030,16.6511758064516
"Bay of Mecklenburg","Arkona Basin","AR",2030,16.6511758064516
"Arkona Basin","Arkona Basin","AR",2031,16.7048693548387
"Bay of Mecklenburg","Arkona Basin","AR",2031,16.7048693548387
"Arkona Basin","Arkona Basin","AR",2032,16.9165532258065
"Bay of Mecklenburg","Arkona Basin","AR",2032,16.9165532258065
"Arkona Basin","Arkona Basin","AR",2033,17.4272153225806
"Bay of Mecklenburg","Arkona Basin","AR",2033,17.4272153225806
"Arkona Basin","Arkona Basin","AR",2034,16.4213661290323
"Bay of Mecklenburg","Arkona Basin","AR",2034,16.4213661290323
"Arkona Basin","Arkona Basin","AR",2035,17.4446080645161
"Bay of Mecklenburg","Arkona Basin","AR",2035,17.4446080645161
"Arkona Basin","Arkona Basin","AR",2036,16.421260483871
"Bay of Mecklenburg","Arkona Basin","AR",2036,16.421260483871
"Arkona Basin","Arkona Basin","AR",2037,16.2928451612903
"Bay of Mecklenburg","Arkona Basin","AR",2037,16.2928451612903
"Arkona Basin","Arkona Basin","AR",2038,18.3614548387097
"Bay of Mecklenburg","Arkona Basin","AR",2038,18.3614548387097
"Arkona Basin","Arkona Basin","AR",2039,16.7869701612903
"Bay of Mecklenburg","Arkona Basin","AR",2039,16.7869701612903
"Arkona Basin","Arkona Basin","AR",2040,17.9379862903226
"Bay of Mecklenburg","Arkona Basin","AR",2040,17.9379862903226
"Arkona Basin","Arkona Basin","AR",2041,17.551239516129
"Bay of Mecklenburg","Arkona Basin","AR",2041,17.551239516129
"Arkona Basin","Arkona Basin","AR",2042,16.5619241935484
"Bay of Mecklenburg","Arkona Basin","AR",2042,16.5619241935484
"Arkona Basin","Arkona Basin","AR",2043,17.1670822580645
"Bay of Mecklenburg","Arkona Basin","AR",2043,17.1670822580645
"Arkona Basin","Arkona Basin","AR",2044,17.3582629032258
"Bay of Mecklenburg","Arkona Basin","AR",2044,17.3582629032258
"Arkona Basin","Arkona Basin","AR",2045,17.1025024193548
"Bay of Mecklenburg","Arkona Basin","AR",2045,17.1025024193548
"Arkona Basin","Arkona Basin","AR",2046,18.3171056451613
"Bay of Mecklenburg","Arkona Basin","AR",2046,18.3171056451613
"Arkona Basin","Arkona Basin","AR",2047,16.8210032258065
"Bay of Mecklenburg","Arkona Basin","AR",2047,16.8210032258065
"Arkona Basin","Arkona Basin","AR",2048,17.2203709677419
"Bay of Mecklenburg","Arkona Basin","AR",2048,17.2203709677419
"Arkona Basin","Arkona Basin","AR",2049,17.2602677419355
"Bay of Mecklenburg","Arkona Basin","AR",2049,17.2602677419355
"Arkona Basin","Arkona Basin","AR",2050,18.9832766129032
"Bay of Mecklenburg","Arkona Basin","AR",2050,18.9832766129032
"Arkona Basin","Arkona Basin","AR",2051,17.3008733870968
"Bay of Mecklenburg","Arkona Basin","AR",2051,17.3008733870968
"Arkona Basin","Arkona Basin","AR",2052,18.3131685483871
"Bay of Mecklenburg","Arkona Basin","AR",2052,18.3131685483871
"Arkona Basin","Arkona Basin","AR",2053,17.6512846774194
"Bay of Mecklenburg","Arkona Basin","AR",2053,17.6512846774194
"Arkona Basin","Arkona Basin","AR",2054,18.7115822580645
"Bay of Mecklenburg","Arkona Basin","AR",2054,18.7115822580645
"Arkona Basin","Arkona Basin","AR",2055,18.3287870967742
"Bay of Mecklenburg","Arkona Basin","AR",2055,18.3287870967742
"Arkona Basin","Arkona Basin","AR",2056,18.3841040322581
"Bay of Mecklenburg","Arkona Basin","AR",2056,18.3841040322581
"Arkona Basin","Arkona Basin","AR",2057,17.8663209677419
"Bay of Mecklenburg","Arkona Basin","AR",2057,17.8663209677419
"Arkona Basin","Arkona Basin","AR",2058,18.0931032258065
"Bay of Mecklenburg","Arkona Basin","AR",2058,18.0931032258065
"Arkona Basin","Arkona Basin","AR",2059,17.6224959677419
"Bay of Mecklenburg","Arkona Basin","AR",2059,17.6224959677419
"Arkona Basin","Arkona Basin","AR",2060,17.4727830645161
"Bay of Mecklenburg","Arkona Basin","AR",2060,17.4727830645161
"Arkona Basin","Arkona Basin","AR",2061,17.8134556451613
"Bay of Mecklenburg","Arkona Basin","AR",2061,17.8134556451613
"Arkona Basin","Arkona Basin","AR",2062,17.4482943548387
"Bay of Mecklenburg","Arkona Basin","AR",2062,17.4482943548387
"Arkona Basin","Arkona Basin","AR",2063,17.3142217741935
"Bay of Mecklenburg","Arkona Basin","AR",2063,17.3142217741935
"Arkona Basin","Arkona Basin","AR",2064,17.1059741935484
"Bay of Mecklenburg","Arkona Basin","AR",2064,17.1059741935484
"Arkona Basin","Arkona Basin","AR",2065,19.6004677419355
"Bay of Mecklenburg","Arkona Basin","AR",2065,19.6004677419355
"Arkona Basin","Arkona Basin","AR",2066,18.0959193548387
"Bay of Mecklenburg","Arkona Basin","AR",2066,18.0959193548387
"Arkona Basin","Arkona Basin","AR",2067,18.4651016129032
"Bay of Mecklenburg","Arkona Basin","AR",2067,18.4651016129032
"Arkona Basin","Arkona Basin","AR",2068,18.0922298387097
"Bay of Mecklenburg","Arkona Basin","AR",2068,18.0922298387097
"Arkona Basin","Arkona Basin","AR",2069,17.7993266129032
"Bay of Mecklenburg","Arkona Basin","AR",2069,17.7993266129032
"Arkona Basin","Arkona Basin","AR",2070,18.0272072580645
"Bay of Mecklenburg","Arkona Basin","AR",2070,18.0272072580645
"Arkona Basin","Arkona Basin","AR",2071,17.5275467741935
"Bay of Mecklenburg","Arkona Basin","AR",2071,17.5275467741935
"Arkona Basin","Arkona Basin","AR",2072,19.3854322580645
"Bay of Mecklenburg","Arkona Basin","AR",2072,19.3854322580645
"Arkona Basin","Arkona Basin","AR",2073,18.3116637096774
"Bay of Mecklenburg","Arkona Basin","AR",2073,18.3116637096774
"Arkona Basin","Arkona Basin","AR",2074,17.9867774193548
"Bay of Mecklenburg","Arkona Basin","AR",2074,17.9867774193548
"Arkona Basin","Arkona Basin","AR",2075,19.2424370967742
"Bay of Mecklenburg","Arkona Basin","AR",2075,19.2424370967742
"Arkona Basin","Arkona Basin","AR",2076,17.5727862903226
"Bay of Mecklenburg","Arkona Basin","AR",2076,17.5727862903226
"Arkona Basin","Arkona Basin","AR",2077,17.7468919354839
"Bay of Mecklenburg","Arkona Basin","AR",2077,17.7468919354839
"Arkona Basin","Arkona Basin","AR",2078,17.7916016129032
"Bay of Mecklenburg","Arkona Basin","AR",2078,17.7916016129032
"Arkona Basin","Arkona Basin","AR",2079,17.8011096774194
"Bay of Mecklenburg","Arkona Basin","AR",2079,17.8011096774194
"Arkona Basin","Arkona Basin","AR",2080,17.7657943548387
"Bay of Mecklenburg","Arkona Basin","AR",2080,17.7657943548387
"Arkona Basin","Arkona Basin","AR",2081,18.8645298387097
"Bay of Mecklenburg","Arkona Basin","AR",2081,18.8645298387097
"Arkona Basin","Arkona Basin","AR",2082,18.4668983870968
"Bay of Mecklenburg","Arkona Basin","AR",2082,18.4668983870968
"Arkona Basin","Arkona Basin","AR",2083,18.9581322580645
"Bay of Mecklenburg","Arkona Basin","AR",2083,18.9581322580645
"Arkona Basin","Arkona Basin","AR",2084,18.4240903225806
"Bay of Mecklenburg","Arkona Basin","AR",2084,18.4240903225806
"Arkona Basin","Arkona Basin","AR",2085,17.5365258064516
"Bay of Mecklenburg","Arkona Basin","AR",2085,17.5365258064516
"Arkona Basin","Arkona Basin","AR",2086,18.433125
"Bay of Mecklenburg","Arkona Basin","AR",2086,18.433125
"Arkona Basin","Arkona Basin","AR",2087,20.1631951612903
"Bay of Mecklenburg","Arkona Basin","AR",2087,20.1631951612903
"Arkona Basin","Arkona Basin","AR",2088,18.5516137096774
"Bay of Mecklenburg","Arkona Basin","AR",2088,18.5516137096774
"Arkona Basin","Arkona Basin","AR",2089,18.2667774193548
"Bay of Mecklenburg","Arkona Basin","AR",2089,18.2667774193548
"Arkona Basin","Arkona Basin","AR",2090,17.9366830645161
"Bay of Mecklenburg","Arkona Basin","AR",2090,17.9366830645161
"Arkona Basin","Arkona Basin","AR",2091,19.4513951612903
"Bay of Mecklenburg","Arkona Basin","AR",2091,19.4513951612903
"Arkona Basin","Arkona Basin","AR",2092,18.5764338709677
"Bay of Mecklenburg","Arkona Basin","AR",2092,18.5764338709677
"Arkona Basin","Arkona Basin","AR",2093,18.288185483871
"Bay of Mecklenburg","Arkona Basin","AR",2093,18.288185483871
"Arkona Basin","Arkona Basin","AR",2094,17.3218790322581
"Bay of Mecklenburg","Arkona Basin","AR",2094,17.3218790322581
"Arkona Basin","Arkona Basin","AR",2095,17.3099975806452
"Bay of Mecklenburg","Arkona Basin","AR",2095,17.3099975806452
"Arkona Basin","Arkona Basin","AR",2096,18.2423161290323
"Bay of Mecklenburg","Arkona Basin","AR",2096,18.2423161290323
"Arkona Basin","Arkona Basin","AR",2097,18.0253951612903
"Bay of Mecklenburg","Arkona Basin","AR",2097,18.0253951612903
"Arkona Basin","Arkona Basin","AR",2098,17.4209725806452
"Bay of Mecklenburg","Arkona Basin","AR",2098,17.4209725806452
"Arkona Basin","Arkona Basin","AR",2099,18.9682112903226
"Bay of Mecklenburg","Arkona Basin","AR",2099,18.9682112903226
"Arkona Basin","Arkona Basin","AR",2100,19.3989766129032
"Bay of Mecklenburg","Arkona Basin","AR",2100,19.3989766129032
"Bothnian Bay","Bothnian Bay","BB",1960,13.6473120967742
"Bothnian Bay","Bothnian Bay","BB",1961,14.2338419354839
"Bothnian Bay","Bothnian Bay","BB",1962,12.9469280645161
"Bothnian Bay","Bothnian Bay","BB",1963,12.8014337903226
"Bothnian Bay","Bothnian Bay","BB",1964,14.8623774193548
"Bothnian Bay","Bothnian Bay","BB",1965,12.2113045967742
"Bothnian Bay","Bothnian Bay","BB",1966,14.34135
"Bothnian Bay","Bothnian Bay","BB",1967,12.9376732258065
"Bothnian Bay","Bothnian Bay","BB",1968,11.3380558870968
"Bothnian Bay","Bothnian Bay","BB",1969,13.5998296774194
"Bothnian Bay","Bothnian Bay","BB",1970,10.1638475806452
"Bothnian Bay","Bothnian Bay","BB",1971,11.380275
"Bothnian Bay","Bothnian Bay","BB",1972,11.8020699193548
"Bothnian Bay","Bothnian Bay","BB",1973,13.8751685483871
"Bothnian Bay","Bothnian Bay","BB",1974,14.0920887096774
"Bothnian Bay","Bothnian Bay","BB",1975,14.4688370967742
"Bothnian Bay","Bothnian Bay","BB",1976,15.657039516129
"Bothnian Bay","Bothnian Bay","BB",1977,13.3871287096774
"Bothnian Bay","Bothnian Bay","BB",1978,12.5253680645161
"Bothnian Bay","Bothnian Bay","BB",1979,14.4844991935484
"Bothnian Bay","Bothnian Bay","BB",1980,11.7604137903226
"Bothnian Bay","Bothnian Bay","BB",1981,13.1601224193548
"Bothnian Bay","Bothnian Bay","BB",1982,10.3836012903226
"Bothnian Bay","Bothnian Bay","BB",1983,13.7116580645161
"Bothnian Bay","Bothnian Bay","BB",1984,12.9671153225806
"Bothnian Bay","Bothnian Bay","BB",1985,12.6704930645161
"Bothnian Bay","Bothnian Bay","BB",1986,14.8882862903226
"Bothnian Bay","Bothnian Bay","BB",1987,13.0038016129032
"Bothnian Bay","Bothnian Bay","BB",1988,14.2564999193548
"Bothnian Bay","Bothnian Bay","BB",1989,13.5665096774194
"Bothnian Bay","Bothnian Bay","BB",1990,12.32822
"Bothnian Bay","Bothnian Bay","BB",1991,15.300260483871
"Bothnian Bay","Bothnian Bay","BB",1992,14.3429790322581
"Bothnian Bay","Bothnian Bay","BB",1993,14.0932142741935
"Bothnian Bay","Bothnian Bay","BB",1994,14.1384782258065
"Bothnian Bay","Bothnian Bay","BB",1995,13.3747330645161
"Bothnian Bay","Bothnian Bay","BB",1996,10.8889744354839
"Bothnian Bay","Bothnian Bay","BB",1997,11.6602259677419
"Bothnian Bay","Bothnian Bay","BB",1998,12.999489516129
"Bothnian Bay","Bothnian Bay","BB",1999,15.5219991935484
"Bothnian Bay","Bothnian Bay","BB",2000,13.4209250806452
"Bothnian Bay","Bothnian Bay","BB",2001,12.0619829032258
"Bothnian Bay","Bothnian Bay","BB",2002,12.5772430645161
"Bothnian Bay","Bothnian Bay","BB",2003,12.4520305645161
"Bothnian Bay","Bothnian Bay","BB",2004,12.0950241935484
"Bothnian Bay","Bothnian Bay","BB",2005,12.2817016129032
"Bothnian Bay","Bothnian Bay","BB",2006,15.8783822580645
"Bothnian Bay","Bothnian Bay","BB",2007,11.2751127419355
"Bothnian Bay","Bothnian Bay","BB",2008,12.0796299193548
"Bothnian Bay","Bothnian Bay","BB",2009,12.0528158870968
"Bothnian Bay","Bothnian Bay","BB",2010,14.2633991935484
"Bothnian Bay","Bothnian Bay","BB",2011,10.5274543548387
"Bothnian Bay","Bothnian Bay","BB",2012,12.8863232258065
"Bothnian Bay","Bothnian Bay","BB",2013,13.7349290322581
"Bothnian Bay","Bothnian Bay","BB",2014,12.2768822580645
"Bothnian Bay","Bothnian Bay","BB",2015,13.108769516129
"Bothnian Bay","Bothnian Bay","BB",2016,10.3396466129032
"Bothnian Bay","Bothnian Bay","BB",2017,12.2175923387097
"Bothnian Bay","Bothnian Bay","BB",2018,14.5108322580645
"Bothnian Bay","Bothnian Bay","BB",2019,13.7379867741935
"Bothnian Bay","Bothnian Bay","BB",2020,13.4007166935484
"Bothnian Bay","Bothnian Bay","BB",2021,9.56446
"Bothnian Bay","Bothnian Bay","BB",2022,13.3296507258065
"Bothnian Bay","Bothnian Bay","BB",2023,15.8394806451613
"Bothnian Bay","Bothnian Bay","BB",2024,15.4075548387097
"Bothnian Bay","Bothnian Bay","BB",2025,10.3505861290323
"Bothnian Bay","Bothnian Bay","BB",2026,13.6990482258065
"Bothnian Bay","Bothnian Bay","BB",2027,13.2805923387097
"Bothnian Bay","Bothnian Bay","BB",2028,13.9367403225806
"Bothnian Bay","Bothnian Bay","BB",2029,14.7784588709677
"Bothnian Bay","Bothnian Bay","BB",2030,13.4197169354839
"Bothnian Bay","Bothnian Bay","BB",2031,15.5660427419355
"Bothnian Bay","Bothnian Bay","BB",2032,14.4753741935484
"Bothnian Bay","Bothnian Bay","BB",2033,12.9221168548387
"Bothnian Bay","Bothnian Bay","BB",2034,12.8796685483871
"Bothnian Bay","Bothnian Bay","BB",2035,15.1157927419355
"Bothnian Bay","Bothnian Bay","BB",2036,14.1735919354839
"Bothnian Bay","Bothnian Bay","BB",2037,15.7964524193548
"Bothnian Bay","Bothnian Bay","BB",2038,16.6394846774194
"Bothnian Bay","Bothnian Bay","BB",2039,15.0270024193548
"Bothnian Bay","Bothnian Bay","BB",2040,15.1288282258065
"Bothnian Bay","Bothnian Bay","BB",2041,15.2925185483871
"Bothnian Bay","Bothnian Bay","BB",2042,15.1906112903226
"Bothnian Bay","Bothnian Bay","BB",2043,14.7392323387097
"Bothnian Bay","Bothnian Bay","BB",2044,14.5582692741935
"Bothnian Bay","Bothnian Bay","BB",2045,15.6044112903226
"Bothnian Bay","Bothnian Bay","BB",2046,16.3515314516129
"Bothnian Bay","Bothnian Bay","BB",2047,14.919375
"Bothnian Bay","Bothnian Bay","BB",2048,16.4537088709677
"Bothnian Bay","Bothnian Bay","BB",2049,13.8708685483871
"Bothnian Bay","Bothnian Bay","BB",2050,15.9212564516129
"Bothnian Bay","Bothnian Bay","BB",2051,13.7432032258065
"Bothnian Bay","Bothnian Bay","BB",2052,16.3532411290323
"Bothnian Bay","Bothnian Bay","BB",2053,15.4669661290323
"Bothnian Bay","Bothnian Bay","BB",2054,12.3923974193548
"Bothnian Bay","Bothnian Bay","BB",2055,15.4490887096774
"Bothnian Bay","Bothnian Bay","BB",2056,17.6008322580645
"Bothnian Bay","Bothnian Bay","BB",2057,14.1577612903226
"Bothnian Bay","Bothnian Bay","BB",2058,15.0907790322581
"Bothnian Bay","Bothnian Bay","BB",2059,16.2339379032258
"Bothnian Bay","Bothnian Bay","BB",2060,14.7398814516129
"Bothnian Bay","Bothnian Bay","BB",2061,16.5023572580645
"Bothnian Bay","Bothnian Bay","BB",2062,15.9179967741935
"Bothnian Bay","Bothnian Bay","BB",2063,14.6764330645161
"Bothnian Bay","Bothnian Bay","BB",2064,14.7780685483871
"Bothnian Bay","Bothnian Bay","BB",2065,17.542210483871
"Bothnian Bay","Bothnian Bay","BB",2066,15.6066088709677
"Bothnian Bay","Bothnian Bay","BB",2067,17.5767612903226
"Bothnian Bay","Bothnian Bay","BB",2068,16.6444620967742
"Bothnian Bay","Bothnian Bay","BB",2069,17.2521685483871
"Bothnian Bay","Bothnian Bay","BB",2070,16.7708193548387
"Bothnian Bay","Bothnian Bay","BB",2071,15.3170459677419
"Bothnian Bay","Bothnian Bay","BB",2072,17.1592193548387
"Bothnian Bay","Bothnian Bay","BB",2073,17.5803629032258
"Bothnian Bay","Bothnian Bay","BB",2074,16.2242911290323
"Bothnian Bay","Bothnian Bay","BB",2075,16.1639306451613
"Bothnian Bay","Bothnian Bay","BB",2076,16.7944669354839
"Bothnian Bay","Bothnian Bay","BB",2077,16.9137048387097
"Bothnian Bay","Bothnian Bay","BB",2078,16.7821862903226
"Bothnian Bay","Bothnian Bay","BB",2079,17.1930524193548
"Bothnian Bay","Bothnian Bay","BB",2080,16.9863717741935
"Bothnian Bay","Bothnian Bay","BB",2081,16.9730088709677
"Bothnian Bay","Bothnian Bay","BB",2082,16.8987661290323
"Bothnian Bay","Bothnian Bay","BB",2083,17.6949241935484
"Bothnian Bay","Bothnian Bay","BB",2084,18.951939516129
"Bothnian Bay","Bothnian Bay","BB",2085,16.7574362903226
"Bothnian Bay","Bothnian Bay","BB",2086,17.0575951612903
"Bothnian Bay","Bothnian Bay","BB",2087,18.4547483870968
"Bothnian Bay","Bothnian Bay","BB",2088,16.9963056451613
"Bothnian Bay","Bothnian Bay","BB",2089,17.7522177419355
"Bothnian Bay","Bothnian Bay","BB",2090,18.4264266129032
"Bothnian Bay","Bothnian Bay","BB",2091,17.2357814516129
"Bothnian Bay","Bothnian Bay","BB",2092,15.6683435483871
"Bothnian Bay","Bothnian Bay","BB",2093,16.3697241935484
"Bothnian Bay","Bothnian Bay","BB",2094,14.0418733870968
"Bothnian Bay","Bothnian Bay","BB",2095,15.8152233870968
"Bothnian Bay","Bothnian Bay","BB",2096,16.0589177419355
"Bothnian Bay","Bothnian Bay","BB",2097,15.1901072580645
"Bothnian Bay","Bothnian Bay","BB",2098,15.9814661290323
"Bothnian Bay","Bothnian Bay","BB",2099,17.4860322580645
"Bothnian Bay","Bothnian Bay","BB",2100,16.3826048387097
